genia tagger: 5676['fkbp5', [28, 33]]
['fkbp5', [58, 63]]
['fkbp5', [353, 358]]
['fkbp5', [467, 472]]
['fkbp5', [1337, 1342]]
['fkbp5', [1759, 1764]]
['fkbp5', [4002, 4007]]
['fkbp5', [4275, 4280]]
['fkbp5', [4404, 4409]]
['fkbp5', [4692, 4697]]
['fkbp5', [4716, 4721]]
['fkbp5', [4869, 4874]]
['fkbp5', [5089, 5094]]
['fkbp5', [5206, 5211]]
['fkbp5', [8262, 8267]]
['fkbp5', [8306, 8311]]
['fkbp5', [15380, 15385]]
['fkbp5', [15424, 15429]]
['fkbp5', [19820, 19825]]
['fkbp5', [20206, 20211]]
['fkbp5', [23233, 23238]]
['fkbp5', [23619, 23624]]
['fkbp5', [26623, 26628]]
['fkbp5', [27117, 27122]]
['fkbp5', [27666, 27671]]
['fkbp5', [29115, 29120]]
['fkbp5', [30227, 30232]]
['fkbp5', [30475, 30480]]
['fkbp5', [30934, 30939]]
['fkbp5', [31494, 31499]]
['fkbp5', [31721, 31726]]
['fkbp5', [32295, 32300]]
['fkbp5', [32713, 32718]]
['fkbp5', [32790, 32795]]
['fkbp5', [33284, 33289]]
['fkbp5', [33833, 33838]]
['fkbp5', [35282, 35287]]
['fkbp5', [36394, 36399]]
['fkbp5', [36642, 36647]]
['fkbp5', [37101, 37106]]
['fkbp5', [37661, 37666]]
['fkbp5', [37888, 37893]]
['fkbp5', [38462, 38467]]
['fkbp5', [38880, 38885]]
['gene', [64, 68]]
['gene', [196, 200]]
['gene', [831, 835]]
['gene', [1312, 1316]]
['gene', [1779, 1783]]
['gene', [2050, 2054]]
['gene', [2191, 2195]]
['gene', [3549, 3553]]
['gene', [3735, 3739]]
['gene', [3815, 3819]]
['gene', [4922, 4926]]
['gene', [5058, 5062]]
['gene', [5372, 5376]]
['gene', [5897, 5901]]
['gene', [5989, 5993]]
['gene', [7070, 7074]]
['gene', [7758, 7762]]
['gene', [8233, 8237]]
['gene', [8268, 8272]]
['gene', [10620, 10624]]
['gene', [10922, 10926]]
['gene', [12609, 12613]]
['gene', [13014, 13018]]
['gene', [13106, 13110]]
['gene', [14187, 14191]]
['gene', [14875, 14879]]
['gene', [15351, 15355]]
['gene', [15386, 15390]]
['gene', [17739, 17743]]
['gene', [18041, 18045]]
['gene', [19729, 19733]]
['gene', [19826, 19830]]
['gene', [20358, 20362]]
['gene', [20995, 20999]]
['gene', [23239, 23243]]
['gene', [23771, 23775]]
['gene', [24408, 24412]]
['gene', [26629, 26633]]
['gene', [29257, 29261]]
['gene', [29271, 29275]]
['gene', [30372, 30376]]
['gene', [32733, 32737]]
['gene', [32796, 32800]]
['gene', [35424, 35428]]
['gene', [35438, 35442]]
['gene', [36539, 36543]]
['gene', [38900, 38904]]
['product', [69, 76]]
['product', [4016, 4023]]
['glucocorticoid', [110, 124]]
['glucocorticoid', [2506, 2520]]
['glucocorticoid', [3791, 3805]]
['glucocorticoid', [4057, 4071]]
['glucocorticoid', [4448, 4462]]
['glucocorticoid', [4601, 4615]]
['receptor', [125, 133]]
['receptor', [3806, 3814]]
