genia tagger: 7480['salsa', [429, 434]]
['salsa', [4955, 4960]]
['salsa', [5059, 5064]]
['salsa', [5289, 5294]]
['salsa', [5743, 5748]]
['salsa', [5753, 5758]]
['salsa', [6081, 6086]]
['salsa', [6260, 6265]]
['salsa', [11597, 11602]]
['salsa', [11701, 11706]]
['salsa', [11931, 11936]]
['salsa', [12385, 12390]]
['salsa', [12395, 12400]]
['salsa', [12723, 12728]]
['salsa', [12902, 12907]]
['salsa', [37930, 37935]]
['salsa', [38757, 38762]]
['eas', [110, 113]]
['eas', [573, 576]]
['eas', [838, 841]]
['eas', [1284, 1287]]
['eas', [1312, 1315]]
['eas', [2090, 2093]]
['eas', [2806, 2809]]
['eas', [3158, 3161]]
['eas', [5197, 5200]]
['eas', [5216, 5219]]
['eas', [7161, 7164]]
['eas', [7748, 7751]]
['eas', [8078, 8081]]
['eas', [8759, 8762]]
['eas', [10108, 10111]]
['eas', [11839, 11842]]
['eas', [11858, 11861]]
['eas', [13805, 13808]]
['eas', [14392, 14395]]
['eas', [14722, 14725]]
['eas', [15403, 15406]]
['eas', [16753, 16756]]
['eas', [19814, 19817]]
['eas', [20135, 20138]]
['eas', [20668, 20671]]
['eas', [20878, 20881]]
['eas', [20916, 20919]]
['eas', [23087, 23090]]
['eas', [23408, 23411]]
['eas', [23941, 23944]]
['eas', [24151, 24154]]
['eas', [24189, 24192]]
['eas', [27370, 27373]]
['eas', [28734, 28737]]
['eas', [29963, 29966]]
['eas', [30255, 30258]]
['eas', [33789, 33792]]
['eas', [35153, 35156]]
['eas', [36382, 36385]]
['eas', [36674, 36677]]
['eas', [37663, 37666]]
['eas', [37794, 37797]]
['or', [133, 135]]
['or', [316, 318]]
['or', [721, 723]]
['or', [805, 807]]
['or', [930, 932]]
['or', [981, 983]]
['or', [1015, 1017]]
['or', [1096, 1098]]
['or', [1132, 1134]]
['or', [1255, 1257]]
['or', [1371, 1373]]
['or', [1433, 1435]]
['or', [1438, 1440]]
['or', [1839, 1841]]
['or', [2060, 2062]]
['or', [2236, 2238]]
['or', [2504, 2506]]
['or', [2509, 2511]]
['or', [2616, 2618]]
['or', [2671, 2673]]
['or', [2772, 2774]]
['or', [2797, 2799]]
['or', [2870, 2872]]
['or', [3256, 3258]]
['or', [3322, 3324]]
['or', [3472, 3474]]
['or', [3546, 3548]]
['or', [3563, 3565]]
['or', [3762, 3764]]
['or', [3789, 3791]]
['or', [3890, 3892]]
['or', [3953, 3955]]
['or', [4102, 4104]]
['or', [4506, 4508]]
['or', [4624, 4626]]
['or', [4692, 4694]]
['or', [4697, 4699]]
['or', [4740, 4742]]
['or', [4774, 4776]]
['or', [4810, 4812]]
['or', [4845, 4847]]
['or', [5452, 5454]]
['or', [5496, 5498]]
['or', [5565, 5567]]
['or', [5629, 5631]]
['or', [5915, 5917]]
['or', [6062, 6064]]
['or', [6117, 6119]]
['or', [6168, 6170]]
['or', [6281, 6283]]
['or', [6300, 6302]]
['or', [6417, 6419]]
['or', [6589, 6591]]
['or', [6821, 6823]]
['or', [6931, 6933]]
['or', [7090, 7092]]
['or', [7245, 7247]]
['or', [8167, 8169]]
['or', [8493, 8495]]
['or', [8549, 8551]]
['or', [8569, 8571]]
['or', [8625, 8627]]
['or', [8634, 8636]]
['or', [8706, 8708]]
['or', [8796, 8798]]
['or', [8911, 8913]]
['or', [9143, 9145]]
['or', [9162, 9164]]
['or', [9195, 9197]]
['or', [9202, 9204]]
['or', [9423, 9425]]
['or', [9437, 9439]]
['or', [9768, 9770]]
['or', [9923, 9925]]
['or', [10115, 10117]]
['or', [10330, 10332]]
['or', [10383, 10385]]
['or', [10391, 10393]]
['or', [10486, 10488]]
['or', [10531, 10533]]
['or', [10654, 10656]]
['or', [10682, 10684]]
['or', [10726, 10728]]
['or', [11041, 11043]]
['or', [11050, 11052]]
['or', [11082, 11084]]
['or', [11295, 11297]]
['or', [11388, 11390]]
['or', [11406, 11408]]
['or', [11502, 11504]]
['or', [12094, 12096]]
['or', [12138, 12140]]
