genia tagger: 5016['fdg', [358, 361]]
['fdg', [655, 658]]
['fdg', [686, 689]]
['fdg', [998, 1001]]
['fdg', [1432, 1435]]
['fdg', [2238, 2241]]
['fdg', [5377, 5380]]
['fdg', [5448, 5451]]
['fdg', [5584, 5587]]
['fdg', [5693, 5696]]
['fdg', [5827, 5830]]
['fdg', [6628, 6631]]
['fdg', [8156, 8159]]
['fdg', [8350, 8353]]
['fdg', [8956, 8959]]
['fdg', [9055, 9058]]
['fdg', [9223, 9226]]
['fdg', [12028, 12031]]
['fdg', [12100, 12103]]
['fdg', [12284, 12287]]
['fdg', [12367, 12370]]
['fdg', [12461, 12464]]
['fdg', [12547, 12550]]
['fdg', [12712, 12715]]
['fdg', [13352, 13355]]
['fdg', [13408, 13411]]
['fdg', [13436, 13439]]
['fdg', [13498, 13501]]
['fdg', [13749, 13752]]
['fdg', [13920, 13923]]
['fdg', [14039, 14042]]
['fdg', [14168, 14171]]
['fdg', [14224, 14227]]
['fdg', [14252, 14255]]
['fdg', [14305, 14308]]
['fdg', [14395, 14398]]
['fdg', [14560, 14563]]
['fdg', [14636, 14639]]
['fdg', [14866, 14869]]
['fdg', [15123, 15126]]
['fdg', [15297, 15300]]
['fdg', [17715, 17718]]
['fdg', [17763, 17766]]
['fdg', [17807, 17810]]
['fdg', [17835, 17838]]
['fdg', [17889, 17892]]
['fdg', [17951, 17954]]
['fdg', [18005, 18008]]
['fdg', [18597, 18600]]
['fdg', [18816, 18819]]
['fdg', [18959, 18962]]
['fdg', [18999, 19002]]
['fdg', [19582, 19585]]
['fdg', [21737, 21740]]
['fdg', [21809, 21812]]
['fdg', [21993, 21996]]
['fdg', [22076, 22079]]
['fdg', [22170, 22173]]
['fdg', [22256, 22259]]
['fdg', [22421, 22424]]
['fdg', [23061, 23064]]
['fdg', [23117, 23120]]
['fdg', [23145, 23148]]
['fdg', [23207, 23210]]
['fdg', [23458, 23461]]
['fdg', [23629, 23632]]
['fdg', [23748, 23751]]
['fdg', [23877, 23880]]
['fdg', [23933, 23936]]
['fdg', [23961, 23964]]
['fdg', [24014, 24017]]
['fdg', [24104, 24107]]
['fdg', [24269, 24272]]
['fdg', [24345, 24348]]
['fdg', [24575, 24578]]
['fdg', [24832, 24835]]
['fdg', [25006, 25009]]
['fdg', [27424, 27427]]
['fdg', [27472, 27475]]
['fdg', [27516, 27519]]
['fdg', [27544, 27547]]
['fdg', [27598, 27601]]
['fdg', [27660, 27663]]
['fdg', [27714, 27717]]
['fdg', [28306, 28309]]
['fdg', [28525, 28528]]
['fdg', [28668, 28671]]
['fdg', [28708, 28711]]
['fdg', [29291, 29294]]
['fdg', [33366, 33369]]
['fdg', [33438, 33441]]
['fdg', [33622, 33625]]
['fdg', [33705, 33708]]
['fdg', [33799, 33802]]
['fdg', [33885, 33888]]
['fdg', [34050, 34053]]
['fdg', [34690, 34693]]
['fdg', [34746, 34749]]
['fdg', [34774, 34777]]
['fdg', [34836, 34839]]
['fdg', [35087, 35090]]
['fdg', [35258, 35261]]
['fdg', [35377, 35380]]
['fdg', [35506, 35509]]
['fdg', [35562, 35565]]
['fdg', [35590, 35593]]
['fdg', [35643, 35646]]
['fdg', [35733, 35736]]
['fdg', [35898, 35901]]
['fdg', [35974, 35977]]
['fdg', [36204, 36207]]
['fdg', [36461, 36464]]
['fdg', [36635, 36638]]
['fdg', [37019, 37022]]
['fdg', [37091, 37094]]
['fdg', [37275, 37278]]
['fdg', [37358, 37361]]
['fdg', [37452, 37455]]
['fdg', [37538, 37541]]
['fdg', [37703, 37706]]
['fdg', [38343, 38346]]
['fdg', [38399, 38402]]
['fdg', [38427, 38430]]
['fdg', [38489, 38492]]
['fdg', [38740, 38743]]
['fdg', [38911, 38914]]
['fdg', [39030, 39033]]
['fdg', [39159, 39162]]
['fdg', [39215, 39218]]
['fdg', [39243, 39246]]
['fdg', [39296, 39299]]
['fdg', [39386, 39389]]
['fdg', [39551, 39554]]
['fdg', [39627, 39630]]
