genia tagger: 886['time-to-event', [586, 599]]
['time-to-event', [1235, 1248]]
['time-to-event', [51420, 51433]]
['time-to-event', [57446, 57459]]
['outcomes', [600, 608]]
['outcomes', [762, 770]]
['outcomes', [1249, 1257]]
['outcomes', [1960, 1968]]
['outcomes', [4997, 5005]]
['outcomes', [9888, 9896]]
['outcomes', [9972, 9980]]
['outcomes', [14371, 14379]]
['outcomes', [17408, 17416]]
['outcomes', [22299, 22307]]
['outcomes', [22383, 22391]]
['outcomes', [26767, 26775]]
['outcomes', [29804, 29812]]
['outcomes', [30645, 30653]]
['outcomes', [33682, 33690]]
['outcomes', [41094, 41102]]
['outcomes', [41178, 41186]]
['outcomes', [47095, 47103]]
['outcomes', [47179, 47187]]
['outcomes', [51434, 51442]]
['outcomes', [51986, 51994]]
['outcomes', [57460, 57468]]
['outcomes', [58012, 58020]]
['random', [1731, 1737]]
['random', [1899, 1905]]
['random', [2832, 2838]]
['random', [4502, 4508]]
['random', [11373, 11379]]
['random', [11454, 11460]]
['random', [12349, 12355]]
['random', [12466, 12472]]
['random', [12635, 12641]]
['random', [14142, 14148]]
['random', [14310, 14316]]
['random', [15243, 15249]]
['random', [16913, 16919]]
['random', [23784, 23790]]
['random', [23865, 23871]]
['random', [24760, 24766]]
['random', [24877, 24883]]
['random', [25046, 25052]]
['random', [26538, 26544]]
['random', [26706, 26712]]
['random', [27639, 27645]]
['random', [29309, 29315]]
['random', [30416, 30422]]
['random', [30584, 30590]]
['random', [31517, 31523]]
['random', [33187, 33193]]
['random', [42579, 42585]]
['random', [42660, 42666]]
['random', [43555, 43561]]
['random', [43672, 43678]]
['random', [43841, 43847]]
['random', [48580, 48586]]
['random', [48661, 48667]]
['random', [49556, 49562]]
['random', [49673, 49679]]
['random', [49842, 49848]]
['random', [52680, 52686]]
['random', [53671, 53677]]
['random', [54124, 54130]]
['random', [58706, 58712]]
['random', [59697, 59703]]
['random', [60150, 60156]]
['effects', [1562, 1569]]
['effects', [1738, 1745]]
['effects', [1906, 1913]]
['effects', [2839, 2846]]
['effects', [8763, 8770]]
