genia tagger: 352['differentiating', [767, 782]]
['differentiating', [16943, 16958]]
['differentiating', [17500, 17515]]
['differentiating', [22052, 22067]]
['differentiating', [22609, 22624]]
['breast', [543, 549]]
['breast', [783, 789]]
['breast', [7378, 7384]]
['breast', [8036, 8042]]
['breast', [8161, 8167]]
['breast', [11092, 11098]]
['breast', [11750, 11756]]
['breast', [11875, 11881]]
['breast', [12478, 12484]]
['breast', [12909, 12915]]
['breast', [14071, 14077]]
['breast', [14196, 14202]]
['breast', [14528, 14534]]
['breast', [14653, 14659]]
['breast', [15506, 15512]]
['breast', [15916, 15922]]
['breast', [16352, 16358]]
['breast', [16802, 16808]]
['breast', [16959, 16965]]
['breast', [17090, 17096]]
['breast', [20615, 20621]]
['breast', [21025, 21031]]
['breast', [21461, 21467]]
['breast', [21911, 21917]]
['breast', [22068, 22074]]
['breast', [22199, 22205]]
['cells', [790, 795]]
['cells', [16977, 16982]]
['cells', [17535, 17540]]
['cells', [17826, 17831]]
['cells', [17954, 17959]]
['cells', [22086, 22091]]
['cells', [22644, 22649]]
['cells', [22935, 22940]]
['cells', [23063, 23068]]
['women', [305, 310]]
['women', [469, 474]]
['women', [939, 944]]
['women', [1021, 1026]]
['women', [1725, 1730]]
['women', [3053, 3058]]
['women', [4811, 4816]]
['women', [4868, 4873]]
['women', [5357, 5362]]
['women', [5449, 5454]]
['women', [6227, 6232]]
['women', [6279, 6284]]
['women', [6533, 6538]]
['women', [6820, 6825]]
['women', [7682, 7687]]
['women', [7936, 7941]]
['women', [8098, 8103]]
['women', [8141, 8146]]
['women', [8525, 8530]]
['women', [8582, 8587]]
['women', [9071, 9076]]
['women', [9163, 9168]]
['women', [9941, 9946]]
['women', [9993, 9998]]
['women', [10247, 10252]]
['women', [10534, 10539]]
['women', [11396, 11401]]
['women', [11650, 11655]]
['women', [11812, 11817]]
['women', [11855, 11860]]
['women', [13214, 13219]]
['women', [13427, 13432]]
['women', [13682, 13687]]
['women', [13970, 13975]]
['women', [14133, 14138]]
['women', [14176, 14181]]
['women', [14590, 14595]]
['women', [14633, 14638]]
['women', [14999, 15004]]
['women', [15841, 15846]]
['women', [18159, 18164]]
['women', [20108, 20113]]
['women', [20950, 20955]]
['women', [23268, 23273]]
['women', [26949, 26954]]
['39', [4874, 4876]]
['39', [8588, 8590]]
['table', [4175, 4180]]
['table', [4744, 4749]]
