genia tagger: 8511['gks', [575, 578]]
['gks', [17018, 17021]]
['gks', [20343, 20346]]
['gks', [20492, 20495]]
['gks', [20643, 20646]]
['gks', [20668, 20671]]
['gks', [20835, 20838]]
['gks', [21042, 21045]]
['gks', [21472, 21475]]
['gks', [25620, 25623]]
['gks', [29218, 29221]]
['gks', [29367, 29370]]
['gks', [29518, 29521]]
['gks', [29543, 29546]]
['gks', [29710, 29713]]
['gks', [29917, 29920]]
['gks', [30347, 30350]]
['gks', [35215, 35218]]
['gks', [35364, 35367]]
['gks', [35515, 35518]]
['gks', [35540, 35543]]
['gks', [35707, 35710]]
['gks', [35914, 35917]]
['gks', [36344, 36347]]
['gks', [37243, 37246]]
['gks', [37392, 37395]]
['gks', [37543, 37546]]
['gks', [37568, 37571]]
['gks', [37735, 37738]]
['gks', [37942, 37945]]
['gks', [38372, 38375]]
['gks', [45507, 45510]]
['gks', [47126, 47129]]
['gks', [47324, 47327]]
['gks', [47383, 47386]]
['gks', [48026, 48029]]
['gks', [48380, 48383]]
['gks', [48415, 48418]]
['gks', [48592, 48595]]
['gks', [48723, 48726]]
['gks', [48886, 48889]]
['gks', [48961, 48964]]
['gks', [49391, 49394]]
['gks', [49664, 49667]]
['gks', [49735, 49738]]
['gks', [49918, 49921]]
['gks', [50401, 50404]]
['gks', [50543, 50546]]
['gks', [50625, 50628]]
['gks', [50956, 50959]]
['gks', [51319, 51322]]
['gks', [52561, 52564]]
['gks', [52690, 52693]]
['gks', [52750, 52753]]
['gks', [53049, 53052]]
['gks', [53122, 53125]]
['gks', [53958, 53961]]
['gks', [54156, 54159]]
['gks', [54215, 54218]]
['gks', [54858, 54861]]
['gks', [55212, 55215]]
['gks', [55247, 55250]]
['gks', [55424, 55427]]
['gks', [55555, 55558]]
['gks', [55718, 55721]]
['gks', [55793, 55796]]
['gks', [56223, 56226]]
['gks', [56496, 56499]]
['gks', [56567, 56570]]
['gks', [56750, 56753]]
['gks', [57233, 57236]]
['gks', [57375, 57378]]
['gks', [57457, 57460]]
['gks', [57788, 57791]]
['gks', [58151, 58154]]
['gks', [59393, 59396]]
['gks', [59522, 59525]]
['gks', [59582, 59585]]
['gks', [59881, 59884]]
['gks', [59954, 59957]]
['gks', [61422, 61425]]
['gks', [61620, 61623]]
['gks', [61679, 61682]]
['gks', [62322, 62325]]
['gks', [62676, 62679]]
['gks', [62711, 62714]]
['gks', [62888, 62891]]
['gks', [63019, 63022]]
['gks', [63182, 63185]]
['gks', [63257, 63260]]
['gks', [63540, 63543]]
['gks', [63738, 63741]]
['gks', [63797, 63800]]
['gks', [64440, 64443]]
['gks', [64794, 64797]]
['gks', [64829, 64832]]
['gks', [65006, 65009]]
['gks', [65137, 65140]]
['gks', [65300, 65303]]
['gks', [65375, 65378]]
['gks', [65806, 65809]]
['gks', [66079, 66082]]
['gks', [66150, 66153]]
['gks', [66333, 66336]]
['gks', [66816, 66819]]
['gks', [66958, 66961]]
['gks', [67040, 67043]]
['gks', [67371, 67374]]
['gks', [67734, 67737]]
['gks', [68976, 68979]]
['gks', [69105, 69108]]
['gks', [69165, 69168]]
['gks', [69464, 69467]]
['gks', [69537, 69540]]
['gks', [69875, 69878]]
['gks', [70148, 70151]]
['gks', [70219, 70222]]
['gks', [70402, 70405]]
['gks', [70885, 70888]]
['gks', [71027, 71030]]
['gks', [71109, 71112]]
['gks', [71440, 71443]]
['gks', [71803, 71806]]
['gks', [73045, 73048]]
['gks', [73174, 73177]]
['gks', [73234, 73237]]
['gks', [73533, 73536]]
['gks', [73606, 73609]]
['gks', [74210, 74213]]
['gks', [77064, 77067]]
['gks', [83058, 83061]]
['gks', [85912, 85915]]
['tcks', [619, 623]]
['tcks', [17062, 17066]]
['tcks', [19545, 19549]]
['tcks', [19694, 19698]]
['tcks', [19846, 19850]]
['tcks', [19872, 19876]]
['tcks', [20135, 20139]]
['tcks', [25584, 25588]]
['tcks', [28420, 28424]]
['tcks', [28569, 28573]]
['tcks', [28721, 28725]]
['tcks', [28747, 28751]]
['tcks', [29010, 29014]]
['tcks', [34417, 34421]]
['tcks', [34566, 34570]]
['tcks', [34718, 34722]]
['tcks', [34744, 34748]]
['tcks', [35007, 35011]]
['tcks', [36444, 36448]]
['tcks', [36593, 36597]]
['tcks', [36745, 36749]]
['tcks', [36771, 36775]]
['tcks', [37034, 37038]]
['tcks', [45471, 45475]]
['tcks', [47097, 47101]]
['tcks', [47259, 47263]]
['tcks', [47374, 47378]]
['tcks', [47585, 47589]]
['tcks', [48012, 48016]]
['tcks', [48061, 48065]]
['tcks', [48257, 48261]]
['tcks', [48371, 48375]]
['tcks', [48434, 48438]]
['tcks', [48502, 48506]]
['tcks', [48877, 48881]]
['tcks', [48952, 48956]]
['tcks', [49358, 49362]]
['tcks', [49655, 49659]]
['tcks', [49726, 49730]]
['tcks', [49898, 49902]]
['tcks', [50392, 50396]]
['tcks', [50535, 50539]]
['tcks', [50676, 50680]]
['tcks', [50743, 50747]]
['tcks', [50816, 50820]]
['tcks', [51214, 51218]]
['tcks', [51728, 51732]]
['tcks', [51821, 51825]]
['tcks', [52078, 52082]]
['tcks', [52163, 52167]]
['tcks', [53040, 53044]]
['tcks', [53929, 53933]]
['tcks', [54091, 54095]]
['tcks', [54206, 54210]]
['tcks', [54417, 54421]]
['tcks', [54844, 54848]]
['tcks', [54893, 54897]]
['tcks', [55089, 55093]]
['tcks', [55203, 55207]]
['tcks', [55266, 55270]]
['tcks', [55334, 55338]]
['tcks', [55709, 55713]]
['tcks', [55784, 55788]]
['tcks', [56190, 56194]]
['tcks', [56487, 56491]]
['tcks', [56558, 56562]]
['tcks', [56730, 56734]]
['tcks', [57224, 57228]]
['tcks', [57367, 57371]]
['tcks', [57508, 57512]]
['tcks', [57575, 57579]]
['tcks', [57648, 57652]]
['tcks', [58046, 58050]]
['tcks', [58560, 58564]]
['tcks', [58653, 58657]]
['tcks', [58910, 58914]]
['tcks', [58995, 58999]]
['tcks', [59872, 59876]]
['tcks', [61393, 61397]]
['tcks', [61555, 61559]]
['tcks', [61670, 61674]]
['tcks', [61881, 61885]]
['tcks', [62308, 62312]]
['tcks', [62357, 62361]]
['tcks', [62553, 62557]]
['tcks', [62667, 62671]]
['tcks', [62730, 62734]]
['tcks', [62798, 62802]]
['tcks', [63173, 63177]]
['tcks', [63248, 63252]]
['tcks', [63511, 63515]]
