genia tagger: 3471['necrostatin-1', [0, 13]]
['necrostatin-1', [242, 255]]
['necrostatin-1', [542, 555]]
['necrostatin-1', [712, 725]]
['necrostatin-1', [1190, 1203]]
['necrostatin-1', [1339, 1352]]
['necrostatin-1', [1363, 1376]]
['necrostatin-1', [1668, 1681]]
['necrostatin-1', [2947, 2960]]
['necrostatin-1', [3162, 3175]]
['necrostatin-1', [3544, 3557]]
['necrostatin-1', [3672, 3685]]
['necrostatin-1', [3926, 3939]]
['necrostatin-1', [5415, 5428]]
['necrostatin-1', [5557, 5570]]
['necrostatin-1', [5859, 5872]]
['necrostatin-1', [16497, 16510]]
['necrostatin-1', [16639, 16652]]
['necrostatin-1', [16941, 16954]]
['necrostatin-1', [26513, 26526]]
['necrostatin-1', [26610, 26623]]
['necrostatin-1', [26695, 26708]]
['necrostatin-1', [26775, 26788]]
['necrostatin-1', [26984, 26997]]
['necrostatin-1', [27149, 27162]]
['necrostatin-1', [27221, 27234]]
['necrostatin-1', [27392, 27405]]
['necrostatin-1', [27492, 27505]]
['necrostatin-1', [27588, 27601]]
['necrostatin-1', [27865, 27878]]
['necrostatin-1', [28020, 28033]]
['necrostatin-1', [28155, 28168]]
['necrostatin-1', [28302, 28315]]
['necrostatin-1', [28406, 28419]]
['necrostatin-1', [28502, 28515]]
['necrostatin-1', [28758, 28771]]
['necrostatin-1', [28891, 28904]]
['necrostatin-1', [29082, 29095]]
['necrostatin-1', [29162, 29175]]
['necrostatin-1', [29418, 29431]]
['necrostatin-1', [29672, 29685]]
['necrostatin-1', [29819, 29832]]
['necrostatin-1', [30089, 30102]]
['necrostatin-1', [30281, 30294]]
['necrostatin-1', [30628, 30641]]
['necrostatin-1', [30951, 30964]]
['necrostatin-1', [31005, 31018]]
['necrostatin-1', [31099, 31112]]
['necrostatin-1', [31287, 31300]]
['necrostatin-1', [31568, 31581]]
['necrostatin-1', [31607, 31620]]
['necrostatin-1', [31940, 31953]]
['necrostatin-1', [32037, 32050]]
['necrostatin-1', [32122, 32135]]
['necrostatin-1', [32202, 32215]]
['necrostatin-1', [32411, 32424]]
['necrostatin-1', [32576, 32589]]
['necrostatin-1', [32648, 32661]]
['necrostatin-1', [32819, 32832]]
['necrostatin-1', [32919, 32932]]
['necrostatin-1', [33015, 33028]]
['necrostatin-1', [33292, 33305]]
['necrostatin-1', [33447, 33460]]
['necrostatin-1', [33582, 33595]]
['necrostatin-1', [33729, 33742]]
['necrostatin-1', [33833, 33846]]
['necrostatin-1', [33929, 33942]]
['necrostatin-1', [34185, 34198]]
['necrostatin-1', [34318, 34331]]
['necrostatin-1', [34509, 34522]]
['necrostatin-1', [34589, 34602]]
['necrostatin-1', [34845, 34858]]
['necrostatin-1', [35099, 35112]]
['necrostatin-1', [35246, 35259]]
['necrostatin-1', [35516, 35529]]
['necrostatin-1', [35708, 35721]]
['necrostatin-1', [36055, 36068]]
['necrostatin-1', [36378, 36391]]
['necrostatin-1', [36432, 36445]]
['necrostatin-1', [36526, 36539]]
['necrostatin-1', [36714, 36727]]
['necrostatin-1', [36995, 37008]]
['necrostatin-1', [37034, 37047]]
['necrostatin-1', [37279, 37292]]
['necrostatin-1', [37364, 37377]]
['necrostatin-1', [37444, 37457]]
['necrostatin-1', [37653, 37666]]
['necrostatin-1', [37818, 37831]]
['necrostatin-1', [37890, 37903]]
['necrostatin-1', [38061, 38074]]
['necrostatin-1', [38162, 38175]]
['necrostatin-1', [38247, 38260]]
['necrostatin-1', [38327, 38340]]
['necrostatin-1', [38536, 38549]]
['necrostatin-1', [38701, 38714]]
['necrostatin-1', [38773, 38786]]
['necrostatin-1', [38944, 38957]]
['necrostatin-1', [39045, 39058]]
['necrostatin-1', [39141, 39154]]
['necrostatin-1', [39418, 39431]]
['necrostatin-1', [39573, 39586]]
['necrostatin-1', [39708, 39721]]
['necrostatin-1', [39772, 39785]]
['necrostatin-1', [39868, 39881]]
['necrostatin-1', [40145, 40158]]
['necrostatin-1', [40300, 40313]]
['necrostatin-1', [40435, 40448]]
['necrostatin-1', [40583, 40596]]
['necrostatin-1', [40687, 40700]]
['necrostatin-1', [40783, 40796]]
['necrostatin-1', [41039, 41052]]
['necrostatin-1', [41172, 41185]]
['necrostatin-1', [41363, 41376]]
['necrostatin-1', [41443, 41456]]
['necrostatin-1', [41699, 41712]]
['necrostatin-1', [41953, 41966]]
['necrostatin-1', [42185, 42198]]
['necrostatin-1', [42289, 42302]]
['necrostatin-1', [42385, 42398]]
['necrostatin-1', [42641, 42654]]
['necrostatin-1', [42774, 42787]]
['necrostatin-1', [42965, 42978]]
['necrostatin-1', [43045, 43058]]
['necrostatin-1', [43301, 43314]]
['necrostatin-1', [43555, 43568]]
['necrostatin-1', [43703, 43716]]
['necrostatin-1', [43973, 43986]]
['necrostatin-1', [44165, 44178]]
['necrostatin-1', [44512, 44525]]
['necrostatin-1', [44835, 44848]]
['necrostatin-1', [44890, 44903]]
['necrostatin-1', [45160, 45173]]
['necrostatin-1', [45352, 45365]]
['necrostatin-1', [45699, 45712]]
['necrostatin-1', [46022, 46035]]
['necrostatin-1', [46077, 46090]]
['necrostatin-1', [46171, 46184]]
['necrostatin-1', [46359, 46372]]
['necrostatin-1', [46640, 46653]]
['necrostatin-1', [46679, 46692]]
['necrostatin-1', [46924, 46937]]
['necrostatin-1', [47018, 47031]]
['necrostatin-1', [47206, 47219]]
['necrostatin-1', [47487, 47500]]
['necrostatin-1', [47526, 47539]]
['necrostatin-1', [47906, 47919]]
['necrostatin-1', [48365, 48378]]
['necrostatin-1', [48435, 48448]]
['necrostatin-1', [48488, 48501]]
['necrostatin-1', [48783, 48796]]
['necrostatin-1', [48874, 48887]]
['necrostatin-1', [49031, 49044]]
['necrostatin-1', [49288, 49301]]
['necrostatin-1', [49561, 49574]]
['necrostatin-1', [49734, 49747]]
['necrostatin-1', [49816, 49829]]
['necrostatin-1', [50091, 50104]]
['necrostatin-1', [50437, 50450]]
