genia tagger: 5674['hhrh', [225, 229]]
['hhrh', [382, 386]]
['hhrh', [1804, 1808]]
['hhrh', [3735, 3739]]
['hhrh', [3839, 3843]]
['hhrh', [3971, 3975]]
['hhrh', [4533, 4537]]
['hhrh', [5193, 5197]]
['hhrh', [5399, 5403]]
['hhrh', [5620, 5624]]
['hhrh', [5791, 5795]]
['hhrh', [6517, 6521]]
['hhrh', [6659, 6663]]
['hhrh', [6875, 6879]]
['hhrh', [20220, 20224]]
['hhrh', [22771, 22775]]
['hhrh', [23609, 23613]]
['hhrh', [25571, 25575]]
['hhrh', [28494, 28498]]
['hhrh', [31045, 31049]]
['hhrh', [31883, 31887]]
['hhrh', [33845, 33849]]
['hhrh', [33985, 33989]]
['hhrh', [34214, 34218]]
['hhrh', [34415, 34419]]
['hhrh', [35052, 35056]]
['hhrh', [35552, 35556]]
['hhrh', [36505, 36509]]
['hhrh', [36806, 36810]]
['hhrh', [37690, 37694]]
['hhrh', [37892, 37896]]
['hhrh', [38378, 38382]]
['hhrh', [38669, 38673]]
['hhrh', [39610, 39614]]
['hhrh', [39819, 39823]]
['hhrh', [40044, 40048]]
['hhrh', [40293, 40297]]
['hhrh', [40398, 40402]]
['hhrh', [40443, 40447]]
['hhrh', [40554, 40558]]
['hhrh', [40783, 40787]]
['hhrh', [40984, 40988]]
['hhrh', [41621, 41625]]
['hhrh', [42121, 42125]]
['hhrh', [43074, 43078]]
['hhrh', [43375, 43379]]
['hhrh', [44259, 44263]]
['hhrh', [44461, 44465]]
['hhrh', [44947, 44951]]
['hhrh', [45238, 45242]]
['hhrh', [46179, 46183]]
['hhrh', [46388, 46392]]
['hhrh', [46613, 46617]]
['hhrh', [46862, 46866]]
['hhrh', [46967, 46971]]
['hhrh', [47012, 47016]]
['slc34a3', [64, 71]]
['slc34a3', [257, 264]]
['slc34a3', [1195, 1202]]
['slc34a3', [1746, 1753]]
['slc34a3', [4398, 4405]]
['slc34a3', [7482, 7489]]
['slc34a3', [7559, 7566]]
['slc34a3', [12696, 12703]]
['slc34a3', [12773, 12780]]
['slc34a3', [34040, 34047]]
['slc34a3', [40609, 40616]]
['ii-4', [581, 585]]
['ii-4', [1119, 1123]]
['ii-4', [1299, 1303]]
['ii-4', [6997, 7001]]
['ii-4', [7590, 7594]]
['ii-4', [12210, 12214]]
['ii-4', [12804, 12808]]
['ii-4', [17356, 17360]]
['ii-4', [18370, 18374]]
['ii-4', [22889, 22893]]
['ii-4', [25630, 25634]]
['ii-4', [26644, 26648]]
['ii-4', [31163, 31167]]
['ii-4', [35313, 35317]]
['ii-4', [35447, 35451]]
['ii-4', [36223, 36227]]
['ii-4', [37995, 37999]]
['ii-4', [38296, 38300]]
['ii-4', [38411, 38415]]
['ii-4', [38949, 38953]]
['ii-4', [39188, 39192]]
['ii-4', [40127, 40131]]
['ii-4', [41882, 41886]]
['ii-4', [42016, 42020]]
['ii-4', [42792, 42796]]
['ii-4', [44564, 44568]]
['ii-4', [44865, 44869]]
['ii-4', [44980, 44984]]
['ii-4', [45518, 45522]]
['ii-4', [45757, 45761]]
['ii-4', [46696, 46700]]
['ii-6', [850, 854]]
['ii-6', [1128, 1132]]
['ii-6', [1311, 1315]]
['ii-6', [23349, 23353]]
['ii-6', [23570, 23574]]
['ii-6', [31623, 31627]]
['ii-6', [31844, 31848]]
['ii-6', [35081, 35085]]
['ii-6', [35322, 35326]]
['ii-6', [35456, 35460]]
['ii-6', [36531, 36535]]
['ii-6', [37441, 37445]]
['ii-6', [37806, 37810]]
['ii-6', [38420, 38424]]
['ii-6', [39197, 39201]]
['ii-6', [41650, 41654]]
['ii-6', [41891, 41895]]
['ii-6', [42025, 42029]]
['ii-6', [43100, 43104]]
['ii-6', [44010, 44014]]
['ii-6', [44375, 44379]]
['ii-6', [44989, 44993]]
['ii-6', [45766, 45770]]
['p\\.g196r', [1183, 1191]]
['p\\.g196r', [6426, 6434]]
['p\\.g196r', [8010, 8018]]
['p\\.g196r', [13224, 13232]]
['p\\.g196r', [22704, 22712]]
['p\\.g196r', [22963, 22971]]
['p\\.g196r', [23374, 23382]]
['p\\.g196r', [25597, 25605]]
['p\\.g196r', [30978, 30986]]
['p\\.g196r', [31237, 31245]]
['p\\.g196r', [31648, 31656]]
['p\\.g196r', [33871, 33879]]
['p\\.g196r', [34071, 34079]]
['p\\.g196r', [34190, 34198]]
['p\\.g196r', [34327, 34335]]
['p\\.g196r', [34596, 34604]]
['p\\.g196r', [35517, 35525]]
['p\\.g196r', [36101, 36109]]
['p\\.g196r', [37178, 37186]]
['p\\.g196r', [39571, 39579]]
['p\\.g196r', [40640, 40648]]
['p\\.g196r', [40759, 40767]]
['p\\.g196r', [40896, 40904]]
['p\\.g196r', [41165, 41173]]
['p\\.g196r', [42086, 42094]]
['p\\.g196r', [42670, 42678]]
['p\\.g196r', [43747, 43755]]
['p\\.g196r', [46140, 46148]]
['g196r', [1185, 1190]]
['g196r', [1737, 1742]]
['g196r', [6428, 6433]]
['g196r', [8012, 8017]]
