genia tagger: 1205['tsb', [227, 230]]
['tsb', [261, 264]]
['tsb', [479, 482]]
['tsb', [547, 550]]
['tsb', [707, 710]]
['tsb', [1288, 1291]]
['tsb', [1408, 1411]]
['tsb', [1452, 1455]]
['tsb', [1533, 1536]]
['tsb', [2087, 2090]]
['tsb', [2174, 2177]]
['tsb', [2222, 2225]]
['tsb', [2268, 2271]]
['tsb', [2312, 2315]]
['tsb', [2395, 2398]]
['tsb', [2428, 2431]]
['tsb', [2467, 2470]]
['tsb', [2580, 2583]]
['tsb', [3043, 3046]]
['tsb', [3079, 3082]]
['tsb', [3351, 3354]]
['tsb', [3937, 3940]]
['tsb', [4162, 4165]]
['tsb', [4820, 4823]]
['tsb', [4904, 4907]]
['tsb', [5724, 5727]]
['tsb', [5795, 5798]]
['tsb', [6109, 6112]]
['tsb', [6131, 6134]]
['tsb', [6155, 6158]]
['tsb', [6225, 6228]]
['tsb', [6243, 6246]]
['tsb', [6286, 6289]]
['tsb', [6494, 6497]]
['tsb', [6514, 6517]]
['tsb', [6629, 6632]]
['tsb', [7120, 7123]]
['tsb', [7263, 7266]]
['tsb', [7468, 7471]]
['tsb', [8782, 8785]]
['tsb', [8869, 8872]]
['tsb', [8917, 8920]]
['tsb', [8963, 8966]]
['tsb', [9007, 9010]]
['tsb', [9090, 9093]]
['tsb', [9123, 9126]]
['tsb', [9162, 9165]]
['tsb', [9275, 9278]]
['tsb', [9738, 9741]]
['tsb', [9774, 9777]]
['tsb', [10046, 10049]]
['tsb', [10632, 10635]]
['tsb', [10858, 10861]]
['tsb', [11516, 11519]]
['tsb', [11600, 11603]]
['tsb', [12420, 12423]]
['tsb', [12491, 12494]]
['tsb', [12805, 12808]]
['tsb', [12827, 12830]]
['tsb', [12851, 12854]]
['tsb', [12921, 12924]]
['tsb', [12939, 12942]]
['tsb', [12982, 12985]]
['tsb', [13190, 13193]]
['tsb', [13210, 13213]]
['tsb', [13325, 13328]]
['tsb', [13817, 13820]]
['tsb', [13960, 13963]]
['tsb', [14165, 14168]]
['tsb', [14979, 14982]]
['tsb', [15064, 15067]]
['tsb', [15109, 15112]]
['tsb', [15136, 15139]]
['tsb', [15195, 15198]]
['tsb', [15501, 15504]]
['tsb', [15900, 15903]]
['tsb', [16099, 16102]]
['tsb', [16811, 16814]]
['tsb', [16871, 16874]]
['tsb', [16942, 16945]]
['tsb', [17578, 17581]]
['tsb', [17615, 17618]]
['tsb', [17856, 17859]]
['tsb', [18303, 18306]]
['tsb', [18841, 18844]]
['tsb', [19068, 19071]]
['tsb', [19158, 19161]]
['tsb', [19243, 19246]]
['tsb', [19288, 19291]]
['tsb', [19315, 19318]]
['tsb', [19374, 19377]]
['tsb', [19680, 19683]]
['tsb', [20079, 20082]]
['tsb', [20278, 20281]]
['tsb', [20990, 20993]]
['tsb', [21050, 21053]]
['tsb', [21121, 21124]]
['tsb', [21757, 21760]]
['tsb', [21794, 21797]]
['tsb', [22035, 22038]]
['tsb', [22482, 22485]]
['tsb', [23020, 23023]]
['tsb', [23247, 23250]]
['tsb', [23436, 23439]]
['tsb', [23542, 23545]]
['tsb', [23974, 23977]]
['tsb', [24083, 24086]]
['tsb', [24203, 24206]]
['tsb', [24414, 24417]]
['tsb', [24526, 24529]]
['tsb', [25560, 25563]]
['tsb', [25829, 25832]]
['tsb', [25890, 25893]]
['tsb', [26012, 26015]]
['tsb', [26047, 26050]]
['tsb', [26271, 26274]]
['tsb', [26790, 26793]]
['tsb', [26809, 26812]]
['tsb', [26947, 26950]]
['tsb', [27179, 27182]]
['tsb', [27707, 27710]]
['tsb', [27860, 27863]]
['tsb', [28014, 28017]]
['tsb', [28056, 28059]]
['tsb', [28279, 28282]]
['tsb', [28774, 28777]]
['tsb', [28943, 28946]]
['tsb', [29464, 29467]]
['tsb', [29864, 29867]]
