genia tagger: 8221['cap', [230, 233]]
['cap', [404, 407]]
['cap', [515, 518]]
['cap', [1052, 1055]]
['cap', [1685, 1688]]
['cap', [1875, 1878]]
['cap', [2099, 2102]]
['cap', [2284, 2287]]
['cap', [2550, 2553]]
['cap', [2855, 2858]]
['cap', [2997, 3000]]
['cap', [3306, 3309]]
['cap', [3452, 3455]]
['cap', [4037, 4040]]
['cap', [4288, 4291]]
['cap', [4409, 4412]]
['cap', [4977, 4980]]
['cap', [5666, 5669]]
['cap', [6120, 6123]]
['cap', [7345, 7348]]
['cap', [8117, 8120]]
['cap', [8572, 8575]]
['cap', [9797, 9800]]
['cap', [10590, 10593]]
['cap', [11818, 11821]]
['cap', [13350, 13353]]
['cap', [13888, 13891]]
['cap', [14522, 14525]]
['cap', [16552, 16555]]
['cap', [17060, 17063]]
['cap', [17537, 17540]]
['cap', [17991, 17994]]
['cap', [19216, 19219]]
['cap', [22500, 22503]]
['cap', [23008, 23011]]
['cap', [23385, 23388]]
['cap', [25508, 25511]]
['cap', [27517, 27520]]
['cap', [27625, 27628]]
['cap', [27915, 27918]]
['cap', [29473, 29476]]
['cap', [29595, 29598]]
['cap', [29865, 29868]]
['cap', [30913, 30916]]
['cap', [31630, 31633]]
['cap', [33612, 33615]]
['cap', [33970, 33973]]
['cap', [34135, 34138]]
['cap', [35025, 35028]]
['cap', [35764, 35767]]
['cap', [36838, 36841]]
['cap', [37019, 37022]]
['cap', [37127, 37130]]
['cap', [37417, 37420]]
['cap', [38975, 38978]]
['cap', [39097, 39100]]
['cap', [39367, 39370]]
['cap', [40415, 40418]]
['cap', [41132, 41135]]
['cap', [43114, 43117]]
['cap', [43472, 43475]]
['cap', [43637, 43640]]
['cap', [44527, 44530]]
['cap', [45266, 45269]]
['cap', [46340, 46343]]
['cap', [47318, 47321]]
['rp', [90, 92]]
['rp', [259, 261]]
['rp', [1119, 1121]]
['rp', [1212, 1214]]
['rp', [1518, 1520]]
['rp', [2322, 2324]]
['rp', [3160, 3162]]
['rp', [4675, 4677]]
['rp', [5975, 5977]]
['rp', [6270, 6272]]
['rp', [8427, 8429]]
['rp', [8722, 8724]]
['rp', [10445, 10447]]
['rp', [10740, 10742]]
['rp', [13955, 13957]]
['rp', [14048, 14050]]
['rp', [14355, 14357]]
['rp', [17846, 17848]]
['rp', [18141, 18143]]
['rp', [23720, 23722]]
['rp', [23987, 23989]]
['rp', [24292, 24294]]
['rp', [25843, 25845]]
['rp', [26110, 26112]]
['rp', [26415, 26417]]
['rp', [27750, 27752]]
['rp', [28257, 28259]]
['rp', [28700, 28702]]
['rp', [28894, 28896]]
['rp', [29167, 29169]]
['rp', [29183, 29185]]
['rp', [29290, 29292]]
['rp', [29304, 29306]]
['rp', [29654, 29656]]
['rp', [30991, 30993]]
['rp', [32649, 32651]]
['rp', [35030, 35032]]
['rp', [35126, 35128]]
['rp', [35418, 35420]]
['rp', [35477, 35479]]
['rp', [35961, 35963]]
['rp', [36214, 36216]]
['rp', [36950, 36952]]
['rp', [37252, 37254]]
['rp', [37759, 37761]]
['rp', [38202, 38204]]
['rp', [38396, 38398]]
['rp', [38669, 38671]]
['rp', [38685, 38687]]
['rp', [38792, 38794]]
['rp', [38806, 38808]]
['rp', [39156, 39158]]
['rp', [40493, 40495]]
['rp', [42151, 42153]]
['rp', [44532, 44534]]
['rp', [44628, 44630]]
['rp', [44920, 44922]]
['rp', [44979, 44981]]
['rp', [45463, 45465]]
['rp', [45716, 45718]]
['rp', [46452, 46454]]
['rp', [46631, 46633]]
['rp', [47429, 47431]]
['rp', [48309, 48311]]
['rp', [48324, 48326]]
['rp', [49196, 49198]]
['rp', [49449, 49451]]
['rp', [49511, 49513]]
