genia tagger: 19416['prostate-derived', [0, 16]]
['prostate-derived', [155, 171]]
['ets', [17, 20]]
['ets', [172, 175]]
['ets', [60563, 60566]]
['ets', [60633, 60636]]
['ets', [60875, 60878]]
['ets', [62910, 62913]]
['ets', [63615, 63618]]
['ets', [63894, 63897]]
['ets', [64086, 64089]]
['ets', [66243, 66246]]
['ets', [66313, 66316]]
['ets', [66555, 66558]]
['ets', [68590, 68593]]
['ets', [69295, 69298]]
['ets', [69574, 69577]]
['ets', [69766, 69769]]
['transcription', [21, 34]]
['transcription', [176, 189]]
['transcription', [9791, 9804]]
['transcription', [9900, 9913]]
['transcription', [26842, 26855]]
['transcription', [26951, 26964]]
['transcription', [60644, 60657]]
['transcription', [60675, 60688]]
['transcription', [63619, 63632]]
['transcription', [64090, 64103]]
['transcription', [64264, 64277]]
['transcription', [64484, 64497]]
['transcription', [66324, 66337]]
['transcription', [66355, 66368]]
['transcription', [69299, 69312]]
['transcription', [69770, 69783]]
['transcription', [69944, 69957]]
['transcription', [70164, 70177]]
['factor', [35, 41]]
['factor', [190, 196]]
['factor', [60658, 60664]]
['factor', [63633, 63639]]
['factor', [64104, 64110]]
['factor', [64278, 64284]]
['factor', [66338, 66344]]
['factor', [69313, 69319]]
['factor', [69784, 69790]]
['factor', [69958, 69964]]
['favorable', [47, 56]]
['favorable', [421, 430]]
['favorable', [61985, 61994]]
['favorable', [65628, 65637]]
['favorable', [67665, 67674]]
['favorable', [71308, 71317]]
['prognostic', [57, 67]]
['prognostic', [62655, 62665]]
['prognostic', [65638, 65648]]
['prognostic', [68335, 68345]]
['prognostic', [71318, 71328]]
['marker', [68, 74]]
['marker', [60567, 60573]]
['marker', [62666, 62672]]
['marker', [65649, 65655]]
['marker', [66247, 66253]]
['marker', [68346, 68352]]
['marker', [71329, 71335]]
['pdef', [198, 202]]
['pdef', [234, 238]]
['pdef', [348, 352]]
['pdef', [598, 602]]
['pdef', [767, 771]]
['pdef', [895, 899]]
['pdef', [987, 991]]
['pdef', [1064, 1068]]
['pdef', [1072, 1076]]
['pdef', [1328, 1332]]
['pdef', [1537, 1541]]
['pdef', [1595, 1599]]
['pdef', [3631, 3635]]
['pdef', [5035, 5039]]
['pdef', [6066, 6070]]
['pdef', [6575, 6579]]
['pdef', [7073, 7077]]
['pdef', [8515, 8519]]
['pdef', [8811, 8815]]
['pdef', [9203, 9207]]
['pdef', [9349, 9353]]
['pdef', [10340, 10344]]
['pdef', [10346, 10350]]
['pdef', [10531, 10535]]
['pdef', [10982, 10986]]
['pdef', [11265, 11269]]
['pdef', [11341, 11345]]
['pdef', [11358, 11362]]
['pdef', [11402, 11406]]
['pdef', [11507, 11511]]
['pdef', [11604, 11608]]
['pdef', [11657, 11661]]
['pdef', [11882, 11886]]
['pdef', [12225, 12229]]
['pdef', [12315, 12319]]
['pdef', [12366, 12370]]
['pdef', [14613, 14617]]
['pdef', [14970, 14974]]
['pdef', [15003, 15007]]
['pdef', [15216, 15220]]
['pdef', [16671, 16675]]
['pdef', [17971, 17975]]
['pdef', [18091, 18095]]
['pdef', [18224, 18228]]
['pdef', [18681, 18685]]
['pdef', [18735, 18739]]
['pdef', [20678, 20682]]
['pdef', [22083, 22087]]
['pdef', [23115, 23119]]
['pdef', [23624, 23628]]
['pdef', [24122, 24126]]
['pdef', [25565, 25569]]
['pdef', [25861, 25865]]
['pdef', [26254, 26258]]
['pdef', [26400, 26404]]
['pdef', [27391, 27395]]
['pdef', [27397, 27401]]
['pdef', [27582, 27586]]
['pdef', [28033, 28037]]
['pdef', [28316, 28320]]
['pdef', [28392, 28396]]
['pdef', [28409, 28413]]
['pdef', [28453, 28457]]
['pdef', [28558, 28562]]
['pdef', [28656, 28660]]
['pdef', [28709, 28713]]
['pdef', [28934, 28938]]
['pdef', [29277, 29281]]
['pdef', [29367, 29371]]
['pdef', [29418, 29422]]
['pdef', [31668, 31672]]
['pdef', [32025, 32029]]
['pdef', [32058, 32062]]
['pdef', [32271, 32275]]
['pdef', [33727, 33731]]
['pdef', [35028, 35032]]
['pdef', [35148, 35152]]
['pdef', [35281, 35285]]
['pdef', [35739, 35743]]
['pdef', [35793, 35797]]
['pdef', [35860, 35864]]
['pdef', [35982, 35986]]
['pdef', [36172, 36176]]
['pdef', [36402, 36406]]
['pdef', [36519, 36523]]
['pdef', [36732, 36736]]
['pdef', [36942, 36946]]
['pdef', [37001, 37005]]
['pdef', [37084, 37088]]
['pdef', [37227, 37231]]
['pdef', [37435, 37439]]
['pdef', [37566, 37570]]
['pdef', [37704, 37708]]
['pdef', [37848, 37852]]
['pdef', [37922, 37926]]
['pdef', [38049, 38053]]
['pdef', [38086, 38090]]
['pdef', [38142, 38146]]
['pdef', [38392, 38396]]
['pdef', [38412, 38416]]
['pdef', [38496, 38500]]
['pdef', [38564, 38568]]
['pdef', [38702, 38706]]
['pdef', [38792, 38796]]
['pdef', [38897, 38901]]
['pdef', [38983, 38987]]
['pdef', [39128, 39132]]
['pdef', [39223, 39227]]
['pdef', [39289, 39293]]
['pdef', [39309, 39313]]
['pdef', [39393, 39397]]
['pdef', [39617, 39621]]
['pdef', [39975, 39979]]
['pdef', [40049, 40053]]
['pdef', [40191, 40195]]
['pdef', [40267, 40271]]
['pdef', [40384, 40388]]
['pdef', [40852, 40856]]
['pdef', [40896, 40900]]
['pdef', [41230, 41234]]
['pdef', [41905, 41909]]
['pdef', [42027, 42031]]
['pdef', [42217, 42221]]
['pdef', [42447, 42451]]
['pdef', [42564, 42568]]
['pdef', [42777, 42781]]
['pdef', [42987, 42991]]
['pdef', [43046, 43050]]
['pdef', [43129, 43133]]
['pdef', [43272, 43276]]
['pdef', [43480, 43484]]
['pdef', [43611, 43615]]
['pdef', [43749, 43753]]
['pdef', [43893, 43897]]
['pdef', [43967, 43971]]
['pdef', [44094, 44098]]
['pdef', [44131, 44135]]
['pdef', [44187, 44191]]
['pdef', [44437, 44441]]
['pdef', [44457, 44461]]
['pdef', [44541, 44545]]
['pdef', [44609, 44613]]
['pdef', [44747, 44751]]
['pdef', [44837, 44841]]
['pdef', [44942, 44946]]
['pdef', [45028, 45032]]
['pdef', [45173, 45177]]
['pdef', [45268, 45272]]
['pdef', [45334, 45338]]
['pdef', [45354, 45358]]
['pdef', [45438, 45442]]
['pdef', [45662, 45666]]
['pdef', [46020, 46024]]
['pdef', [46094, 46098]]
['pdef', [46236, 46240]]
['pdef', [46312, 46316]]
['pdef', [46429, 46433]]
['pdef', [46897, 46901]]
['pdef', [46941, 46945]]
['pdef', [47275, 47279]]
['pdef', [47942, 47946]]
['pdef', [48064, 48068]]
['pdef', [48254, 48258]]
['pdef', [48484, 48488]]
['pdef', [48601, 48605]]
['pdef', [48814, 48818]]
['pdef', [49024, 49028]]
['pdef', [49083, 49087]]
['pdef', [49166, 49170]]
['pdef', [49309, 49313]]
['pdef', [49518, 49522]]
['pdef', [49640, 49644]]
['pdef', [49830, 49834]]
['pdef', [50060, 50064]]
['pdef', [50177, 50181]]
['pdef', [50390, 50394]]
['pdef', [50600, 50604]]
['pdef', [50659, 50663]]
['pdef', [50742, 50746]]
['pdef', [50885, 50889]]
['pdef', [51094, 51098]]
['pdef', [51225, 51229]]
['pdef', [51363, 51367]]
['pdef', [51507, 51511]]
['pdef', [51581, 51585]]
['pdef', [51708, 51712]]
['pdef', [51745, 51749]]
['pdef', [51801, 51805]]
['pdef', [52051, 52055]]
['pdef', [52071, 52075]]
['pdef', [52155, 52159]]
['pdef', [52223, 52227]]
['pdef', [52361, 52365]]
['pdef', [52451, 52455]]
['pdef', [52556, 52560]]
['pdef', [52642, 52646]]
['pdef', [52787, 52791]]
['pdef', [52882, 52886]]
['pdef', [52948, 52952]]
['pdef', [52968, 52972]]
['pdef', [53052, 53056]]
['pdef', [53276, 53280]]
['pdef', [53634, 53638]]
['pdef', [53708, 53712]]
['pdef', [53850, 53854]]
['pdef', [53926, 53930]]
['pdef', [54042, 54046]]
['pdef', [54173, 54177]]
['pdef', [54311, 54315]]
['pdef', [54455, 54459]]
['pdef', [54529, 54533]]
['pdef', [54656, 54660]]
['pdef', [54693, 54697]]
['pdef', [54749, 54753]]
['pdef', [54999, 55003]]
['pdef', [55019, 55023]]
['pdef', [55103, 55107]]
['pdef', [55171, 55175]]
['pdef', [55309, 55313]]
['pdef', [55399, 55403]]
['pdef', [55504, 55508]]
['pdef', [55590, 55594]]
['pdef', [55735, 55739]]
['pdef', [55830, 55834]]
['pdef', [55896, 55900]]
['pdef', [55916, 55920]]
['pdef', [56000, 56004]]
['pdef', [56224, 56228]]
['pdef', [56582, 56586]]
['pdef', [56656, 56660]]
['pdef', [56798, 56802]]
['pdef', [56874, 56878]]
['pdef', [56992, 56996]]
['pdef', [57460, 57464]]
['pdef', [57504, 57508]]
['pdef', [57838, 57842]]
['pdef', [58507, 58511]]
['pdef', [58975, 58979]]
['pdef', [59019, 59023]]
['pdef', [59353, 59357]]
['pdef', [60847, 60851]]
['pdef', [61032, 61036]]
['pdef', [61162, 61166]]
['pdef', [61329, 61333]]
['pdef', [61472, 61476]]
['pdef', [61604, 61608]]
['pdef', [61731, 61735]]
['pdef', [61811, 61815]]
['pdef', [61859, 61863]]
['pdef', [61922, 61926]]
['pdef', [62100, 62104]]
['pdef', [62166, 62170]]
['pdef', [62226, 62230]]
['pdef', [62597, 62601]]
['pdef', [63088, 63092]]
['pdef', [63248, 63252]]
['pdef', [63375, 63379]]
['pdef', [63467, 63471]]
['pdef', [63788, 63792]]
['pdef', [64254, 64258]]
['pdef', [64456, 64460]]
['pdef', [64885, 64889]]
['pdef', [65154, 65158]]
['pdef', [65236, 65240]]
['pdef', [65512, 65516]]
['pdef', [65568, 65572]]
['pdef', [66527, 66531]]
['pdef', [66712, 66716]]
['pdef', [66842, 66846]]
['pdef', [67009, 67013]]
['pdef', [67152, 67156]]
['pdef', [67284, 67288]]
['pdef', [67411, 67415]]
['pdef', [67491, 67495]]
['pdef', [67539, 67543]]
['pdef', [67602, 67606]]
['pdef', [67780, 67784]]
['pdef', [67846, 67850]]
['pdef', [67906, 67910]]
['pdef', [68277, 68281]]
['pdef', [68768, 68772]]
['pdef', [68928, 68932]]
['pdef', [69055, 69059]]
['pdef', [69147, 69151]]
['pdef', [69468, 69472]]
['pdef', [69934, 69938]]
['pdef', [70136, 70140]]
['pdef', [70565, 70569]]
['pdef', [70834, 70838]]
['pdef', [70916, 70920]]
['pdef', [71192, 71196]]
['pdef', [71248, 71252]]
['pdef', [71416, 71420]]
['pdef', [71720, 71724]]
['pdef', [72213, 72217]]
['pdef', [72577, 72581]]
['pdef', [72713, 72717]]
['pdef', [72799, 72803]]
['pdef', [72857, 72861]]
['pdef', [72908, 72912]]
['pdef', [73162, 73166]]
['pdef', [73319, 73323]]
['pdef', [73389, 73393]]
['pdef', [73514, 73518]]
['pdef', [73534, 73538]]
['pdef', [73651, 73655]]
['pdef', [73689, 73693]]
['pdef', [73746, 73750]]
['pdef', [73850, 73854]]
['pdef', [74096, 74100]]
['pdef', [74112, 74116]]
['pdef', [74148, 74152]]
['pdef', [74184, 74188]]
['pdef', [74211, 74215]]
['pdef', [74298, 74302]]
['pdef', [74512, 74516]]
['pdef', [74528, 74532]]
['pdef', [74653, 74657]]
['pdef', [74765, 74769]]
['pdef', [74777, 74781]]
['pdef', [74977, 74981]]
['pdef', [74985, 74989]]
['pdef', [75090, 75094]]
['pdef', [76107, 76111]]
['pdef', [76588, 76592]]
['pdef', [76639, 76643]]
['pdef', [76943, 76947]]
['pdef', [76964, 76968]]
['pdef', [77249, 77253]]
['pdef', [77294, 77298]]
['pdef', [77548, 77552]]
['pdef', [77852, 77856]]
['pdef', [78345, 78349]]
['pdef', [78709, 78713]]
['pdef', [78845, 78849]]
['pdef', [78931, 78935]]
['pdef', [78989, 78993]]
['pdef', [79040, 79044]]
['pdef', [79294, 79298]]
['pdef', [79451, 79455]]
['pdef', [79521, 79525]]
['pdef', [79646, 79650]]
['pdef', [79666, 79670]]
['pdef', [79783, 79787]]
['pdef', [79821, 79825]]
['pdef', [79878, 79882]]
['pdef', [79982, 79986]]
['pdef', [80228, 80232]]
['pdef', [80244, 80248]]
['pdef', [80280, 80284]]
['pdef', [80316, 80320]]
['pdef', [80343, 80347]]
['pdef', [80430, 80434]]
['pdef', [80644, 80648]]
['pdef', [80660, 80664]]
['pdef', [80785, 80789]]
['pdef', [80897, 80901]]
['pdef', [80909, 80913]]
['pdef', [81109, 81113]]
['pdef', [81117, 81121]]
['pdef', [81222, 81226]]
['pdef', [82239, 82243]]
['pdef', [82720, 82724]]
['pdef', [82771, 82775]]
['pdef', [83075, 83079]]
['pdef', [83096, 83100]]
['pdef', [83381, 83385]]
['pdef', [83426, 83430]]
['iib', [546, 549]]
['iib', [2556, 2559]]
['iib', [3210, 3213]]
['iib', [3229, 3232]]
['iib', [19603, 19606]]
['iib', [20257, 20260]]
['iib', [20276, 20279]]
['iib', [71933, 71936]]
['iib', [77018, 77021]]
['iib', [77023, 77026]]
['iib', [77340, 77343]]
['iib', [78065, 78068]]
['iib', [83150, 83153]]
['iib', [83155, 83158]]
['iib', [83472, 83475]]
['mrna', [603, 607]]
['mrna', [772, 776]]
['mrna', [8495, 8499]]
['mrna', [9354, 9358]]
['mrna', [17976, 17980]]
['mrna', [25545, 25549]]
['mrna', [26405, 26409]]
['mrna', [35033, 35037]]
['mrna', [36104, 36108]]
['mrna', [36177, 36181]]
['mrna', [42149, 42153]]
['mrna', [42222, 42226]]
['mrna', [48186, 48190]]
['mrna', [48259, 48263]]
['mrna', [49762, 49766]]
['mrna', [49835, 49839]]
['mrna', [74379, 74383]]
['mrna', [80511, 80515]]
['pdef-negative', [987, 1000]]
['pdef-negative', [1072, 1085]]
['pdef-negative', [10982, 10995]]
['pdef-negative', [11358, 11371]]
['pdef-negative', [18735, 18748]]
['pdef-negative', [28033, 28046]]
['pdef-negative', [28409, 28422]]
['pdef-negative', [35793, 35806]]
['pdef-negative', [39223, 39236]]
['pdef-negative', [40896, 40909]]
['pdef-negative', [45268, 45281]]
['pdef-negative', [46941, 46954]]
['pdef-negative', [52882, 52895]]
['pdef-negative', [55830, 55843]]
['pdef-negative', [57504, 57517]]
['pdef-negative', [59019, 59032]]
['pdef-negative', [74777, 74790]]
['pdef-negative', [74985, 74998]]
['pdef-negative', [80909, 80922]]
['pdef-negative', [81117, 81130]]
['ovarian', [78, 85]]
['ovarian', [132, 139]]
['ovarian', [259, 266]]
['ovarian', [387, 394]]
['ovarian', [486, 493]]
['ovarian', [556, 563]]
['ovarian', [672, 679]]
['ovarian', [719, 726]]
['ovarian', [931, 938]]
['ovarian', [1086, 1093]]
['ovarian', [1241, 1248]]
['ovarian', [1695, 1702]]
['ovarian', [1794, 1801]]
['ovarian', [1823, 1830]]
['ovarian', [2159, 2166]]
['ovarian', [2193, 2200]]
['ovarian', [3112, 3119]]
['ovarian', [4130, 4137]]
['ovarian', [4415, 4422]]
['ovarian', [5888, 5895]]
['ovarian', [5920, 5927]]
['ovarian', [6229, 6236]]
['ovarian', [7821, 7828]]
['ovarian', [8426, 8433]]
['ovarian', [8435, 8442]]
['ovarian', [9229, 9236]]
['ovarian', [9362, 9369]]
['ovarian', [10996, 11003]]
['ovarian', [11157, 11164]]
['ovarian', [11169, 11176]]
['ovarian', [11321, 11328]]
['ovarian', [11627, 11634]]
['ovarian', [11706, 11713]]
['ovarian', [14660, 14667]]
['ovarian', [16183, 16190]]
['ovarian', [16251, 16258]]
['ovarian', [16788, 16795]]
['ovarian', [17343, 17350]]
['ovarian', [18841, 18848]]
['ovarian', [18870, 18877]]
['ovarian', [19206, 19213]]
['ovarian', [19240, 19247]]
['ovarian', [20159, 20166]]
['ovarian', [21178, 21185]]
['ovarian', [21463, 21470]]
['ovarian', [22937, 22944]]
['ovarian', [22969, 22976]]
['ovarian', [23278, 23285]]
['ovarian', [24871, 24878]]
['ovarian', [25476, 25483]]
['ovarian', [25485, 25492]]
['ovarian', [26280, 26287]]
['ovarian', [26413, 26420]]
['ovarian', [28047, 28054]]
['ovarian', [28208, 28215]]
['ovarian', [28220, 28227]]
['ovarian', [28372, 28379]]
['ovarian', [28679, 28686]]
['ovarian', [28758, 28765]]
['ovarian', [31715, 31722]]
['ovarian', [33239, 33246]]
['ovarian', [33307, 33314]]
['ovarian', [33844, 33851]]
['ovarian', [34400, 34407]]
['ovarian', [35868, 35875]]
['ovarian', [36008, 36015]]
['ovarian', [36691, 36698]]
['ovarian', [36852, 36859]]
['ovarian', [36892, 36899]]
['ovarian', [37271, 37278]]
