genia tagger: 2804['or', [24, 26]]
['or', [104, 106]]
['or', [391, 393]]
['or', [394, 396]]
['or', [436, 438]]
['or', [543, 545]]
['or', [603, 605]]
['or', [646, 648]]
['or', [748, 750]]
['or', [778, 780]]
['or', [819, 821]]
['or', [862, 864]]
['or', [873, 875]]
['or', [1090, 1092]]
['or', [1246, 1248]]
['or', [1336, 1338]]
['or', [1402, 1404]]
['or', [1416, 1418]]
['or', [1461, 1463]]
['or', [1513, 1515]]
['or', [1551, 1553]]
['or', [1595, 1597]]
['or', [1669, 1671]]
['or', [1787, 1789]]
['or', [2462, 2464]]
['or', [2630, 2632]]
['or', [2658, 2660]]
['or', [2663, 2665]]
['or', [2678, 2680]]
['or', [3115, 3117]]
['or', [3122, 3124]]
['or', [3138, 3140]]
['or', [3298, 3300]]
['or', [3457, 3459]]
['or', [4075, 4077]]
['or', [4132, 4134]]
['or', [4464, 4466]]
['or', [4500, 4502]]
['or', [4529, 4531]]
['or', [4698, 4700]]
['or', [4725, 4727]]
['or', [4760, 4762]]
['or', [4943, 4945]]
['or', [4991, 4993]]
['or', [5076, 5078]]
['or', [5164, 5166]]
['or', [5180, 5182]]
['or', [5451, 5453]]
['or', [5484, 5486]]
['or', [5541, 5543]]
['or', [5792, 5794]]
['or', [5865, 5867]]
['or', [5943, 5945]]
['or', [5987, 5989]]
['or', [6296, 6298]]
['or', [6390, 6392]]
['or', [6408, 6410]]
['or', [6545, 6547]]
['or', [6690, 6692]]
['or', [6927, 6929]]
['or', [6938, 6940]]
['or', [6960, 6962]]
['or', [7027, 7029]]
['or', [7068, 7070]]
['or', [7143, 7145]]
['or', [7262, 7264]]
['or', [7356, 7358]]
['or', [7469, 7471]]
['or', [7488, 7490]]
['or', [7914, 7916]]
['or', [8030, 8032]]
['or', [8087, 8089]]
['or', [8154, 8156]]
['or', [8209, 8211]]
['or', [8372, 8374]]
['or', [8414, 8416]]
['or', [8470, 8472]]
['or', [8510, 8512]]
['or', [8781, 8783]]
['or', [8819, 8821]]
['or', [8977, 8979]]
['or', [9118, 9120]]
['or', [9157, 9159]]
['or', [9426, 9428]]
['or', [9542, 9544]]
['or', [9577, 9579]]
['or', [9614, 9616]]
['or', [9662, 9664]]
['or', [9686, 9688]]
['or', [9724, 9726]]
['or', [10006, 10008]]
['or', [10072, 10074]]
['or', [10133, 10135]]
['or', [10539, 10541]]
['or', [10733, 10735]]
['or', [10782, 10784]]
['or', [10911, 10913]]
['or', [11142, 11144]]
['or', [11165, 11167]]
['or', [11265, 11267]]
['or', [11637, 11639]]
['or', [12023, 12025]]
['or', [12139, 12141]]
['or', [12174, 12176]]
['or', [12211, 12213]]
['or', [12259, 12261]]
['or', [12283, 12285]]
['or', [12321, 12323]]
['or', [12604, 12606]]
['or', [12670, 12672]]
['or', [12731, 12733]]
['or', [13138, 13140]]
['or', [13332, 13334]]
['or', [13381, 13383]]
['or', [13510, 13512]]
['or', [13742, 13744]]
['or', [13765, 13767]]
['or', [13865, 13867]]
['or', [14238, 14240]]
['or', [14577, 14579]]
['or', [14580, 14582]]
['or', [14622, 14624]]
['or', [14729, 14731]]
['or', [14789, 14791]]
['or', [14832, 14834]]
['or', [14934, 14936]]
['or', [14964, 14966]]
['or', [15005, 15007]]
['or', [15048, 15050]]
['or', [15059, 15061]]
['or', [15277, 15279]]
['or', [15433, 15435]]
['or', [15523, 15525]]
['or', [15589, 15591]]
['or', [15603, 15605]]
['or', [15648, 15650]]
['or', [15700, 15702]]
['or', [15738, 15740]]
['or', [15782, 15784]]
['or', [15856, 15858]]
['or', [15975, 15977]]
['or', [16343, 16345]]
['or', [16441, 16443]]
['or', [16679, 16681]]
['or', [16936, 16938]]
['or', [17032, 17034]]
['or', [17081, 17083]]
['or', [17085, 17087]]
['or', [17092, 17094]]
['or', [17466, 17468]]
['or', [17598, 17600]]
['or', [17720, 17722]]
['or', [17757, 17759]]
['or', [17764, 17766]]
['or', [17929, 17931]]
['or', [18123, 18125]]
['or', [18183, 18185]]
['or', [18303, 18305]]
['or', [18306, 18308]]
['or', [18410, 18412]]
['or', [18514, 18516]]
['or', [18526, 18528]]
['or', [18782, 18784]]
['or', [18834, 18836]]
['or', [18918, 18920]]
['or', [19006, 19008]]
['or', [19186, 19188]]
['or', [19194, 19196]]
['or', [19225, 19227]]
['or', [19334, 19336]]
['or', [19352, 19354]]
['or', [19443, 19445]]
['or', [19595, 19597]]
['or', [19707, 19709]]
['or', [19741, 19743]]
['or', [19820, 19822]]
['or', [19878, 19880]]
['or', [19985, 19987]]
['or', [20061, 20063]]
['or', [20124, 20126]]
['or', [20128, 20130]]
['or', [20311, 20313]]
['or', [20392, 20394]]
['or', [20396, 20398]]
['or', [20410, 20412]]
['or', [20459, 20461]]
['or', [20465, 20467]]
['or', [20474, 20476]]
['or', [20478, 20480]]
['or', [20504, 20506]]
['or', [20555, 20557]]
['or', [20599, 20601]]
['or', [20638, 20640]]
['or', [20684, 20686]]
['or', [20880, 20882]]
['or', [20957, 20959]]
['or', [20975, 20977]]
['or', [21015, 21017]]
['or', [21174, 21176]]
['or', [21654, 21656]]
['or', [21707, 21709]]
['or', [21753, 21755]]
['or', [21924, 21926]]
['or', [22079, 22081]]
['or', [22140, 22142]]
['or', [22217, 22219]]
['or', [22272, 22274]]
['or', [22391, 22393]]
['or', [22420, 22422]]
['or', [22473, 22475]]
['or', [22500, 22502]]
['or', [22549, 22551]]
['or', [22579, 22581]]
['or', [22606, 22608]]
['or', [22782, 22784]]
['or', [22795, 22797]]
['or', [22875, 22877]]
['or', [22921, 22923]]
['or', [23088, 23090]]
['or', [23159, 23161]]
['or', [23195, 23197]]
['or', [23273, 23275]]
['or', [23334, 23336]]
['or', [23344, 23346]]
['or', [23596, 23598]]
['or', [23694, 23696]]
['or', [23932, 23934]]
['or', [24189, 24191]]
['or', [24285, 24287]]
['or', [24334, 24336]]
['or', [24338, 24340]]
['or', [24345, 24347]]
['or', [24719, 24721]]
['or', [24851, 24853]]
['or', [24973, 24975]]
['or', [25010, 25012]]
['or', [25017, 25019]]
['or', [25182, 25184]]
['or', [25376, 25378]]
['or', [25436, 25438]]
['or', [25556, 25558]]
['or', [25559, 25561]]
['or', [25663, 25665]]
['or', [25768, 25770]]
['or', [25780, 25782]]
['or', [26036, 26038]]
['or', [26088, 26090]]
['or', [26172, 26174]]
['or', [26260, 26262]]
['or', [26441, 26443]]
['or', [26449, 26451]]
['or', [26480, 26482]]
['or', [26589, 26591]]
['or', [26607, 26609]]
['or', [26698, 26700]]
['or', [26850, 26852]]
['or', [26962, 26964]]
['or', [26997, 26999]]
['or', [27076, 27078]]
['or', [27134, 27136]]
['or', [27241, 27243]]
['or', [27317, 27319]]
['or', [27380, 27382]]
['or', [27384, 27386]]
['or', [27567, 27569]]
['or', [27648, 27650]]
['or', [27652, 27654]]
['or', [27666, 27668]]
['or', [27715, 27717]]
['or', [27721, 27723]]
['or', [27730, 27732]]
['or', [27734, 27736]]
['or', [27760, 27762]]
['or', [27811, 27813]]
