genia tagger: 29732['neil1', [27, 32]]
['neil1', [166, 171]]
['neil1', [262, 267]]
['neil1', [469, 474]]
['neil1', [567, 572]]
['neil1', [1147, 1152]]
['neil1', [1171, 1176]]
['neil1', [4742, 4747]]
['neil1', [4972, 4977]]
['neil1', [5065, 5070]]
['neil1', [5197, 5202]]
['neil1', [5257, 5262]]
['neil1', [5369, 5374]]
['neil1', [6485, 6490]]
['neil1', [6573, 6578]]
['neil1', [6749, 6754]]
['neil1', [7038, 7043]]
['neil1', [10878, 10883]]
['neil1', [11686, 11691]]
['neil1', [11822, 11827]]
['neil1', [12072, 12077]]
['neil1', [12090, 12095]]
['neil1', [12274, 12279]]
['neil1', [12292, 12297]]
['neil1', [12426, 12431]]
['neil1', [12501, 12506]]
['neil1', [12944, 12949]]
['neil1', [14235, 14240]]
['neil1', [14444, 14449]]
['neil1', [14702, 14707]]
['neil1', [19021, 19026]]
['neil1', [19829, 19834]]
['neil1', [19965, 19970]]
['neil1', [20215, 20220]]
['neil1', [20233, 20238]]
['neil1', [20417, 20422]]
['neil1', [20435, 20440]]
['neil1', [20569, 20574]]
['neil1', [20644, 20649]]
['neil1', [21088, 21093]]
['neil1', [22379, 22384]]
['neil1', [22588, 22593]]
['neil1', [22846, 22851]]
['neil1', [23526, 23531]]
['neil1', [23788, 23793]]
['neil1', [23814, 23819]]
['neil1', [23921, 23926]]
['neil1', [23941, 23946]]
['neil1', [28166, 28171]]
['neil1', [28283, 28288]]
['neil1', [28759, 28764]]
['neil1', [29036, 29041]]
['neil1', [29817, 29822]]
['neil1', [29934, 29939]]
['neil1', [30142, 30147]]
['neil1', [30642, 30647]]
['neil1', [30663, 30668]]
['neil1', [30781, 30786]]
['neil1', [31043, 31048]]
['neil1', [31069, 31074]]
['neil1', [31176, 31181]]
['neil1', [31196, 31201]]
['neil1', [35420, 35425]]
['neil1', [35537, 35542]]
['neil1', [36013, 36018]]
['neil1', [36290, 36295]]
['neil1', [37071, 37076]]
['neil1', [37188, 37193]]
['neil1', [37396, 37401]]
['neil1', [37896, 37901]]
['neil1', [37917, 37922]]
['neil1', [38035, 38040]]
['neil1', [38297, 38302]]
['neil1', [38323, 38328]]
['neil1', [38430, 38435]]
['neil1', [38450, 38455]]
['neil1', [43968, 43973]]
['neil1', [44085, 44090]]
['neil1', [44561, 44566]]
['neil1', [44838, 44843]]
['neil1', [45597, 45602]]
['neil1', [45714, 45719]]
['neil1', [46190, 46195]]
['neil1', [46467, 46472]]
['neil1', [47249, 47254]]
['neil1', [47366, 47371]]
['neil1', [47574, 47579]]
['neil1', [48074, 48079]]
['neil1', [48095, 48100]]
['neil1', [48230, 48235]]
['neil1', [48347, 48352]]
['neil1', [48555, 48560]]
['neil1', [49055, 49060]]
['neil1', [49076, 49081]]
['neil1', [49268, 49273]]
['neil1', [49448, 49453]]
['neil1', [49858, 49863]]
['neil1', [50108, 50113]]
['neil1', [50272, 50277]]
['neil1', [50425, 50430]]
['neil1', [50961, 50966]]
['neil1', [51036, 51041]]
['neil1', [51189, 51194]]
['neil1', [51206, 51211]]
['neil1', [51355, 51360]]
['neil1', [51444, 51449]]
['neil1', [53875, 53880]]
['neil1', [55227, 55232]]
['neil1', [55407, 55412]]
['neil1', [55817, 55822]]
['neil1', [56067, 56072]]
['neil1', [56231, 56236]]
['neil1', [56384, 56389]]
['neil1', [56920, 56925]]
['neil1', [56995, 57000]]
['neil1', [57148, 57153]]
['neil1', [57165, 57170]]
['neil1', [57314, 57319]]
['neil1', [57403, 57408]]
['neil1', [59834, 59839]]
['neil1', [62235, 62240]]
['neil1', [62439, 62444]]
['neil1', [62799, 62804]]
['neil1', [63676, 63681]]
['neil1', [63755, 63760]]
['neil1', [64036, 64041]]
['neil1', [64082, 64087]]
['neil1', [66331, 66336]]
['neil1', [66675, 66680]]
['neil1', [70745, 70750]]
['neil1', [70949, 70954]]
['neil1', [71309, 71314]]
['neil1', [72186, 72191]]
['neil1', [72265, 72270]]
['neil1', [72546, 72551]]
['neil1', [72592, 72597]]
['neil1', [74841, 74846]]
['neil1', [75185, 75190]]
['and', [33, 36]]
['and', [49, 52]]
['and', [58, 61]]
['and', [120, 123]]
['and', [172, 175]]
['and', [227, 230]]
['and', [281, 284]]
['and', [379, 382]]
['and', [475, 478]]
['and', [499, 502]]
['and', [545, 548]]
['and', [612, 615]]
['and', [642, 645]]
['and', [763, 766]]
['and', [846, 849]]
['and', [861, 864]]
['and', [891, 894]]
['and', [985, 988]]
['and', [1129, 1132]]
['and', [1167, 1170]]
['and', [1219, 1222]]
['and', [1745, 1748]]
['and', [1894, 1897]]
['and', [2164, 2167]]
['and', [2363, 2366]]
['and', [2433, 2436]]
['and', [2451, 2454]]
['and', [2503, 2506]]
['and', [2691, 2694]]
['and', [2991, 2994]]
['and', [3252, 3255]]
['and', [3350, 3353]]
['and', [3492, 3495]]
['and', [3766, 3769]]
['and', [3839, 3842]]
['and', [4052, 4055]]
['and', [4259, 4262]]
['and', [4390, 4393]]
['and', [4454, 4457]]
['and', [4781, 4784]]
['and', [4888, 4891]]
['and', [4913, 4916]]
['and', [4978, 4981]]
['and', [5038, 5041]]
['and', [5071, 5074]]
['and', [5157, 5160]]
['and', [5240, 5243]]
['and', [5502, 5505]]
['and', [5663, 5666]]
['and', [5782, 5785]]
['and', [5840, 5843]]
['and', [5908, 5911]]
['and', [6000, 6003]]
['and', [6174, 6177]]
['and', [6225, 6228]]
['and', [6360, 6363]]
['and', [6491, 6494]]
['and', [6507, 6510]]
['and', [6528, 6531]]
['and', [6579, 6582]]
['and', [6620, 6623]]
['and', [6710, 6713]]
['and', [6755, 6758]]
['and', [6941, 6944]]
['and', [7086, 7089]]
['and', [7127, 7130]]
['and', [7180, 7183]]
['and', [7207, 7210]]
['and', [7380, 7383]]
['and', [7596, 7599]]
['and', [7678, 7681]]
['and', [7886, 7889]]
['and', [7942, 7945]]
['and', [8071, 8074]]
['and', [8147, 8150]]
['and', [9618, 9621]]
['and', [9680, 9683]]
['and', [9737, 9740]]
['and', [9846, 9849]]
['and', [9993, 9996]]
['and', [10120, 10123]]
['and', [10214, 10217]]
['and', [10409, 10412]]
['and', [10622, 10625]]
['and', [10884, 10887]]
['and', [11279, 11282]]
['and', [11326, 11329]]
['and', [11434, 11437]]
['and', [11638, 11641]]
['and', [11774, 11777]]
['and', [11868, 11871]]
['and', [11912, 11915]]
['and', [12030, 12033]]
['and', [12108, 12111]]
['and', [12179, 12182]]
['and', [12219, 12222]]
['and', [12310, 12313]]
['and', [12383, 12386]]
['and', [12458, 12461]]
['and', [12527, 12530]]
['and', [12538, 12541]]
['and', [12641, 12644]]
['and', [12676, 12679]]
['and', [12794, 12797]]
['and', [12902, 12905]]
['and', [12918, 12921]]
['and', [12950, 12953]]
['and', [13000, 13003]]
['and', [13081, 13084]]
['and', [13112, 13115]]
['and', [13289, 13292]]
['and', [13400, 13403]]
['and', [13527, 13530]]
['and', [13631, 13634]]
['and', [13824, 13827]]
['and', [13949, 13952]]
['and', [14103, 14106]]
['and', [14118, 14121]]
['and', [14241, 14244]]
['and', [14381, 14384]]
['and', [14698, 14701]]
['and', [15022, 15025]]
['and', [15098, 15101]]
['and', [15290, 15293]]
['and', [15349, 15352]]
['and', [15522, 15525]]
['and', [15738, 15741]]
['and', [15820, 15823]]
['and', [16028, 16031]]
['and', [16084, 16087]]
['and', [16213, 16216]]
['and', [16289, 16292]]
['and', [17760, 17763]]
['and', [17822, 17825]]
['and', [17879, 17882]]
['and', [17988, 17991]]
['and', [18135, 18138]]
['and', [18262, 18265]]
['and', [18356, 18359]]
['and', [18551, 18554]]
['and', [18764, 18767]]
['and', [19027, 19030]]
['and', [19422, 19425]]
['and', [19469, 19472]]
['and', [19577, 19580]]
['and', [19781, 19784]]
['and', [19917, 19920]]
['and', [20011, 20014]]
['and', [20055, 20058]]
['and', [20173, 20176]]
['and', [20251, 20254]]
['and', [20322, 20325]]
['and', [20362, 20365]]
['and', [20453, 20456]]
['and', [20526, 20529]]
['and', [20601, 20604]]
['and', [20670, 20673]]
['and', [20681, 20684]]
['and', [20784, 20787]]
['and', [20819, 20822]]
['and', [20938, 20941]]
['and', [21046, 21049]]
['and', [21062, 21065]]
['and', [21094, 21097]]
['and', [21144, 21147]]
['and', [21225, 21228]]
['and', [21256, 21259]]
['and', [21433, 21436]]
['and', [21544, 21547]]
['and', [21671, 21674]]
['and', [21775, 21778]]
['and', [21968, 21971]]
['and', [22093, 22096]]
['and', [22247, 22250]]
['and', [22262, 22265]]
['and', [22385, 22388]]
['and', [22525, 22528]]
['and', [22842, 22845]]
['and', [23166, 23169]]
['and', [23242, 23245]]
['and', [23434, 23437]]
['and', [23532, 23535]]
['and', [23556, 23559]]
['and', [23660, 23663]]
['and', [23840, 23843]]
['and', [23961, 23964]]
['and', [24383, 24386]]
['and', [24490, 24493]]
['and', [24591, 24594]]
['and', [24876, 24879]]
['and', [25141, 25144]]
['and', [25343, 25346]]
['and', [25376, 25379]]
['and', [25383, 25386]]
['and', [25406, 25409]]
['and', [25674, 25677]]
['and', [25913, 25916]]
['and', [25978, 25981]]
['and', [25992, 25995]]
['and', [26607, 26610]]
['and', [26658, 26661]]
['and', [26973, 26976]]
['and', [27023, 27026]]
['and', [27062, 27065]]
['and', [27153, 27156]]
['and', [27316, 27319]]
['and', [27361, 27364]]
['and', [27421, 27424]]
['and', [27506, 27509]]
['and', [27582, 27585]]
['and', [27608, 27611]]
['and', [27722, 27725]]
['and', [27774, 27777]]
['and', [27823, 27826]]
['and', [27897, 27900]]
['and', [27972, 27975]]
['and', [28132, 28135]]
