genia tagger: 67601['\xe2\x80\x98smooth\xe2\x80\x99', [0, 12]]
['\xe2\x80\x98smooth\xe2\x80\x99', [384, 396]]
['\xe2\x80\x98smooth\xe2\x80\x99', [3968, 3980]]
['\xe2\x80\x98smooth\xe2\x80\x99', [5666, 5678]]
['\xe2\x80\x98smooth\xe2\x80\x99', [7167, 7179]]
['\xe2\x80\x98smooth\xe2\x80\x99', [11214, 11226]]
['\xe2\x80\x98smooth\xe2\x80\x99', [23098, 23110]]
['\xe2\x80\x98smooth\xe2\x80\x99', [36183, 36195]]
['\xe2\x80\x98smooth\xe2\x80\x99', [43626, 43638]]
['\xe2\x80\x98smooth\xe2\x80\x99', [56523, 56535]]
['\xe2\x80\x98smooth\xe2\x80\x99', [74830, 74842]]
['\xe2\x80\x98smooth\xe2\x80\x99', [74904, 74916]]
['\xe2\x80\x98smooth\xe2\x80\x99', [76108, 76120]]
['\xe2\x80\x98smooth\xe2\x80\x99', [77847, 77859]]
['\xe2\x80\x98smooth\xe2\x80\x99', [77921, 77933]]
['\xe2\x80\x98smooth\xe2\x80\x99', [79125, 79137]]
['densities', [397, 406]]
['densities', [4627, 4636]]
['densities', [4734, 4743]]
['densities', [6181, 6190]]
['densities', [7180, 7189]]
['densities', [7273, 7282]]
['densities', [11227, 11236]]
['densities', [12128, 12137]]
['densities', [12177, 12186]]
['densities', [12303, 12312]]
['densities', [18235, 18244]]
['densities', [18753, 18762]]
['densities', [23111, 23120]]
['densities', [24012, 24021]]
['densities', [24061, 24070]]
['densities', [24187, 24196]]
['densities', [30121, 30130]]
['densities', [30639, 30648]]
['densities', [36196, 36205]]
['densities', [39766, 39775]]
['densities', [42998, 43007]]
['densities', [52663, 52672]]
['densities', [55895, 55904]]
['densities', [76249, 76258]]
['densities', [79266, 79275]]
['whose', [407, 412]]
['whose', [11237, 11242]]
['whose', [23121, 23126]]
['elements', [413, 421]]
['elements', [11243, 11251]]
['elements', [23127, 23135]]
['npml', [3320, 3324]]
['npml', [3467, 3471]]
['npml', [5152, 5156]]
['npml', [5174, 5178]]
['npml', [5381, 5385]]
['npml', [46190, 46194]]
['npml', [46685, 46689]]
['npml', [59087, 59091]]
['npml', [59582, 59586]]
['npml', [65477, 65481]]
['npml', [71140, 71144]]
['npml', [81390, 81394]]
['npml', [81694, 81698]]
['npml', [82021, 82025]]
['npml', [86541, 86545]]
['npml', [87850, 87854]]
['npml', [88154, 88158]]
['npml', [88481, 88485]]
['npml', [93001, 93005]]
['estimator', [2909, 2918]]
['estimator', [3191, 3200]]
['estimator', [3326, 3335]]
['estimator', [3472, 3481]]
['estimator', [3569, 3578]]
['estimator', [3723, 3732]]
['estimator', [5103, 5112]]
['estimator', [5246, 5255]]
['estimator', [5868, 5877]]
['estimator', [6304, 6313]]
['estimator', [8633, 8642]]
['estimator', [21234, 21243]]
['estimator', [21878, 21887]]
['estimator', [33121, 33130]]
['estimator', [33765, 33774]]
['estimator', [35206, 35215]]
['estimator', [36486, 36495]]
['estimator', [39889, 39898]]
['estimator', [39904, 39913]]
['estimator', [40054, 40063]]
['estimator', [40172, 40181]]
['estimator', [40306, 40315]]
['estimator', [40427, 40436]]
['estimator', [40442, 40451]]
['estimator', [40955, 40964]]
['estimator', [41755, 41764]]
['estimator', [42713, 42722]]
['estimator', [42773, 42782]]
['estimator', [42950, 42959]]
['estimator', [43102, 43111]]
['estimator', [43233, 43242]]
['estimator', [43466, 43475]]
['estimator', [44080, 44089]]
['estimator', [44119, 44128]]
['estimator', [44462, 44471]]
['estimator', [44533, 44542]]
['estimator', [44616, 44625]]
['estimator', [44667, 44676]]
['estimator', [46597, 46606]]
['estimator', [46690, 46699]]
['estimator', [46956, 46965]]
['estimator', [47380, 47389]]
['estimator', [47649, 47658]]
['estimator', [47675, 47684]]
['estimator', [52786, 52795]]
['estimator', [52801, 52810]]
['estimator', [52951, 52960]]
['estimator', [53069, 53078]]
['estimator', [53203, 53212]]
['estimator', [53324, 53333]]
['estimator', [53339, 53348]]
['estimator', [53852, 53861]]
['estimator', [54652, 54661]]
['estimator', [55610, 55619]]
['estimator', [55670, 55679]]
['estimator', [55847, 55856]]
['estimator', [55999, 56008]]
['estimator', [56130, 56139]]
['estimator', [56363, 56372]]
['estimator', [56977, 56986]]
['estimator', [57016, 57025]]
['estimator', [57359, 57368]]
['estimator', [57430, 57439]]
['estimator', [57513, 57522]]
['estimator', [57564, 57573]]
['estimator', [59494, 59503]]
['estimator', [59587, 59596]]
['estimator', [59853, 59862]]
['estimator', [60278, 60287]]
['estimator', [60547, 60556]]
['estimator', [60573, 60582]]
['estimator', [74917, 74926]]
['estimator', [77010, 77019]]
['estimator', [77934, 77943]]
['estimator', [80027, 80036]]
['estimator', [80860, 80869]]
['estimator', [81396, 81405]]
['estimator', [83158, 83167]]
['estimator', [83303, 83312]]
['estimator', [83353, 83362]]
['estimator', [86524, 86533]]
['estimator', [87320, 87329]]
['estimator', [87856, 87865]]
['estimator', [89618, 89627]]
['estimator', [89763, 89772]]
['estimator', [89813, 89822]]
['estimator', [92984, 92993]]
['pan', [2375, 2378]]
['pan', [3635, 3638]]
['pan', [5115, 5118]]
['pan', [63830, 63833]]
['pan', [65939, 65942]]
['pan', [65951, 65954]]
['pan', [66026, 66029]]
['pan', [66240, 66243]]
['pan', [66682, 66685]]
['pan', [67260, 67263]]
['pan', [69492, 69495]]
['pan', [71603, 71606]]
['pan', [71615, 71618]]
['pan', [71690, 71693]]
['pan', [71904, 71907]]
['pan', [72346, 72349]]
['pan', [72924, 72927]]
['\\[', [2392, 2394]]
['\\[', [2574, 2576]]
['\\[', [2654, 2656]]
['\\[', [2919, 2921]]
['\\[', [3406, 3408]]
['\\[', [3427, 3429]]
['\\[', [3522, 3524]]
['\\[', [3639, 3641]]
['\\[', [3989, 3991]]
['\\[', [4307, 4309]]
['\\[', [4337, 4339]]
['\\[', [4465, 4467]]
['\\[', [4844, 4846]]
['\\[', [4938, 4940]]
['\\[', [4953, 4955]]
['\\[', [5119, 5121]]
['\\[', [5179, 5181]]
['\\[', [5221, 5223]]
['\\[', [5563, 5565]]
['\\[', [5823, 5825]]
['\\[', [5961, 5963]]
['\\[', [6047, 6049]]
['\\[', [6245, 6247]]
['\\[', [6270, 6272]]
['\\[', [7124, 7126]]
['\\[', [7693, 7695]]
['\\[', [8649, 8651]]
['\\[', [8716, 8718]]
['\\[', [9115, 9117]]
['\\[', [9900, 9902]]
['\\[', [10096, 10098]]
['\\[', [10787, 10789]]
['\\[', [11310, 11312]]
['\\[', [12647, 12649]]
['\\[', [14977, 14979]]
['\\[', [15229, 15231]]
['\\[', [15458, 15460]]
['\\[', [15691, 15693]]
['\\[', [16258, 16260]]
['\\[', [16567, 16569]]
['\\[', [17553, 17555]]
['\\[', [18332, 18334]]
['\\[', [19005, 19007]]
['\\[', [19414, 19416]]
['\\[', [19585, 19587]]
['\\[', [19596, 19598]]
['\\[', [20696, 20698]]
['\\[', [21443, 21445]]
['\\[', [22547, 22549]]
['\\[', [22684, 22686]]
['\\[', [23194, 23196]]
['\\[', [24531, 24533]]
['\\[', [26862, 26864]]
['\\[', [27114, 27116]]
['\\[', [27343, 27345]]
['\\[', [27576, 27578]]
['\\[', [28143, 28145]]
['\\[', [28452, 28454]]
['\\[', [29438, 29440]]
['\\[', [30218, 30220]]
['\\[', [30891, 30893]]
['\\[', [31300, 31302]]
['\\[', [31471, 31473]]
['\\[', [31482, 31484]]
['\\[', [32582, 32584]]
['\\[', [33330, 33332]]
['\\[', [34434, 34436]]
['\\[', [34571, 34573]]
['\\[', [35423, 35425]]
['\\[', [35626, 35628]]
['\\[', [35758, 35760]]
['\\[', [35869, 35871]]
['\\[', [36436, 36438]]
['\\[', [39939, 39941]]
['\\[', [40017, 40019]]
['\\[', [40038, 40040]]
['\\[', [40101, 40103]]
['\\[', [40149, 40151]]
['\\[', [40679, 40681]]
['\\[', [45975, 45977]]
['\\[', [46271, 46273]]
['\\[', [47746, 47748]]
['\\[', [50175, 50177]]
['\\[', [52836, 52838]]
['\\[', [52914, 52916]]
['\\[', [52935, 52937]]
['\\[', [52998, 53000]]
['\\[', [53046, 53048]]
['\\[', [53576, 53578]]
['\\[', [58872, 58874]]
['\\[', [59168, 59170]]
['\\[', [60644, 60646]]
['\\[', [63074, 63076]]
['\\[', [63353, 63355]]
['\\[', [63569, 63571]]
['\\[', [64555, 64557]]
['\\[', [65876, 65878]]
['\\[', [65968, 65970]]
['\\[', [68549, 68551]]
['\\[', [69015, 69017]]
['\\[', [69231, 69233]]
['\\[', [70218, 70220]]
['\\[', [71539, 71541]]
['\\[', [71632, 71634]]
['\\[', [74213, 74215]]
['\\[', [75625, 75627]]
['\\[', [75800, 75802]]
['\\[', [78642, 78644]]
['\\[', [78817, 78819]]
['12', [4009, 4011]]
['12', [4467, 4469]]
['12', [4940, 4942]]
['12', [6272, 6274]]
['12', [40103, 40105]]
['12', [53000, 53002]]
['12', [82618, 82620]]
['12', [82754, 82756]]
['12', [85044, 85046]]
['12', [86796, 86798]]
['12', [89078, 89080]]
['12', [89214, 89216]]
['12', [91504, 91506]]
['12', [93256, 93258]]
['\\]', [2400, 2402]]
['\\]', [2590, 2592]]
['\\]', [2658, 2660]]
['\\]', [2923, 2925]]
['\\]', [3410, 3412]]
['\\]', [3431, 3433]]
['\\]', [3526, 3528]]
['\\]', [3643, 3645]]
['\\]', [4022, 4024]]
['\\]', [4312, 4314]]
['\\]', [4342, 4344]]
['\\]', [4470, 4472]]
['\\]', [4854, 4856]]
['\\]', [4943, 4945]]
['\\]', [4963, 4965]]
['\\]', [5123, 5125]]
['\\]', [5189, 5191]]
['\\]', [5226, 5228]]
['\\]', [5568, 5570]]
['\\]', [5828, 5830]]
['\\]', [5966, 5968]]
['\\]', [6062, 6064]]
['\\]', [6250, 6252]]
['\\]', [6275, 6277]]
['\\]', [7129, 7131]]
['\\]', [7698, 7700]]
['\\]', [8654, 8656]]
['\\]', [8721, 8723]]
['\\]', [9120, 9122]]
['\\]', [9905, 9907]]
['\\]', [10101, 10103]]
['\\]', [10807, 10809]]
['\\]', [11315, 11317]]
['\\]', [12659, 12661]]
['\\]', [15045, 15047]]
['\\]', [15241, 15243]]
['\\]', [15544, 15546]]
['\\]', [15695, 15697]]
['\\]', [16263, 16265]]
['\\]', [16582, 16584]]
['\\]', [17563, 17565]]
['\\]', [18357, 18359]]
['\\]', [19010, 19012]]
['\\]', [19427, 19429]]
['\\]', [19590, 19592]]
['\\]', [19601, 19603]]
['\\]', [20701, 20703]]
['\\]', [21463, 21465]]
['\\]', [22552, 22554]]
['\\]', [22688, 22690]]
['\\]', [23199, 23201]]
['\\]', [24543, 24545]]
['\\]', [26930, 26932]]
['\\]', [27126, 27128]]
['\\]', [27429, 27431]]
['\\]', [27580, 27582]]
['\\]', [28148, 28150]]
['\\]', [28467, 28469]]
['\\]', [29448, 29450]]
['\\]', [30243, 30245]]
['\\]', [30896, 30898]]
['\\]', [31313, 31315]]
