genia tagger: 4538['irs-1', [52, 57]]
['irs-1', [128, 133]]
['irs-1', [404, 409]]
['irs-1', [649, 654]]
['irs-1', [1423, 1428]]
['irs-1', [1547, 1552]]
['irs-1', [1739, 1744]]
['irs-1', [1916, 1921]]
['irs-1', [2236, 2241]]
['irs-1', [2531, 2536]]
['irs-1', [2842, 2847]]
['irs-1', [3154, 3159]]
['irs-1', [3929, 3934]]
['irs-1', [4054, 4059]]
['irs-1', [7742, 7747]]
['irs-1', [8289, 8294]]
['irs-1', [8425, 8430]]
['irs-1', [9597, 9602]]
['irs-1', [9679, 9684]]
['irs-1', [9847, 9852]]
['irs-1', [10313, 10318]]
['irs-1', [10988, 10993]]
['irs-1', [11070, 11075]]
['irs-1', [11238, 11243]]
['irs-1', [11704, 11709]]
['irs-1', [11898, 11903]]
['irs-1', [12058, 12063]]
['irs-1', [12248, 12253]]
['irs-1', [12461, 12466]]
['irs-1', [12777, 12782]]
['irs-1', [13085, 13090]]
['irs-1', [13752, 13757]]
['irs-1', [13840, 13845]]
['irs-1', [13948, 13953]]
['irs-1', [14063, 14068]]
['irs-1', [14223, 14228]]
['irs-1', [14413, 14418]]
['irs-1', [14626, 14631]]
['irs-1', [14942, 14947]]
['irs-1', [15250, 15255]]
['irs-1', [15917, 15922]]
['irs-1', [16005, 16010]]
['irs-1', [16113, 16118]]
['irs-1', [17129, 17134]]
['irs-1', [17921, 17926]]
['irs-1', [19143, 19148]]
['irs-1', [19935, 19940]]
['gene', [58, 62]]
['gene', [350, 354]]
['gene', [410, 414]]
['gene', [1553, 1557]]
['gene', [1690, 1694]]
['gene', [2242, 2246]]
['gene', [4060, 4064]]
['gene', [8599, 8603]]
['gene', [8604, 8608]]
['gene', [8613, 8617]]
['gene', [9370, 9374]]
['gene', [10761, 10765]]
['gene', [12157, 12161]]
['gene', [12886, 12890]]
['gene', [12897, 12901]]
['gene', [13284, 13288]]
['gene', [14322, 14326]]
['gene', [15051, 15055]]
['gene', [15062, 15066]]
['gene', [15449, 15453]]
['gene', [16892, 16896]]
['gene', [17027, 17031]]
['gene', [17135, 17139]]
['gene', [18906, 18910]]
['gene', [19041, 19045]]
['gene', [19149, 19153]]
['insulin', [98, 105]]
['insulin', [173, 180]]
['insulin', [1634, 1641]]
['insulin', [1709, 1716]]
['insulin', [1784, 1791]]
['insulin', [2276, 2283]]
['insulin', [2416, 2423]]
['receptor', [106, 114]]
['receptor', [210, 218]]
['receptor', [1717, 1725]]
['receptor', [1813, 1821]]
['substrate-1', [115, 126]]
['substrate-1', [1726, 1737]]
['docking', [145, 152]]
