genia tagger: 7219['hca', [3635, 3638]]
['hca', [4063, 4066]]
['hca', [11050, 11053]]
['hca', [11368, 11371]]
['hca', [11895, 11898]]
['hca', [17247, 17250]]
['hca', [17565, 17568]]
['hca', [18092, 18095]]
['hca', [22040, 22043]]
['hca', [28473, 28476]]
['hca', [36997, 37000]]
['hca', [44059, 44062]]
['his', [5312, 5315]]
['his', [6077, 6080]]
['his', [6465, 6468]]
['his', [6749, 6752]]
['his', [7462, 7465]]
['his', [12945, 12948]]
['his', [13658, 13661]]
['his', [19274, 19277]]
['his', [21862, 21865]]
['his', [25124, 25127]]
['his', [25707, 25710]]
['his', [28295, 28298]]
['his', [31557, 31560]]
['his', [33135, 33138]]
['his', [33653, 33656]]
['his', [34951, 34954]]
['his', [35464, 35467]]
['his', [35560, 35563]]
['his', [35675, 35678]]
['his', [35787, 35790]]
['his', [37072, 37075]]
['his', [37187, 37190]]
['his', [37438, 37441]]
['his', [40197, 40200]]
['his', [40715, 40718]]
['his', [42013, 42016]]
['his', [42526, 42529]]
['his', [42622, 42625]]
['his', [42737, 42740]]
['his', [42849, 42852]]
['his', [44134, 44137]]
['his', [44249, 44252]]
['his', [44500, 44503]]
['dnr', [5019, 5022]]
['dnr', [5102, 5105]]
['dnr', [5349, 5352]]
['dnr', [5443, 5446]]
['dnr', [5917, 5920]]
['dnr', [6337, 6340]]
['dnr', [6708, 6711]]
['dnr', [10128, 10131]]
['dnr', [10223, 10226]]
['dnr', [10323, 10326]]
['dnr', [10407, 10410]]
['dnr', [12782, 12785]]
['dnr', [16325, 16328]]
['dnr', [16420, 16423]]
['dnr', [16520, 16523]]
['dnr', [16604, 16607]]
['dnr', [18980, 18983]]
['dnr', [23372, 23375]]
['dnr', [23543, 23546]]
['dnr', [23688, 23691]]
['dnr', [23802, 23805]]
['dnr', [23894, 23897]]
['dnr', [23985, 23988]]
['dnr', [24244, 24247]]
['dnr', [24301, 24304]]
['dnr', [24557, 24560]]
['dnr', [24695, 24698]]
['dnr', [24750, 24753]]
['dnr', [29805, 29808]]
['dnr', [29976, 29979]]
['dnr', [30121, 30124]]
['dnr', [30235, 30238]]
['dnr', [30327, 30330]]
['dnr', [30418, 30421]]
['dnr', [30677, 30680]]
['dnr', [30734, 30737]]
['dnr', [30990, 30993]]
['dnr', [31128, 31131]]
['dnr', [31183, 31186]]
['dnr', [33151, 33154]]
['dnr', [33209, 33212]]
['dnr', [40213, 40216]]
['dnr', [40271, 40274]]
['end-of-life', [157, 168]]
['end-of-life', [571, 582]]
['end-of-life', [1536, 1547]]
['end-of-life', [4873, 4884]]
['end-of-life', [5065, 5076]]
['end-of-life', [6878, 6889]]
['end-of-life', [13074, 13085]]
['end-of-life', [32148, 32159]]
['end-of-life', [33007, 33018]]
['end-of-life', [39210, 39221]]
['end-of-life', [40069, 40080]]
['end-of-life', [48507, 48518]]
['end-of-life', [51636, 51647]]
['care', [169, 173]]
['care', [455, 459]]
['care', [559, 563]]
['care', [600, 604]]
['care', [938, 942]]
['care', [1420, 1424]]
['care', [1524, 1528]]
['care', [1565, 1569]]
['care', [1904, 1908]]
['care', [2313, 2317]]
['care', [2372, 2376]]
['care', [2776, 2780]]
['care', [2882, 2886]]
['care', [3060, 3064]]
['care', [3559, 3563]]
['care', [3636, 3640]]
['care', [3814, 3818]]
['care', [3953, 3957]]
['care', [4051, 4055]]
['care', [4784, 4788]]
['care', [5265, 5269]]
['care', [5420, 5424]]
['care', [6364, 6368]]
['care', [6890, 6894]]
['care', [7854, 7858]]
['care', [8508, 8512]]
['care', [8843, 8847]]
['care', [8901, 8905]]
['care', [9896, 9900]]
['care', [11437, 11441]]
['care', [11674, 11678]]
['care', [11688, 11692]]
['care', [13086, 13090]]
['care', [14050, 14054]]
['care', [14704, 14708]]
['care', [15039, 15043]]
['care', [15097, 15101]]
['care', [16093, 16097]]
['care', [17634, 17638]]
['care', [17871, 17875]]
['care', [17885, 17889]]
['care', [19876, 19880]]
['care', [21055, 21059]]
['care', [21507, 21511]]
['care', [21556, 21560]]
['care', [21649, 21653]]
['care', [23099, 23103]]
['care', [24425, 24429]]
['care', [25304, 25308]]
['care', [26309, 26313]]
['care', [27488, 27492]]
['care', [27940, 27944]]
['care', [27989, 27993]]
['care', [28082, 28086]]
['care', [29532, 29536]]
['care', [30858, 30862]]
['care', [31737, 31741]]
['care', [32136, 32140]]
['care', [32493, 32497]]
['care', [33019, 33023]]
['care', [34240, 34244]]
['care', [35287, 35291]]
['care', [36243, 36247]]
['care', [37350, 37354]]
['care', [38122, 38126]]
['care', [38605, 38609]]
['care', [38691, 38695]]
['care', [39198, 39202]]
['care', [39555, 39559]]
['care', [40081, 40085]]
['care', [41302, 41306]]
['care', [42349, 42353]]
['care', [43305, 43309]]
['care', [44412, 44416]]
['care', [45184, 45188]]
['care', [45667, 45671]]
['care', [45753, 45757]]
['care', [48412, 48416]]
['care', [48519, 48523]]
['care', [48656, 48660]]
['care', [48774, 48778]]
['care', [51541, 51545]]
['care', [51648, 51652]]
['care', [51785, 51789]]
['care', [51903, 51907]]
['rural', [7131, 7136]]
['rural', [13327, 13332]]
['community\\.', [7137, 7148]]
['community\\.', [13333, 13344]]
['each', [7148, 7152]]
['each', [7191, 7195]]
['each', [7212, 7216]]
['each', [12372, 12376]]
['each', [13344, 13348]]
['each', [13387, 13391]]
['each', [13408, 13412]]
['each', [18569, 18573]]
['site', [7153, 7157]]
['site', [7704, 7708]]
['site', [10387, 10391]]
['site', [13349, 13353]]
['site', [13900, 13904]]
['site', [16584, 16588]]
['site', [20425, 20429]]
['site', [20476, 20480]]
['site', [20598, 20602]]
['site', [23722, 23726]]
['site', [23766, 23770]]
['site', [23854, 23858]]
