genia tagger: 3542['susceptibility', [73, 87]]
['susceptibility', [197, 211]]
['susceptibility', [1891, 1905]]
['susceptibility', [4570, 4584]]
['susceptibility', [13016, 13030]]
['susceptibility', [19519, 19533]]
['susceptibility', [33037, 33051]]
['susceptibility', [41272, 41286]]
['loci', [88, 92]]
['loci', [178, 182]]
['loci', [430, 434]]
['loci', [2614, 2618]]
['loci', [3378, 3382]]
['loci', [3980, 3984]]
['loci', [4280, 4284]]
['loci', [4585, 4589]]
['loci', [5439, 5443]]
['loci', [10829, 10833]]
['loci', [11891, 11895]]
['loci', [12034, 12038]]
['loci', [17330, 17334]]
['loci', [18392, 18396]]
['loci', [18535, 18539]]
['loci', [22044, 22048]]
['loci', [22383, 22387]]
['loci', [22503, 22507]]
['loci', [24347, 24351]]
['loci', [24686, 24690]]
['loci', [24806, 24810]]
['loci', [25046, 25050]]
['loci', [29840, 29844]]
['loci', [30953, 30957]]
['loci', [32829, 32833]]
['loci', [33052, 33056]]
['loci', [33281, 33285]]
['loci', [38075, 38079]]
['loci', [39188, 39192]]
['loci', [41064, 41068]]
['loci', [41287, 41291]]
['chromosomes', [96, 107]]
['chromosomes', [3223, 3234]]
['chromosomes', [26492, 26503]]
['chromosomes', [34727, 34738]]
['16', [108, 110]]
['16', [1468, 1470]]
['16', [1756, 1758]]
['16', [5821, 5823]]
['16', [5826, 5828]]
['16', [20423, 20425]]
['16', [20643, 20645]]
['16', [20797, 20799]]
['16', [21607, 21609]]
['16', [21840, 21842]]
['16', [21958, 21960]]
['16', [22041, 22043]]
['16', [22051, 22053]]
['16', [22060, 22062]]
['16', [22074, 22076]]
['16', [22725, 22727]]
['16', [22945, 22947]]
['16', [23099, 23101]]
['16', [23909, 23911]]
['16', [24143, 24145]]
['16', [24261, 24263]]
['16', [24344, 24346]]
['16', [24354, 24356]]
['16', [24363, 24365]]
['16', [24377, 24379]]
['16', [26504, 26506]]
['16', [26570, 26572]]
['16', [26667, 26669]]
['16', [26709, 26711]]
['16', [26906, 26908]]
['16', [26919, 26921]]
['16', [26928, 26930]]
['16', [26968, 26970]]
['16', [27103, 27105]]
['16', [27436, 27438]]
['16', [27455, 27457]]
['16', [27602, 27604]]
['16', [27625, 27627]]
['16', [27666, 27668]]
['16', [27819, 27821]]
['16', [27975, 27977]]
['16', [28011, 28013]]
['16', [28128, 28130]]
['16', [28192, 28194]]
['16', [28233, 28235]]
['16', [28254, 28256]]
['16', [28405, 28407]]
['16', [28430, 28432]]
['16', [28445, 28447]]
['16', [28467, 28469]]
['16', [28761, 28763]]
['16', [29615, 29617]]
['16', [29829, 29831]]
['16', [30135, 30137]]
['16', [30507, 30509]]
['16', [31148, 31150]]
['16', [31592, 31594]]
['16', [31623, 31625]]
['16', [31650, 31652]]
['16', [32146, 32148]]
['16', [34739, 34741]]
['16', [34805, 34807]]
['16', [34902, 34904]]
['16', [34944, 34946]]
['16', [35141, 35143]]
['16', [35154, 35156]]
['16', [35163, 35165]]
['16', [35203, 35205]]
['16', [35338, 35340]]
['16', [35671, 35673]]
['16', [35690, 35692]]
['16', [35837, 35839]]
['16', [35860, 35862]]
['16', [35901, 35903]]
['16', [36054, 36056]]
['16', [36210, 36212]]
['16', [36246, 36248]]
['16', [36363, 36365]]
['16', [36427, 36429]]
['16', [36468, 36470]]
['16', [36489, 36491]]
['16', [36640, 36642]]
['16', [36665, 36667]]
['16', [36680, 36682]]
