genia tagger: 1610['anti-thymocyte', [81, 95]]
['anti-thymocyte', [227, 241]]
['globulin', [96, 104]]
['globulin', [242, 250]]
['saa', [209, 212]]
['saa', [1716, 1719]]
['saa', [2565, 2568]]
['saa', [2847, 2850]]
['saa', [3308, 3311]]
['saa', [14711, 14714]]
['saa', [19901, 19904]]
['saa', [27799, 27802]]
['saa', [28873, 28876]]
['saa', [28933, 28936]]
['saa', [29832, 29835]]
['saa', [31462, 31465]]
['saa', [32967, 32970]]
['saa', [33866, 33869]]
['saa', [35496, 35499]]
['atg', [252, 255]]
['atg', [409, 412]]
['atg', [673, 676]]
['atg', [2898, 2901]]
['atg', [4143, 4146]]
['atg', [4230, 4233]]
['atg', [4235, 4238]]
['atg', [4471, 4474]]
['atg', [4591, 4594]]
['atg', [4837, 4840]]
['atg', [5072, 5075]]
['atg', [5219, 5222]]
['atg', [6867, 6870]]
['atg', [6954, 6957]]
['atg', [6959, 6962]]
['atg', [7195, 7198]]
['atg', [7315, 7318]]
['atg', [7561, 7564]]
['atg', [7796, 7799]]
['atg', [7943, 7946]]
['atg', [9725, 9728]]
['atg', [9894, 9897]]
['atg', [10273, 10276]]
['atg', [13717, 13720]]
['atg', [13942, 13945]]
['atg', [14355, 14358]]
['atg', [14915, 14918]]
['atg', [15084, 15087]]
['atg', [15463, 15466]]
['atg', [18907, 18910]]
['atg', [19132, 19135]]
['atg', [19545, 19548]]
['atg', [19947, 19950]]
['atg', [21504, 21507]]
['atg', [26805, 26808]]
['atg', [27030, 27033]]
['atg', [27443, 27446]]
['atg', [27879, 27882]]
['atg', [28104, 28107]]
['atg', [28517, 28520]]
['atg', [29419, 29422]]
['atg', [29489, 29492]]
['atg', [29654, 29657]]
['atg', [29801, 29804]]
['atg', [33453, 33456]]
['atg', [33523, 33526]]
['atg', [33688, 33691]]
['atg', [33835, 33838]]
['ist', [576, 579]]
['ist', [928, 931]]
['ist', [1076, 1079]]
['ist', [1202, 1205]]
['ist', [1354, 1357]]
['ist', [1440, 1443]]
['ist', [1472, 1475]]
['ist', [4296, 4299]]
['ist', [4436, 4439]]
['ist', [4564, 4567]]
['ist', [4875, 4878]]
['ist', [5480, 5483]]
['ist', [5556, 5559]]
['ist', [5598, 5601]]
['ist', [5793, 5796]]
['ist', [5838, 5841]]
['ist', [5866, 5869]]
['ist', [6020, 6023]]
['ist', [6169, 6172]]
['ist', [6779, 6782]]
['ist', [7020, 7023]]
['ist', [7160, 7163]]
['ist', [7288, 7291]]
['ist', [7599, 7602]]
['ist', [8204, 8207]]
['ist', [8280, 8283]]
['ist', [8322, 8325]]
['ist', [8517, 8520]]
['ist', [8563, 8566]]
['ist', [8591, 8594]]
['ist', [8745, 8748]]
['ist', [8894, 8897]]
['ist', [9504, 9507]]
['ist', [9630, 9633]]
['ist', [10050, 10053]]
['ist', [10103, 10106]]
['ist', [10214, 10217]]
['ist', [10283, 10286]]
['ist', [10833, 10836]]
['ist', [10979, 10982]]
['ist', [11185, 11188]]
['ist', [11551, 11554]]
['ist', [11720, 11723]]
['ist', [11941, 11944]]
['ist', [12065, 12068]]
['ist', [12421, 12424]]
['ist', [12691, 12694]]
['ist', [13533, 13536]]
['ist', [13612, 13615]]
['ist', [13727, 13730]]
['ist', [13952, 13955]]
['ist', [14339, 14342]]
['ist', [14614, 14617]]
['ist', [14737, 14740]]
['ist', [14820, 14823]]
['ist', [15240, 15243]]
['ist', [15293, 15296]]
['ist', [15404, 15407]]
['ist', [15473, 15476]]
['ist', [16023, 16026]]
['ist', [16169, 16172]]
['ist', [16375, 16378]]
['ist', [16741, 16744]]
['ist', [16910, 16913]]
['ist', [17131, 17134]]
['ist', [17255, 17258]]
['ist', [17611, 17614]]
['ist', [17881, 17884]]
['ist', [18723, 18726]]
['ist', [18802, 18805]]
['ist', [18917, 18920]]
['ist', [19142, 19145]]
['ist', [19529, 19532]]
['ist', [19804, 19807]]
['ist', [19927, 19930]]
['ist', [19957, 19960]]
