genia tagger: 4635['gwas', [1000, 1004]]
['gwas', [5111, 5115]]
['gwas', [17088, 17092]]
['gwas', [21245, 21249]]
['gwas', [22551, 22555]]
['gwas', [26708, 26712]]
['search', [1034, 1040]]
['search', [2836, 2842]]
['for', [336, 339]]
['for', [355, 358]]
['for', [926, 929]]
['for', [1041, 1044]]
['for', [1108, 1111]]
['for', [1205, 1208]]
['for', [2180, 2183]]
['for', [2476, 2479]]
['for', [2510, 2513]]
['for', [2859, 2862]]
['for', [2878, 2881]]
['for', [3076, 3079]]
['for', [3158, 3161]]
['for', [3173, 3176]]
['for', [3596, 3599]]
['for', [3732, 3735]]
['for', [3822, 3825]]
['for', [3887, 3890]]
['for', [4546, 4549]]
['for', [4831, 4834]]
['for', [4945, 4948]]
['for', [5030, 5033]]
['for', [5064, 5067]]
['for', [5234, 5237]]
['for', [5319, 5322]]
['for', [5388, 5391]]
['for', [5500, 5503]]
['for', [5573, 5576]]
['for', [5830, 5833]]
['for', [5873, 5876]]
['for', [6145, 6148]]
['for', [6530, 6533]]
['for', [6753, 6756]]
['for', [7167, 7170]]
['for', [7438, 7441]]
['for', [7576, 7579]]
['for', [8220, 8223]]
['for', [8487, 8490]]
['for', [8553, 8556]]
['for', [8720, 8723]]
['for', [8839, 8842]]
['for', [9571, 9574]]
['for', [9833, 9836]]
['for', [10088, 10091]]
['for', [10623, 10626]]
['for', [10692, 10695]]
['for', [10771, 10774]]
['for', [10785, 10788]]
['for', [11536, 11539]]
['for', [11665, 11668]]
['for', [11697, 11700]]
['for', [11992, 11995]]
['for', [12136, 12139]]
['for', [12702, 12705]]
['for', [12884, 12887]]
['for', [12995, 12998]]
['for', [13088, 13091]]
['for', [13271, 13274]]
['for', [13487, 13490]]
['for', [13553, 13556]]
['for', [13787, 13790]]
['for', [13919, 13922]]
['for', [14145, 14148]]
['for', [14500, 14503]]
['for', [14615, 14618]]
['for', [14718, 14721]]
['for', [14741, 14744]]
['for', [14919, 14922]]
['for', [15012, 15015]]
['for', [15195, 15198]]
['for', [15411, 15414]]
['for', [15477, 15480]]
['for', [15711, 15714]]
['for', [15843, 15846]]
['for', [16069, 16072]]
['for', [16424, 16427]]
['for', [16539, 16542]]
['for', [16642, 16645]]
['for', [16665, 16668]]
['for', [16874, 16877]]
['for', [16956, 16959]]
['for', [17147, 17150]]
['for', [17646, 17649]]
['for', [18100, 18103]]
['for', [18228, 18231]]
['for', [18822, 18825]]
['for', [18933, 18936]]
['for', [19660, 19663]]
['for', [19915, 19918]]
['for', [20005, 20008]]
['for', [20245, 20248]]
['for', [20725, 20728]]
['for', [20984, 20987]]
['for', [21364, 21367]]
['for', [21425, 21428]]
['for', [21695, 21698]]
['for', [21842, 21845]]
['for', [21959, 21962]]
['for', [22247, 22250]]
['for', [22337, 22340]]
['for', [22419, 22422]]
['for', [22610, 22613]]
['for', [23109, 23112]]
['for', [23563, 23566]]
['for', [23691, 23694]]
['for', [24285, 24288]]
['for', [24396, 24399]]
['for', [25123, 25126]]
['for', [25378, 25381]]
['for', [25468, 25471]]
['for', [25708, 25711]]
['for', [26188, 26191]]
['for', [26447, 26450]]
['for', [26827, 26830]]
['for', [26888, 26891]]
['for', [27158, 27161]]
['for', [27305, 27308]]
['for', [27422, 27425]]
['for', [27710, 27713]]
['for', [27783, 27786]]
['for', [27843, 27846]]
['for', [27912, 27915]]
['for', [28902, 28905]]
['for', [28962, 28965]]
['for', [29031, 29034]]
['genes', [187, 192]]
['genes', [1045, 1050]]
['genes', [1523, 1528]]
['human', [1293, 1298]]
['human', [1385, 1390]]
['human', [1460, 1465]]
['genome', [41, 47]]
['genome', [117, 123]]
['genome', [967, 973]]
['genome', [1197, 1203]]
['genome', [1281, 1287]]
['genome', [1466, 1472]]
['genome', [1601, 1607]]
['genome', [1753, 1759]]
['genome', [7458, 7464]]
['genome', [16842, 16848]]
['genome', [17817, 17823]]
['genome', [22305, 22311]]
['genome', [23280, 23286]]
['snps', [1264, 1268]]
['snps', [1669, 1673]]
['snps', [2775, 2779]]
['snps', [21304, 21308]]
['snps', [21870, 21874]]
['snps', [26767, 26771]]
['snps', [27333, 27337]]
['snp', [11, 14]]
['snp', [345, 348]]
['snp', [1264, 1267]]
['snp', [1299, 1302]]
['snp', [1669, 1672]]
['snp', [2519, 2522]]
['snp', [2775, 2778]]
['snp', [2887, 2890]]
['snp', [3115, 3118]]
['snp', [3514, 3517]]
['snp', [3800, 3803]]
['snp', [4555, 4558]]
['snp', [4740, 4743]]
['snp', [4954, 4957]]
['snp', [5243, 5246]]
['snp', [5582, 5585]]
['snp', [7447, 7450]]
['snp', [8848, 8851]]
['snp', [10014, 10017]]
['snp', [10069, 10072]]
['snp', [16965, 16968]]
['snp', [17174, 17177]]
['snp', [17599, 17602]]
['snp', [18252, 18255]]
['snp', [18290, 18293]]
