genia tagger: 5070['slp', [1094, 1097]]
['slp', [1335, 1338]]
['slp', [6927, 6930]]
['slp', [7168, 7171]]
['slp', [9925, 9928]]
['slp', [10163, 10166]]
['slp', [15165, 15168]]
['slp', [15403, 15406]]
['slp', [19507, 19510]]
['slp', [19584, 19587]]
['slp', [19726, 19729]]
['slp', [20124, 20127]]
['slp', [20864, 20867]]
['slp', [21081, 21084]]
['slp', [21403, 21406]]
['slp', [21460, 21463]]
['slp', [21764, 21767]]
['slp', [23307, 23310]]
['slp', [23384, 23387]]
['slp', [23526, 23529]]
['slp', [23924, 23927]]
['slp', [24664, 24667]]
['slp', [24881, 24884]]
['slp', [25203, 25206]]
['slp', [25260, 25263]]
['slp', [25564, 25567]]
['slp', [33283, 33286]]
['slp', [34147, 34150]]
['slp', [34673, 34676]]
['slp', [35309, 35312]]
['slp', [35693, 35696]]
['slp', [35815, 35818]]
['slp', [42525, 42528]]
['slp', [43389, 43392]]
['slp', [43915, 43918]]
['slp', [44551, 44554]]
['slp', [44935, 44938]]
['slp', [45057, 45060]]
['slp', [48625, 48628]]
['nihss', [1813, 1818]]
['nihss', [7646, 7651]]
['nihss', [10586, 10591]]
['nihss', [10640, 10645]]
['nihss', [10727, 10732]]
['nihss', [13687, 13692]]
['nihss', [15827, 15832]]
['nihss', [15881, 15886]]
['nihss', [15968, 15973]]
['nihss', [18932, 18937]]
['nihss', [20761, 20766]]
['nihss', [21603, 21608]]
['nihss', [21720, 21725]]
['nihss', [22406, 22411]]
['nihss', [22518, 22523]]
['nihss', [22747, 22752]]
['nihss', [24561, 24566]]
['nihss', [25403, 25408]]
['nihss', [25520, 25525]]
['nihss', [26206, 26211]]
['nihss', [26318, 26323]]
['nihss', [26547, 26552]]
['nihss', [27004, 27009]]
['nihss', [36246, 36251]]
['nihss', [49625, 49630]]
['nihss', [49711, 49716]]
['nihss', [49794, 49799]]
['nihss', [49880, 49885]]
['or\\=10', [2052, 2058]]
['or\\=10', [7886, 7892]]
['or\\=10', [22113, 22119]]
['or\\=10', [25913, 25919]]
['or\\=6\\.5', [2099, 2107]]
['or\\=6\\.5', [7933, 7941]]
['or\\=6\\.5', [22155, 22163]]
['or\\=6\\.5', [25955, 25963]]
['pssm', [2045, 2049]]
['pssm', [2417, 2421]]
['pssm', [2647, 2651]]
['pssm', [7879, 7883]]
['pssm', [8251, 8255]]
['pssm', [8482, 8486]]
['ofc', [2094, 2097]]
