genia tagger: 11462['fl', [410, 412]]
['fl', [661, 663]]
['fl', [3821, 3823]]
['fl', [4661, 4663]]
['fl', [5144, 5146]]
['fl', [11151, 11153]]
['fl', [11396, 11398]]
['fl', [11590, 11592]]
['fl', [11848, 11850]]
['fl', [12095, 12097]]
['fl', [16443, 16445]]
['fl', [17071, 17073]]
['fl', [17503, 17505]]
['fl', [17578, 17580]]
['fl', [18840, 18842]]
['fl', [19585, 19587]]
['fl', [20252, 20254]]
['fl', [21592, 21594]]
['fl', [25166, 25168]]
['fl', [28008, 28010]]
['fl', [28491, 28493]]
['fl', [34499, 34501]]
['fl', [34744, 34746]]
['fl', [34938, 34940]]
['fl', [35196, 35198]]
['fl', [35443, 35445]]
['fl', [40744, 40746]]
['fl', [40989, 40991]]
['fl', [41183, 41185]]
['fl', [41441, 41443]]
['fl', [41688, 41690]]
['fl', [46037, 46039]]
['fl', [46665, 46667]]
['fl', [47097, 47099]]
['fl', [47172, 47174]]
['fl', [48434, 48436]]
['fl', [49179, 49181]]
['fl', [49846, 49848]]
['fl', [54634, 54636]]
['fl', [55262, 55264]]
['fl', [55694, 55696]]
['fl', [55769, 55771]]
['fl', [57031, 57033]]
['fl', [57776, 57778]]
['fl', [58443, 58445]]
['fl', [58635, 58637]]
['fl', [59263, 59265]]
['fl', [59696, 59698]]
['fl', [59771, 59773]]
['fl', [61035, 61037]]
['fl', [61781, 61783]]
['fl', [62449, 62451]]
['fl', [63791, 63793]]
['fl', [66942, 66944]]
['fl', [70521, 70523]]
['fl', [77237, 77239]]
['fl', [77612, 77614]]
['fl', [77783, 77785]]
['fl', [83023, 83025]]
['fl', [83398, 83400]]
['fl', [83569, 83571]]
['cs', [384, 386]]
['cs', [657, 659]]
['cs', [4971, 4973]]
['cs', [7851, 7853]]
['cs', [28318, 28320]]
['cs', [31199, 31201]]
['cs', [37443, 37445]]
['instruments', [3026, 3037]]
['instruments', [15978, 15989]]
['instruments', [16255, 16266]]
['instruments', [16284, 16295]]
['instruments', [45572, 45583]]
['instruments', [45849, 45860]]
['instruments', [45878, 45889]]
['instruments', [54169, 54180]]
['instruments', [54446, 54457]]
['instruments', [54475, 54486]]
['measuring', [3038, 3047]]
['family', [389, 395]]
['family', [1423, 1429]]
['family', [1738, 1744]]
['family', [3048, 3054]]
['family', [4124, 4130]]
['family', [4808, 4814]]
['family', [6032, 6038]]
['family', [10036, 10042]]
['family', [11291, 11297]]
['family', [11411, 11417]]
['family', [12561, 12567]]
['family', [12739, 12745]]
['family', [13139, 13145]]
['family', [13753, 13759]]
['family', [14126, 14132]]
['family', [14659, 14665]]
['family', [15253, 15259]]
['family', [15480, 15486]]
['family', [16010, 16016]]
['family', [17184, 17190]]
['family', [17207, 17213]]
['family', [17240, 17246]]
['family', [17323, 17329]]
['family', [17400, 17406]]
['family', [17526, 17532]]
['family', [17584, 17590]]
['family', [17657, 17663]]
['family', [17677, 17683]]
['family', [20964, 20970]]
['family', [21091, 21097]]
['family', [21371, 21377]]
['family', [21530, 21536]]
['family', [21664, 21670]]
['family', [22041, 22047]]
['family', [22326, 22332]]
['family', [22409, 22415]]
['family', [23124, 23130]]
['family', [23606, 23612]]
['family', [24351, 24357]]
