genia tagger: 2896['nhw', [429, 432]]
['nhw', [976, 979]]
['nhw', [1186, 1189]]
['nhw', [1270, 1273]]
['nhw', [1353, 1356]]
['nhw', [1482, 1485]]
['nhw', [1591, 1594]]
['nhw', [5527, 5530]]
['nhw', [6194, 6197]]
['nhw', [10146, 10149]]
['nhw', [11279, 11282]]
['nhw', [11947, 11950]]
['nhw', [12722, 12725]]
['nhw', [12815, 12818]]
['nhw', [12857, 12860]]
['nhw', [13451, 13454]]
['nhw', [14197, 14200]]
['nhw', [14430, 14433]]
['nhw', [14535, 14538]]
['nhw', [14631, 14634]]
['nhw', [14898, 14901]]
['nhw', [15060, 15063]]
['nhw', [16288, 16291]]
['nhw', [16877, 16880]]
['nhw', [16970, 16973]]
['nhw', [17012, 17015]]
['nhw', [17606, 17609]]
['nhw', [18352, 18355]]
['nhw', [18585, 18588]]
['nhw', [18690, 18693]]
['nhw', [18786, 18789]]
['nhw', [19053, 19056]]
['nhw', [19215, 19218]]
['nhw', [20443, 20446]]
['nhw', [21024, 21027]]
['nhw', [21117, 21120]]
['nhw', [21159, 21162]]
['nhw', [21753, 21756]]
['nhw', [22616, 22619]]
['nhw', [22709, 22712]]
['nhw', [22751, 22754]]
['nhw', [23345, 23348]]
['nhw', [24092, 24095]]
['nhw', [24325, 24328]]
['nhw', [24430, 24433]]
['nhw', [24526, 24529]]
['nhw', [24793, 24796]]
['nhw', [24955, 24958]]
['nhw', [25702, 25705]]
['nhw', [25935, 25938]]
['nhw', [26040, 26043]]
['nhw', [26136, 26139]]
['nhw', [26403, 26406]]
['nhw', [26565, 26568]]
['nhw', [28379, 28382]]
['nhw', [28743, 28746]]
['nhw', [28793, 28796]]
['nhw', [29066, 29069]]
['nhw', [29123, 29126]]
['nhw', [29217, 29220]]
['nhw', [29571, 29574]]
['nhw', [29769, 29772]]
['nhw', [30105, 30108]]
['nhw', [32728, 32731]]
['nhw', [32938, 32941]]
['nhw', [34736, 34739]]
['nhw', [38379, 38382]]
['nhw', [38523, 38526]]
['nhw', [38612, 38615]]
['nhw', [38904, 38907]]
['nhw', [39177, 39180]]
['nhw', [39234, 39237]]
['nhw', [39328, 39331]]
['nhw', [39683, 39686]]
['nhw', [39881, 39884]]
['nhw', [40217, 40220]]
['nhw', [42840, 42843]]
['nhw', [43050, 43053]]
['nhw', [44849, 44852]]
['nhw', [50508, 50511]]
['nhw', [50652, 50655]]
['nhw', [50741, 50744]]
['states\\.', [448, 456]]
['states\\.', [38409, 38417]]
['states\\.', [50538, 50546]]
['methods', [456, 463]]
['methods', [1773, 1780]]
['methods', [5613, 5620]]
['methods', [10232, 10239]]
