genia tagger: 5063['mouse', [52, 57]]
['mouse', [1086, 1091]]
['mouse', [3951, 3956]]
['mouse', [6718, 6723]]
['mouse', [11457, 11462]]
['mouse', [30376, 30381]]
['mouse', [31886, 31891]]
['mouse', [32255, 32260]]
['mouse', [34508, 34513]]
['mouse', [35496, 35501]]
['mouse', [37006, 37011]]
['mouse', [37375, 37380]]
['mouse', [39628, 39633]]
['mouse', [39932, 39937]]
['mouse', [40005, 40010]]
['mouse', [40109, 40114]]
['mouse', [40230, 40235]]
['mouse', [40491, 40496]]
['mouse', [40564, 40569]]
['mouse', [40668, 40673]]
['mouse', [40934, 40939]]
['mouse', [41007, 41012]]
['mouse', [41438, 41443]]
['mouse', [41522, 41527]]
['mouse', [41566, 41571]]
['mouse', [41932, 41937]]
['mouse', [42005, 42010]]
['mouse', [42109, 42114]]
['mouse', [42230, 42235]]
['mouse', [42491, 42496]]
['mouse', [42564, 42569]]
['mouse', [42668, 42673]]
['mouse', [42934, 42939]]
['mouse', [43007, 43012]]
['mouse', [43438, 43443]]
['mouse', [43522, 43527]]
['mouse', [43566, 43571]]
['peritoneal', [58, 68]]
['peritoneal', [526, 536]]
['peritoneal', [630, 640]]
['peritoneal', [857, 867]]
['peritoneal', [969, 979]]
['peritoneal', [1092, 1102]]
['peritoneal', [3631, 3641]]
['peritoneal', [3957, 3967]]
['peritoneal', [4002, 4012]]
['peritoneal', [4968, 4978]]
['peritoneal', [5767, 5777]]
['peritoneal', [6724, 6734]]
['peritoneal', [7321, 7331]]
['peritoneal', [9705, 9715]]
['peritoneal', [10505, 10515]]
['peritoneal', [11463, 11473]]
['peritoneal', [12061, 12071]]
['peritoneal', [13645, 13655]]
['peritoneal', [13998, 14008]]
['peritoneal', [14043, 14053]]
['peritoneal', [14156, 14166]]
['peritoneal', [14487, 14497]]
['peritoneal', [14635, 14645]]
['peritoneal', [14798, 14808]]
['peritoneal', [14950, 14960]]
['peritoneal', [15004, 15014]]
['peritoneal', [15262, 15272]]
['peritoneal', [15300, 15310]]
['peritoneal', [15478, 15488]]
['peritoneal', [15516, 15526]]
['peritoneal', [15700, 15710]]
