genia tagger: 11340['urine', [849, 854]]
['urine', [4737, 4742]]
['urine', [5975, 5980]]
['urine', [7679, 7684]]
['urine', [9122, 9127]]
['urine', [9297, 9302]]
['urine', [9664, 9669]]
['urine', [10714, 10719]]
['urine', [10861, 10866]]
['urine', [11012, 11017]]
['urine', [17044, 17049]]
['urine', [18749, 18754]]
['urine', [20193, 20198]]
['urine', [20368, 20373]]
['urine', [20735, 20740]]
['urine', [21785, 21790]]
['urine', [21932, 21937]]
['urine', [22083, 22088]]
['urine', [29236, 29241]]
['urine', [36556, 36561]]
['urine', [43868, 43873]]
['urine', [45826, 45831]]
['urine', [63204, 63209]]
['urine', [63428, 63433]]
['urine', [70715, 70720]]
['urine', [70939, 70944]]
['toxicology\\.', [855, 867]]
['toxicology\\.', [4743, 4755]]
['results', [867, 874]]
['results', [4756, 4763]]
['results', [10730, 10737]]
['results', [10997, 11004]]
['results', [21801, 21808]]
['results', [22068, 22075]]
['results', [27761, 27768]]
['results', [35081, 35088]]
['a', [2, 3]]
['a', [37, 38]]
['a', [53, 54]]
['a', [64, 65]]
['a', [73, 74]]
['a', [89, 90]]
['a', [101, 102]]
['a', [106, 107]]
['a', [113, 114]]
['a', [125, 126]]
['a', [134, 135]]
['a', [145, 146]]
['a', [150, 151]]
['a', [199, 200]]
['a', [212, 213]]
['a', [219, 220]]
['a', [233, 234]]
['a', [264, 265]]
['a', [297, 298]]
['a', [300, 301]]
['a', [310, 311]]
['a', [315, 316]]
['a', [331, 332]]
['a', [334, 335]]
['a', [352, 353]]
['a', [363, 364]]
['a', [396, 397]]
['a', [412, 413]]
['a', [421, 422]]
['a', [447, 448]]
['a', [460, 461]]
['a', [466, 467]]
['a', [496, 497]]
['a', [538, 539]]
['a', [541, 542]]
['a', [552, 553]]
['a', [564, 565]]
['a', [569, 570]]
['a', [586, 587]]
['a', [591, 592]]
['a', [598, 599]]
['a', [608, 609]]
['a', [651, 652]]
['a', [673, 674]]
['a', [679, 680]]
['a', [685, 686]]
['a', [701, 702]]
['a', [728, 729]]
['a', [739, 740]]
['a', [745, 746]]
['a', [775, 776]]
['a', [785, 786]]
['a', [798, 799]]
['a', [804, 805]]
['a', [815, 816]]
['a', [821, 822]]
['a', [825, 826]]
['a', [845, 846]]
['a', [875, 876]]
['a', [891, 892]]
['a', [904, 905]]
['a', [910, 911]]
['a', [913, 914]]
['a', [919, 920]]
['a', [934, 935]]
['a', [959, 960]]
['a', [962, 963]]
['a', [972, 973]]
['a', [981, 982]]
['a', [992, 993]]
['a', [999, 1000]]
['a', [1015, 1016]]
['a', [1042, 1043]]
['a', [1051, 1052]]
['a', [1065, 1066]]
['a', [1092, 1093]]
['a', [1142, 1143]]
['a', [1161, 1162]]
['a', [1188, 1189]]
['a', [1200, 1201]]
['a', [1207, 1208]]
['a', [1217, 1218]]
['a', [1245, 1246]]
['a', [1254, 1255]]
['a', [1292, 1293]]
['a', [1306, 1307]]
['a', [1308, 1309]]
['a', [1348, 1349]]
['a', [1386, 1387]]
['a', [1420, 1421]]
['a', [1426, 1427]]
['a', [1447, 1448]]
['a', [1451, 1452]]
['a', [1454, 1455]]
['a', [1478, 1479]]
['a', [1485, 1486]]
['a', [1509, 1510]]
['a', [1512, 1513]]
['a', [1522, 1523]]
['a', [1531, 1532]]
['a', [1545, 1546]]
['a', [1555, 1556]]
['a', [1595, 1596]]
['a', [1606, 1607]]
['a', [1627, 1628]]
['a', [1636, 1637]]
['a', [1655, 1656]]
['a', [1690, 1691]]
['a', [1695, 1696]]
['a', [1735, 1736]]
['a', [1753, 1754]]
['a', [1767, 1768]]
['a', [1772, 1773]]
['a', [1801, 1802]]
['a', [1805, 1806]]
['a', [1811, 1812]]
['a', [1824, 1825]]
['a', [1832, 1833]]
['a', [1855, 1856]]
['a', [1868, 1869]]
['a', [1877, 1878]]
['a', [1900, 1901]]
['a', [1926, 1927]]
['a', [1933, 1934]]
['a', [1941, 1942]]
['a', [1946, 1947]]
['a', [1950, 1951]]
['a', [1960, 1961]]
['a', [1973, 1974]]
['a', [1994, 1995]]
['a', [2003, 2004]]
['a', [2020, 2021]]
['a', [2023, 2024]]
['a', [2035, 2036]]
['a', [2052, 2053]]
['a', [2087, 2088]]
['a', [2093, 2094]]
['a', [2129, 2130]]
['a', [2132, 2133]]
['a', [2152, 2153]]
['a', [2155, 2156]]
['a', [2162, 2163]]
['a', [2172, 2173]]
['a', [2175, 2176]]
['a', [2182, 2183]]
['a', [2214, 2215]]
['a', [2230, 2231]]
['a', [2233, 2234]]
['a', [2252, 2253]]
['a', [2258, 2259]]
['a', [2284, 2285]]
['a', [2296, 2297]]
['a', [2318, 2319]]
['a', [2342, 2343]]
['a', [2348, 2349]]
['a', [2356, 2357]]
['a', [2373, 2374]]
['a', [2382, 2383]]
['a', [2402, 2403]]
['a', [2414, 2415]]
['a', [2418, 2419]]
['a', [2425, 2426]]
['a', [2439, 2440]]
['a', [2446, 2447]]
['a', [2460, 2461]]
['a', [2483, 2484]]
['a', [2505, 2506]]
['a', [2523, 2524]]
['a', [2540, 2541]]
['a', [2555, 2556]]
['a', [2563, 2564]]
['a', [2566, 2567]]
['a', [2572, 2573]]
['a', [2596, 2597]]
['a', [2602, 2603]]
['a', [2625, 2626]]
['a', [2647, 2648]]
['a', [2673, 2674]]
['a', [2680, 2681]]
['a', [2691, 2692]]
['a', [2698, 2699]]
['a', [2711, 2712]]
['a', [2723, 2724]]
['a', [2728, 2729]]
['a', [2741, 2742]]
['a', [2747, 2748]]
['a', [2773, 2774]]
['a', [2776, 2777]]
['a', [2783, 2784]]
['a', [2795, 2796]]
['a', [2798, 2799]]
['a', [2805, 2806]]
['a', [2817, 2818]]
['a', [2843, 2844]]
['a', [2854, 2855]]
['a', [2859, 2860]]
['a', [2873, 2874]]
['a', [2885, 2886]]
['a', [2903, 2904]]
['a', [2922, 2923]]
['a', [2931, 2932]]
['a', [2938, 2939]]
['a', [2961, 2962]]
['a', [2986, 2987]]
['a', [2988, 2989]]
['a', [3006, 3007]]
['a', [3043, 3044]]
['a', [3046, 3047]]
['a', [3063, 3064]]
['a', [3070, 3071]]
['a', [3074, 3075]]
['a', [3092, 3093]]
['a', [3120, 3121]]
['a', [3125, 3126]]
['a', [3134, 3135]]
['a', [3154, 3155]]
['a', [3167, 3168]]
['a', [3188, 3189]]
['a', [3197, 3198]]
['a', [3209, 3210]]
['a', [3228, 3229]]
['a', [3236, 3237]]
['a', [3253, 3254]]
['a', [3261, 3262]]
['a', [3272, 3273]]
['a', [3293, 3294]]
['a', [3305, 3306]]
['a', [3307, 3308]]
['a', [3310, 3311]]
['a', [3317, 3318]]
['a', [3328, 3329]]
['a', [3330, 3331]]
['a', [3333, 3334]]
['a', [3342, 3343]]
['a', [3365, 3366]]
['a', [3390, 3391]]
['a', [3407, 3408]]
['a', [3462, 3463]]
['a', [3483, 3484]]
['a', [3488, 3489]]
['a', [3510, 3511]]
['a', [3524, 3525]]
['a', [3530, 3531]]
['a', [3538, 3539]]
['a', [3544, 3545]]
['a', [3550, 3551]]
['a', [3571, 3572]]
['a', [3598, 3599]]
['a', [3622, 3623]]
['a', [3625, 3626]]
['a', [3630, 3631]]
['a', [3634, 3635]]
['a', [3643, 3644]]
['a', [3654, 3655]]
['a', [3669, 3670]]
['a', [3674, 3675]]
['a', [3680, 3681]]
['a', [3693, 3694]]
['a', [3726, 3727]]
['a', [3753, 3754]]
['a', [3760, 3761]]
['a', [3774, 3775]]
['a', [3780, 3781]]
['a', [3804, 3805]]
['a', [3833, 3834]]
['a', [3871, 3872]]
['a', [3885, 3886]]
['a', [3891, 3892]]
['a', [3897, 3898]]
['a', [3919, 3920]]
