genia tagger: 4917['small', [12, 17]]
['small', [349, 354]]
['small', [3244, 3249]]
['interfering', [18, 29]]
['interfering', [355, 366]]
['interfering', [3250, 3261]]
['rna', [30, 33]]
['rna', [112, 115]]
['rna', [130, 133]]
['rna', [367, 370]]
['rna', [374, 377]]
['rna', [452, 455]]
['rna', [811, 814]]
['rna', [1157, 1160]]
['rna', [1372, 1375]]
['rna', [3073, 3076]]
['rna', [3091, 3094]]
['rna', [3262, 3265]]
['rna', [3269, 3272]]
['rna', [3496, 3499]]
['rna', [3734, 3737]]
['rna', [3745, 3748]]
['rna', [3808, 3811]]
['rna', [3981, 3984]]
['rna', [4080, 4083]]
['rna', [4419, 4422]]
['rna', [4519, 4522]]
['rna', [4968, 4971]]
['rna', [5167, 5170]]
['rna', [5225, 5228]]
['rna', [5381, 5384]]
['rna', [5549, 5552]]
['rna', [5840, 5843]]
['rna', [5915, 5918]]
['rna', [5930, 5933]]
['rna', [6192, 6195]]
['rna', [6370, 6373]]
['rna', [6446, 6449]]
['rna', [6581, 6584]]
['rna', [6762, 6765]]
['rna', [7046, 7049]]
['rna', [7160, 7163]]
['rna', [7280, 7283]]
['rna', [7443, 7446]]
['rna', [8296, 8299]]
['rna', [9135, 9138]]
['rna', [9190, 9193]]
['rna', [9351, 9354]]
['rna', [10348, 10351]]
['rna', [10825, 10828]]
['rna', [11505, 11508]]
['rna', [11516, 11519]]
['rna', [11579, 11582]]
['rna', [11752, 11755]]
['rna', [11851, 11854]]
['rna', [12190, 12193]]
['rna', [12291, 12294]]
['rna', [12740, 12743]]
['rna', [12939, 12942]]
['rna', [12997, 13000]]
['rna', [13153, 13156]]
['rna', [13321, 13324]]
['rna', [13612, 13615]]
['rna', [13687, 13690]]
['rna', [13702, 13705]]
['rna', [13964, 13967]]
['rna', [14142, 14145]]
['rna', [14218, 14221]]
['rna', [14354, 14357]]
['rna', [14535, 14538]]
['rna', [14820, 14823]]
['rna', [14934, 14937]]
['rna', [15054, 15057]]
['rna', [15217, 15220]]
['rna', [16071, 16074]]
['rna', [16910, 16913]]
['rna', [16965, 16968]]
['rna', [17127, 17130]]
['rna', [18125, 18128]]
['rna', [18603, 18606]]
['rna', [19319, 19322]]
['rna', [19437, 19440]]
['rna', [19616, 19619]]
['rna', [19651, 19654]]
['rna', [19745, 19748]]
['rna', [19767, 19770]]
['rna', [20047, 20050]]
['rna', [20480, 20483]]
['rna', [20570, 20573]]
['rna', [20807, 20810]]
['rna', [21323, 21326]]
['rna', [21366, 21369]]
['rna', [21503, 21506]]
['rna', [22336, 22339]]
['rna', [22530, 22533]]
['rna', [22579, 22582]]
['rna', [22688, 22691]]
['rna', [22730, 22733]]
['rna', [22761, 22764]]
['rna', [22809, 22812]]
['rna', [22877, 22880]]
['rna', [23017, 23020]]
['rna', [23211, 23214]]
['rna', [23578, 23581]]
['rna', [23727, 23730]]
['rna', [23894, 23897]]
['rna', [23977, 23980]]
['rna', [24110, 24113]]
['rna', [24134, 24137]]
['rna', [24664, 24667]]
['rna', [24769, 24772]]
['rna', [24843, 24846]]
['rna', [24922, 24925]]
['rna', [25043, 25046]]
['rna', [25403, 25406]]
['endothelial', [52, 63]]
['endothelial', [184, 195]]
['endothelial', [637, 648]]
['endothelial', [1679, 1690]]
['endothelial', [2221, 2232]]
['endothelial', [3605, 3616]]
['endothelial', [6683, 6694]]
['endothelial', [14456, 14467]]
['cell', [64, 68]]
['cell', [196, 200]]
['cell', [649, 653]]
['cell', [1691, 1695]]
['cell', [2404, 2408]]
['cell', [3617, 3621]]
['cell', [4746, 4750]]
['cell', [4803, 4807]]
['cell', [5494, 5498]]
['cell', [5598, 5602]]
['cell', [5800, 5804]]
['cell', [5965, 5969]]
['cell', [7253, 7257]]
['cell', [9598, 9602]]
['cell', [9893, 9897]]
['cell', [9915, 9919]]
['cell', [9987, 9991]]
['cell', [10009, 10013]]
['cell', [10016, 10020]]
['cell', [10043, 10047]]
['cell', [10081, 10085]]
['cell', [10156, 10160]]
['cell', [10983, 10987]]
['cell', [12518, 12522]]
['cell', [12575, 12579]]
['cell', [13266, 13270]]
['cell', [13370, 13374]]
['cell', [13572, 13576]]
['cell', [13737, 13741]]
['cell', [15027, 15031]]
['cell', [17374, 17378]]
['cell', [17669, 17673]]
['cell', [17691, 17695]]
['cell', [17763, 17767]]
['cell', [17785, 17789]]
['cell', [17793, 17797]]
['cell', [17820, 17824]]
['cell', [17858, 17862]]
['cell', [17933, 17937]]
['cell', [18761, 18765]]
['cell', [21699, 21703]]
['cell', [22417, 22421]]
['cell', [22645, 22649]]
