genia tagger: 14493['hif1', [135, 139]]
['hif1', [8708, 8712]]
['hif1', [19106, 19110]]
['hif1', [20164, 20168]]
['hif1', [20645, 20649]]
['hif1', [33765, 33769]]
['hif1', [34823, 34827]]
['hif1', [35304, 35308]]
['hif1', [36380, 36384]]
['hif1', [37438, 37442]]
['hif1', [37920, 37924]]
['hif1', [42358, 42362]]
['hif1', [43873, 43877]]
['hif1', [48214, 48218]]
['hif1', [49729, 49733]]
['hif1', [50844, 50848]]
['hif1', [51150, 51154]]
['hif1', [51330, 51334]]
['nude', [1571, 1575]]
['nude', [19205, 19209]]
['nude', [33864, 33868]]
['nude', [36479, 36483]]
['mouse\\.', [1576, 1583]]
['this', [370, 374]]
['this', [1251, 1255]]
['this', [1583, 1587]]
['this', [2731, 2735]]
['this', [5365, 5369]]
['this', [7632, 7636]]
['this', [11957, 11961]]
['this', [12023, 12027]]
['this', [13026, 13030]]
['this', [13192, 13196]]
['this', [15020, 15024]]
['this', [19686, 19690]]
['this', [21044, 21048]]
['this', [26614, 26618]]
['this', [26680, 26684]]
['this', [27683, 27687]]
['this', [27849, 27853]]
['this', [29678, 29682]]
['this', [34345, 34349]]
['this', [35703, 35707]]
['this', [36960, 36964]]
['this', [38319, 38323]]
['this', [40321, 40325]]
['this', [42024, 42028]]
['this', [44278, 44282]]
['this', [44514, 44518]]
['this', [46176, 46180]]
['this', [47879, 47883]]
['this', [50134, 50138]]
['this', [50370, 50374]]
['this', [51603, 51607]]
['this', [51718, 51722]]
['tumour', [1522, 1528]]
['tumour', [1588, 1594]]
['tumour', [1707, 1713]]
['tumour', [1922, 1928]]
['tumour', [2214, 2220]]
['tumour', [2331, 2337]]
['tumour', [3926, 3932]]
['tumour', [3970, 3976]]
['tumour', [4054, 4060]]
['tumour', [4110, 4116]]
['tumour', [6203, 6209]]
['tumour', [8592, 8598]]
['tumour', [8657, 8663]]
['tumour', [18785, 18791]]
['tumour', [18806, 18812]]
['tumour', [18965, 18971]]
['tumour', [18981, 18987]]
['tumour', [19140, 19146]]
['tumour', [19264, 19270]]
['tumour', [19308, 19314]]
['tumour', [19485, 19491]]
['tumour', [19505, 19511]]
['tumour', [19663, 19669]]
['tumour', [19986, 19992]]
['tumour', [20042, 20048]]
['tumour', [20188, 20194]]
['tumour', [20337, 20343]]
['tumour', [20540, 20546]]
['tumour', [20909, 20915]]
['tumour', [33444, 33450]]
['tumour', [33465, 33471]]
['tumour', [33624, 33630]]
['tumour', [33640, 33646]]
['tumour', [33799, 33805]]
['tumour', [33923, 33929]]
['tumour', [33967, 33973]]
['tumour', [34144, 34150]]
['tumour', [34164, 34170]]
['tumour', [34322, 34328]]
['tumour', [34645, 34651]]
['tumour', [34701, 34707]]
['tumour', [34847, 34853]]
['tumour', [34996, 35002]]
['tumour', [35199, 35205]]
['tumour', [35568, 35574]]
['tumour', [36080, 36086]]
['tumour', [36239, 36245]]
['tumour', [36255, 36261]]
['tumour', [36414, 36420]]
['tumour', [36538, 36544]]
['tumour', [36582, 36588]]
['tumour', [36759, 36765]]
['tumour', [36779, 36785]]
['tumour', [36937, 36943]]
['tumour', [37260, 37266]]
['tumour', [37316, 37322]]
['tumour', [37463, 37469]]
['tumour', [37612, 37618]]
['tumour', [37815, 37821]]
['tumour', [38184, 38190]]
['tumour', [42168, 42174]]
['tumour', [42259, 42265]]
['tumour', [42341, 42347]]
['tumour', [43701, 43707]]
['tumour', [43828, 43834]]
['tumour', [43952, 43958]]
['tumour', [44068, 44074]]
['tumour', [44270, 44276]]
['tumour', [48024, 48030]]
['tumour', [48115, 48121]]
['tumour', [48197, 48203]]
['tumour', [49557, 49563]]
['tumour', [49684, 49690]]
['tumour', [49808, 49814]]
['tumour', [49924, 49930]]
['tumour', [50126, 50132]]
['tumour', [50752, 50758]]
['tumour', [50905, 50911]]
['tumour', [51126, 51132]]
['tumour', [51243, 51249]]
['tumour', [51563, 51569]]
['cell', [1595, 1599]]
['cell', [1714, 1718]]
['cell', [3682, 3686]]
['cell', [3933, 3937]]
['cell', [4061, 4065]]
['cell', [5782, 5786]]
['cell', [5861, 5865]]
['cell', [5878, 5882]]
['cell', [8664, 8668]]
['cell', [18988, 18992]]
['cell', [19147, 19151]]
['cell', [19993, 19997]]
['cell', [33647, 33651]]
['cell', [33806, 33810]]
['cell', [34652, 34656]]
['cell', [36262, 36266]]
['cell', [36421, 36425]]
['cell', [37267, 37271]]
['line', [1600, 1604]]
['line', [12165, 12169]]
['line', [26822, 26826]]
['reporter', [1671, 1679]]
['reporter', [1879, 1887]]
['reporter', [5634, 5642]]
['reporter', [6160, 6168]]
['reporter', [8622, 8630]]
['reporter', [19027, 19035]]
['reporter', [33686, 33694]]
['reporter', [36301, 36309]]
['genes', [1680, 1685]]
['genes', [19036, 19041]]
['genes', [33695, 33700]]
['genes', [36310, 36315]]
['cells', [1714, 1719]]
['cells', [3682, 3687]]
['cells', [8664, 8669]]
['cells', [18988, 18993]]
['cells', [19147, 19152]]
['cells', [33647, 33652]]
['cells', [33806, 33811]]
['cells', [36262, 36267]]
['cells', [36421, 36426]]
['constitutive', [1730, 1742]]
['constitutive', [4147, 4159]]
['constitutive', [19053, 19065]]
['constitutive', [33712, 33724]]
['constitutive', [36327, 36339]]
['constitutive', [50795, 50807]]
['red', [1162, 1165]]
['red', [1743, 1746]]
['red', [2013, 2016]]
['red', [3122, 3125]]
['red', [4005, 4008]]
['red', [4170, 4173]]
['red', [4630, 4633]]
['red', [5962, 5965]]
['red', [6119, 6122]]
['red', [6251, 6254]]
['red', [6840, 6843]]
['red', [7304, 7307]]
['red', [8034, 8037]]
['red', [8935, 8938]]
['red', [9272, 9275]]
['red', [10185, 10188]]
['red', [10814, 10817]]
['red', [11577, 11580]]
['red', [16177, 16180]]
['red', [17074, 17077]]
['red', [17573, 17576]]
['red', [17640, 17643]]
['red', [17824, 17827]]
['red', [18412, 18415]]
['red', [19565, 19568]]
['red', [20316, 20319]]
['red', [20371, 20374]]
['red', [20489, 20492]]
['red', [20718, 20721]]
['red', [21016, 21019]]
['red', [21589, 21592]]
['red', [21926, 21929]]
['red', [22839, 22842]]
['red', [23468, 23471]]
['red', [24231, 24234]]
['red', [24840, 24843]]
['red', [25469, 25472]]
['red', [26233, 26236]]
['red', [30835, 30838]]
['red', [31732, 31735]]
['red', [32231, 32234]]
['red', [32298, 32301]]
['red', [32482, 32485]]
['red', [33070, 33073]]
['red', [34224, 34227]]
['red', [34975, 34978]]
['red', [35030, 35033]]
['red', [35148, 35151]]
['red', [35377, 35380]]
['red', [35675, 35678]]
['red', [36839, 36842]]
['red', [37591, 37594]]
['red', [37646, 37649]]
['red', [37764, 37767]]
['red', [37993, 37996]]
['red', [38291, 38294]]
['red', [38800, 38803]]
['red', [40452, 40455]]
['red', [41030, 41033]]
['red', [41348, 41351]]
['red', [41613, 41616]]
['red', [44655, 44658]]
['red', [46307, 46310]]
['red', [46885, 46888]]
['red', [47203, 47206]]
['red', [47468, 47471]]
['red', [50787, 50790]]
['red', [51313, 51316]]
['fluorescent', [1659, 1670]]
['fluorescent', [1747, 1758]]
['fluorescent', [1827, 1838]]
['fluorescent', [1867, 1878]]
['fluorescent', [2291, 2302]]
['fluorescent', [2637, 2648]]
['fluorescent', [3492, 3503]]
['fluorescent', [4174, 4185]]
['fluorescent', [6148, 6159]]
['fluorescent', [8610, 8621]]
['fluorescent', [8732, 8743]]
['fluorescent', [14765, 14776]]
['fluorescent', [15132, 15143]]
['fluorescent', [17078, 17089]]
['fluorescent', [17928, 17939]]
['fluorescent', [29423, 29434]]
['fluorescent', [29790, 29801]]
['fluorescent', [31736, 31747]]
['fluorescent', [32586, 32597]]
['fluorescent', [39825, 39836]]
['fluorescent', [42867, 42878]]
['fluorescent', [45680, 45691]]
['fluorescent', [48723, 48734]]
['fluorescent', [51923, 51934]]
['protein', [1759, 1766]]
['protein', [1839, 1846]]
['protein', [2303, 2310]]
['protein', [2649, 2656]]
['protein', [4186, 4193]]
['protein', [5643, 5650]]
['protein', [6169, 6176]]
['protein', [6442, 6449]]
['protein', [6677, 6684]]
['protein', [8631, 8638]]
['protein', [8744, 8751]]
['protein', [13522, 13529]]
['protein', [13676, 13683]]
['protein', [28179, 28186]]
['protein', [28333, 28340]]
['proteins', [2649, 2657]]
['proteins', [5643, 5651]]
['proteins', [6442, 6450]]
['proteins', [6677, 6685]]
['proteins', [8631, 8639]]
['proteins', [13522, 13530]]
['proteins', [28179, 28187]]
['lacz-expressing', [3666, 3681]]
['lacz', [3666, 3670]]
['lacz', [3725, 3729]]
['rfp', [4195, 4198]]
['rfp', [8671, 8674]]
['rfp', [19066, 19069]]
['rfp', [19941, 19944]]
['rfp', [20270, 20273]]
['rfp', [20495, 20498]]
['rfp', [33725, 33728]]
['rfp', [34600, 34603]]
['rfp', [34929, 34932]]
['rfp', [35154, 35157]]
['rfp', [36340, 36343]]
['rfp', [37215, 37218]]
['rfp', [37545, 37548]]
['rfp', [37770, 37773]]
['rfp', [42349, 42352]]
['rfp', [43484, 43487]]
['rfp', [43745, 43748]]
['rfp', [48205, 48208]]
['rfp', [49340, 49343]]
['rfp', [49601, 49604]]
['rfp', [50808, 50811]]
['rfp', [51141, 51144]]
['walls', [4950, 4955]]
['embedded', [6668, 6676]]
['hypoxia-inducible', [1771, 1788]]
['hypoxia-inducible', [8680, 8697]]
['factor', [1789, 1795]]
['factor', [8698, 8704]]
['factor', [18397, 18403]]
['factor', [21001, 21007]]
['factor', [33055, 33061]]
['factor', [35660, 35666]]
['factor', [38276, 38282]]
['factor', [42008, 42014]]
['factor', [42059, 42065]]
['factor', [47863, 47869]]
['factor', [47914, 47920]]
['1', [138, 139]]
['1', [1796, 1797]]
['1', [2996, 2997]]
['1', [3315, 3316]]
['1', [3334, 3335]]
['1', [3356, 3357]]
['1', [3378, 3379]]
['1', [3398, 3399]]
['1', [4083, 4084]]
['1', [4800, 4801]]
['1', [4823, 4824]]
['1', [4846, 4847]]
['1', [5535, 5536]]
['1', [7188, 7189]]
['1', [7206, 7207]]
['1', [8098, 8099]]
['1', [8273, 8274]]
['1', [8705, 8706]]
['1', [8711, 8712]]
['1', [8762, 8763]]
['1', [8849, 8850]]
['1', [9514, 9515]]
['1', [9700, 9701]]
['1', [9827, 9828]]
['1', [9829, 9830]]
['1', [9866, 9867]]
['1', [10197, 10198]]
['1', [10202, 10203]]
['1', [10903, 10904]]
['1', [10944, 10945]]
['1', [11431, 11432]]
['1', [12191, 12192]]
['1', [12198, 12199]]
['1', [12229, 12230]]
['1', [12267, 12268]]
['1', [14525, 14526]]
['1', [14891, 14892]]
['1', [14896, 14897]]
['1', [16268, 16269]]
['1', [16273, 16274]]
['1', [17517, 17518]]
['1', [18639, 18640]]
['1', [18803, 18804]]
['1', [18940, 18941]]
['1', [18979, 18980]]
['1', [19109, 19110]]
['1', [19298, 19299]]
['1', [20167, 20168]]
['1', [20347, 20348]]
['1', [20378, 20379]]
['1', [20648, 20649]]
['1', [20796, 20797]]
['1', [21127, 21128]]
['1', [21133, 21134]]
['1', [21282, 21283]]
['1', [21416, 21417]]
['1', [21503, 21504]]
['1', [22168, 22169]]
['1', [22354, 22355]]
['1', [22481, 22482]]
['1', [22483, 22484]]
['1', [22520, 22521]]
['1', [22851, 22852]]
['1', [22856, 22857]]
['1', [23557, 23558]]
['1', [23598, 23599]]
['1', [24085, 24086]]
['1', [24482, 24483]]
['1', [24484, 24485]]
['1', [24521, 24522]]
['1', [24852, 24853]]
['1', [24857, 24858]]
['1', [25559, 25560]]
['1', [25600, 25601]]
['1', [26087, 26088]]
['1', [26848, 26849]]
['1', [26855, 26856]]
['1', [26886, 26887]]
['1', [26924, 26925]]
['1', [29182, 29183]]
['1', [29549, 29550]]
['1', [29554, 29555]]
['1', [30926, 30927]]
['1', [30931, 30932]]
['1', [32175, 32176]]
['1', [33297, 33298]]
['1', [33462, 33463]]
['1', [33599, 33600]]
['1', [33638, 33639]]
['1', [33768, 33769]]
['1', [33957, 33958]]
['1', [34826, 34827]]
['1', [35006, 35007]]
['1', [35037, 35038]]
['1', [35307, 35308]]
['1', [35455, 35456]]
['1', [35786, 35787]]
['1', [35792, 35793]]
['1', [35941, 35942]]
['1', [36077, 36078]]
['1', [36214, 36215]]
['1', [36253, 36254]]
['1', [36383, 36384]]
['1', [36572, 36573]]
['1', [37441, 37442]]
['1', [37622, 37623]]
['1', [37653, 37654]]
['1', [37923, 37924]]
['1', [38071, 38072]]
['1', [38402, 38403]]
['1', [38408, 38409]]
['1', [38557, 38558]]
['1', [38717, 38718]]
['1', [40928, 40929]]
['1', [41892, 41893]]
['1', [41900, 41901]]
['1', [42361, 42362]]
['1', [43876, 43877]]
['1', [44572, 44573]]
['1', [46783, 46784]]
['1', [47747, 47748]]
['1', [47755, 47756]]
['1', [48217, 48218]]
['1', [49732, 49733]]
['1', [50847, 50848]]
['1', [51153, 51154]]
['1', [51333, 51334]]
['green', [1821, 1826]]
['green', [8726, 8731]]
['gfp', [8753, 8756]]
['gfp', [19085, 19088]]
['gfp', [20114, 20117]]
['gfp', [20262, 20265]]
['gfp', [20602, 20605]]
['gfp', [33744, 33747]]
['gfp', [34773, 34776]]
['gfp', [34921, 34924]]
['gfp', [35261, 35264]]
['gfp', [36359, 36362]]
['gfp', [37388, 37391]]
['gfp', [37537, 37540]]
['gfp', [37877, 37880]]
['gfp', [42378, 42381]]
['gfp', [43862, 43865]]
['gfp', [48234, 48237]]
['gfp', [49718, 49721]]
['gfp', [50827, 50830]]
['gfp', [51167, 51170]]
['\xe2\x80\x98step-and-image\xe2\x80\x99', [10560, 10580]]
['\xe2\x80\x98step-and-image\xe2\x80\x99', [23214, 23234]]
['\xe2\x80\x98step-and-image\xe2\x80\x99', [25215, 25235]]
['acquisition', [4707, 4718]]
['acquisition', [7109, 7120]]
['acquisition', [10581, 10592]]
['acquisition', [11255, 11266]]
['acquisition', [11526, 11537]]
['acquisition', [13786, 13797]]
['acquisition', [15462, 15473]]
['acquisition', [23235, 23246]]
['acquisition', [23909, 23920]]
['acquisition', [24180, 24191]]
['acquisition', [25236, 25247]]
['acquisition', [25911, 25922]]
['acquisition', [26182, 26193]]
['acquisition', [28443, 28454]]
['acquisition', [30120, 30131]]
