genia tagger: 18422['tumor-specific', [151, 165]]
['endothelial', [166, 177]]
['endothelial', [229, 240]]
['endothelial', [330, 341]]
['endothelial', [802, 813]]
['endothelial', [848, 859]]
['endothelial', [1195, 1206]]
['endothelial', [1307, 1318]]
['endothelial', [2340, 2351]]
['endothelial', [3046, 3057]]
['endothelial', [4079, 4090]]
['endothelial', [8936, 8947]]
['endothelial', [9171, 9182]]
['endothelial', [16187, 16198]]
['endothelial', [16422, 16433]]
['endothelial', [21003, 21014]]
['endothelial', [21158, 21169]]
['endothelial', [23641, 23652]]
['endothelial', [23733, 23744]]
['endothelial', [30193, 30204]]
['endothelial', [31316, 31327]]
['endothelial', [32008, 32019]]
['endothelial', [35205, 35216]]
['endothelial', [40562, 40573]]
['endothelial', [40794, 40805]]
['endothelial', [41042, 41053]]
['endothelial', [41409, 41420]]
['endothelial', [42101, 42112]]
['endothelial', [45298, 45309]]
['endothelial', [50655, 50666]]
['endothelial', [50887, 50898]]
['endothelial', [51135, 51146]]
['endothelial', [51494, 51505]]
['endothelial', [52186, 52197]]
['endothelial', [52721, 52732]]
['endothelial', [53413, 53424]]
['endothelial', [58267, 58278]]
['endothelial', [59698, 59709]]
['endothelial', [69201, 69212]]
['endothelial', [69433, 69444]]
['endothelial', [69681, 69692]]
['endothelial', [70839, 70850]]
['endothelial', [71071, 71082]]
['endothelial', [71319, 71330]]
['endothelial', [73269, 73280]]
['endothelial', [82160, 82171]]
['cells', [178, 183]]
['cells', [241, 246]]
['cells', [342, 347]]
['cells', [860, 865]]
['cells', [1207, 1212]]
['cells', [1319, 1324]]
['cells', [2878, 2883]]
['cells', [3030, 3035]]
['cells', [3595, 3600]]
['cells', [3730, 3735]]
['cells', [3915, 3920]]
['cells', [4022, 4027]]
['cells', [4225, 4230]]
['cells', [4543, 4548]]
['cells', [4591, 4596]]
['cells', [4801, 4806]]
['cells', [5907, 5912]]
['cells', [6300, 6305]]
['cells', [7565, 7570]]
['cells', [7634, 7639]]
['cells', [7770, 7775]]
['cells', [7865, 7870]]
['cells', [7936, 7941]]
['cells', [8319, 8324]]
['cells', [8349, 8354]]
['cells', [8552, 8557]]
['cells', [8694, 8699]]
['cells', [8948, 8953]]
['cells', [9246, 9251]]
['cells', [9287, 9292]]
['cells', [9581, 9586]]
['cells', [9695, 9700]]
['cells', [9916, 9921]]
['cells', [10070, 10075]]
['cells', [10132, 10137]]
['cells', [10831, 10836]]
['cells', [11385, 11390]]
['cells', [11426, 11431]]
['cells', [11492, 11497]]
['cells', [11605, 11610]]
['cells', [11813, 11818]]
['cells', [11940, 11945]]
['cells', [12031, 12036]]
['cells', [13156, 13161]]
['cells', [13549, 13554]]
['cells', [14816, 14821]]
['cells', [14885, 14890]]
['cells', [15021, 15026]]
['cells', [15116, 15121]]
['cells', [15187, 15192]]
['cells', [15570, 15575]]
['cells', [15600, 15605]]
['cells', [15803, 15808]]
['cells', [15945, 15950]]
['cells', [16199, 16204]]
['cells', [16498, 16503]]
['cells', [16539, 16544]]
['cells', [16833, 16838]]
['cells', [16947, 16952]]
['cells', [17168, 17173]]
['cells', [17322, 17327]]
['cells', [17384, 17389]]
['cells', [18084, 18089]]
['cells', [18640, 18645]]
['cells', [18681, 18686]]
['cells', [18747, 18752]]
['cells', [18860, 18865]]
['cells', [19068, 19073]]
['cells', [19195, 19200]]
['cells', [19286, 19291]]
['cells', [21676, 21681]]
['cells', [21818, 21823]]
['cells', [21847, 21852]]
['cells', [22028, 22033]]
['cells', [23542, 23547]]
['cells', [23653, 23658]]
['cells', [25500, 25505]]
['cells', [26068, 26073]]
['cells', [27579, 27584]]
['cells', [27622, 27627]]
['cells', [27698, 27703]]
['cells', [27897, 27902]]
['cells', [28213, 28218]]
['cells', [29101, 29106]]
['cells', [29633, 29638]]
['cells', [29652, 29657]]
['cells', [31328, 31333]]
['cells', [36290, 36295]]
['cells', [37245, 37250]]
['cells', [37478, 37483]]
['cells', [37689, 37694]]
['cells', [39606, 39611]]
['cells', [39625, 39630]]
['cells', [39687, 39692]]
['cells', [40189, 40194]]
['cells', [41054, 41059]]
['cells', [41421, 41426]]
['cells', [46383, 46388]]
['cells', [47338, 47343]]
['cells', [47571, 47576]]
['cells', [47782, 47787]]
['cells', [49699, 49704]]
['cells', [49718, 49723]]
['cells', [49780, 49785]]
['cells', [50282, 50287]]
['cells', [51147, 51152]]
['cells', [51506, 51511]]
['cells', [52733, 52738]]
['cells', [61575, 61580]]
['cells', [62427, 62432]]
['cells', [63383, 63388]]
['cells', [63616, 63621]]
['cells', [63827, 63832]]
['cells', [64358, 64363]]
['cells', [64591, 64596]]
['cells', [64802, 64807]]
['cells', [68245, 68250]]
['cells', [68264, 68269]]
['cells', [68326, 68331]]
['cells', [68828, 68833]]
['cells', [69693, 69698]]
['cells', [69883, 69888]]
['cells', [69902, 69907]]
['cells', [69964, 69969]]
['cells', [70466, 70471]]
['cells', [71331, 71336]]
['cells', [72284, 72289]]
['cells', [72347, 72352]]
['cells', [72640, 72645]]
['cells', [73219, 73224]]
['cells', [73281, 73286]]
['cells', [74403, 74408]]
['cells', [75354, 75359]]
['cells', [75750, 75755]]
['cells', [76310, 76315]]
['cells', [76334, 76339]]
['cells', [76507, 76512]]
['cells', [76538, 76543]]
['cells', [76981, 76986]]
['cells', [77213, 77218]]
['cells', [77576, 77581]]
['cells', [78000, 78005]]
['cells', [78631, 78636]]
['cells', [79009, 79014]]
['cells', [79338, 79343]]
['cells', [80347, 80352]]
['cells', [81175, 81180]]
['cells', [81238, 81243]]
['cells', [81531, 81536]]
['cells', [82110, 82115]]
['cells', [82172, 82177]]
['cells', [83294, 83299]]
['cells', [84245, 84250]]
['cells', [84641, 84646]]
['cells', [85201, 85206]]
['cells', [85225, 85230]]
['cells', [85398, 85403]]
['cells', [85429, 85434]]
['cells', [85872, 85877]]
['cells', [86104, 86109]]
['cells', [86467, 86472]]
['cells', [86891, 86896]]
['cells', [87522, 87527]]
['cells', [87900, 87905]]
['cells', [88229, 88234]]
['cells', [89238, 89243]]
['tumor', [40, 45]]
['tumor', [72, 77]]
['tumor', [151, 156]]
['tumor', [223, 228]]
['tumor', [294, 299]]
['tumor', [324, 329]]
['tumor', [711, 716]]
['tumor', [842, 847]]
['tumor', [955, 960]]
['tumor', [1048, 1053]]
['tumor', [1080, 1085]]
['tumor', [1229, 1234]]
['tumor', [1301, 1306]]
['tumor', [1451, 1456]]
['tumor', [1470, 1475]]
['tumor', [1997, 2002]]
['tumor', [2538, 2543]]
['tumor', [2559, 2564]]
['tumor', [2685, 2690]]
['tumor', [2789, 2794]]
['tumor', [2889, 2894]]
['tumor', [3087, 3092]]
['tumor', [3139, 3144]]
['tumor', [3339, 3344]]
['tumor', [3909, 3914]]
['tumor', [4016, 4021]]
['tumor', [4238, 4243]]
['tumor', [4363, 4368]]
['tumor', [4577, 4582]]
['tumor', [4704, 4709]]
['tumor', [4865, 4870]]
['tumor', [4900, 4905]]
['tumor', [4968, 4973]]
['tumor', [5014, 5019]]
['tumor', [5292, 5297]]
['tumor', [5517, 5522]]
['tumor', [5858, 5863]]
['tumor', [6628, 6633]]
['tumor', [6683, 6688]]
['tumor', [6755, 6760]]
['tumor', [7080, 7085]]
['tumor', [13879, 13884]]
['tumor', [13934, 13939]]
['tumor', [14006, 14011]]
['tumor', [14331, 14336]]
['tumor', [21267, 21272]]
['tumor', [21419, 21424]]
['tumor', [21582, 21587]]
['tumor', [21629, 21634]]
['tumor', [21687, 21692]]
['tumor', [21914, 21919]]
['tumor', [22129, 22134]]
['tumor', [22193, 22198]]
['tumor', [22428, 22433]]
['tumor', [22556, 22561]]
['tumor', [22579, 22584]]
['tumor', [22814, 22819]]
['tumor', [23570, 23575]]
['tumor', [23623, 23628]]
['tumor', [23677, 23682]]
['tumor', [23826, 23831]]
['tumor', [24156, 24161]]
['tumor', [24414, 24419]]
['tumor', [29627, 29632]]
['tumor', [29746, 29751]]
['tumor', [29779, 29784]]
['tumor', [29863, 29868]]
['tumor', [29904, 29909]]
['tumor', [30288, 30293]]
['tumor', [30645, 30650]]
['tumor', [30943, 30948]]
['tumor', [32996, 33001]]
['tumor', [39600, 39605]]
['tumor', [39756, 39761]]
['tumor', [39900, 39905]]
['tumor', [40210, 40215]]
['tumor', [40276, 40281]]
['tumor', [40380, 40385]]
['tumor', [40698, 40703]]
['tumor', [40984, 40989]]
['tumor', [40995, 41000]]
['tumor', [41036, 41041]]
['tumor', [43089, 43094]]
['tumor', [49693, 49698]]
['tumor', [49849, 49854]]
['tumor', [49993, 49998]]
['tumor', [50303, 50308]]
['tumor', [50369, 50374]]
['tumor', [50473, 50478]]
['tumor', [50791, 50796]]
['tumor', [51077, 51082]]
['tumor', [51088, 51093]]
['tumor', [51129, 51134]]
['tumor', [54402, 54407]]
['tumor', [56057, 56062]]
['tumor', [68239, 68244]]
['tumor', [68395, 68400]]
['tumor', [68539, 68544]]
['tumor', [68849, 68854]]
['tumor', [68915, 68920]]
['tumor', [69019, 69024]]
['tumor', [69337, 69342]]
['tumor', [69623, 69628]]
['tumor', [69634, 69639]]
['tumor', [69675, 69680]]
['tumor', [69877, 69882]]
['tumor', [70033, 70038]]
['tumor', [70177, 70182]]
['tumor', [70487, 70492]]
['tumor', [70553, 70558]]
['tumor', [70657, 70662]]
['tumor', [70975, 70980]]
['tumor', [71261, 71266]]
['tumor', [71272, 71277]]
['tumor', [71313, 71318]]
['tumor', [71574, 71579]]
['tumor', [72065, 72070]]
['tumor', [72278, 72283]]
['tumor', [72341, 72346]]
['tumor', [72519, 72524]]
['tumor', [73290, 73295]]
['tumor', [73936, 73941]]
['tumor', [74153, 74158]]
['tumor', [74318, 74323]]
['tumor', [74511, 74516]]
['tumor', [74532, 74537]]
['tumor', [74685, 74690]]
['tumor', [74722, 74727]]
['tumor', [74787, 74792]]
['tumor', [75200, 75205]]
['tumor', [76146, 76151]]
['tumor', [76296, 76301]]
['tumor', [77267, 77272]]
['tumor', [77376, 77381]]
['tumor', [77645, 77650]]
['tumor', [77707, 77712]]
['tumor', [77792, 77797]]
['tumor', [77994, 77999]]
['tumor', [78625, 78630]]
['tumor', [79150, 79155]]
['tumor', [79200, 79205]]
['tumor', [79220, 79225]]
