genia tagger: 6510['thymidylate', [61, 72]]
['thymidylate', [128, 139]]
['thymidylate', [194, 205]]
['thymidylate', [301, 312]]
['thymidylate', [496, 507]]
['thymidylate', [884, 895]]
['thymidylate', [1170, 1181]]
['thymidylate', [1800, 1811]]
['thymidylate', [1861, 1872]]
['thymidylate', [1946, 1957]]
['thymidylate', [2138, 2149]]
['thymidylate', [2319, 2330]]
['thymidylate', [3028, 3039]]
['thymidylate', [3582, 3593]]
['thymidylate', [3713, 3724]]
['thymidylate', [3881, 3892]]
['thymidylate', [5614, 5625]]
['thymidylate', [5883, 5894]]
['thymidylate', [24009, 24020]]
['thymidylate', [31674, 31685]]
['thymidylate', [42774, 42785]]
['thymidylate', [45491, 45502]]
['thymidylate', [48811, 48822]]
['thymidylate', [49076, 49087]]
['thymidylate', [50290, 50301]]
['thymidylate', [51770, 51781]]
['thymidylate', [52036, 52047]]
['thymidylate', [52406, 52417]]
['thymidylate', [53252, 53263]]
['thymidylate', [53573, 53584]]
['thymidylate', [54680, 54691]]
['thymidylate', [54945, 54956]]
['thymidylate', [56159, 56170]]
['thymidylate', [57639, 57650]]
['thymidylate', [57905, 57916]]
['thymidylate', [58275, 58286]]
['thymidylate', [59121, 59132]]
['thymidylate', [59442, 59453]]
['synthase', [206, 214]]
['hr', [597, 599]]
['hr', [725, 727]]
['hr', [823, 825]]
['hr', [953, 955]]
['hr', [1739, 1741]]
['hr', [2105, 2107]]
['hr', [3169, 3171]]
['hr', [3356, 3358]]
['hr', [3419, 3421]]
['hr', [3429, 3431]]
['hr', [3572, 3574]]
['hr', [3840, 3842]]
['hr', [3973, 3975]]
['hr', [5069, 5071]]
['hr', [5498, 5500]]
['hr', [5671, 5673]]
['hr', [5779, 5781]]
['hr', [10962, 10964]]
['hr', [11250, 11252]]
['hr', [16991, 16993]]
['hr', [17279, 17281]]
['hr', [18103, 18105]]
['hr', [18726, 18728]]
['hr', [18858, 18860]]
['hr', [19293, 19295]]
['hr', [19352, 19354]]
['hr', [19767, 19769]]
