genia tagger: 2593['dsm-iv', [149, 155]]
['dsm-iv', [2110, 2116]]
['dsm-iv', [2852, 2858]]
['dsm-iv', [3635, 3641]]
['dsm-iv', [8955, 8961]]
['dsm-iv', [17499, 17505]]
['dsm-iv', [45692, 45698]]
['dsm-iv', [46342, 46348]]
['dsm-iv', [48309, 48315]]
['dsm-iv', [57362, 57368]]
['dsm-iv', [58012, 58018]]
['dsm-iv', [59979, 59985]]
['ednos', [3603, 3608]]
['ednos', [4242, 4247]]
['ednos', [4947, 4952]]
['ednos', [8186, 8191]]
['ednos', [8315, 8320]]
['ednos', [8437, 8442]]
['ednos', [8818, 8823]]
['ednos', [9067, 9072]]
['ednos', [9093, 9098]]
['ednos', [9357, 9362]]
['ednos', [10432, 10437]]
['ednos', [10678, 10683]]
['ednos', [16730, 16735]]
['ednos', [16859, 16864]]
['ednos', [16981, 16986]]
['ednos', [17362, 17367]]
['ednos', [17612, 17617]]
['ednos', [17638, 17643]]
['ednos', [17902, 17907]]
['ednos', [18977, 18982]]
['ednos', [19223, 19228]]
['ednos', [19754, 19759]]
['ednos', [19780, 19785]]
['ednos', [20044, 20049]]
['ednos', [21119, 21124]]
['ednos', [21365, 21370]]
['ednos', [45381, 45386]]
['ednos', [45891, 45896]]
['ednos', [57051, 57056]]
['ednos', [57561, 57566]]
['ebw', [192, 195]]
['ebw', [310, 313]]
['ebw', [619, 622]]
['ebw', [932, 935]]
['ebw', [1038, 1041]]
['ebw', [2917, 2920]]
['ebw', [3374, 3377]]
['ebw', [4008, 4011]]
['ebw', [4118, 4121]]
['ebw', [4316, 4319]]
['ebw', [4757, 4760]]
['ebw', [4849, 4852]]
['ebw', [5326, 5329]]
['ebw', [5478, 5481]]
['ebw', [5571, 5574]]
['ebw', [5747, 5750]]
['ebw', [6761, 6764]]
['ebw', [7074, 7077]]
['ebw', [7181, 7184]]
['ebw', [11804, 11807]]
['ebw', [11994, 11997]]
['ebw', [12607, 12610]]
['ebw', [16130, 16133]]
['ebw', [22494, 22497]]
['ebw', [22684, 22687]]
['ebw', [23297, 23300]]
['ebw', [28605, 28608]]
['ebw', [29059, 29062]]
['ebw', [29120, 29123]]
['ebw', [30286, 30289]]
['ebw', [34157, 34160]]
['ebw', [34218, 34221]]
['ebw', [35384, 35387]]
['ebw', [39252, 39255]]
['ebw', [39313, 39316]]
['ebw', [40479, 40482]]
['ebw', [46449, 46452]]
['ebw', [54082, 54085]]
['ebw', [54501, 54504]]
['ebw', [55537, 55540]]
['ebw', [58119, 58122]]
['ebw', [65752, 65755]]
['ebw', [66171, 66174]]
['ebw', [67207, 67210]]
['ebw', [69413, 69416]]
['ebw', [73244, 73247]]
['calculation', [400, 411]]
['calculation', [623, 634]]
['calculation', [936, 947]]
['calculation', [2922, 2933]]
['calculation', [3378, 3389]]
['calculation', [4301, 4312]]
['calculation', [5751, 5762]]
['calculation', [6765, 6776]]
['calculation', [7078, 7089]]
['calculation', [16134, 16145]]
['calculation', [28609, 28620]]
['calculation', [44544, 44555]]
['calculation', [46434, 46445]]
['calculation', [47104, 47115]]
['calculation', [49339, 49350]]
['calculation', [53697, 53708]]
['calculation', [54086, 54097]]
['calculation', [54261, 54272]]
['calculation', [56214, 56225]]
['calculation', [58104, 58115]]
['calculation', [58774, 58785]]
['calculation', [61009, 61020]]
['calculation', [65367, 65378]]
['calculation', [65756, 65767]]
['calculation', [65931, 65942]]
['across', [418, 424]]
['across', [1401, 1407]]
['across', [2810, 2816]]
['across', [4548, 4554]]
['across', [5763, 5769]]
['across', [6196, 6202]]
['across', [7545, 7551]]
['across', [15220, 15226]]
['across', [16353, 16359]]
['across', [27695, 27701]]
['across', [28828, 28834]]
['across', [31080, 31086]]
['across', [31162, 31168]]
['across', [31362, 31368]]
['across', [36177, 36183]]
['across', [36259, 36265]]
['across', [36459, 36465]]
['across', [41272, 41278]]
['across', [41354, 41360]]
['across', [41554, 41560]]
['across', [44232, 44238]]
['across', [47133, 47139]]
['across', [55611, 55617]]
['across', [55902, 55908]]
['across', [58803, 58809]]
['across', [67281, 67287]]
['clinical', [723, 731]]
['clinical', [2315, 2323]]
['clinical', [3515, 3523]]
['clinical', [3532, 3540]]
['clinical', [4465, 4473]]
['clinical', [5770, 5778]]
['clinical', [6865, 6873]]
['clinical', [8026, 8034]]
['clinical', [8154, 8162]]
['clinical', [9778, 9786]]
['clinical', [11240, 11248]]
['clinical', [14370, 14378]]
['clinical', [16570, 16578]]
['clinical', [16698, 16706]]
['clinical', [18323, 18331]]
['clinical', [20465, 20473]]
['clinical', [21929, 21937]]
['clinical', [25061, 25069]]
['clinical', [26844, 26852]]
['clinical', [46254, 46262]]
['clinical', [51403, 51411]]
['clinical', [53895, 53903]]
['clinical', [57924, 57932]]
['clinical', [63073, 63081]]
['clinical', [65565, 65573]]
['sites', [5779, 5784]]
['icd-10', [8976, 8982]]
['icd-10', [17520, 17526]]
['icd-10', [51777, 51783]]
['icd-10', [63447, 63453]]
['\xe2\x80\x98ednos\xe2\x80\x99', [9354, 9365]]
['\xe2\x80\x98ednos\xe2\x80\x99', [10429, 10440]]
['\xe2\x80\x98ednos\xe2\x80\x99', [17899, 17910]]
['\xe2\x80\x98ednos\xe2\x80\x99', [18974, 18985]]
['\xe2\x80\x98ednos\xe2\x80\x99', [20041, 20052]]
['\xe2\x80\x98ednos\xe2\x80\x99', [21116, 21127]]
['psycinfo', [9279, 9287]]
['psycinfo', [9520, 9528]]
['psycinfo', [17824, 17832]]
['psycinfo', [18065, 18073]]
['psycinfo', [19966, 19974]]
['psycinfo', [20207, 20215]]
['embase', [9298, 9304]]
['embase', [9539, 9545]]
['embase', [17843, 17849]]
['embase', [18084, 18090]]
['embase', [19985, 19991]]
['embase', [20226, 20232]]
['\xe2\x80\x98non-specified\xe2\x80\x99', [9867, 9886]]
['\xe2\x80\x98non-specified\xe2\x80\x99', [18412, 18431]]
['\xe2\x80\x98non-specified\xe2\x80\x99', [20554, 20573]]
['\xe2\x80\x98nos\xe2\x80\x99', [9888, 9897]]
['\xe2\x80\x98nos\xe2\x80\x99', [18433, 18442]]
['\xe2\x80\x98nos\xe2\x80\x99', [20575, 20584]]
['scopus', [10030, 10036]]
['scopus', [18575, 18581]]
['scopus', [20717, 20723]]
['database', [9268, 9276]]
['database', [9422, 9430]]
['database', [10037, 10045]]
