genia tagger: 9797['type', [4, 8]]
['type', [391, 395]]
['type', [411, 415]]
['type', [939, 943]]
['type', [4395, 4399]]
['type', [6216, 6220]]
['type', [7411, 7415]]
['type', [10278, 10282]]
['type', [11983, 11987]]
['type', [13473, 13477]]
['type', [16343, 16347]]
['type', [18049, 18053]]
['type', [19757, 19761]]
['type', [26277, 26281]]
['type', [32789, 32793]]
['type', [36000, 36004]]
['1', [9, 10]]
['1', [396, 397]]
['1', [404, 405]]
['1', [485, 486]]
['1', [713, 714]]
['1', [817, 818]]
['1', [955, 956]]
['1', [1127, 1128]]
['1', [1415, 1416]]
['1', [1586, 1587]]
['1', [2017, 2018]]
['1', [2731, 2732]]
['1', [2766, 2767]]
['1', [2807, 2808]]
['1', [3204, 3205]]
['1', [3218, 3219]]
['1', [3515, 3516]]
['1', [3640, 3641]]
['1', [3663, 3664]]
['1', [3682, 3683]]
['1', [3710, 3711]]
['1', [3968, 3969]]
['1', [4063, 4064]]
['1', [4197, 4198]]
['1', [4439, 4440]]
['1', [4458, 4459]]
['1', [4478, 4479]]
['1', [5365, 5366]]
['1', [5547, 5548]]
['1', [5592, 5593]]
['1', [5911, 5912]]
['1', [6094, 6095]]
['1', [6232, 6233]]
['1', [6405, 6406]]
['1', [6693, 6694]]
['1', [6865, 6866]]
['1', [7035, 7036]]
['1', [7039, 7040]]
['1', [7050, 7051]]
['1', [7073, 7074]]
['1', [7090, 7091]]
['1', [7094, 7095]]
['1', [7129, 7130]]
['1', [7212, 7213]]
['1', [7489, 7490]]
['1', [7554, 7555]]
['1', [7705, 7706]]
['1', [7959, 7960]]
['1', [8113, 8114]]
['1', [8381, 8382]]
['1', [8441, 8442]]
['1', [8444, 8445]]
['1', [8897, 8898]]
['1', [8972, 8973]]
['1', [9016, 9017]]
['1', [9031, 9032]]
['1', [9046, 9047]]
['1', [9051, 9052]]
['1', [9317, 9318]]
['1', [9433, 9434]]
['1', [9917, 9918]]
['1', [9930, 9931]]
['1', [9947, 9948]]
['1', [9973, 9974]]
['1', [10187, 10188]]
['1', [10283, 10284]]
['1', [10357, 10358]]
['1', [10676, 10677]]
['1', [10850, 10851]]
['1', [11006, 11007]]
['1', [11177, 11178]]
['1', [12493, 12494]]
['1', [12745, 12746]]
['1', [13097, 13098]]
['1', [13101, 13102]]
['1', [13112, 13113]]
['1', [13135, 13136]]
['1', [13152, 13153]]
['1', [13156, 13157]]
['1', [13191, 13192]]
['1', [13274, 13275]]
['1', [13551, 13552]]
['1', [13616, 13617]]
['1', [13767, 13768]]
['1', [14021, 14022]]
['1', [14175, 14176]]
['1', [14444, 14445]]
['1', [14504, 14505]]
['1', [14507, 14508]]
['1', [14961, 14962]]
['1', [15036, 15037]]
['1', [15080, 15081]]
['1', [15095, 15096]]
['1', [15110, 15111]]
['1', [15115, 15116]]
['1', [15381, 15382]]
['1', [15497, 15498]]
['1', [15982, 15983]]
['1', [15995, 15996]]
['1', [16012, 16013]]
['1', [16038, 16039]]
['1', [16252, 16253]]
['1', [16348, 16349]]
['1', [16422, 16423]]
['1', [16741, 16742]]
['1', [16916, 16917]]
['1', [17072, 17073]]
['1', [17243, 17244]]
['1', [18560, 18561]]
