genia tagger: 10921['stat5', [42, 47]]
['stat5', [539, 544]]
['stat5', [11098, 11103]]
['stat5', [14015, 14020]]
['stat5', [14087, 14092]]
['stat5', [14125, 14130]]
['stat5', [14198, 14203]]
['stat5', [14254, 14259]]
['stat5', [14401, 14406]]
['stat5', [14672, 14677]]
['stat5', [15078, 15083]]
['stat5', [15159, 15164]]
['stat5', [15241, 15246]]
['stat5', [15289, 15294]]
['stat5', [15332, 15337]]
['stat5', [15424, 15429]]
['stat5', [15534, 15539]]
['stat5', [19538, 19543]]
['stat5', [22456, 22461]]
['stat5', [22528, 22533]]
['stat5', [22566, 22571]]
['stat5', [22639, 22644]]
['stat5', [22695, 22700]]
['stat5', [22842, 22847]]
['stat5', [23113, 23118]]
['stat5', [23519, 23524]]
['stat5', [23600, 23605]]
['stat5', [23682, 23687]]
['stat5', [23730, 23735]]
['stat5', [23773, 23778]]
['stat5', [23865, 23870]]
['stat5', [23975, 23980]]
['stat5', [24077, 24082]]
['stat5', [24438, 24443]]
['stat5', [24609, 24614]]
['stat5', [24671, 24676]]
['stat5', [24785, 24790]]
['stat5', [25494, 25499]]
['stat5', [25624, 25629]]
['stat5', [25804, 25809]]
['stat5', [25923, 25928]]
['stat5', [26331, 26336]]
['stat5', [26446, 26451]]
['stat5', [26684, 26689]]
['stat5', [26826, 26831]]
['stat5', [26926, 26931]]
['stat5', [27188, 27193]]
['stat5', [27845, 27850]]
['stat5', [28697, 28702]]
['stat5', [28706, 28711]]
['stat5', [28968, 28973]]
['stat5', [29058, 29063]]
['stat5', [29398, 29403]]
['stat5', [29522, 29527]]
['stat5', [29669, 29674]]
['stat5', [29953, 29958]]
['stat5', [30100, 30105]]
['stat5', [30157, 30162]]
['stat5', [30332, 30337]]
['stat5', [30514, 30519]]
['stat5', [30748, 30753]]
['stat5', [30940, 30945]]
['stat5', [30979, 30984]]
['stat5', [31582, 31587]]
['stat5', [31747, 31752]]
['stat5', [32205, 32210]]
['stat5', [32234, 32239]]
['stat5', [32334, 32339]]
['stat5', [32561, 32566]]
['stat5', [33031, 33036]]
['stat5', [33474, 33479]]
['stat5', [33843, 33848]]
['stat5', [33938, 33943]]
['stat5', [34063, 34068]]
['stat5', [34606, 34611]]
['stat5', [35458, 35463]]
['stat5', [35467, 35472]]
['stat5', [35729, 35734]]
['stat5', [35819, 35824]]
['stat5', [36159, 36164]]
['stat5', [36283, 36288]]
['stat5', [36430, 36435]]
['stat5', [36714, 36719]]
['stat5', [36861, 36866]]
['stat5', [36918, 36923]]
['stat5', [37093, 37098]]
['stat5', [37275, 37280]]
['stat5', [37509, 37514]]
