genia tagger: 11159['insig2', [55, 61]]
['insig2', [329, 335]]
['insig2', [1145, 1151]]
['insig2', [1826, 1832]]
['insig2', [3152, 3158]]
['insig2', [4778, 4784]]
['insig2', [5685, 5691]]
['insig2', [6367, 6373]]
['insig2', [10685, 10691]]
['insig2', [13047, 13053]]
['insig2', [17934, 17940]]
['insig2', [20297, 20303]]
['insig2', [23123, 23129]]
['insig2', [24168, 24174]]
['insig2', [25234, 25240]]
['insig2', [27635, 27641]]
['insig2', [28680, 28686]]
['insig2', [29746, 29752]]
['insig2', [37157, 37163]]
['insig2', [38202, 38208]]
['insig2', [39268, 39274]]
['insig2', [39591, 39597]]
['insig2', [40636, 40642]]
['insig2', [41702, 41708]]
['insig2', [44021, 44027]]
['insig2', [45051, 45057]]
['insig2', [46118, 46124]]
['insig2', [46462, 46468]]
['insig2', [46877, 46883]]
['insig2', [47268, 47274]]
['insig2', [47770, 47776]]
['insig2', [48629, 48635]]
['insig2', [48976, 48982]]
['insig2', [49172, 49178]]
['insig2', [50526, 50532]]
['insig2', [52372, 52378]]
['insig2', [52861, 52867]]
['insig2', [52991, 52997]]
['insig2', [53462, 53468]]
['insig2', [53592, 53598]]
['insig2', [53983, 53989]]
['insig2', [54485, 54491]]
['insig2', [55344, 55350]]
['insig2', [55691, 55697]]
['insig2', [55887, 55893]]
['insig2', [57241, 57247]]
['insig2', [59087, 59093]]
['insig2', [59576, 59582]]
['insig2', [59706, 59712]]
['insig2', [60177, 60183]]
['insig2', [60804, 60810]]
['insig2', [61305, 61311]]
['insig2', [63503, 63509]]
['insig2', [66153, 66159]]
['insig2', [68575, 68581]]
['insig2', [69076, 69082]]
['insig2', [71274, 71280]]
['insig2', [73924, 73930]]
['loci', [62, 66]]
['loci', [4819, 4823]]
['loci', [13626, 13630]]
['loci', [20876, 20880]]
['loci', [21534, 21538]]
['loci', [26046, 26050]]
['loci', [30550, 30554]]
['loci', [31098, 31102]]
['loci', [53469, 53473]]
['loci', [60184, 60188]]
['fto', [47, 50]]
['fto', [241, 244]]
['fto', [981, 984]]
['fto', [1818, 1821]]
['fto', [2123, 2126]]
['fto', [2271, 2274]]
['fto', [2530, 2533]]
['fto', [4770, 4773]]
['fto', [5521, 5524]]
['fto', [6359, 6362]]
['fto', [10481, 10484]]
['fto', [17730, 17733]]
['fto', [21600, 21603]]
['fto', [22626, 22629]]
['fto', [25197, 25200]]
['fto', [26112, 26115]]
['fto', [27138, 27141]]
['fto', [29709, 29712]]
['fto', [31165, 31168]]
['fto', [32191, 32194]]
['fto', [32689, 32692]]
['fto', [33715, 33718]]
['fto', [36177, 36180]]
['fto', [36659, 36662]]
['fto', [39231, 39234]]
['fto', [41665, 41668]]
['fto', [46081, 46084]]
['fto', [46425, 46428]]
['fto', [46847, 46850]]
['fto', [47140, 47143]]
['fto', [47762, 47765]]
['fto', [48205, 48208]]
['fto', [48323, 48326]]
['fto', [48487, 48490]]
['fto', [49164, 49167]]
['fto', [49991, 49994]]
['fto', [50108, 50111]]
['fto', [51369, 51372]]
['fto', [52214, 52217]]
['fto', [52700, 52703]]
['fto', [53454, 53457]]
['fto', [53562, 53565]]
['fto', [53855, 53858]]
['fto', [54477, 54480]]
['fto', [54920, 54923]]
['fto', [55038, 55041]]
['fto', [55202, 55205]]
['fto', [55879, 55882]]
['fto', [56706, 56709]]
['fto', [56823, 56826]]
['fto', [58084, 58087]]
['fto', [58929, 58932]]
['fto', [59415, 59418]]
['fto', [60169, 60172]]
['fto', [60241, 60244]]
['fto', [62230, 62233]]
['fto', [64782, 64785]]
['fto', [68012, 68015]]
['fto', [70001, 70004]]
['fto', [72553, 72556]]
['10', [277, 279]]
['10', [2940, 2942]]
['10', [3105, 3107]]
['10', [9521, 9523]]
['10', [16768, 16770]]
['10', [50039, 50041]]
['10', [56754, 56756]]
['10', [62391, 62393]]
['10', [62402, 62404]]
['10', [62550, 62552]]
['10', [62560, 62562]]
['10', [62570, 62572]]
['10', [62667, 62669]]
['10', [63637, 63639]]
['10', [63668, 63670]]
['10', [63679, 63681]]
['10', [63690, 63692]]
['10', [63822, 63824]]
['10', [63832, 63834]]
['10', [63842, 63844]]
['10', [63972, 63974]]
['10', [64072, 64074]]
['10', [64077, 64079]]
['10', [64116, 64118]]
['10', [64121, 64123]]
['10', [64937, 64939]]
['10', [64948, 64950]]
['10', [64960, 64962]]
['10', [65092, 65094]]
['10', [65102, 65104]]
['10', [65112, 65114]]
['10', [65153, 65155]]
['10', [65469, 65471]]
['10', [65519, 65521]]
['10', [65562, 65564]]
['10', [66310, 66312]]
['10', [66321, 66323]]
['10', [66464, 66466]]
['10', [66474, 66476]]
['10', [66484, 66486]]
['10', [70162, 70164]]
['10', [70173, 70175]]
['10', [70321, 70323]]
['10', [70331, 70333]]
['10', [70341, 70343]]
['10', [70438, 70440]]
['10', [71408, 71410]]
['10', [71439, 71441]]
['10', [71450, 71452]]
['10', [71461, 71463]]
['10', [71593, 71595]]
['10', [71603, 71605]]
['10', [71613, 71615]]
['10', [71743, 71745]]
['10', [71843, 71845]]
['10', [71848, 71850]]
['10', [71887, 71889]]
['10', [71892, 71894]]
['10', [72708, 72710]]
['10', [72719, 72721]]
['10', [72731, 72733]]
['10', [72863, 72865]]
['10', [72873, 72875]]
['10', [72883, 72885]]
['10', [72924, 72926]]
['10', [73240, 73242]]
['10', [73290, 73292]]
['10', [73333, 73335]]
['10', [74081, 74083]]
['10', [74092, 74094]]
['10', [74235, 74237]]
['10', [74245, 74247]]
['10', [74255, 74257]]
['kb', [280, 282]]
['kb', [3108, 3110]]
['upstream', [283, 291]]
['upstream', [3111, 3119]]
['upstream', [46865, 46873]]
['upstream', [53580, 53588]]
['upstream', [60788, 60796]]
['upstream', [61289, 61297]]
['upstream', [68559, 68567]]
['upstream', [69060, 69068]]
['insulin-induced', [299, 314]]
['insulin-induced', [3127, 3142]]
['gene', [10, 14]]
['gene', [234, 238]]
['gene', [315, 319]]
['gene', [322, 326]]
['gene', [1448, 1452]]
['gene', [2129, 2133]]
['gene', [3143, 3147]]
['gene', [4190, 4194]]
['gene', [4785, 4789]]
['gene', [5988, 5992]]
['gene', [7811, 7815]]
['gene', [11063, 11067]]
['gene', [11092, 11096]]
['gene', [11843, 11847]]
['gene', [12995, 12999]]
['gene', [13096, 13100]]
['gene', [13195, 13199]]
['gene', [15057, 15061]]
['gene', [18313, 18317]]
['gene', [18342, 18346]]
['gene', [19093, 19097]]
['gene', [20245, 20249]]
['gene', [20346, 20350]]
['gene', [20445, 20449]]
['gene', [24754, 24758]]
['gene', [29266, 29270]]
['gene', [38788, 38792]]
['gene', [41222, 41226]]
['gene', [44607, 44611]]
['gene', [45637, 45641]]
['gene', [48111, 48115]]
['gene', [49068, 49072]]
['gene', [49100, 49104]]
['gene', [49465, 49469]]
['gene', [49686, 49690]]
['gene', [49757, 49761]]
['gene', [50997, 51001]]
['gene', [51193, 51197]]
['gene', [51225, 51229]]
['gene', [51491, 51495]]
['gene', [51632, 51636]]
['gene', [53417, 53421]]
['gene', [54826, 54830]]
['gene', [55783, 55787]]
['gene', [55815, 55819]]
['gene', [56180, 56184]]
['gene', [56401, 56405]]
['gene', [56472, 56476]]
['gene', [57712, 57716]]
['gene', [57908, 57912]]
['gene', [57940, 57944]]
['gene', [58206, 58210]]
['gene', [58347, 58351]]
['gene', [60132, 60136]]
['gene', [60811, 60815]]
['gene', [61312, 61316]]
['gene', [61654, 61658]]
['gene', [68582, 68586]]
['gene', [69083, 69087]]
['gene', [69425, 69429]]
['2', [60, 61]]
['2', [320, 321]]
['2', [334, 335]]
['2', [605, 606]]
['2', [795, 796]]
['2', [1150, 1151]]
['2', [1276, 1277]]
['2', [1503, 1504]]
['2', [1525, 1526]]
['2', [1576, 1577]]
['2', [1588, 1589]]
['2', [1831, 1832]]
['2', [2403, 2404]]
['2', [3148, 3149]]
['2', [3157, 3158]]
['2', [3463, 3464]]
['2', [3464, 3465]]
['2', [3677, 3678]]
['2', [4783, 4784]]
['2', [5144, 5145]]
['2', [5334, 5335]]
['2', [5690, 5691]]
['2', [5816, 5817]]
['2', [6043, 6044]]
['2', [6065, 6066]]
['2', [6116, 6117]]
['2', [6128, 6129]]
['2', [6372, 6373]]
['2', [6697, 6698]]
['2', [6818, 6819]]
['2', [7167, 7168]]
['2', [7229, 7230]]
['2', [7660, 7661]]
['2', [8057, 8058]]
['2', [8144, 8145]]
['2', [8297, 8298]]
['2', [8521, 8522]]
['2', [8528, 8529]]
['2', [8938, 8939]]
['2', [8943, 8944]]
['2', [9603, 9604]]
['2', [9815, 9816]]
['2', [10298, 10299]]
['2', [10460, 10461]]
['2', [10467, 10468]]
['2', [10657, 10658]]
['2', [10690, 10691]]
['2', [10861, 10862]]
['2', [13052, 13053]]
['2', [13453, 13454]]
['2', [13942, 13943]]
['2', [14063, 14064]]
['2', [14412, 14413]]
['2', [14474, 14475]]
['2', [14905, 14906]]
['2', [15303, 15304]]
['2', [15390, 15391]]
['2', [15543, 15544]]
['2', [15768, 15769]]
['2', [15775, 15776]]
['2', [16185, 16186]]
['2', [16190, 16191]]
['2', [16850, 16851]]
['2', [17062, 17063]]
['2', [17546, 17547]]
['2', [17709, 17710]]
['2', [17716, 17717]]
['2', [17906, 17907]]
['2', [17939, 17940]]
['2', [18110, 18111]]
['2', [20302, 20303]]
['2', [20703, 20704]]
['2', [21194, 21195]]
['2', [22276, 22277]]
['2', [22561, 22562]]
['2', [22932, 22933]]
['2', [23128, 23129]]
['2', [23201, 23202]]
['2', [23963, 23964]]
['2', [24018, 24019]]
['2', [24025, 24026]]
['2', [24037, 24038]]
['2', [24048, 24049]]
['2', [24173, 24174]]
['2', [24246, 24247]]
['2', [24436, 24437]]
['2', [24639, 24640]]
['2', [24651, 24652]]
['2', [24815, 24816]]
['2', [24909, 24910]]
['2', [24921, 24922]]
['2', [25239, 25240]]
['2', [25706, 25707]]
['2', [26788, 26789]]
['2', [27073, 27074]]
['2', [27444, 27445]]
['2', [27640, 27641]]
['2', [27713, 27714]]
['2', [28475, 28476]]
['2', [28530, 28531]]
['2', [28537, 28538]]
['2', [28549, 28550]]
['2', [28560, 28561]]
['2', [28685, 28686]]
['2', [28758, 28759]]
['2', [28948, 28949]]
['2', [29151, 29152]]
['2', [29163, 29164]]
['2', [29327, 29328]]
['2', [29421, 29422]]
['2', [29433, 29434]]
['2', [29751, 29752]]
['2', [30210, 30211]]
['2', [30758, 30759]]
['2', [31841, 31842]]
['2', [32126, 32127]]
['2', [32497, 32498]]
['2', [33365, 33366]]
['2', [33650, 33651]]
['2', [34021, 34022]]
['2', [34836, 34837]]
['2', [35121, 35122]]
['2', [35826, 35827]]
['2', [36111, 36112]]
['2', [36483, 36484]]
['2', [36965, 36966]]
['2', [37162, 37163]]
['2', [37235, 37236]]
['2', [37997, 37998]]
['2', [38052, 38053]]
['2', [38059, 38060]]
['2', [38071, 38072]]
['2', [38082, 38083]]
['2', [38207, 38208]]
['2', [38280, 38281]]
['2', [38470, 38471]]
['2', [38673, 38674]]
['2', [38685, 38686]]
['2', [38849, 38850]]
['2', [38943, 38944]]
['2', [38955, 38956]]
['2', [39273, 39274]]
['2', [39596, 39597]]
['2', [39669, 39670]]
['2', [40431, 40432]]
['2', [40486, 40487]]
['2', [40493, 40494]]
