genia tagger: 5272['hpv', [0, 3]]
['hpv', [90, 93]]
['hpv', [320, 323]]
['hpv', [796, 799]]
['hpv', [818, 821]]
['hpv', [1369, 1372]]
['hpv', [1605, 1608]]
['hpv', [1620, 1623]]
['hpv', [1636, 1639]]
['hpv', [1877, 1880]]
['hpv', [2047, 2050]]
['hpv', [2227, 2230]]
['hpv', [2524, 2527]]
['hpv', [2743, 2746]]
['hpv', [2779, 2782]]
['hpv', [2906, 2909]]
['hpv', [3069, 3072]]
['hpv', [3270, 3273]]
['hpv', [3438, 3441]]
['hpv', [3576, 3579]]
['hpv', [3696, 3699]]
['hpv', [4005, 4008]]
['hpv', [4302, 4305]]
['hpv', [4498, 4501]]
['hpv', [4797, 4800]]
['hpv', [5001, 5004]]
['hpv', [5211, 5214]]
['hpv', [5417, 5420]]
['hpv', [5666, 5669]]
['hpv', [6062, 6065]]
['hpv', [6731, 6734]]
['hpv', [6786, 6789]]
['hpv', [8221, 8224]]
['hpv', [8610, 8613]]
['hpv', [8714, 8717]]
['hpv', [9060, 9063]]
['hpv', [9103, 9106]]
['hpv', [9180, 9183]]
['hpv', [9422, 9425]]
['hpv', [9611, 9614]]
['hpv', [9692, 9695]]
['hpv', [10019, 10022]]
['hpv', [10112, 10115]]
['hpv', [10471, 10474]]
['hpv', [10913, 10916]]
['hpv', [11037, 11040]]
['hpv', [11123, 11126]]
['hpv', [11458, 11461]]
['hpv', [11893, 11896]]
['hpv', [11958, 11961]]
['hpv', [12000, 12003]]
['hpv', [12040, 12043]]
['hpv', [12241, 12244]]
['hpv', [12275, 12278]]
['hpv', [12828, 12831]]
['hpv', [13037, 13040]]
['hpv', [13639, 13642]]
['hpv', [13787, 13790]]
['hpv', [13930, 13933]]
['hpv', [14510, 14513]]
['hpv', [14709, 14712]]
['hpv', [14978, 14981]]
['hpv', [15154, 15157]]
['hpv', [15855, 15858]]
['hpv', [16018, 16021]]
['hpv', [16308, 16311]]
['hpv', [16622, 16625]]
['hpv', [17279, 17282]]
['hpv', [17467, 17470]]
['hpv', [17478, 17481]]
['hpv', [17539, 17542]]
['hpv', [17859, 17862]]
['hpv', [17879, 17882]]
['hpv', [18009, 18012]]
['hpv', [18191, 18194]]
['hpv', [18249, 18252]]
['hpv', [18263, 18266]]
['hpv', [18577, 18580]]
['hpv', [18690, 18693]]
['hpv', [20063, 20066]]
['hpv', [20108, 20111]]
['hpv', [20201, 20204]]
['hpv', [20340, 20343]]
['hpv', [20452, 20455]]
['hpv', [20530, 20533]]
['hpv', [20773, 20776]]
['hpv', [21249, 21252]]
['hpv', [21829, 21832]]
['hpv', [22028, 22031]]
['hpv', [22297, 22300]]
['hpv', [22473, 22476]]
['hpv', [23174, 23177]]
['hpv', [23337, 23340]]
['hpv', [23627, 23630]]
['hpv', [23941, 23944]]
['hpv', [24598, 24601]]
['hpv', [24786, 24789]]
['hpv', [24797, 24800]]
['hpv', [24858, 24861]]
['hpv', [25178, 25181]]
['hpv', [25198, 25201]]
['hpv', [25328, 25331]]
['hpv', [25510, 25513]]
['hpv', [25568, 25571]]
['hpv', [25582, 25585]]
['hpv', [25896, 25899]]
['hpv', [26009, 26012]]
['hpv', [27383, 27386]]
['hpv', [27428, 27431]]
['hpv', [27521, 27524]]
['hpv', [27660, 27663]]
['hpv', [27772, 27775]]
['hpv', [27850, 27853]]
['hpv', [28093, 28096]]
['hpv', [28519, 28522]]
['hpv', [28844, 28847]]
['hpv', [29312, 29315]]
['hpv', [29758, 29761]]
['hpv', [29820, 29823]]
['hpv', [29925, 29928]]
['hpv', [30008, 30011]]
['hpv', [30089, 30092]]
['hpv', [30984, 30987]]
['hpv', [31231, 31234]]
['hpv', [31274, 31277]]
['hpv', [31675, 31678]]
['hpv', [32555, 32558]]
['hpv', [32738, 32741]]
['hpv', [34909, 34912]]
['hpv', [36592, 36595]]
['hpv', [36839, 36842]]
['hpv', [36882, 36885]]
['hpv', [37283, 37286]]
['hpv', [38164, 38167]]
['hpv', [38347, 38350]]
['hpv', [40520, 40523]]
['hpv', [43481, 43484]]
['hpv', [45953, 45956]]
['hpv', [46423, 46426]]
['hpv', [46955, 46958]]
['hpv', [48740, 48743]]
['hpv', [51214, 51217]]
['hpv', [51684, 51687]]
['hpv', [52216, 52219]]
['hpv', [53170, 53173]]
['hpv', [53338, 53341]]
['hpv', [53384, 53387]]
['hpv', [54296, 54299]]
['hpv', [54590, 54593]]
['hpv', [54786, 54789]]
['mrna', [4, 8]]
['mrna', [926, 930]]
['mrna', [1373, 1377]]
['mrna', [1624, 1628]]
['mrna', [5421, 5425]]
['mrna', [6317, 6321]]
['mrna', [7595, 7599]]
['mrna', [7984, 7988]]
['mrna', [8331, 8335]]
['mrna', [8455, 8459]]
['mrna', [8718, 8722]]
['mrna', [10023, 10027]]
['mrna', [10126, 10130]]
['mrna', [11127, 11131]]
['mrna', [11462, 11466]]
['mrna', [11907, 11911]]
['mrna', [11962, 11966]]
['mrna', [12763, 12767]]
['mrna', [13041, 13045]]
['mrna', [13354, 13358]]
['mrna', [13431, 13435]]
['mrna', [14942, 14946]]
['mrna', [15100, 15104]]
['mrna', [15298, 15302]]
['mrna', [16164, 16168]]
['mrna', [16262, 16266]]
['mrna', [16654, 16658]]
['mrna', [16948, 16952]]
['mrna', [17003, 17007]]
['mrna', [17296, 17300]]
['mrna', [18013, 18017]]
['mrna', [18195, 18199]]
['mrna', [18886, 18890]]
['mrna', [18977, 18981]]
['mrna', [19994, 19998]]
['mrna', [20112, 20116]]
['mrna', [20344, 20348]]
['mrna', [20534, 20538]]
['mrna', [20777, 20781]]
['mrna', [22261, 22265]]
['mrna', [22419, 22423]]
['mrna', [22617, 22621]]
['mrna', [23483, 23487]]
['mrna', [23581, 23585]]
['mrna', [23973, 23977]]
['mrna', [24267, 24271]]
['mrna', [24322, 24326]]
['mrna', [24615, 24619]]
['mrna', [25332, 25336]]
['mrna', [25514, 25518]]
['mrna', [26205, 26209]]
['mrna', [26296, 26300]]
['mrna', [27314, 27318]]
['mrna', [27432, 27436]]
['mrna', [27664, 27668]]
['mrna', [27854, 27858]]
['mrna', [28097, 28101]]
['mrna', [28814, 28818]]
['mrna', [53192, 53196]]
['mrna', [53388, 53392]]
['p16', [13, 16]]
['p16', [988, 991]]
['p16', [1382, 1385]]
['p16', [1692, 1695]]
['p16', [1729, 1732]]
['p16', [1754, 1757]]
['p16', [1785, 1788]]
['p16', [1815, 1818]]
['p16', [5693, 5696]]
['p16', [6367, 6370]]
['p16', [28501, 28504]]
['p16', [28739, 28742]]
['p16', [29213, 29216]]
['p16', [29406, 29409]]
['p16', [29456, 29459]]
['p16', [29523, 29526]]
['p16', [29644, 29647]]
['p16', [29710, 29713]]
['p16', [29973, 29976]]
['p16', [30191, 30194]]
['p16', [30394, 30397]]
['p16', [30473, 30476]]
['p16', [30556, 30559]]
['p16', [30753, 30756]]
['p16', [30842, 30845]]
['p16', [31129, 31132]]
['p16', [31993, 31996]]
['p16', [32221, 32224]]
['p16', [32447, 32450]]
['p16', [32636, 32639]]
['p16', [32842, 32845]]
['p16', [33049, 33052]]
['p16', [33110, 33113]]
['p16', [33654, 33657]]
['p16', [33899, 33902]]
['p16', [34011, 34014]]
['p16', [34534, 34537]]
['p16', [34585, 34588]]
['p16', [34685, 34688]]
['p16', [34792, 34795]]
['p16', [35213, 35216]]
['p16', [35308, 35311]]
['p16', [35372, 35375]]
['p16', [35432, 35435]]
['p16', [35494, 35497]]
['p16', [35658, 35661]]
['p16', [35735, 35738]]
['p16', [35893, 35896]]
['p16', [35963, 35966]]
['p16', [36081, 36084]]
['p16', [36164, 36167]]
['p16', [36361, 36364]]
['p16', [36450, 36453]]
['p16', [36737, 36740]]
['p16', [37602, 37605]]
['p16', [37830, 37833]]
['p16', [38056, 38059]]
['p16', [38245, 38248]]
['p16', [38451, 38454]]
['p16', [38659, 38662]]
['p16', [38720, 38723]]
['p16', [39264, 39267]]
['p16', [39509, 39512]]
['p16', [39621, 39624]]
['p16', [40144, 40147]]
['p16', [40196, 40199]]
['p16', [40296, 40299]]
['p16', [40403, 40406]]
['p16', [40824, 40827]]
['p16', [40919, 40922]]
['p16', [40983, 40986]]
['p16', [41043, 41046]]
['p16', [41105, 41108]]
['p16', [41269, 41272]]
['p16', [41346, 41349]]
['p16', [41504, 41507]]
['p16', [41574, 41577]]
['p16', [41668, 41671]]
['p16', [41726, 41729]]
['p16', [41991, 41994]]
['p16', [42109, 42112]]
['p16', [42143, 42146]]
['p16', [42231, 42234]]
['p16', [42266, 42269]]
['p16', [42394, 42397]]
['p16', [42490, 42493]]
['p16', [42562, 42565]]
['p16', [42615, 42618]]
['p16', [42731, 42734]]
['p16', [42812, 42815]]
['p16', [42942, 42945]]
['p16', [43005, 43008]]
['p16', [43102, 43105]]
['p16', [43209, 43212]]
['p16', [43280, 43283]]
['p16', [43432, 43435]]
['p16', [43552, 43555]]
['p16', [43581, 43584]]
['p16', [44003, 44006]]
['p16', [44119, 44122]]
['p16', [44159, 44162]]
['p16', [44243, 44246]]
['p16', [44383, 44386]]
['p16', [44593, 44596]]
['p16', [44690, 44693]]
['p16', [44848, 44851]]
['p16', [44947, 44950]]
['p16', [45088, 45091]]
['p16', [45153, 45156]]
['p16', [45234, 45237]]
['p16', [45347, 45350]]
['p16', [45525, 45528]]
['p16', [45612, 45615]]
['p16', [45723, 45726]]
['p16', [45822, 45825]]
['p16', [45992, 45995]]
['p16', [46148, 46151]]
['p16', [46226, 46229]]
['p16', [46268, 46271]]
['p16', [46393, 46396]]
['p16', [46573, 46576]]
['p16', [46864, 46867]]
['p16', [46985, 46988]]
['p16', [47250, 47253]]
['p16', [47368, 47371]]
['p16', [47402, 47405]]
['p16', [47490, 47493]]
['p16', [47525, 47528]]
['p16', [47653, 47656]]
['p16', [47749, 47752]]
['p16', [47821, 47824]]
['p16', [47874, 47877]]
