genia tagger: 4053['treatment-related', [1819, 1836]]
['treatment-related', [10778, 10795]]
['treatment-related', [17376, 17393]]
['treatment-related', [66193, 66210]]
['treatment-related', [75194, 75211]]
['chronic', [89, 96]]
['chronic', [375, 382]]
['chronic', [787, 794]]
['chronic', [1837, 1844]]
['chronic', [2304, 2311]]
['chronic', [2769, 2776]]
['chronic', [3049, 3056]]
['chronic', [3696, 3703]]
['chronic', [3842, 3849]]
['chronic', [5133, 5140]]
['chronic', [11494, 11501]]
['chronic', [12238, 12245]]
['chronic', [18092, 18099]]
['chronic', [18836, 18843]]
['chronic', [69914, 69921]]
['chronic', [70047, 70054]]
['chronic', [78915, 78922]]
['chronic', [79048, 79055]]
['chronic', [79602, 79609]]
['pain', [37, 41]]
['pain', [97, 101]]
['pain', [185, 189]]
['pain', [388, 392]]
['pain', [625, 629]]
['pain', [800, 804]]
['pain', [990, 994]]
['pain', [1055, 1059]]
['pain', [1237, 1241]]
['pain', [1374, 1378]]
['pain', [1603, 1607]]
['pain', [1845, 1849]]
['pain', [1980, 1984]]
['pain', [2045, 2049]]
['pain', [2312, 2316]]
['pain', [2354, 2358]]
['pain', [2439, 2443]]
['pain', [2475, 2479]]
['pain', [2777, 2781]]
['pain', [2853, 2857]]
['pain', [3057, 3061]]
['pain', [3704, 3708]]
['pain', [3850, 3854]]
['pain', [4116, 4120]]
['pain', [4813, 4817]]
['pain', [4964, 4968]]
['pain', [5141, 5145]]
['pain', [5407, 5411]]
['pain', [6104, 6108]]
['pain', [6255, 6259]]
['pain', [6392, 6396]]
['pain', [6527, 6531]]
['pain', [6863, 6867]]
['pain', [6896, 6900]]
['pain', [9705, 9709]]
['pain', [9937, 9941]]
['pain', [10007, 10011]]
['pain', [10033, 10037]]
['pain', [10215, 10219]]
['pain', [10250, 10254]]
['pain', [10446, 10450]]
['pain', [10516, 10520]]
['pain', [10565, 10569]]
['pain', [12246, 12250]]
['pain', [13639, 13643]]
['pain', [13684, 13688]]
['pain', [16302, 16306]]
['pain', [16535, 16539]]
['pain', [16605, 16609]]
['pain', [16631, 16635]]
['pain', [16813, 16817]]
['pain', [16848, 16852]]
['pain', [17044, 17048]]
['pain', [17114, 17118]]
['pain', [17163, 17167]]
['pain', [18844, 18848]]
