genia tagger: 12725['snp', [2, 5]]
['snp', [527, 530]]
['snp', [598, 601]]
['snp', [790, 793]]
['snp', [874, 877]]
['snp', [1085, 1088]]
['snp', [2206, 2209]]
['snp', [2258, 2261]]
['snp', [2396, 2399]]
['snp', [2486, 2489]]
['snp', [2728, 2731]]
['snp', [2869, 2872]]
['snp', [3388, 3391]]
['snp', [3471, 3474]]
['snp', [3566, 3569]]
['snp', [3963, 3966]]
['snp', [4040, 4043]]
['snp', [4208, 4211]]
['snp', [4930, 4933]]
['snp', [6949, 6952]]
['snp', [8942, 8945]]
['snp', [9590, 9593]]
['snp', [11746, 11749]]
['snp', [12833, 12836]]
['snp', [14852, 14855]]
['snp', [16845, 16848]]
['snp', [17493, 17496]]
['snp', [19649, 19652]]
['snp', [20728, 20731]]
['snp', [22747, 22750]]
['snp', [25385, 25388]]
['snp', [27404, 27407]]
['snp', [29398, 29401]]
['snp', [30046, 30049]]
['snp', [30117, 30120]]
['snp', [30765, 30768]]
['snp', [34539, 34542]]
['snp', [35447, 35450]]
['snp', [35849, 35852]]
['snp', [36131, 36134]]
['snp', [36158, 36161]]
['snp', [36333, 36336]]
['snp', [36522, 36525]]
['snp', [36793, 36796]]
['snp', [36872, 36875]]
['snp', [37096, 37099]]
['snp', [37105, 37108]]
['snp', [37226, 37229]]
['snp', [37510, 37513]]
['snp', [38037, 38040]]
['snp', [40557, 40560]]
['snp', [42054, 42057]]
['snp', [42851, 42854]]
['snp', [43133, 43136]]
['snp', [43160, 43163]]
['snp', [43335, 43338]]
['snp', [43524, 43527]]
['snp', [43795, 43798]]
['snp', [43874, 43877]]
['snp', [44098, 44101]]
['snp', [44107, 44110]]
['snp', [44228, 44231]]
['snp', [44512, 44515]]
['snp', [45039, 45042]]
['snp', [47559, 47562]]
['snp', [49056, 49059]]
['snp', [49845, 49848]]
['snp', [50127, 50130]]
['snp', [50154, 50157]]
['snp', [50329, 50332]]
['snp', [50518, 50521]]
['snp', [50789, 50792]]
['snp', [50868, 50871]]
['snp', [51092, 51095]]
['snp', [51101, 51104]]
['snp', [51222, 51225]]
['snp', [51300, 51303]]
['snp', [51582, 51585]]
['snp', [51609, 51612]]
['snp', [51784, 51787]]
['snp', [51973, 51976]]
['snp', [52244, 52247]]
['snp', [52323, 52326]]
['snp', [52547, 52550]]
['snp', [52556, 52559]]
['snp', [52677, 52680]]
['snp', [52962, 52965]]
['snp', [53489, 53492]]
['snp', [54453, 54456]]
['snp', [54980, 54983]]
['snp', [57501, 57504]]
['snp', [59598, 59601]]
['snp', [61096, 61099]]
['snp', [63050, 63053]]
['snp', [67232, 67235]]
['snp', [67342, 67345]]
['snp', [67432, 67435]]
['snp', [67561, 67564]]
['snp', [67627, 67630]]
['snp', [67798, 67801]]
['snp', [68122, 68125]]
['snp', [71734, 71737]]
['snp', [71844, 71847]]
['snp', [71934, 71937]]
['snp', [72063, 72066]]
['snp', [72129, 72132]]
['snp', [72300, 72303]]
['snp', [72624, 72627]]
['snp', [72964, 72967]]
['snp', [73565, 73568]]
['snp', [76258, 76261]]
['snp', [76859, 76862]]
['let-7', [11, 16]]
['let-7', [242, 247]]
['let-7', [551, 556]]
['let-7', [678, 683]]
['let-7', [1661, 1666]]
['let-7', [3010, 3015]]
['let-7', [3423, 3428]]
['let-7', [3575, 3580]]
['let-7', [3894, 3899]]
['let-7', [4055, 4060]]
['let-7', [11056, 11061]]
['let-7', [18959, 18964]]
['let-7', [33512, 33517]]
['let-7', [33848, 33853]]
['let-7', [35866, 35871]]
['let-7', [35985, 35990]]
['let-7', [36030, 36035]]
['let-7', [40989, 40994]]
['let-7', [41359, 41364]]
['let-7', [42465, 42470]]
['let-7', [42589, 42594]]
['let-7', [42788, 42793]]
['let-7', [42868, 42873]]
['let-7', [42987, 42992]]
['let-7', [43032, 43037]]
['let-7', [47991, 47996]]
['let-7', [48361, 48366]]
['let-7', [49467, 49472]]
['let-7', [49591, 49596]]
['let-7', [49790, 49795]]
['let-7', [49862, 49867]]
['let-7', [49981, 49986]]
['let-7', [50026, 50031]]
['let-7', [51317, 51322]]
['let-7', [51436, 51441]]
['let-7', [51481, 51486]]
['let-7', [60031, 60036]]
['let-7', [60401, 60406]]
['let-7', [61507, 61512]]
['let-7', [61631, 61636]]
['let-7', [61830, 61835]]
['let-7', [61985, 61990]]
['let-7', [62355, 62360]]
['let-7', [63461, 63466]]
['let-7', [63585, 63590]]
['let-7', [63784, 63789]]
['let-7', [63889, 63894]]
['let-7', [63944, 63949]]
['let-7', [64569, 64574]]
['let-7', [64633, 64638]]
['let-7', [65235, 65240]]
['let-7', [65306, 65311]]
['let-7', [65357, 65362]]
['let-7', [65420, 65425]]
['let-7', [65589, 65594]]
['let-7', [65672, 65677]]
['let-7', [67995, 68000]]
['let-7', [68391, 68396]]
['let-7', [68446, 68451]]
['let-7', [69071, 69076]]
['let-7', [69135, 69140]]
['let-7', [69737, 69742]]
['let-7', [69808, 69813]]
['let-7', [69859, 69864]]
['let-7', [69922, 69927]]
['let-7', [70091, 70096]]
['let-7', [70174, 70179]]
['let-7', [72497, 72502]]
['let-7', [74302, 74307]]
['let-7', [74668, 74673]]
['let-7', [74814, 74819]]
['let-7', [77596, 77601]]
['let-7', [77962, 77967]]
['let-7', [78108, 78113]]
['microrna', [17, 25]]
['microrna', [258, 266]]
['complementary', [26, 39]]
['complementary', [684, 697]]
['complementary', [1526, 1539]]
['complementary', [3581, 3594]]
['complementary', [35881, 35894]]
['complementary', [36036, 36049]]
['complementary', [42883, 42896]]
['complementary', [43038, 43051]]
['complementary', [49877, 49890]]
['complementary', [50032, 50045]]
['complementary', [51332, 51345]]
['complementary', [51487, 51500]]
['complementary', [63895, 63908]]
['complementary', [68233, 68246]]
['complementary', [68397, 68410]]
['complementary', [72735, 72748]]
['site', [40, 44]]
['site', [698, 702]]
['site', [1540, 1544]]
['site', [2508, 2512]]
['site', [2749, 2753]]
['site', [2903, 2907]]
['site', [3595, 3599]]
['site', [10016, 10020]]
['site', [10335, 10339]]
['site', [17919, 17923]]
['site', [18238, 18242]]
['site', [31192, 31196]]
['site', [31511, 31515]]
['site', [32471, 32475]]
['site', [32790, 32794]]
['site', [35895, 35899]]
['site', [36050, 36054]]
['site', [38041, 38045]]
['site', [42897, 42901]]
['site', [43052, 43056]]
['site', [45043, 45047]]
['site', [49891, 49895]]
['site', [50046, 50050]]
['site', [51346, 51350]]
['site', [51501, 51505]]
['site', [53493, 53497]]
['site', [54984, 54988]]
['site', [63909, 63913]]
['site', [64410, 64414]]
['site', [67793, 67797]]
['site', [68411, 68415]]
['site', [68912, 68916]]
['site', [72295, 72299]]
['kras', [52, 56]]
['kras', [733, 737]]
['kras', [1454, 1458]]
['kras', [1515, 1519]]
['kras', [3607, 3611]]
['kras', [3733, 3737]]
['kras', [3772, 3776]]
['kras', [9060, 9064]]
['kras', [9678, 9682]]
['kras', [9763, 9767]]
['kras', [9775, 9779]]
