genia tagger: 5419['inhibitory', [8, 18]]
['inhibitory', [871, 881]]
['inhibitory', [3275, 3285]]
['inhibitory', [3672, 3682]]
['inhibitory', [3852, 3862]]
['inhibitory', [4084, 4094]]
['inhibitory', [17337, 17347]]
['inhibitory', [17626, 17636]]
['inhibitory', [17676, 17686]]
['inhibitory', [17978, 17988]]
['inhibitory', [18044, 18054]]
['inhibitory', [23511, 23521]]
['inhibitory', [23800, 23810]]
['inhibitory', [23850, 23860]]
['inhibitory', [24152, 24162]]
['inhibitory', [24218, 24228]]
['inhibitory', [26189, 26199]]
['inhibitory', [26313, 26323]]
['inhibitory', [30778, 30788]]
['inhibitory', [32185, 32195]]
['inhibitory', [32309, 32319]]
['inhibitory', [36774, 36784]]
['neuron', [19, 25]]
['neuron', [292, 298]]
['neuron', [473, 479]]
['neuron', [622, 628]]
['neuron', [909, 915]]
['neuron', [1052, 1058]]
['neuron', [2024, 2030]]
['neuron', [3033, 3039]]
['neuron', [3199, 3205]]
['neuron', [3312, 3318]]
['neuron', [3357, 3363]]
['neuron', [3687, 3693]]
['neuron', [3721, 3727]]
['neuron', [3768, 3774]]
['neuron', [4095, 4101]]
['neuron', [5259, 5265]]
['neuron', [5575, 5581]]
['neuron', [6132, 6138]]
['neuron', [6222, 6228]]
['neuron', [9955, 9961]]
['neuron', [10271, 10277]]
['neuron', [10828, 10834]]
['neuron', [10918, 10924]]
['neuron', [13629, 13635]]
['neuron', [13894, 13900]]
['neuron', [14315, 14321]]
['neuron', [16293, 16299]]
['neuron', [16463, 16469]]
['neuron', [16898, 16904]]
['neuron', [16949, 16955]]
['neuron', [17162, 17168]]
['neuron', [17352, 17358]]
['neuron', [17549, 17555]]
['neuron', [17637, 17643]]
['neuron', [17687, 17693]]
['neuron', [17776, 17782]]
['neuron', [17989, 17995]]
['neuron', [18055, 18061]]
['neuron', [18083, 18089]]
['neuron', [18114, 18120]]
['neuron', [19249, 19255]]
['neuron', [19803, 19809]]
['neuron', [20068, 20074]]
['neuron', [20489, 20495]]
['neuron', [22467, 22473]]
['neuron', [22637, 22643]]
['neuron', [23072, 23078]]
['neuron', [23123, 23129]]
['neuron', [23336, 23342]]
['neuron', [23526, 23532]]
['neuron', [23723, 23729]]
['neuron', [23811, 23817]]
['neuron', [23861, 23867]]
['neuron', [23950, 23956]]
['neuron', [24163, 24169]]
['neuron', [24229, 24235]]
['neuron', [24257, 24263]]
['neuron', [24288, 24294]]
['neuron', [25423, 25429]]
['neuron', [26200, 26206]]
