genia tagger: 14975['functional', [564, 574]]
['functional', [2883, 2893]]
['functional', [38551, 38561]]
['functional', [38668, 38678]]
['functional', [46424, 46434]]
['functional', [46541, 46551]]
['candidate', [575, 584]]
['candidate', [1912, 1921]]
['candidate', [2894, 2903]]
['candidate', [2948, 2957]]
['candidate', [4953, 4962]]
['candidate', [38562, 38571]]
['candidate', [38739, 38748]]
['candidate', [39608, 39617]]
['candidate', [46435, 46444]]
['candidate', [46612, 46621]]
['candidate', [47481, 47490]]
['genes', [166, 171]]
['genes', [585, 590]]
['genes', [1511, 1516]]
['genes', [1922, 1927]]
['genes', [2958, 2963]]
['genes', [3152, 3157]]
['genes', [3637, 3642]]
['genes', [5216, 5221]]
['genes', [6222, 6227]]
['genes', [7901, 7906]]
['genes', [8908, 8913]]
['genes', [35637, 35642]]
['genes', [35840, 35845]]
['genes', [35855, 35860]]
['genes', [36008, 36013]]
['genes', [36047, 36052]]
['genes', [36260, 36265]]
['genes', [36475, 36480]]
['genes', [37175, 37180]]
['genes', [38572, 38577]]
['genes', [38749, 38754]]
['genes', [39278, 39283]]
['genes', [39618, 39623]]
['genes', [43510, 43515]]
['genes', [43713, 43718]]
['genes', [43728, 43733]]
['genes', [43881, 43886]]
['genes', [43920, 43925]]
['genes', [44133, 44138]]
['genes', [44348, 44353]]
['genes', [45048, 45053]]
['genes', [46445, 46450]]
['genes', [46622, 46627]]
['genes', [47151, 47156]]
['genes', [47491, 47496]]
['genes', [50495, 50500]]
['genes', [55286, 55291]]
['neurological', [1859, 1871]]
['neurological', [3281, 3293]]
['phenotype', [524, 533]]
['phenotype', [699, 708]]
['phenotype', [1872, 1881]]
['phenotype', [3011, 3020]]
['phenotype', [3226, 3235]]
['phenotype', [4843, 4852]]
['x', [405, 406]]
['x', [406, 407]]
['x', [473, 474]]
['x', [2072, 2073]]
['x', [2073, 2074]]
['x', [2203, 2204]]
['x', [2444, 2445]]
['x', [2589, 2590]]
['x', [3255, 3256]]
['x', [3675, 3676]]
['x', [4333, 4334]]
['x', [5531, 5532]]
['x', [5532, 5533]]
['x', [5972, 5973]]
['x', [6759, 6760]]
['x', [7092, 7093]]
['x', [7635, 7636]]
['x', [8216, 8217]]
['x', [8217, 8218]]
['x', [8658, 8659]]
['x', [9445, 9446]]
['x', [9778, 9779]]
['x', [10321, 10322]]
['x', [11492, 11493]]
['x', [11718, 11719]]
['x', [12667, 12668]]
['x', [12673, 12674]]
['x', [12844, 12845]]
