genia tagger: 2915['qat', [1241, 1244]]
['qat', [1321, 1324]]
['qat', [1465, 1468]]
['qat', [4133, 4136]]
['qat', [4773, 4776]]
['qat', [5148, 5151]]
['qat', [6413, 6416]]
['qat', [6869, 6872]]
['qat', [7601, 7604]]
['qat', [10117, 10120]]
['qat', [10757, 10760]]
['qat', [11132, 11135]]
['qat', [12397, 12400]]
['qat', [12853, 12856]]
['qat', [13585, 13588]]
['qat', [13828, 13831]]
['qat', [16211, 16214]]
['qat', [16560, 16563]]
['qat', [16759, 16762]]
['qat', [16872, 16875]]
['qat', [17116, 17119]]
['qat', [17235, 17238]]
['qat', [17440, 17443]]
['qat', [17742, 17745]]
['qat', [17822, 17825]]
['qat', [17966, 17969]]
['qat', [20634, 20637]]
['qat', [21274, 21277]]
['qat', [21649, 21652]]
['qat', [22914, 22917]]
['qat', [23370, 23373]]
['qat', [24102, 24105]]
['qat', [24281, 24284]]
['qat', [24340, 24343]]
['qat', [24533, 24536]]
['qat', [25051, 25054]]
['qat', [25827, 25830]]
['qat', [25881, 25884]]
['qat', [26066, 26069]]
['qat', [26268, 26271]]
['qat', [27402, 27405]]
['qat', [28205, 28208]]
['qat', [32356, 32359]]
['qat', [32482, 32485]]
['qat', [32928, 32931]]
['qat', [33171, 33174]]
['qat', [33436, 33439]]
['qat', [33703, 33706]]
['qat', [36086, 36089]]
['qat', [36435, 36438]]
['qat', [36634, 36637]]
['qat', [36747, 36750]]
['qat', [36991, 36994]]
['qat', [37110, 37113]]
['qat', [37315, 37318]]
['qat', [37617, 37620]]
['qat', [37697, 37700]]
['qat', [37841, 37844]]
['qat', [40509, 40512]]
['qat', [41149, 41152]]
['qat', [41524, 41527]]
['qat', [42789, 42792]]
['qat', [43245, 43248]]
['qat', [43977, 43980]]
['qat', [44156, 44159]]
['qat', [44215, 44218]]
['qat', [44408, 44411]]
['qat', [44926, 44929]]
['qat', [45702, 45705]]
['qat', [45756, 45759]]
['qat', [45941, 45944]]
['qat', [46143, 46146]]
['qat', [47277, 47280]]
['qat', [48080, 48083]]
['qat', [52231, 52234]]
['qat', [52357, 52360]]
['qat', [52803, 52806]]
