genia tagger: 26535['tgf', [41, 44]]
['tgf', [129, 132]]
['tgf', [315, 318]]
['tgf', [363, 366]]
['tgf', [451, 454]]
['tgf', [486, 489]]
['tgf', [584, 587]]
['tgf', [614, 617]]
['tgf', [708, 711]]
['tgf', [1067, 1070]]
['tgf', [1245, 1248]]
['tgf', [1496, 1499]]
['tgf', [1684, 1687]]
['tgf', [2027, 2030]]
['tgf', [2220, 2223]]
['tgf', [2485, 2488]]
['tgf', [2494, 2497]]
['tgf', [2597, 2600]]
['tgf', [2965, 2968]]
['tgf', [3473, 3476]]
['tgf', [3635, 3638]]
['tgf', [3822, 3825]]
['tgf', [4496, 4499]]
['tgf', [4631, 4634]]
['tgf', [4817, 4820]]
['tgf', [4927, 4930]]
['tgf', [5796, 5799]]
['tgf', [5930, 5933]]
['tgf', [6062, 6065]]
['tgf', [6193, 6196]]
['tgf', [6426, 6429]]
['tgf', [6826, 6829]]
['tgf', [7382, 7385]]
['tgf', [8018, 8021]]
['tgf', [9574, 9577]]
['tgf', [9912, 9915]]
['tgf', [10580, 10583]]
['tgf', [11124, 11127]]
['tgf', [12464, 12467]]
['tgf', [12598, 12601]]
['tgf', [12730, 12733]]
['tgf', [12861, 12864]]
['tgf', [13095, 13098]]
['tgf', [13496, 13499]]
['tgf', [14053, 14056]]
['tgf', [14690, 14693]]
['tgf', [16249, 16252]]
['tgf', [16587, 16590]]
['tgf', [17255, 17258]]
['tgf', [17799, 17802]]
['tgf', [18402, 18405]]
['tgf', [18516, 18519]]
['tgf', [18746, 18749]]
['tgf', [19135, 19138]]
['tgf', [19234, 19237]]
['tgf', [19700, 19703]]
['tgf', [19767, 19770]]
['tgf', [19824, 19827]]
['tgf', [19932, 19935]]
['tgf', [19994, 19997]]
['tgf', [20147, 20150]]
['tgf', [20188, 20191]]
['tgf', [20455, 20458]]
['tgf', [20555, 20558]]
['tgf', [20618, 20621]]
['tgf', [20823, 20826]]
['tgf', [20834, 20837]]
['tgf', [21536, 21539]]
['tgf', [21854, 21857]]
['tgf', [21931, 21934]]
['tgf', [22007, 22010]]
['tgf', [22166, 22169]]
['tgf', [22230, 22233]]
['tgf', [22323, 22326]]
['tgf', [22473, 22476]]
['tgf', [22673, 22676]]
['tgf', [22723, 22726]]
['tgf', [23045, 23048]]
['tgf', [23198, 23201]]
['tgf', [23476, 23479]]
['tgf', [23543, 23546]]
['tgf', [23696, 23699]]
['tgf', [24186, 24189]]
['tgf', [24281, 24284]]
['tgf', [24424, 24427]]
['tgf', [24487, 24490]]
['tgf', [24767, 24770]]
['tgf', [25050, 25053]]
['tgf', [25161, 25164]]
['tgf', [25198, 25201]]
['tgf', [25555, 25558]]
['tgf', [25746, 25749]]
['tgf', [25841, 25844]]
['tgf', [25939, 25942]]
['tgf', [26228, 26231]]
['tgf', [26487, 26490]]
['tgf', [26605, 26608]]
['tgf', [26732, 26735]]
['tgf', [26775, 26778]]
['tgf', [27351, 27354]]
['tgf', [27494, 27497]]
['tgf', [27624, 27627]]
['tgf', [27871, 27874]]
['tgf', [28202, 28205]]
['tgf', [29744, 29747]]
['tgf', [29817, 29820]]
['tgf', [30132, 30135]]
['tgf', [30222, 30225]]
['tgf', [30439, 30442]]
['tgf', [30507, 30510]]
['tgf', [30577, 30580]]
['tgf', [30691, 30694]]
['tgf', [30972, 30975]]
['tgf', [31255, 31258]]
['tgf', [31369, 31372]]
['tgf', [31599, 31602]]
['tgf', [31988, 31991]]
['tgf', [32087, 32090]]
['tgf', [32553, 32556]]
['tgf', [32620, 32623]]
['tgf', [32677, 32680]]
['tgf', [32785, 32788]]
['tgf', [32847, 32850]]
['tgf', [33000, 33003]]
['tgf', [33041, 33044]]
['tgf', [33308, 33311]]
['tgf', [33408, 33411]]
['tgf', [33471, 33474]]
['tgf', [33676, 33679]]
['tgf', [33687, 33690]]
['tgf', [34389, 34392]]
['tgf', [34707, 34710]]
['tgf', [34784, 34787]]
['tgf', [34860, 34863]]
['tgf', [35019, 35022]]
