genia tagger: 6250['neural', [150, 156]]
['neural', [222, 228]]
['neural', [2419, 2425]]
['neural', [2898, 2904]]
['neural', [3047, 3053]]
['neural', [4332, 4338]]
['neural', [4810, 4816]]
['neural', [5668, 5674]]
['neural', [43089, 43095]]
['neural', [43894, 43900]]
['neural', [44096, 44102]]
['neural', [44978, 44984]]
['neural', [47248, 47254]]
['neural', [51492, 51498]]
['neural', [52297, 52303]]
['neural', [52499, 52505]]
['neural', [53381, 53387]]
['neural', [55651, 55657]]
['origins', [157, 164]]
['fdg', [451, 454]]
['fdg', [788, 791]]
['fdg', [889, 892]]
['fdg', [1125, 1128]]
['fdg', [1278, 1281]]
['fdg', [4763, 4766]]
['fdg', [4887, 4890]]
['fdg', [5096, 5099]]
['fdg', [5146, 5149]]
['fdg', [5297, 5300]]
['fdg', [5488, 5491]]
['fdg', [5639, 5642]]
['fdg', [5966, 5969]]
['fdg', [9288, 9291]]
['fdg', [9934, 9937]]
['fdg', [10112, 10115]]
['fdg', [10448, 10451]]
['fdg', [10569, 10572]]
['fdg', [10759, 10762]]
['fdg', [12615, 12618]]
['fdg', [13366, 13369]]
['fdg', [13854, 13857]]
['fdg', [18047, 18050]]
['fdg', [18693, 18696]]
['fdg', [18871, 18874]]
['fdg', [19207, 19210]]
['fdg', [19328, 19331]]
['fdg', [19518, 19521]]
['fdg', [21376, 21379]]
['fdg', [22127, 22130]]
['fdg', [22615, 22618]]
['fdg', [24880, 24883]]
['fdg', [24964, 24967]]
['fdg', [25262, 25265]]
['fdg', [25325, 25328]]
['fdg', [25384, 25387]]
['fdg', [26297, 26300]]
['fdg', [26421, 26424]]
['fdg', [26938, 26941]]
['fdg', [27058, 27061]]
['fdg', [27324, 27327]]
['fdg', [27474, 27477]]
['fdg', [27628, 27631]]
['fdg', [27732, 27735]]
['fdg', [27773, 27776]]
['fdg', [27873, 27876]]
['fdg', [27971, 27974]]
['fdg', [29212, 29215]]
['fdg', [29296, 29299]]
['fdg', [29594, 29597]]
['fdg', [29657, 29660]]
['fdg', [29716, 29719]]
['fdg', [30629, 30632]]
['fdg', [30753, 30756]]
['fdg', [31270, 31273]]
['fdg', [31390, 31393]]
['fdg', [31656, 31659]]
['fdg', [31806, 31809]]
['fdg', [31960, 31963]]
['fdg', [32064, 32067]]
['fdg', [32105, 32108]]
['fdg', [32205, 32208]]
['fdg', [32303, 32306]]
['fdg', [33536, 33539]]
['fdg', [34700, 34703]]
['fdg', [34785, 34788]]
['fdg', [35083, 35086]]
['fdg', [35146, 35149]]
['fdg', [35205, 35208]]
['fdg', [35345, 35348]]
['fdg', [35643, 35646]]
['fdg', [35706, 35709]]
['fdg', [35765, 35768]]
['fdg', [36679, 36682]]
['fdg', [36803, 36806]]
['fdg', [37715, 37718]]
['fdg', [37839, 37842]]
['fdg', [38357, 38360]]
['fdg', [38477, 38480]]
['fdg', [38743, 38746]]
['fdg', [38893, 38896]]
['fdg', [39047, 39050]]
['fdg', [39151, 39154]]
['fdg', [39192, 39195]]
['fdg', [39292, 39295]]
['fdg', [39390, 39393]]
['fdg', [39924, 39927]]
['fdg', [40044, 40047]]
['fdg', [40310, 40313]]
['fdg', [40460, 40463]]
['fdg', [40614, 40617]]
['fdg', [40718, 40721]]
['fdg', [40759, 40762]]
['fdg', [40859, 40862]]
['fdg', [40957, 40960]]
['fdg', [41645, 41648]]
['fdg', [41695, 41698]]
['fdg', [42259, 42262]]
['fdg', [42459, 42462]]
['fdg', [42593, 42596]]
['fdg', [46664, 46667]]
['fdg', [48831, 48834]]
['fdg', [50048, 50051]]
['fdg', [50098, 50101]]
['fdg', [50662, 50665]]
['fdg', [50862, 50865]]
['fdg', [50996, 50999]]
['fdg', [55067, 55070]]
['fdg', [57234, 57237]]
['fdg', [58330, 58333]]
['fdg', [58547, 58550]]
['fdg', [58726, 58729]]
['fdg', [59544, 59547]]
['fdg', [59989, 59992]]
['fdg', [60142, 60145]]
['fdg', [60391, 60394]]
['fdg', [60441, 60444]]
['fdg', [60760, 60763]]
['fdg', [60768, 60771]]
['fdg', [60798, 60801]]
['fdg', [60838, 60841]]
['fdg', [61353, 61356]]
['fdg', [61570, 61573]]
['fdg', [61749, 61752]]
['fdg', [62567, 62570]]
['fdg', [63012, 63015]]
['fdg', [63165, 63168]]
['fdg', [63414, 63417]]
['fdg', [63464, 63467]]
['fdg', [63783, 63786]]
['fdg', [63791, 63794]]
['fdg', [63821, 63824]]
['fdg', [63861, 63864]]
['mri', [700, 703]]
['mri', [723, 726]]
['mri', [6972, 6975]]
['mri', [10786, 10789]]
['mri', [10914, 10917]]
['mri', [10937, 10940]]
['mri', [12412, 12415]]
['mri', [15729, 15732]]
['mri', [19546, 19549]]
['mri', [19674, 19677]]
['mri', [19697, 19700]]
['mri', [21173, 21176]]
['mri', [26555, 26558]]
['mri', [26566, 26569]]
['mri', [30887, 30890]]
['mri', [30898, 30901]]
['mri', [37974, 37977]]
['mri', [37985, 37988]]
['mri', [39541, 39544]]
['mri', [39552, 39555]]
['mri', [43832, 43835]]
['mri', [52235, 52238]]
['mri', [59065, 59068]]
['mri', [59090, 59093]]
['mri', [59321, 59324]]
['mri', [62088, 62091]]
['mri', [62113, 62116]]
['mri', [62344, 62347]]
['central', [243, 250]]
['central', [1658, 1665]]
['central', [2761, 2768]]
['central', [2800, 2807]]
['central', [2925, 2932]]
['central', [6029, 6036]]
['central', [13095, 13102]]
['central', [14120, 14127]]
['central', [21856, 21863]]
['central', [22881, 22888]]
['central', [26612, 26619]]
['central', [27490, 27497]]
['central', [30944, 30951]]
['central', [31822, 31829]]
['central', [38031, 38038]]
['central', [38909, 38916]]
['central', [39598, 39605]]
['central', [40476, 40483]]
['central', [43466, 43473]]
['central', [51869, 51876]]
['central', [60076, 60083]]
['central', [60251, 60258]]
['central', [60280, 60287]]
['central', [63099, 63106]]
['central', [63274, 63281]]
['central', [63303, 63310]]
['auditory', [251, 259]]
['auditory', [1514, 1522]]
['auditory', [1666, 1674]]
['auditory', [2553, 2561]]
['auditory', [2600, 2608]]
['auditory', [2769, 2777]]
['auditory', [2933, 2941]]
['auditory', [3989, 3997]]
['auditory', [4119, 4127]]
['auditory', [5693, 5701]]
['auditory', [6037, 6045]]
['auditory', [14128, 14136]]
['auditory', [22889, 22897]]
['auditory', [26620, 26628]]
['auditory', [27498, 27506]]
['auditory', [30952, 30960]]
['auditory', [31830, 31838]]
['auditory', [38039, 38047]]
['auditory', [38917, 38925]]
['auditory', [39606, 39614]]
['auditory', [40484, 40492]]
['auditory', [42381, 42389]]
['auditory', [42566, 42574]]
['auditory', [42943, 42951]]
['auditory', [43614, 43622]]
['auditory', [44311, 44319]]
['auditory', [49096, 49104]]
['auditory', [49329, 49337]]
['auditory', [49349, 49357]]
['auditory', [50784, 50792]]
['auditory', [50969, 50977]]
['auditory', [51346, 51354]]
['auditory', [52017, 52025]]
['auditory', [52714, 52722]]
['auditory', [57499, 57507]]
['auditory', [57732, 57740]]
['auditory', [57752, 57760]]
['auditory', [60084, 60092]]
['auditory', [60259, 60267]]
['auditory', [60288, 60296]]
['auditory', [63107, 63115]]
['auditory', [63282, 63290]]
['auditory', [63311, 63319]]
['structures', [260, 270]]
['structures', [776, 786]]
['structures', [1675, 1685]]
['structures', [6046, 6056]]
['structures', [14102, 14112]]
['structures', [22863, 22873]]
['structures', [26629, 26639]]
['structures', [27507, 27517]]
['structures', [27984, 27994]]
['structures', [30961, 30971]]
['structures', [31839, 31849]]
['structures', [32316, 32326]]
['structures', [38048, 38058]]
['structures', [38926, 38936]]
['structures', [39403, 39413]]
['structures', [39615, 39625]]
['structures', [40493, 40503]]
['structures', [40970, 40980]]
['structures', [42363, 42373]]
['structures', [45951, 45961]]
['structures', [46335, 46345]]
['structures', [46708, 46718]]
['structures', [50766, 50776]]
['structures', [54354, 54364]]
['structures', [54738, 54748]]
['structures', [55111, 55121]]
['structures', [60093, 60103]]
['structures', [60268, 60278]]
['structures', [60297, 60307]]
['structures', [63116, 63126]]
['structures', [63291, 63301]]
['structures', [63320, 63330]]
['neurochemical', [3210, 3223]]
['and', [490, 493]]
['and', [705, 708]]
['and', [727, 730]]
['and', [846, 849]]
['and', [950, 953]]
['and', [1060, 1063]]
['and', [1202, 1205]]
['and', [1248, 1251]]
['and', [1510, 1513]]
['and', [1707, 1710]]
['and', [2123, 2126]]
['and', [2677, 2680]]
['and', [3179, 3182]]
['and', [3224, 3227]]
['and', [3516, 3519]]
['and', [3616, 3619]]
['and', [3761, 3764]]
['and', [3825, 3828]]
['and', [4650, 4653]]
['and', [4959, 4962]]
['and', [5386, 5389]]
['and', [5403, 5406]]
