genia tagger: 19689['nk', [82, 84]]
['nk', [251, 253]]
['nk', [478, 480]]
['nk', [803, 805]]
['nk', [837, 839]]
['nk', [874, 876]]
['nk', [894, 896]]
['nk', [982, 984]]
['nk', [1483, 1485]]
['nk', [1643, 1645]]
['nk', [1995, 1997]]
['nk', [3186, 3188]]
['nk', [3696, 3698]]
['nk', [3921, 3923]]
['nk', [4104, 4106]]
['nk', [4385, 4387]]
['nk', [4815, 4817]]
['nk', [5126, 5128]]
['nk', [5496, 5498]]
['nk', [5570, 5572]]
['nk', [5619, 5621]]
['nk', [5722, 5724]]
['nk', [5818, 5820]]
['nk', [6078, 6080]]
['nk', [6237, 6239]]
['nk', [6293, 6295]]
['nk', [6438, 6440]]
['nk', [6529, 6531]]
['nk', [6550, 6552]]
['nk', [7200, 7202]]
['nk', [7740, 7742]]
['nk', [8298, 8300]]
['nk', [9490, 9492]]
['nk', [10000, 10002]]
['nk', [10225, 10227]]
['nk', [10408, 10410]]
['nk', [10689, 10691]]
['nk', [11119, 11121]]
['nk', [11431, 11433]]
['nk', [11801, 11803]]
['nk', [11875, 11877]]
['nk', [11924, 11926]]
['nk', [12027, 12029]]
['nk', [12123, 12125]]
['nk', [12383, 12385]]
['nk', [12542, 12544]]
['nk', [12598, 12600]]
['nk', [12744, 12746]]
['nk', [12835, 12837]]
['nk', [12856, 12858]]
['nk', [13506, 13508]]
['nk', [14047, 14049]]
['nk', [15748, 15750]]
['nk', [15955, 15957]]
['nk', [16283, 16285]]
['nk', [16400, 16402]]
['nk', [16738, 16740]]
['nk', [16960, 16962]]
['nk', [17255, 17257]]
['nk', [17534, 17536]]
['nk', [17754, 17756]]
['nk', [17831, 17833]]
['nk', [18660, 18662]]
['nk', [18761, 18763]]
['nk', [18875, 18877]]
['nk', [18982, 18984]]
['nk', [19096, 19098]]
['nk', [19195, 19197]]
['nk', [19402, 19404]]
['nk', [19550, 19552]]
['nk', [19712, 19714]]
['nk', [19987, 19989]]
['nk', [20028, 20030]]
['nk', [20426, 20428]]
['nk', [20453, 20455]]
['nk', [20546, 20548]]
['nk', [20570, 20572]]
['nk', [20695, 20697]]
['nk', [20790, 20792]]
['nk', [20829, 20831]]
['nk', [21320, 21322]]
['nk', [21665, 21667]]
['nk', [21712, 21714]]
['nk', [21773, 21775]]
['nk', [22121, 22123]]
['nk', [22197, 22199]]
['nk', [22355, 22357]]
['nk', [22457, 22459]]
['nk', [22527, 22529]]
['nk', [22956, 22958]]
['nk', [23054, 23056]]
['nk', [23180, 23182]]
['nk', [23396, 23398]]
['nk', [23554, 23556]]
['nk', [23750, 23752]]
['nk', [23798, 23800]]
['nk', [23933, 23935]]
['nk', [24069, 24071]]
['nk', [25789, 25791]]
['nk', [25996, 25998]]
['nk', [26324, 26326]]
['nk', [26441, 26443]]
['nk', [26779, 26781]]
['nk', [27001, 27003]]
['nk', [27296, 27298]]
['nk', [27575, 27577]]
['nk', [27795, 27797]]
['nk', [27872, 27874]]
['nk', [28701, 28703]]
['nk', [28802, 28804]]
['nk', [28916, 28918]]
['nk', [29023, 29025]]
['nk', [29137, 29139]]
['nk', [29236, 29238]]
['nk', [29443, 29445]]
['nk', [29591, 29593]]
['nk', [29753, 29755]]
['nk', [30028, 30030]]
['nk', [30069, 30071]]
['nk', [30467, 30469]]
['nk', [30494, 30496]]
['nk', [30587, 30589]]
['nk', [30611, 30613]]
['nk', [30736, 30738]]
['nk', [30831, 30833]]
['nk', [30870, 30872]]
['nk', [31361, 31363]]
['nk', [31706, 31708]]
['nk', [31753, 31755]]
['nk', [31814, 31816]]
['nk', [32162, 32164]]
['nk', [32238, 32240]]
['nk', [32396, 32398]]
['nk', [32498, 32500]]
['nk', [32568, 32570]]
['nk', [32997, 32999]]
['nk', [33095, 33097]]
['nk', [33221, 33223]]
['nk', [33437, 33439]]
['nk', [33595, 33597]]
['nk', [33791, 33793]]
['nk', [33839, 33841]]
['nk', [33974, 33976]]
['nk', [34110, 34112]]
['nk', [36400, 36402]]
['nk', [36607, 36609]]
['nk', [36935, 36937]]
['nk', [37052, 37054]]
['nk', [37928, 37930]]
['nk', [38135, 38137]]
['nk', [38463, 38465]]
