genia tagger: 6057['language', [29, 37]]
['language', [166, 174]]
['language', [328, 336]]
['language', [754, 762]]
['language', [885, 893]]
['language', [1221, 1229]]
['language', [1289, 1297]]
['language', [1606, 1614]]
['language', [1767, 1775]]
['language', [2216, 2224]]
['language', [2383, 2391]]
['language', [2832, 2840]]
['language', [2877, 2885]]
['language', [2997, 3005]]
['language', [3201, 3209]]
['language', [3860, 3868]]
['language', [4467, 4475]]
['language', [4524, 4532]]
['language', [4733, 4741]]
['language', [6595, 6603]]
['language', [6639, 6647]]
['language', [6809, 6817]]
['language', [6874, 6882]]
['language', [7038, 7046]]
['language', [7786, 7794]]
['language', [8351, 8359]]
['language', [8402, 8410]]
['language', [8689, 8697]]
['language', [9536, 9544]]
['language', [10186, 10194]]
['language', [12215, 12223]]
['language', [12599, 12607]]
['language', [13351, 13359]]
['language', [13501, 13509]]
['language', [15961, 15969]]
['language', [16200, 16208]]
['language', [17835, 17843]]
['language', [17879, 17887]]
['language', [18049, 18057]]
['language', [18114, 18122]]
['language', [18278, 18286]]
['language', [19026, 19034]]
['language', [19591, 19599]]
['language', [19642, 19650]]
['language', [19929, 19937]]
['language', [20776, 20784]]
['language', [21426, 21434]]
['language', [23455, 23463]]
['language', [23839, 23847]]
['language', [24591, 24599]]
['language', [24741, 24749]]
['language', [25156, 25164]]
['language', [27185, 27193]]
['language', [27569, 27577]]
['language', [28321, 28329]]
['language', [28471, 28479]]
['language', [30932, 30940]]
['language', [31171, 31179]]
['language', [31308, 31316]]
['language', [31331, 31339]]
['language', [32144, 32152]]
['language', [32362, 32370]]
['language', [32730, 32738]]
['language', [32797, 32805]]
['language', [32955, 32963]]
['language', [33043, 33051]]
['language', [33587, 33595]]
['language', [37327, 37335]]
['language', [37405, 37413]]
['language', [37470, 37478]]
['language', [37575, 37583]]
['language', [37776, 37784]]
['language', [41866, 41874]]
['language', [41933, 41941]]
['language', [42091, 42099]]
['language', [42179, 42187]]
['language', [42723, 42731]]
['language', [46464, 46472]]
['language', [46542, 46550]]
['language', [46607, 46615]]
['language', [46712, 46720]]
['language', [46913, 46921]]
['language', [51167, 51175]]
['language', [51202, 51210]]
['language', [51343, 51351]]
['language', [51752, 51760]]
['language', [52211, 52219]]
['language', [52350, 52358]]
['language', [53905, 53913]]
['language', [54069, 54077]]
['language', [56367, 56375]]
['language', [56652, 56660]]
['language', [56774, 56782]]
['language', [57083, 57091]]
['language', [57308, 57316]]
['language', [58068, 58076]]
['language', [58425, 58433]]
['language', [58509, 58517]]
['networks', [337, 345]]
['networks', [1615, 1623]]
['pet', [1027, 1030]]
['pet', [1090, 1093]]
['pet', [7077, 7080]]
['pet', [9020, 9023]]
['pet', [9442, 9445]]
['pet', [13119, 13122]]
['pet', [14251, 14254]]
['pet', [18317, 18320]]
['pet', [20260, 20263]]
['pet', [20682, 20685]]
['pet', [24359, 24362]]
['pet', [28089, 28092]]
['pet', [29222, 29225]]
['pet', [31913, 31916]]
['pet', [57638, 57641]]
['pet', [58264, 58267]]
['pet', [58589, 58592]]
['meg', [1084, 1087]]
['meg', [1242, 1245]]
['meg', [31921, 31924]]
['meg', [41332, 41335]]
['meg', [50470, 50473]]
['meg', [57646, 57649]]
['meg', [57827, 57830]]
['meg', [58060, 58063]]
['meg', [58559, 58562]]
['spatial', [1142, 1149]]
['spatial', [1344, 1351]]
['domain', [1150, 1156]]
['domain', [3006, 3012]]
['domain', [33706, 33712]]
['domain', [37359, 37365]]
['domain', [42842, 42848]]
['domain', [46496, 46502]]
['hemisphere', [378, 388]]
['hemisphere', [1656, 1666]]
['hemisphere', [2277, 2287]]
['hemisphere', [2309, 2319]]
['hemisphere', [2345, 2355]]
['hemisphere', [2436, 2446]]
['hemisphere', [2743, 2753]]
['hemisphere', [2932, 2942]]
['hemisphere', [3064, 3074]]
['hemisphere', [3451, 3461]]
['hemisphere', [3625, 3635]]
['hemisphere', [3832, 3842]]
['hemisphere', [4008, 4018]]
['hemisphere', [4139, 4149]]
['hemisphere', [4181, 4191]]
['hemisphere', [4300, 4310]]
['hemisphere', [4485, 4495]]
['hemisphere', [4675, 4685]]
['hemisphere', [6422, 6432]]
['hemisphere', [6472, 6482]]
['hemisphere', [6695, 6705]]
['hemisphere', [6781, 6791]]
['hemisphere', [6989, 6999]]
['hemisphere', [7166, 7176]]
['hemisphere', [7582, 7592]]
['hemisphere', [7742, 7752]]
['hemisphere', [7907, 7917]]
['hemisphere', [8044, 8054]]
['hemisphere', [8167, 8177]]
['hemisphere', [8226, 8236]]
['hemisphere', [8310, 8320]]
['hemisphere', [8504, 8514]]
['hemisphere', [8623, 8633]]
['hemisphere', [9217, 9227]]
['hemisphere', [9627, 9637]]
['hemisphere', [10151, 10161]]
['hemisphere', [10470, 10480]]
['hemisphere', [10580, 10590]]
['hemisphere', [11113, 11123]]
['hemisphere', [11463, 11473]]
['hemisphere', [13058, 13068]]
['hemisphere', [13857, 13867]]
['hemisphere', [14162, 14172]]
['hemisphere', [14416, 14426]]
['hemisphere', [14956, 14966]]
['hemisphere', [15574, 15584]]
['hemisphere', [15708, 15718]]
['hemisphere', [15813, 15823]]
['hemisphere', [15882, 15892]]
['hemisphere', [16003, 16013]]
['hemisphere', [16141, 16151]]
['hemisphere', [17662, 17672]]
['hemisphere', [17712, 17722]]
['hemisphere', [17935, 17945]]
['hemisphere', [18021, 18031]]
['hemisphere', [18229, 18239]]
['hemisphere', [18406, 18416]]
['hemisphere', [18822, 18832]]
['hemisphere', [18982, 18992]]
['hemisphere', [19147, 19157]]
['hemisphere', [19284, 19294]]
['hemisphere', [19407, 19417]]
['hemisphere', [19466, 19476]]
['hemisphere', [19550, 19560]]
['hemisphere', [19744, 19754]]
['hemisphere', [19863, 19873]]
['hemisphere', [20457, 20467]]
['hemisphere', [20867, 20877]]
['hemisphere', [21391, 21401]]
['hemisphere', [21710, 21720]]
['hemisphere', [21820, 21830]]
['hemisphere', [22353, 22363]]
['hemisphere', [22703, 22713]]
['hemisphere', [24298, 24308]]
['hemisphere', [25121, 25131]]
['hemisphere', [25440, 25450]]
['hemisphere', [25550, 25560]]
['hemisphere', [26083, 26093]]
['hemisphere', [26433, 26443]]
['hemisphere', [28028, 28038]]
['hemisphere', [28828, 28838]]
['hemisphere', [29133, 29143]]
['hemisphere', [29387, 29397]]
['hemisphere', [29927, 29937]]
['hemisphere', [30545, 30555]]
['hemisphere', [30679, 30689]]
['hemisphere', [30784, 30794]]
['hemisphere', [30853, 30863]]
['hemisphere', [30974, 30984]]
['hemisphere', [31112, 31122]]
['hemisphere', [34065, 34075]]
['hemisphere', [34296, 34306]]
['hemisphere', [35332, 35342]]
['hemisphere', [35943, 35953]]
['hemisphere', [36050, 36060]]
['hemisphere', [36837, 36847]]
['hemisphere', [36925, 36935]]
['hemisphere', [37059, 37069]]
['hemisphere', [41677, 41687]]
['hemisphere', [43201, 43211]]
['hemisphere', [43432, 43442]]
['hemisphere', [44468, 44478]]
['hemisphere', [45079, 45089]]
['hemisphere', [45186, 45196]]
