genia tagger: 24325['mcs', [249, 252]]
['mcs', [494, 497]]
['mcs', [653, 656]]
['mcs', [956, 959]]
['mcs', [1113, 1116]]
['mcs', [1484, 1487]]
['mcs', [1974, 1977]]
['mcs', [5144, 5147]]
['mcs', [5372, 5375]]
['mcs', [5743, 5746]]
['mcs', [6427, 6430]]
['mcs', [7022, 7025]]
['mcs', [7151, 7154]]
['mcs', [7993, 7996]]
['mcs', [9410, 9413]]
['mcs', [14090, 14093]]
['mcs', [14197, 14200]]
['mcs', [16480, 16483]]
['mcs', [19171, 19174]]
['mcs', [19316, 19319]]
['mcs', [19988, 19991]]
['mcs', [21455, 21458]]
['mcs', [22641, 22644]]
['mcs', [23034, 23037]]
['mcs', [23719, 23722]]
['mcs', [24314, 24317]]
['mcs', [24443, 24446]]
['mcs', [25285, 25288]]
['mcs', [26703, 26706]]
['mcs', [30438, 30441]]
['mcs', [35122, 35125]]
['mcs', [35229, 35232]]
['mcs', [37513, 37516]]
['mcs', [40206, 40209]]
['mcs', [40351, 40354]]
['mcs', [41024, 41027]]
['mcs', [42493, 42496]]
['mcs', [43679, 43682]]
['mcs', [45144, 45147]]
['mcs', [47514, 47517]]
['mcs', [48315, 48318]]
['mcs', [49235, 49238]]
['mcs', [50714, 50717]]
['mcs', [51346, 51349]]
['mcs', [53521, 53524]]
['mcs', [55474, 55477]]
['mcs', [57845, 57848]]
['mcs', [58646, 58649]]
['mcs', [59566, 59569]]
['mcs', [61046, 61049]]
['mcs', [61678, 61681]]
['mcs', [63853, 63856]]
['patient-specific', [820, 836]]
['patient-specific', [2499, 2515]]
['patient-specific', [7370, 7386]]
['patient-specific', [10951, 10967]]
['patient-specific', [17154, 17170]]
['patient-specific', [18632, 18648]]
['patient-specific', [22257, 22273]]
['patient-specific', [24662, 24678]]
['patient-specific', [28244, 28260]]
['patient-specific', [31981, 31997]]
['patient-specific', [38188, 38204]]
['patient-specific', [39666, 39682]]
['patient-specific', [43295, 43311]]
['factors', [2516, 2523]]
['pk', [2949, 2951]]
['pk', [3779, 3781]]
['pk', [7304, 7306]]
['pk', [7524, 7526]]
['pk', [14814, 14816]]
['pk', [14852, 14854]]
['pk', [14950, 14952]]
['pk', [16506, 16508]]
['pk', [16666, 16668]]
['pk', [16691, 16693]]
['pk', [16783, 16785]]
['pk', [18261, 18263]]
['pk', [18284, 18286]]
['pk', [18300, 18302]]
['pk', [18529, 18531]]
