genia tagger: 15449['spinal', [0, 6]]
['spinal', [139, 145]]
['spinal', [764, 770]]
['spinal', [1097, 1103]]
['spinal', [1159, 1165]]
['spinal', [1349, 1355]]
['spinal', [1488, 1494]]
['spinal', [1718, 1724]]
['spinal', [1753, 1759]]
['spinal', [1871, 1877]]
['spinal', [3126, 3132]]
['spinal', [3262, 3268]]
['spinal', [3580, 3586]]
['spinal', [3725, 3731]]
['spinal', [3966, 3972]]
['spinal', [4825, 4831]]
['spinal', [4952, 4958]]
['spinal', [5162, 5168]]
['spinal', [5493, 5499]]
['spinal', [5549, 5555]]
['spinal', [5659, 5665]]
['spinal', [5770, 5776]]
['spinal', [7287, 7293]]
['spinal', [9571, 9577]]
['spinal', [11342, 11348]]
['spinal', [12486, 12492]]
['spinal', [13497, 13503]]
['spinal', [17076, 17082]]
['spinal', [19363, 19369]]
['spinal', [21135, 21141]]
['spinal', [22279, 22285]]
['spinal', [23291, 23297]]
['spinal', [26656, 26662]]
['spinal', [26725, 26731]]
['spinal', [26797, 26803]]
['spinal', [30962, 30968]]
['spinal', [31087, 31093]]
['spinal', [31320, 31326]]
['spinal', [31790, 31796]]
['spinal', [31920, 31926]]
['spinal', [32250, 32256]]
['spinal', [32646, 32652]]
['spinal', [33283, 33289]]
['spinal', [33566, 33572]]
['spinal', [35645, 35651]]
['spinal', [35714, 35720]]
['spinal', [35786, 35792]]
['spinal', [39951, 39957]]
['spinal', [40076, 40082]]
['spinal', [40309, 40315]]
['spinal', [40779, 40785]]
['spinal', [40909, 40915]]
['spinal', [41239, 41245]]
['spinal', [41635, 41641]]
['spinal', [42272, 42278]]
['spinal', [42555, 42561]]
['spinal', [45865, 45871]]
['spinal', [45934, 45940]]
['spinal', [46006, 46012]]
['spinal', [46505, 46511]]
['spinal', [46574, 46580]]
['spinal', [46646, 46652]]
['spinal', [54428, 54434]]
['spinal', [54553, 54559]]
['spinal', [54786, 54792]]
['spinal', [55256, 55262]]
['spinal', [55386, 55392]]
['spinal', [55716, 55722]]
['spinal', [56112, 56118]]
['spinal', [56757, 56763]]
['spinal', [56882, 56888]]
['spinal', [57115, 57121]]
['spinal', [57585, 57591]]
['spinal', [57715, 57721]]
['spinal', [58045, 58051]]
['spinal', [58441, 58447]]
['spinal', [59079, 59085]]
['spinal', [59362, 59368]]
['spinal', [60244, 60250]]
['spinal', [60527, 60533]]
['spinal', [61512, 61518]]
['spinal', [61807, 61813]]
['spinal', [61865, 61871]]
['spinal', [62218, 62224]]
['spinal', [62433, 62439]]
['spinal', [62724, 62730]]
['spinal', [62813, 62819]]
['spinal', [62890, 62896]]
['spinal', [63049, 63055]]
['spinal', [63218, 63224]]
['spinal', [63387, 63393]]
['spinal', [63462, 63468]]
['spinal', [63709, 63715]]
['spinal', [63969, 63975]]
['spinal', [64205, 64211]]
['spinal', [64278, 64284]]
['spinal', [64353, 64359]]
['spinal', [64518, 64524]]
['spinal', [64641, 64647]]
['spinal', [64706, 64712]]
['spinal', [65148, 65154]]
['spinal', [65197, 65203]]
['spinal', [65552, 65558]]
['spinal', [65582, 65588]]
['spinal', [65754, 65760]]
['spinal', [66128, 66134]]
['spinal', [66403, 66409]]
['spinal', [67705, 67711]]
['spinal', [68285, 68291]]
['spinal', [68547, 68553]]
['spinal', [68686, 68692]]
['spinal', [68838, 68844]]
['spinal', [69014, 69020]]
['spinal', [69600, 69606]]
['spinal', [69916, 69922]]
['spinal', [70099, 70105]]
['spinal', [70317, 70323]]
['spinal', [70354, 70360]]
['spinal', [71140, 71146]]
['spinal', [71336, 71342]]
['spinal', [71475, 71481]]
['spinal', [71709, 71715]]
['spinal', [72004, 72010]]
['spinal', [72062, 72068]]
['spinal', [72415, 72421]]
['spinal', [72630, 72636]]
['spinal', [72921, 72927]]
['spinal', [73010, 73016]]
['spinal', [73087, 73093]]
['spinal', [73246, 73252]]
['spinal', [73415, 73421]]
['spinal', [73584, 73590]]
['spinal', [73659, 73665]]
['spinal', [73906, 73912]]
['spinal', [74166, 74172]]
['spinal', [74402, 74408]]
['spinal', [74475, 74481]]
['spinal', [74550, 74556]]
['spinal', [74715, 74721]]
['spinal', [74838, 74844]]
['spinal', [74903, 74909]]
['spinal', [75345, 75351]]
['spinal', [75394, 75400]]
['spinal', [75749, 75755]]
['spinal', [75779, 75785]]
['spinal', [75951, 75957]]
['spinal', [76325, 76331]]
['spinal', [76600, 76606]]
['spinal', [77902, 77908]]
['spinal', [78482, 78488]]
['spinal', [78744, 78750]]
['spinal', [78883, 78889]]
['spinal', [79035, 79041]]
['spinal', [79211, 79217]]
['spinal', [79797, 79803]]
['spinal', [80113, 80119]]
['spinal', [80296, 80302]]
['spinal', [80514, 80520]]
['spinal', [80551, 80557]]
['spinal', [81337, 81343]]
['spinal', [81533, 81539]]
['spinal', [81672, 81678]]
['spinal', [82234, 82240]]
['spinal', [82325, 82331]]
['spinal', [83869, 83875]]
['spinal', [83988, 83994]]
['spinal', [84318, 84324]]
['spinal', [85408, 85414]]
['spinal', [85499, 85505]]
['spinal', [87043, 87049]]
['spinal', [87162, 87168]]
['spinal', [87492, 87498]]
['dynorphin', [7, 16]]
['dynorphin', [119, 128]]
['dynorphin', [264, 273]]
['dynorphin', [728, 737]]
['dynorphin', [929, 938]]
['dynorphin', [1166, 1175]]
['dynorphin', [1356, 1365]]
['dynorphin', [1465, 1474]]
['dynorphin', [1688, 1697]]
['dynorphin', [1725, 1734]]
['dynorphin', [2056, 2065]]
['dynorphin', [2147, 2156]]
['dynorphin', [2172, 2181]]
['dynorphin', [2260, 2269]]
['dynorphin', [2397, 2406]]
['dynorphin', [2595, 2604]]
['dynorphin', [2660, 2669]]
['dynorphin', [3243, 3252]]
['dynorphin', [3294, 3303]]
['dynorphin', [3401, 3410]]
['dynorphin', [3587, 3596]]
['dynorphin', [3758, 3767]]
['dynorphin', [4111, 4120]]
['dynorphin', [4272, 4281]]
['dynorphin', [4313, 4322]]
['dynorphin', [4374, 4383]]
['dynorphin', [4653, 4662]]
['dynorphin', [4741, 4750]]
['dynorphin', [4832, 4841]]
['dynorphin', [5169, 5178]]
['dynorphin', [5500, 5509]]
['dynorphin', [5556, 5565]]
['dynorphin', [5777, 5786]]
['dynorphin', [6904, 6913]]
['dynorphin', [9641, 9650]]
['dynorphin', [10087, 10096]]
['dynorphin', [11752, 11761]]
['dynorphin', [16693, 16702]]
['dynorphin', [19433, 19442]]
['dynorphin', [19879, 19888]]
['dynorphin', [21545, 21554]]
['dynorphin', [26663, 26672]]
['dynorphin', [26735, 26744]]
['dynorphin', [27018, 27027]]
['dynorphin', [27296, 27305]]
