genia tagger: 5207['efs', [259, 262]]
['efs', [965, 968]]
['efs', [1212, 1215]]
['efs', [1422, 1425]]
['efs', [1599, 1602]]
['efs', [1827, 1830]]
['efs', [2071, 2074]]
['efs', [4303, 4306]]
['efs', [4968, 4971]]
['efs', [5215, 5218]]
['efs', [5425, 5428]]
['efs', [5603, 5606]]
['efs', [10699, 10702]]
['efs', [11009, 11012]]
['efs', [11194, 11197]]
['efs', [12718, 12721]]
['efs', [15081, 15084]]
['efs', [15391, 15394]]
['efs', [15576, 15579]]
['efs', [17100, 17103]]
['efs', [19855, 19858]]
['efs', [20165, 20168]]
['efs', [20350, 20353]]
['efs', [21866, 21869]]
['efs', [22176, 22179]]
['efs', [22361, 22364]]
['efs', [23886, 23889]]
['efs', [25852, 25855]]
['efs', [26428, 26431]]
['efs', [28869, 28872]]
['efs', [29194, 29197]]
['efs', [31050, 31053]]
['efs', [33491, 33494]]
['efs', [33816, 33819]]
['efs', [35801, 35804]]
['efs', [36314, 36317]]
['efs', [38657, 38660]]
['efs', [39170, 39173]]
['nwts-5', [334, 340]]
['nwts-5', [36629, 36635]]
['nwts-5', [37083, 37089]]
['nwts-5', [37584, 37590]]
['nwts-5', [38073, 38079]]
['nwts-5', [39485, 39491]]
['nwts-5', [39939, 39945]]
['nwts-5', [40440, 40446]]
['nwts-5', [40929, 40935]]
['chromosomes', [538, 549]]
['chromosomes', [4540, 4551]]
['chromosomes', [5858, 5869]]
['chromosomes', [7036, 7047]]
['1', [550, 551]]
['1', [558, 559]]
['1', [592, 593]]
['1', [721, 722]]
['1', [867, 868]]
['1', [1221, 1222]]
['1', [1994, 1995]]
['1', [2001, 2002]]
['1', [2007, 2008]]
['1', [2327, 2328]]
['1', [4552, 4553]]
['1', [4560, 4561]]
['1', [4595, 4596]]
['1', [4724, 4725]]
['1', [4870, 4871]]
['1', [5224, 5225]]
['1', [5870, 5871]]
['1', [5877, 5878]]
['1', [6076, 6077]]
['1', [6915, 6916]]
['1', [7048, 7049]]
['1', [7056, 7057]]
['1', [7332, 7333]]
['1', [7518, 7519]]
['1', [7519, 7520]]
['1', [8262, 8263]]
['1', [8506, 8507]]
['1', [8609, 8610]]
['1', [8888, 8889]]
['1', [8891, 8892]]
['1', [8913, 8914]]
['1', [9463, 9464]]
['1', [9501, 9502]]
['1', [9529, 9530]]
['1', [9585, 9586]]
['1', [9589, 9590]]
['1', [9645, 9646]]
['1', [9762, 9763]]
['1', [10071, 10072]]
['1', [10160, 10161]]
['1', [10167, 10168]]
['1', [10171, 10172]]
['1', [10244, 10245]]
['1', [10416, 10417]]
['1', [10453, 10454]]
['1', [10512, 10513]]
['1', [10550, 10551]]
['1', [10580, 10581]]
['1', [11149, 11150]]
['1', [11170, 11171]]
['1', [11276, 11277]]
['1', [11492, 11493]]
['1', [11506, 11507]]
['1', [11539, 11540]]
['1', [11559, 11560]]
['1', [11566, 11567]]
['1', [11580, 11581]]
['1', [11631, 11632]]
['1', [11649, 11650]]
['1', [11702, 11703]]
['1', [12013, 12014]]
['1', [12112, 12113]]
['1', [12220, 12221]]
['1', [12379, 12380]]
['1', [12432, 12433]]
['1', [12433, 12434]]
['1', [12468, 12469]]
['1', [12487, 12488]]
['1', [12558, 12559]]
['1', [12613, 12614]]
['1', [12643, 12644]]
['1', [13120, 13121]]
['1', [13270, 13271]]
['1', [13273, 13274]]
['1', [13295, 13296]]
['1', [13845, 13846]]
['1', [13883, 13884]]
['1', [13911, 13912]]
['1', [13967, 13968]]
['1', [13971, 13972]]
['1', [14027, 14028]]
['1', [14144, 14145]]
['1', [14453, 14454]]
['1', [14542, 14543]]
['1', [14549, 14550]]
['1', [14553, 14554]]
['1', [14626, 14627]]
['1', [14798, 14799]]
['1', [14835, 14836]]
['1', [14894, 14895]]
['1', [14932, 14933]]
['1', [14962, 14963]]
['1', [15531, 15532]]
['1', [15552, 15553]]
['1', [15658, 15659]]
['1', [15874, 15875]]
['1', [15888, 15889]]
['1', [15921, 15922]]
['1', [15941, 15942]]
['1', [15948, 15949]]
['1', [15962, 15963]]
['1', [16013, 16014]]
['1', [16031, 16032]]
['1', [16084, 16085]]
['1', [16395, 16396]]
['1', [16494, 16495]]
['1', [16602, 16603]]
['1', [16761, 16762]]
['1', [16814, 16815]]
['1', [16815, 16816]]
['1', [16850, 16851]]
['1', [16869, 16870]]
['1', [16940, 16941]]
['1', [16995, 16996]]
['1', [17025, 17026]]
['1', [17502, 17503]]
['1', [17644, 17645]]
['1', [17647, 17648]]
['1', [17669, 17670]]
['1', [18043, 18044]]
['1', [18046, 18047]]
['1', [18068, 18069]]
['1', [18619, 18620]]
['1', [18657, 18658]]
['1', [18685, 18686]]
['1', [18741, 18742]]
['1', [18745, 18746]]
['1', [18801, 18802]]
['1', [18918, 18919]]
['1', [19227, 19228]]
['1', [19316, 19317]]
['1', [19323, 19324]]
['1', [19327, 19328]]
['1', [19400, 19401]]
['1', [19572, 19573]]
['1', [19609, 19610]]
['1', [19668, 19669]]
['1', [19706, 19707]]
['1', [19736, 19737]]
['1', [20305, 20306]]
['1', [20326, 20327]]
['1', [20630, 20631]]
['1', [20668, 20669]]
['1', [20696, 20697]]
['1', [20752, 20753]]
['1', [20756, 20757]]
['1', [20812, 20813]]
['1', [20929, 20930]]
['1', [21238, 21239]]
['1', [21327, 21328]]
['1', [21334, 21335]]
['1', [21338, 21339]]
['1', [21411, 21412]]
['1', [21583, 21584]]
['1', [21620, 21621]]
['1', [21679, 21680]]
['1', [21717, 21718]]
['1', [21747, 21748]]
['1', [22316, 22317]]
['1', [22337, 22338]]
['1', [22444, 22445]]
['1', [22660, 22661]]
['1', [22674, 22675]]
['1', [22707, 22708]]
['1', [22727, 22728]]
['1', [22734, 22735]]
