genia tagger: 9824['micrornas', [23, 32]]
['micrornas', [77, 86]]
['micrornas', [122, 131]]
['micrornas', [1857, 1866]]
['mirnas', [133, 139]]
['mirnas', [390, 396]]
['mirnas', [463, 469]]
['mirnas', [619, 625]]
['mirnas', [754, 760]]
['mirnas', [1544, 1550]]
['mirnas', [1868, 1874]]
['mirnas', [2037, 2043]]
['mirnas', [2163, 2169]]
['mirnas', [2178, 2184]]
['mirnas', [2303, 2309]]
['mirnas', [2468, 2474]]
['mirnas', [2600, 2606]]
['mirnas', [2668, 2674]]
['mirnas', [3144, 3150]]
['mirnas', [3453, 3459]]
['mirnas', [3946, 3952]]
['mirnas', [4043, 4049]]
['mirnas', [4157, 4163]]
['mirnas', [4443, 4449]]
['mirnas', [5663, 5669]]
['mirnas', [12372, 12378]]
['mirnas', [18121, 18127]]
['mirnas', [18644, 18650]]
['mirnas', [18792, 18798]]
['mirnas', [18938, 18944]]
['mirnas', [18976, 18982]]
['mirnas', [19034, 19040]]
['mirnas', [19236, 19242]]
['mirnas', [20557, 20563]]
['mirnas', [21749, 21755]]
['mirnas', [21923, 21929]]
['mirnas', [23405, 23411]]
['mirnas', [23928, 23934]]
['mirnas', [24076, 24082]]
['mirnas', [24222, 24228]]
['mirnas', [24260, 24266]]
['mirnas', [24318, 24324]]
['mirnas', [24520, 24526]]
['mirnas', [25841, 25847]]
['mirnas', [27033, 27039]]
['mirnas', [27207, 27213]]
['mirnas', [28681, 28687]]
['mirnas', [29204, 29210]]
['mirnas', [29352, 29358]]
['mirnas', [29498, 29504]]
['mirnas', [29536, 29542]]
['mirnas', [29594, 29600]]
['mirnas', [29796, 29802]]
['mirnas', [30414, 30420]]
['mirnas', [30937, 30943]]
['mirnas', [31085, 31091]]
['mirnas', [31231, 31237]]
['mirnas', [31269, 31275]]
['mirnas', [31327, 31333]]
['mirnas', [31529, 31535]]
['mirnas', [32851, 32857]]
['mirnas', [34826, 34832]]
['mirnas', [36019, 36025]]
['mirnas', [36193, 36199]]
['mirnas', [37589, 37595]]
['mirnas', [37763, 37769]]
['mirnas', [39119, 39125]]
