genia tagger: 11512['poe', [119, 122]]
['poe', [264, 267]]
['poe', [447, 450]]
['poe', [618, 621]]
['poe', [654, 657]]
['poe', [750, 753]]
['poe', [893, 896]]
['poe', [979, 982]]
['poe', [1063, 1066]]
['poe', [1284, 1287]]
['poe', [1989, 1992]]
['poe', [2268, 2271]]
['poe', [2574, 2577]]
['poe', [2833, 2836]]
['poe', [2920, 2923]]
['poe', [2967, 2970]]
['poe', [3151, 3154]]
['poe', [3208, 3211]]
['poe', [3577, 3580]]
['poe', [3967, 3970]]
['poe', [9268, 9271]]
['poe', [14538, 14541]]
['poe', [14595, 14598]]
['poe', [30248, 30251]]
['poe', [30315, 30318]]
['poe', [30449, 30452]]
['poe', [30605, 30608]]
['poe', [30738, 30741]]
['poe', [30817, 30820]]
['poe', [32532, 32535]]
['poe', [33267, 33270]]
['poe', [33535, 33538]]
['poe', [34854, 34857]]
['poe', [34993, 34996]]
['poe', [36520, 36523]]
['poe', [36697, 36700]]
['poe', [37095, 37098]]
['poe', [38386, 38389]]
['poe', [38488, 38491]]
['poe', [38562, 38565]]
['poe', [38602, 38605]]
['poe', [38748, 38751]]
['poe', [38880, 38883]]
['poe', [39080, 39083]]
['poe', [39393, 39396]]
['poe', [40104, 40107]]
['poe', [41619, 41622]]
['poe', [45994, 45997]]
['poe', [46729, 46732]]
['poe', [46997, 47000]]
['poe', [48316, 48319]]
['poe', [48455, 48458]]
['poe', [49982, 49985]]
['poe', [50159, 50162]]
['poe', [50557, 50560]]
['poe', [51848, 51851]]
['poe', [51950, 51953]]
['poe', [52024, 52027]]
['poe', [52064, 52067]]
['poe', [52210, 52213]]
['poe', [52342, 52345]]
['poe', [52543, 52546]]
['poe', [52856, 52859]]
['poe', [53567, 53570]]
['poe', [55083, 55086]]
['poe', [57796, 57799]]
['poe', [57937, 57940]]
['poe', [58147, 58150]]
['poe', [60280, 60283]]
['poe', [60303, 60306]]
['poe', [65238, 65241]]
['allele', [1355, 1361]]
['allele', [2031, 2037]]
['allele', [4050, 4056]]
['allele', [5782, 5788]]
['allele', [5838, 5844]]
['allele', [5883, 5889]]
['allele', [6465, 6471]]
['allele', [9351, 9357]]
['allele', [11083, 11089]]
['allele', [11139, 11145]]
['allele', [11184, 11190]]
['allele', [11766, 11772]]
['allele', [33123, 33129]]
['allele', [33512, 33518]]
['allele', [33690, 33696]]
['allele', [34110, 34116]]
['allele', [34337, 34343]]
['allele', [34442, 34448]]
['allele', [34626, 34632]]
['allele', [34776, 34782]]
['allele', [35694, 35700]]
['allele', [36233, 36239]]
['allele', [39252, 39258]]
['allele', [39714, 39720]]
['allele', [40271, 40277]]
['allele', [46585, 46591]]
['allele', [46974, 46980]]
['allele', [47152, 47158]]
['allele', [47572, 47578]]
['allele', [47799, 47805]]
['allele', [47904, 47910]]
['allele', [48088, 48094]]
['allele', [48238, 48244]]
['allele', [49156, 49162]]
['allele', [49695, 49701]]
['allele', [52715, 52721]]
['allele', [53177, 53183]]
['allele', [53734, 53740]]
['allele', [59226, 59232]]
['allele', [59274, 59280]]
['allele', [59297, 59303]]
['allele', [59363, 59369]]
['allele', [59500, 59506]]
['allele', [59635, 59641]]
['allele', [60021, 60027]]
['allele', [60064, 60070]]
['allele', [60161, 60167]]
['alleles', [2031, 2038]]
