genia tagger: 12886['5httlpr', [221, 228]]
['5httlpr', [945, 952]]
['5httlpr', [1157, 1164]]
['5httlpr', [1452, 1459]]
['5httlpr', [1609, 1616]]
['5httlpr', [3918, 3925]]
['5httlpr', [4568, 4575]]
['5httlpr', [5449, 5456]]
['5httlpr', [5662, 5669]]
['5httlpr', [5958, 5965]]
['5httlpr', [6115, 6122]]
['5httlpr', [10549, 10556]]
['5httlpr', [12173, 12180]]
['5httlpr', [13753, 13760]]
['5httlpr', [13785, 13792]]
['5httlpr', [13818, 13825]]
['5httlpr', [18147, 18154]]
['5httlpr', [19772, 19779]]
['5httlpr', [21352, 21359]]
['5httlpr', [21384, 21391]]
['5httlpr', [21417, 21424]]
['5httlpr', [23519, 23526]]
['5httlpr', [25925, 25932]]
['5httlpr', [26048, 26055]]
['5httlpr', [26214, 26221]]
['5httlpr', [26656, 26663]]
['5httlpr', [29031, 29038]]
['5httlpr', [31437, 31444]]
['5httlpr', [31560, 31567]]
['5httlpr', [31726, 31733]]
['5httlpr', [32168, 32175]]
['5httlpr', [33198, 33205]]
['5httlpr', [36344, 36351]]
['5httlpr', [37107, 37114]]
['5httlpr', [40740, 40747]]
['5httlpr', [42168, 42175]]
['5httlpr', [45314, 45321]]
['5httlpr', [46077, 46084]]
['5httlpr', [49710, 49717]]
['5httlpr', [52944, 52951]]
['5httlpr', [53084, 53091]]
['5httlpr', [53659, 53666]]
['5httlpr', [56188, 56195]]
['5httlpr', [56328, 56335]]
['5httlpr', [56903, 56910]]
['maoa-uvntr', [206, 216]]
['maoa-uvntr', [825, 835]]
['maoa-uvntr', [3507, 3517]]
['maoa-uvntr', [4553, 4563]]
['maoa-uvntr', [5329, 5339]]
['maoa-uvntr', [11438, 11448]]
['maoa-uvntr', [11923, 11933]]
['maoa-uvntr', [13741, 13751]]
['maoa-uvntr', [13773, 13783]]
['maoa-uvntr', [19037, 19047]]
['maoa-uvntr', [19522, 19532]]
['maoa-uvntr', [21340, 21350]]
['maoa-uvntr', [21372, 21382]]
['maoa-uvntr', [33895, 33905]]
['maoa-uvntr', [42865, 42875]]
['long', [1134, 1138]]
['long', [3192, 3196]]
['long', [4072, 4076]]
['long', [5639, 5643]]
['long', [6531, 6535]]
['long', [10661, 10665]]
['long', [11300, 11304]]
['long', [14126, 14130]]
['long', [18259, 18263]]
['long', [18898, 18902]]
['long', [35988, 35992]]
['long', [36399, 36403]]
['long', [44958, 44962]]
['long', [45369, 45373]]
['\\(', [205, 207]]
['\\(', [414, 416]]
['\\(', [595, 597]]
['\\(', [760, 762]]
['\\(', [1088, 1090]]
['\\(', [1139, 1141]]
['\\(', [1216, 1218]]
['\\(', [1247, 1249]]
['\\(', [2036, 2038]]
['\\(', [2042, 2044]]
['\\(', [2097, 2099]]
['\\(', [2102, 2104]]
['\\(', [2131, 2133]]
['\\(', [2221, 2223]]
['\\(', [2350, 2352]]
['\\(', [2389, 2391]]
['\\(', [2583, 2585]]
['\\(', [2875, 2877]]
['\\(', [3011, 3013]]
['\\(', [3261, 3263]]
['\\(', [3499, 3501]]
['\\(', [3563, 3565]]
['\\(', [3626, 3628]]
['\\(', [3680, 3682]]
['\\(', [3788, 3790]]
['\\(', [3906, 3908]]
['\\(', [4077, 4079]]
['\\(', [4090, 4092]]
['\\(', [4169, 4171]]
['\\(', [4316, 4318]]
['\\(', [4429, 4431]]
['\\(', [4918, 4920]]
['\\(', [5099, 5101]]
['\\(', [5264, 5266]]
['\\(', [5593, 5595]]
['\\(', [5644, 5646]]
['\\(', [5721, 5723]]
['\\(', [5752, 5754]]
['\\(', [6459, 6461]]
['\\(', [6703, 6705]]
['\\(', [7126, 7128]]
['\\(', [7318, 7320]]
['\\(', [7797, 7799]]
['\\(', [7877, 7879]]
['\\(', [7925, 7927]]
['\\(', [7999, 8001]]
['\\(', [8446, 8448]]
['\\(', [8677, 8679]]
['\\(', [8699, 8701]]
['\\(', [9087, 9089]]
['\\(', [9371, 9373]]
['\\(', [9486, 9488]]
['\\(', [9520, 9522]]
['\\(', [9639, 9641]]
['\\(', [9822, 9824]]
['\\(', [9895, 9897]]
['\\(', [9943, 9945]]
['\\(', [10360, 10362]]
['\\(', [10548, 10550]]
['\\(', [10650, 10652]]
['\\(', [10666, 10668]]
['\\(', [10749, 10751]]
['\\(', [10799, 10801]]
['\\(', [11526, 11528]]
['\\(', [11633, 11635]]
['\\(', [11770, 11772]]
['\\(', [12265, 12267]]
['\\(', [12745, 12747]]
['\\(', [13291, 13293]]
['\\(', [13413, 13415]]
['\\(', [13527, 13529]]
['\\(', [13659, 13661]]
['\\(', [13740, 13742]]
['\\(', [13772, 13774]]
['\\(', [13817, 13819]]
['\\(', [14054, 14056]]
['\\(', [14298, 14300]]
['\\(', [14721, 14723]]
['\\(', [14913, 14915]]
['\\(', [15393, 15395]]
['\\(', [15473, 15475]]
['\\(', [15521, 15523]]
['\\(', [15595, 15597]]
['\\(', [16042, 16044]]
['\\(', [16274, 16276]]
['\\(', [16296, 16298]]
['\\(', [16684, 16686]]
['\\(', [16969, 16971]]
['\\(', [17084, 17086]]
['\\(', [17118, 17120]]
['\\(', [17237, 17239]]
['\\(', [17420, 17422]]
['\\(', [17493, 17495]]
['\\(', [17541, 17543]]
['\\(', [17958, 17960]]
['\\(', [18146, 18148]]
['\\(', [18248, 18250]]
['\\(', [18264, 18266]]
['\\(', [18347, 18349]]
