genia tagger: 10045['ecm', [127, 130]]
['ecm', [363, 366]]
['ecm', [401, 404]]
['ecm', [641, 644]]
['ecm', [834, 837]]
['ecm', [1306, 1309]]
['ecm', [2678, 2681]]
['ecm', [4084, 4087]]
['ecm', [4105, 4108]]
['ecm', [4708, 4711]]
['ecm', [5211, 5214]]
['ecm', [5316, 5319]]
['ecm', [5365, 5368]]
['ecm', [5753, 5756]]
['ecm', [5806, 5809]]
['ecm', [6392, 6395]]
['ecm', [6533, 6536]]
['ecm', [7386, 7389]]
['ecm', [7464, 7467]]
['ecm', [7735, 7738]]
['ecm', [7866, 7869]]
['ecm', [7936, 7939]]
['ecm', [8133, 8136]]
['ecm', [8267, 8270]]
['ecm', [8304, 8307]]
['ecm', [8453, 8456]]
['ecm', [8659, 8662]]
['ecm', [8876, 8879]]
['ecm', [9656, 9659]]
['ecm', [10091, 10094]]
['ecm', [11219, 11222]]
['ecm', [11533, 11536]]
['ecm', [11726, 11729]]
['ecm', [15769, 15772]]
['ecm', [21133, 21136]]
['ecm', [21218, 21221]]
['ecm', [21944, 21947]]
['ecm', [22221, 22224]]
['ecm', [23912, 23915]]
['ecm', [24045, 24048]]
['ecm', [24279, 24282]]
['ecm', [24511, 24514]]
['ecm', [24741, 24744]]
['ecm', [24867, 24870]]
['ecm', [25104, 25107]]
['ecm', [25144, 25147]]
['ecm', [26146, 26149]]
['ecm', [26460, 26463]]
['ecm', [26653, 26656]]
['ecm', [30697, 30700]]
['ecm', [36061, 36064]]
['ecm', [36146, 36149]]
['ecm', [36872, 36875]]
['ecm', [37150, 37153]]
['ecm', [38841, 38844]]
['ecm', [38974, 38977]]
['ecm', [39208, 39211]]
['ecm', [39440, 39443]]
['ecm', [39670, 39673]]
['ecm', [39796, 39799]]
['ecm', [40033, 40036]]
['ecm', [40073, 40076]]
['ecm', [40150, 40153]]
['ecm', [40928, 40931]]
['ecm', [41176, 41179]]
['ecm', [41607, 41610]]
['ecm', [41841, 41844]]
['ecm', [42630, 42633]]
['ecm', [42756, 42759]]
['ecm', [42858, 42861]]
['ecm', [43222, 43225]]
['ecm', [44500, 44503]]
['ecm', [44858, 44861]]
['ecm', [46650, 46653]]
['ecm', [46993, 46996]]
['ecm', [47053, 47056]]
['ecm', [47169, 47172]]
['ecm', [48302, 48305]]
['ecm', [49040, 49043]]
['ecm', [50225, 50228]]
['ecm', [50337, 50340]]
['ecm', [50403, 50406]]
['ecm', [50518, 50521]]
['ecm', [50711, 50714]]
['ecm', [51075, 51078]]
['ecm', [52353, 52356]]
['ecm', [52711, 52714]]
['ecm', [54503, 54506]]
['ecm', [54846, 54849]]
['ecm', [54907, 54910]]
['ecm', [55023, 55026]]
['ecm', [56156, 56159]]
['ecm', [56894, 56897]]
['ecm', [58079, 58082]]
['ecm', [58191, 58194]]
['ecm', [58257, 58260]]
['ecm', [58372, 58375]]
['ecm', [58605, 58608]]
['ecm', [58835, 58838]]
['ecm', [60164, 60167]]
['ecm', [60224, 60227]]
['ecm', [60277, 60280]]
['ecm', [62416, 62419]]
['ecm', [62958, 62961]]
['ecm', [63141, 63144]]
['ecm', [63206, 63209]]
['ecm', [63271, 63274]]
['ecm', [63653, 63656]]
['ecm', [63781, 63784]]
['ecm', [64935, 64938]]
['ecm', [65148, 65151]]
['ecm', [65208, 65211]]
['ecm', [65261, 65264]]
['ecm', [67401, 67404]]
['ecm', [67943, 67946]]
['ecm', [68126, 68129]]
['ecm', [68191, 68194]]
['ecm', [68256, 68259]]
['ecm', [68638, 68641]]
['ecm', [68766, 68769]]
['ecm', [69920, 69923]]
['ecm', [70773, 70776]]
['ecm', [70805, 70808]]
['ecm', [71865, 71868]]
['ecm', [71873, 71876]]
['ecm', [73382, 73385]]
['ecm', [73477, 73480]]
['ecm', [74381, 74384]]
['hepatocytes', [2024, 2035]]
['epithelial', [2081, 2091]]
['epithelial', [6317, 6327]]
['epithelial', [6349, 6359]]
['epithelial', [6706, 6716]]
['epithelial', [10765, 10775]]
['epithelial', [10788, 10798]]
['epithelial', [11073, 11083]]
['epithelial', [11146, 11156]]
['epithelial', [15522, 15532]]
['epithelial', [15584, 15594]]
['epithelial', [16268, 16278]]
['epithelial', [18271, 18281]]
['epithelial', [18297, 18307]]
['epithelial', [18415, 18425]]
['epithelial', [19007, 19017]]
['epithelial', [19414, 19424]]
['epithelial', [19519, 19529]]
['epithelial', [19731, 19741]]
['epithelial', [20845, 20855]]
['epithelial', [22497, 22507]]
['epithelial', [22711, 22721]]
['epithelial', [23170, 23180]]
['epithelial', [25692, 25702]]
['epithelial', [25715, 25725]]
['epithelial', [26000, 26010]]
['epithelial', [26073, 26083]]
['epithelial', [30450, 30460]]
['epithelial', [30512, 30522]]
['epithelial', [31196, 31206]]
['epithelial', [33199, 33209]]
['epithelial', [33225, 33235]]
