genia tagger: 4242['tibet', [47, 52]]
['tibet', [92, 97]]
['tibet', [147, 152]]
['tibet', [239, 244]]
['tibet', [372, 377]]
['tibet', [579, 584]]
['tibet', [687, 692]]
['tibet', [782, 787]]
['tibet', [898, 903]]
['tibet', [1036, 1041]]
['tibet', [1200, 1205]]
['tibet', [1760, 1765]]
['tibet', [1861, 1866]]
['tibet', [1900, 1905]]
['tibet', [2297, 2302]]
['tibet', [2369, 2374]]
['tibet', [2415, 2420]]
['tibet', [2599, 2604]]
['tibet', [2811, 2816]]
['tibet', [2939, 2944]]
['tibet', [3147, 3152]]
['tibet', [3255, 3260]]
['tibet', [3350, 3355]]
['tibet', [3466, 3471]]
['tibet', [3605, 3610]]
['tibet', [6224, 6229]]
['tibet', [6785, 6790]]
['tibet', [8330, 8335]]
['tibet', [11124, 11129]]
['tibet', [11685, 11690]]
['tibet', [13231, 13236]]
['tibet', [13634, 13639]]
['tibet', [13803, 13808]]
['tibet', [14048, 14053]]
['tibet', [14309, 14314]]
['tibet', [14481, 14486]]
['tibet', [14755, 14760]]
['tibet', [14784, 14789]]
['tibet', [15105, 15110]]
['tibet', [15375, 15380]]
['tibet', [15610, 15615]]
['tibet', [16018, 16023]]
['tibet', [16138, 16143]]
['tibet', [16863, 16868]]
['tibet', [17032, 17037]]
['tibet', [17277, 17282]]
['tibet', [17538, 17543]]
['tibet', [17710, 17715]]
['tibet', [17984, 17989]]
['tibet', [18013, 18018]]
['tibet', [18334, 18339]]
['tibet', [18604, 18609]]
['tibet', [18839, 18844]]
['tibet', [19247, 19252]]
['tibet', [19367, 19372]]
['tibet', [20084, 20089]]
['tibet', [20253, 20258]]
['tibet', [20498, 20503]]
['tibet', [20759, 20764]]
['tibet', [20931, 20936]]
['tibet', [21205, 21210]]
['tibet', [21234, 21239]]
['tibet', [21555, 21560]]
['tibet', [21825, 21830]]
['tibet', [22060, 22065]]
['tibet', [22468, 22473]]
['tibet', [22588, 22593]]
['tibet', [23305, 23310]]
['tibet', [23474, 23479]]
['tibet', [23719, 23724]]
['tibet', [23980, 23985]]
['tibet', [24152, 24157]]
['tibet', [24426, 24431]]
['tibet', [24455, 24460]]
['tibet', [24776, 24781]]
['tibet', [25046, 25051]]
['tibet', [25281, 25286]]
['tibet', [25689, 25694]]
['tibet', [25809, 25814]]
['tibet', [26553, 26558]]
['tibet', [26788, 26793]]
['tibet', [27196, 27201]]
['tibet', [27316, 27321]]
['tibet', [28060, 28065]]
['tibet', [28295, 28300]]
['tibet', [28703, 28708]]
['tibet', [28823, 28828]]
['tibet', [29494, 29499]]
['tibet', [29614, 29619]]
['tibet', [29725, 29730]]
['tibet', [29929, 29934]]
['tibet', [30034, 30039]]
['tibet', [30675, 30680]]
['tibet', [31579, 31584]]
['tibet', [31702, 31707]]
['tibet', [31747, 31752]]
['tibet', [31869, 31874]]
['tibet', [32053, 32058]]
['tibet', [33000, 33005]]
['tibet', [33146, 33151]]
['tibet', [33309, 33314]]
['tibet', [34042, 34047]]
['tibet', [34317, 34322]]
['tibet', [34437, 34442]]
['tibet', [34548, 34553]]
['tibet', [34752, 34757]]
['tibet', [34857, 34862]]
['tibet', [35498, 35503]]
['tibet', [36402, 36407]]
['tibet', [36525, 36530]]
['tibet', [36570, 36575]]
['tibet', [36692, 36697]]
['tibet', [36876, 36881]]
['tibet', [37823, 37828]]
['tibet', [37969, 37974]]
['tibet', [38132, 38137]]
['tibet', [38865, 38870]]
['tibet', [39980, 39985]]
['tibet', [40131, 40136]]
['tibet', [40547, 40552]]
['tibet', [42790, 42795]]
['tibet', [42941, 42946]]
['tibet', [43357, 43362]]
['tibet', [44738, 44743]]
['tibet', [44779, 44784]]
['tibet', [45076, 45081]]
['tibet', [45223, 45228]]
['tibet', [45363, 45368]]
['tibet', [45928, 45933]]
['tibet', [46039, 46044]]
['tibet', [47701, 47706]]
['tibet', [47795, 47800]]
['tibet', [49725, 49730]]
['tibet', [50030, 50035]]
['tibet', [50725, 50730]]
['tibet', [51034, 51039]]
['autonomous', [245, 255]]
['autonomous', [1206, 1216]]
['autonomous', [45934, 45944]]
['autonomous', [47707, 47717]]
['autonomous', [49731, 49741]]
['autonomous', [50731, 50741]]
['region', [256, 262]]
['region', [1217, 1223]]
['region', [45945, 45951]]
['region', [47718, 47724]]
['region', [49742, 49748]]
['region', [50742, 50748]]
['tar', [1225, 1228]]
['tar', [2795, 2798]]
['tar', [39263, 39266]]
['tar', [42073, 42076]]
['tar', [45785, 45788]]
['people\xe2\x80\x99s', [264, 274]]
['people\xe2\x80\x99s', [1231, 1241]]
['people\xe2\x80\x99s', [45953, 45963]]
['people\xe2\x80\x99s', [47726, 47736]]
['people\xe2\x80\x99s', [49750, 49760]]
['people\xe2\x80\x99s', [50750, 50760]]
['pe\\/gh', [1518, 1524]]
['pe\\/gh', [2463, 2469]]
['pe\\/gh', [4330, 4336]]
['pe\\/gh', [4873, 4879]]
['pe\\/gh', [8393, 8399]]
['pe\\/gh', [9229, 9235]]
['pe\\/gh', [9772, 9778]]
['pe\\/gh', [13294, 13300]]
['pe\\/gh', [14425, 14431]]
['pe\\/gh', [14564, 14570]]
['pe\\/gh', [14777, 14783]]
['pe\\/gh', [16571, 16577]]
['pe\\/gh', [17654, 17660]]
['pe\\/gh', [17793, 17799]]
['pe\\/gh', [18006, 18012]]
['pe\\/gh', [19800, 19806]]
['pe\\/gh', [20875, 20881]]
['pe\\/gh', [21014, 21020]]
['pe\\/gh', [21227, 21233]]
['pe\\/gh', [23021, 23027]]
['pe\\/gh', [24096, 24102]]
['pe\\/gh', [24235, 24241]]
['pe\\/gh', [24448, 24454]]
['pe\\/gh', [26242, 26248]]
['pe\\/gh', [27749, 27755]]
['pe\\/gh', [29256, 29262]]
['pe\\/gh', [30194, 30200]]
['pe\\/gh', [30491, 30497]]
['pe\\/gh', [30544, 30550]]
['pe\\/gh', [30649, 30655]]
['pe\\/gh', [30769, 30775]]
['pe\\/gh', [35017, 35023]]
['pe\\/gh', [35314, 35320]]
