genia tagger: 2220['ctx', [1950, 1953]]
['ctx', [2485, 2488]]
['ctx', [27894, 27897]]
['ctx', [31451, 31454]]
['ctx', [31495, 31498]]
['ctx', [31653, 31656]]
['ctx', [32084, 32087]]
['ctx', [35370, 35373]]
['ctx', [35414, 35417]]
['ctx', [35572, 35575]]
['ctx', [36003, 36006]]
['ctx', [44799, 44802]]
['ctx', [51282, 51285]]
['ctx', [51856, 51859]]
['ctx', [52037, 52040]]
['ctx', [52725, 52728]]
['ctx', [53449, 53452]]
['ctx', [54377, 54380]]
['ctx', [55481, 55484]]
['ctx', [55992, 55995]]
['ctx', [56018, 56021]]
['ctx', [56090, 56093]]
['ctx', [56317, 56320]]
['ctx', [56656, 56659]]
['ctx', [57746, 57749]]
['ctx', [57783, 57786]]
['ctx', [58877, 58880]]
['ctx', [59627, 59630]]
['ctx', [60363, 60366]]
['ctx', [61375, 61378]]
['ctx', [63365, 63368]]
['ctx', [63492, 63495]]
['ctx', [65760, 65763]]
['ctx', [66568, 66571]]
['ctx', [67589, 67592]]
['ctx', [67926, 67929]]
['rscl', [4693, 4697]]
['rscl', [4889, 4893]]
['rscl', [5058, 5062]]
['rscl', [14935, 14939]]
['rscl', [15131, 15135]]
['rscl', [15300, 15304]]
['otta', [4647, 4651]]
['otta', [4895, 4899]]
['otta', [5161, 5165]]
['otta', [14889, 14893]]
['otta', [15137, 15141]]
['otta', [15403, 15407]]
['table', [6584, 6589]]
['table', [6864, 6869]]
['table', [8541, 8546]]
['table', [9304, 9309]]
['table', [11740, 11745]]
['table', [12053, 12058]]
['table', [13854, 13859]]
['table', [16826, 16831]]
['table', [17107, 17112]]
['table', [18785, 18790]]
['table', [19548, 19553]]
['table', [21985, 21990]]
['table', [22299, 22304]]
['table', [24100, 24105]]
['table', [28107, 28112]]
['table', [28520, 28525]]
['table', [41042, 41047]]
['table', [41101, 41106]]
['table', [45011, 45016]]
['table', [45424, 45429]]
['table', [49391, 49396]]
['table', [49398, 49403]]
['table', [68690, 68695]]
['table', [69892, 69897]]
['table', [70991, 70996]]
['table', [71079, 71084]]
['table', [72324, 72329]]
['table', [73604, 73609]]
['table', [75000, 75005]]
['table', [76278, 76283]]
['2', [558, 559]]
['2', [1097, 1098]]
['2', [1104, 1105]]
['2', [2183, 2184]]
['2', [2353, 2354]]
['2', [2379, 2380]]
['2', [2737, 2738]]
['2', [3549, 3550]]
['2', [4552, 4553]]
['2', [4557, 4558]]
['2', [4655, 4656]]
['2', [4701, 4702]]
['2', [4702, 4703]]
['2', [4722, 4723]]
['2', [4774, 4775]]
['2', [5461, 5462]]
['2', [5538, 5539]]
['2', [5615, 5616]]
['2', [6590, 6591]]
['2', [6768, 6769]]
['2', [7681, 7682]]
['2', [8076, 8077]]
['2', [8415, 8416]]
['2', [9620, 9621]]
['2', [9897, 9898]]
['2', [9991, 9992]]
['2', [11588, 11589]]
['2', [11704, 11705]]
['2', [11846, 11847]]
['2', [13860, 13861]]
['2', [14794, 14795]]
['2', [14799, 14800]]
['2', [14897, 14898]]
