genia tagger: 5510['mfg-e8', [37, 43]]
['mfg-e8', [708, 714]]
['mfg-e8', [957, 963]]
['mfg-e8', [1175, 1181]]
['mfg-e8', [1380, 1386]]
['mfg-e8', [1589, 1595]]
['mfg-e8', [1813, 1819]]
['mfg-e8', [3354, 3360]]
['mfg-e8', [3369, 3375]]
['mfg-e8', [3929, 3935]]
['mfg-e8', [4608, 4614]]
['mfg-e8', [5500, 5506]]
['mfg-e8', [5663, 5669]]
['mfg-e8', [7945, 7951]]
['mfg-e8', [8837, 8843]]
['mfg-e8', [9000, 9006]]
['mfg-e8', [11222, 11228]]
['mfg-e8', [11314, 11320]]
['mfg-e8', [11464, 11470]]
['mfg-e8', [11591, 11597]]
['mfg-e8', [11678, 11684]]
['mfg-e8', [13314, 13320]]
['mfg-e8', [13569, 13575]]
['mfg-e8', [13578, 13584]]
['mfg-e8', [13665, 13671]]
['mfg-e8', [14362, 14368]]
['mfg-e8', [14454, 14460]]
['mfg-e8', [14604, 14610]]
['mfg-e8', [14731, 14737]]
['mfg-e8', [14818, 14824]]
['mfg-e8', [16454, 16460]]
['mfg-e8', [16709, 16715]]
['mfg-e8', [16718, 16724]]
['mfg-e8', [16805, 16811]]
['mfg-e8', [17139, 17145]]
['mfg-e8', [17396, 17402]]
['mfg-e8', [20464, 20470]]
['mfg-e8', [20632, 20638]]
['mfg-e8', [20768, 20774]]
['mfg-e8', [20942, 20948]]
['mfg-e8', [21118, 21124]]
['mfg-e8', [22346, 22352]]
['mfg-e8', [22647, 22653]]
['mfg-e8', [23243, 23249]]
['mfg-e8', [23440, 23446]]
['mfg-e8', [23697, 23703]]
['mfg-e8', [26765, 26771]]
['mfg-e8', [26933, 26939]]
['mfg-e8', [27069, 27075]]
['mfg-e8', [27243, 27249]]
['mfg-e8', [27419, 27425]]
['mfg-e8', [28647, 28653]]
['mfg-e8', [28948, 28954]]
['mfg-e8', [29544, 29550]]
['mfg-e8', [29736, 29742]]
['mfg-e8', [29973, 29979]]
['mfg-e8', [30392, 30398]]
['mfg-e8', [30606, 30612]]
['mfg-e8', [32230, 32236]]
['mfg-e8', [32398, 32404]]
['mfg-e8', [32435, 32441]]
['mfg-e8', [32665, 32671]]
['mfg-e8', [32902, 32908]]
['mfg-e8', [33321, 33327]]
['mfg-e8', [33535, 33541]]
['mfg-e8', [35159, 35165]]
['mfg-e8', [35327, 35333]]
['mfg-e8', [35364, 35370]]
['impairs', [44, 51]]
['apoptotic', [52, 61]]
['apoptotic', [227, 236]]
['apoptotic', [529, 538]]
['apoptotic', [1396, 1405]]
['apoptotic', [1784, 1793]]
['apoptotic', [3444, 3453]]
['apoptotic', [3494, 3503]]
['apoptotic', [3587, 3596]]
['apoptotic', [3851, 3860]]
['apoptotic', [3973, 3982]]
['apoptotic', [4406, 4415]]
['apoptotic', [6473, 6482]]
['apoptotic', [6707, 6716]]
['apoptotic', [7742, 7751]]
['apoptotic', [9811, 9820]]
['apoptotic', [10047, 10056]]
['apoptotic', [11381, 11390]]
['apoptotic', [11815, 11824]]
['apoptotic', [12225, 12234]]
['apoptotic', [12404, 12413]]
['apoptotic', [12571, 12580]]
['apoptotic', [12861, 12870]]
['apoptotic', [13420, 13429]]
['apoptotic', [13593, 13602]]
['apoptotic', [13675, 13684]]
['apoptotic', [14521, 14530]]
['apoptotic', [14955, 14964]]
['apoptotic', [15365, 15374]]
['apoptotic', [15544, 15553]]
['apoptotic', [15711, 15720]]
['apoptotic', [16001, 16010]]
['apoptotic', [16560, 16569]]
['apoptotic', [16733, 16742]]
['apoptotic', [16815, 16824]]
['apoptotic', [17182, 17191]]
['apoptotic', [17412, 17421]]
['apoptotic', [20265, 20274]]
['apoptotic', [20678, 20687]]
['apoptotic', [20822, 20831]]
['apoptotic', [21093, 21102]]
['apoptotic', [21150, 21159]]
['apoptotic', [21927, 21936]]
['apoptotic', [22437, 22446]]
['apoptotic', [23036, 23045]]
['apoptotic', [23213, 23222]]
['apoptotic', [23483, 23492]]
['apoptotic', [23713, 23722]]
['apoptotic', [26566, 26575]]
['apoptotic', [26979, 26988]]
['apoptotic', [27123, 27132]]
['apoptotic', [27394, 27403]]
['apoptotic', [27451, 27460]]
['apoptotic', [28228, 28237]]
['apoptotic', [28738, 28747]]
['apoptotic', [29337, 29346]]
['apoptotic', [29514, 29523]]
['apoptotic', [29884, 29893]]
['apoptotic', [30099, 30108]]
['apoptotic', [30209, 30218]]
['apoptotic', [30293, 30302]]
['apoptotic', [30431, 30440]]
['apoptotic', [30964, 30973]]
['apoptotic', [31272, 31281]]
['apoptotic', [31311, 31320]]
['apoptotic', [31762, 31771]]
['apoptotic', [32241, 32250]]
['apoptotic', [32490, 32499]]
['apoptotic', [32813, 32822]]
['apoptotic', [33028, 33037]]
['apoptotic', [33138, 33147]]
['apoptotic', [33222, 33231]]
['apoptotic', [33360, 33369]]
['apoptotic', [33893, 33902]]
['apoptotic', [34201, 34210]]
['apoptotic', [34240, 34249]]
['apoptotic', [34691, 34700]]
['apoptotic', [35170, 35179]]
['apoptotic', [35419, 35428]]
['cell', [62, 66]]
['cell', [237, 241]]
['cell', [1406, 1410]]
['cell', [1794, 1798]]
['cell', [2895, 2899]]
['cell', [3233, 3237]]
['cell', [3454, 3458]]
['cell', [3504, 3508]]
['cell', [3597, 3601]]
['cell', [3861, 3865]]
['cell', [3983, 3987]]
['cell', [4337, 4341]]
['cell', [5290, 5294]]
['cell', [5315, 5319]]
['cell', [6483, 6487]]
['cell', [6717, 6721]]
['cell', [6800, 6804]]
['cell', [6836, 6840]]
['cell', [7150, 7154]]
['cell', [7673, 7677]]
['cell', [8627, 8631]]
['cell', [8652, 8656]]
['cell', [9821, 9825]]
['cell', [10057, 10061]]
['cell', [10140, 10144]]
['cell', [10176, 10180]]
['cell', [10490, 10494]]
['cell', [11391, 11395]]
['cell', [11534, 11538]]
['cell', [11825, 11829]]
['cell', [12052, 12056]]
['cell', [12235, 12239]]
['cell', [12414, 12418]]
['cell', [12804, 12808]]
['cell', [12871, 12875]]
['cell', [13282, 13286]]
['cell', [13430, 13434]]
['cell', [13603, 13607]]
['cell', [13685, 13689]]
['cell', [14531, 14535]]
['cell', [14674, 14678]]
['cell', [14965, 14969]]
['cell', [15192, 15196]]
['cell', [15375, 15379]]
['cell', [15554, 15558]]
['cell', [15944, 15948]]
['cell', [16011, 16015]]
['cell', [16422, 16426]]
['cell', [16570, 16574]]
['cell', [16743, 16747]]
