genia tagger: 5414['lymph', [89, 94]]
['lymph', [138, 143]]
['lymph', [238, 243]]
['lymph', [502, 507]]
['lymph', [644, 649]]
['lymph', [717, 722]]
['lymph', [1233, 1238]]
['lymph', [1974, 1979]]
['lymph', [2093, 2098]]
['lymph', [2183, 2188]]
['lymph', [2358, 2363]]
['lymph', [2419, 2424]]
['lymph', [2472, 2477]]
['lymph', [2672, 2677]]
['lymph', [2854, 2859]]
['lymph', [3081, 3086]]
['lymph', [3119, 3124]]
['lymph', [3427, 3432]]
['lymph', [3506, 3511]]
['lymph', [3586, 3591]]
['lymph', [3759, 3764]]
['lymph', [3781, 3786]]
['lymph', [3873, 3878]]
['lymph', [3979, 3984]]
['lymph', [4027, 4032]]
['lymph', [4064, 4069]]
['lymph', [4232, 4237]]
['lymph', [4497, 4502]]
['lymph', [4555, 4560]]
['lymph', [4707, 4712]]
['lymph', [4891, 4896]]
['lymph', [4966, 4971]]
['lymph', [5041, 5046]]
['lymph', [5183, 5188]]
['lymph', [5233, 5238]]
['lymph', [5479, 5484]]
['lymph', [5495, 5500]]
['lymph', [5647, 5652]]
['lymph', [5754, 5759]]
['lymph', [5860, 5865]]
['lymph', [6157, 6162]]
['lymph', [6207, 6212]]
['lymph', [6339, 6344]]
['lymph', [8318, 8323]]
['lymph', [8605, 8610]]
['lymph', [8649, 8654]]
['lymph', [8701, 8706]]
['lymph', [8823, 8828]]
['lymph', [8998, 9003]]
['lymph', [9087, 9092]]
['lymph', [9251, 9256]]
['lymph', [9339, 9344]]
['lymph', [9636, 9641]]
['lymph', [9700, 9705]]
['lymph', [9856, 9861]]
['lymph', [10165, 10170]]
['lymph', [10196, 10201]]
['lymph', [10295, 10300]]
['lymph', [10427, 10432]]
['lymph', [11271, 11276]]
['lymph', [13502, 13507]]
['lymph', [22201, 22206]]
['lymph', [22530, 22535]]
['lymph', [22552, 22557]]
['lymph', [22644, 22649]]
['lymph', [23107, 23112]]
['lymph', [23291, 23296]]
['lymph', [23497, 23502]]
['lymph', [23648, 23653]]
['lymph', [33073, 33078]]
['lymph', [33402, 33407]]
['lymph', [33424, 33429]]
['lymph', [33516, 33521]]
['lymph', [33979, 33984]]
['lymph', [34163, 34168]]
['lymph', [34369, 34374]]
['lymph', [34520, 34525]]
['lymph', [35639, 35644]]
['lymph', [35717, 35722]]
['lymph', [36018, 36023]]
['lymph', [36430, 36435]]
['lymph', [36610, 36615]]
['lymph', [36686, 36691]]
['lymph', [36830, 36835]]
['lymph', [37129, 37134]]
['lymph', [37537, 37542]]
['lymph', [38058, 38063]]
['lymph', [38257, 38262]]
['lymph', [39732, 39737]]
['lymph', [40023, 40028]]
['node', [95, 99]]
['node', [244, 248]]
['node', [508, 512]]
['node', [1239, 1243]]
['node', [1349, 1353]]
['node', [1509, 1513]]
['node', [1980, 1984]]
['node', [2099, 2103]]
['node', [2116, 2120]]
['node', [2189, 2193]]
['node', [2364, 2368]]
['node', [2425, 2429]]
['node', [2478, 2482]]
['node', [2678, 2682]]
['node', [2734, 2738]]
['node', [3592, 3596]]
['node', [3848, 3852]]
['node', [3985, 3989]]
['node', [4070, 4074]]
['node', [4238, 4242]]
['node', [4897, 4901]]
['node', [5047, 5051]]
['node', [5189, 5193]]
['node', [5653, 5657]]
['node', [6163, 6167]]
['node', [8655, 8659]]
['node', [9345, 9349]]
['node', [10354, 10358]]
['node', [10433, 10437]]
['node', [11277, 11281]]
['node', [22207, 22211]]
['node', [22434, 22438]]
['node', [22454, 22458]]
['node', [22536, 22540]]
['node', [22650, 22654]]
['node', [23113, 23117]]
['node', [23144, 23148]]
['node', [23297, 23301]]
['node', [23503, 23507]]
['node', [23654, 23658]]
['node', [23849, 23853]]
['node', [23983, 23987]]
['node', [33079, 33083]]
['node', [33306, 33310]]
['node', [33326, 33330]]
['node', [33408, 33412]]
['node', [33522, 33526]]
['node', [33985, 33989]]
['node', [34016, 34020]]
['node', [34169, 34173]]
['node', [34375, 34379]]
['node', [34526, 34530]]
['node', [34721, 34725]]
['node', [34855, 34859]]
['node', [35586, 35590]]
['node', [35612, 35616]]
['node', [35645, 35649]]
['node', [36024, 36028]]
['node', [36836, 36840]]
['node', [37135, 37139]]
['node', [37543, 37547]]
['node', [37713, 37717]]
['node', [38064, 38068]]
['node', [38217, 38221]]
['node', [38312, 38316]]
['node', [39583, 39587]]
['node', [39607, 39611]]
['node', [39720, 39724]]
['node', [39771, 39775]]
['node', [39946, 39950]]
['node', [40029, 40033]]
['metastases', [100, 110]]
['metastases', [3546, 3556]]
['metastases', [5391, 5401]]
['metastases', [5682, 5692]]
['metastases', [15892, 15902]]
['metastases', [16417, 16427]]
['metastases', [26763, 26773]]
['metastases', [27288, 27298]]
['metastases', [36107, 36117]]
['metastases', [37548, 37558]]
['nir', [554, 557]]
['nir', [1093, 1096]]
['nir', [1606, 1609]]
['nir', [6642, 6645]]
['nir', [7189, 7192]]
['nir', [7226, 7229]]
['nir', [7501, 7504]]
['nir', [7662, 7665]]
['nir', [7719, 7722]]
['nir', [8667, 8670]]
['nir', [8910, 8913]]
['nir', [10554, 10557]]
['nir', [10902, 10905]]
['nir', [11047, 11050]]
['nir', [11179, 11182]]
['nir', [11486, 11489]]
['nir', [12402, 12405]]
['nir', [12544, 12547]]
['nir', [12903, 12906]]
['nir', [13371, 13374]]
['nir', [16862, 16865]]
['nir', [18215, 18218]]
['nir', [27734, 27737]]
['nir', [29087, 29090]]
['nir', [35317, 35320]]
['nir', [36655, 36658]]
['nir', [37510, 37513]]
['trastuzumab', [767, 778]]
['trastuzumab', [1023, 1034]]
['trastuzumab', [1307, 1318]]
['trastuzumab', [7962, 7973]]
['trastuzumab', [8457, 8468]]
['trastuzumab', [13526, 13537]]
['trastuzumab', [14325, 14336]]
['trastuzumab', [14742, 14753]]
['trastuzumab', [15112, 15123]]
['trastuzumab', [15318, 15329]]
['trastuzumab', [15612, 15623]]
['trastuzumab', [15857, 15868]]
['trastuzumab', [16051, 16062]]
['trastuzumab', [16143, 16154]]
['trastuzumab', [16285, 16296]]
['trastuzumab', [16506, 16517]]
['trastuzumab', [16609, 16620]]
['trastuzumab', [17006, 17017]]
['trastuzumab', [17418, 17429]]
['trastuzumab', [17774, 17785]]
['trastuzumab', [17861, 17872]]
['trastuzumab', [17893, 17904]]
['trastuzumab', [18302, 18313]]
['trastuzumab', [18561, 18572]]
['trastuzumab', [20269, 20280]]
['trastuzumab', [22392, 22403]]
['trastuzumab', [23022, 23033]]
['trastuzumab', [23715, 23726]]
['trastuzumab', [24178, 24189]]
['trastuzumab', [24397, 24408]]
['trastuzumab', [25196, 25207]]
['trastuzumab', [25613, 25624]]
['trastuzumab', [25983, 25994]]
['trastuzumab', [26189, 26200]]
['trastuzumab', [26483, 26494]]
['trastuzumab', [26728, 26739]]
['trastuzumab', [26922, 26933]]
['trastuzumab', [27014, 27025]]
['trastuzumab', [27156, 27167]]
['trastuzumab', [27378, 27389]]
['trastuzumab', [27481, 27492]]
['trastuzumab', [27878, 27889]]
['trastuzumab', [28290, 28301]]
['trastuzumab', [28646, 28657]]
['trastuzumab', [28733, 28744]]
['trastuzumab', [28765, 28776]]
['trastuzumab', [29174, 29185]]
['trastuzumab', [29433, 29444]]
['trastuzumab', [31141, 31152]]
['trastuzumab', [33264, 33275]]
['trastuzumab', [33894, 33905]]
['trastuzumab', [34587, 34598]]
['trastuzumab', [35050, 35061]]
['trastuzumab', [36930, 36941]]
['trastuzumab', [37235, 37246]]
['trastuzumab', [38472, 38483]]
['trastuzumab', [38567, 38578]]
['trastuzumab', [38939, 38950]]
['trastuzumab', [39502, 39513]]
['trastuzumab', [39887, 39898]]
['trastuzumab', [40133, 40144]]
['trastuzumab', [40674, 40685]]
['trastuzumab', [40702, 40713]]
['trastuzumab', [41708, 41719]]
['herceptin', [783, 792]]
['herceptin', [14338, 14347]]
['herceptin', [25209, 25218]]
['herceptin', [40290, 40299]]
['herceptin', [40940, 40949]]
['herceptin', [40990, 40999]]
['herceptin', [41010, 41019]]
['herceptin', [41144, 41153]]
['herceptin', [41167, 41176]]
['herceptin', [41371, 41380]]
['herceptin', [41526, 41535]]
['herceptin', [41536, 41545]]
['human', [678, 683]]
['human', [804, 809]]
['human', [8008, 8013]]
['human', [9493, 9498]]
['human', [9904, 9909]]
['human', [10725, 10730]]
['human', [11363, 11368]]
['human', [13575, 13580]]
['human', [14380, 14385]]
['human', [15232, 15237]]
['human', [15688, 15693]]
['human', [18492, 18497]]
['human', [24446, 24451]]
['human', [25251, 25256]]
['human', [26103, 26108]]
['human', [26559, 26564]]
['human', [29364, 29369]]
['human', [36473, 36478]]
['human', [40769, 40774]]
['human', [40838, 40843]]
['epidermal', [810, 819]]
['epidermal', [8014, 8023]]
['epidermal', [13581, 13590]]
