genia tagger: 1558['ct', [118, 120]]
['ct', [164, 166]]
['ct', [392, 394]]
['ct', [511, 513]]
['ct', [784, 786]]
['ct', [837, 839]]
['ct', [1038, 1040]]
['ct', [1083, 1085]]
['ct', [1125, 1127]]
['ct', [1129, 1131]]
['ct', [1136, 1138]]
['ct', [1203, 1205]]
['ct', [1262, 1264]]
['ct', [1373, 1375]]
['ct', [1392, 1394]]
['ct', [1498, 1500]]
['ct', [1567, 1569]]
['ct', [1742, 1744]]
['ct', [1853, 1855]]
['ct', [1981, 1983]]
['ct', [2066, 2068]]
['ct', [2150, 2152]]
['ct', [2648, 2650]]
['ct', [2682, 2684]]
['ct', [3174, 3176]]
['ct', [3196, 3198]]
['ct', [3358, 3360]]
['ct', [3518, 3520]]
['ct', [3538, 3540]]
['ct', [3823, 3825]]
['ct', [4052, 4054]]
['ct', [4113, 4115]]
['ct', [4445, 4447]]
['ct', [4490, 4492]]
['ct', [4519, 4521]]
['ct', [4633, 4635]]
['ct', [4735, 4737]]
['ct', [4854, 4856]]
['ct', [5128, 5130]]
['ct', [5181, 5183]]
['ct', [5382, 5384]]
['ct', [5427, 5429]]
['ct', [5469, 5471]]
['ct', [5473, 5475]]
['ct', [5480, 5482]]
['ct', [5547, 5549]]
['ct', [5606, 5608]]
['ct', [5718, 5720]]
['ct', [5737, 5739]]
['ct', [5843, 5845]]
['ct', [5912, 5914]]
['ct', [6238, 6240]]
['ct', [6308, 6310]]
['ct', [6510, 6512]]
['ct', [6987, 6989]]
['ct', [7126, 7128]]
['ct', [7404, 7406]]
['ct', [7454, 7456]]
['ct', [7510, 7512]]
['ct', [7654, 7656]]
['ct', [7693, 7695]]
['ct', [7735, 7737]]
['ct', [7912, 7914]]
['ct', [7967, 7969]]
['ct', [8035, 8037]]
['ct', [8694, 8696]]
['ct', [9141, 9143]]
['ct', [9258, 9260]]
['ct', [9291, 9293]]
['ct', [10782, 10784]]
['ct', [10838, 10840]]
['ct', [10914, 10916]]
['ct', [10986, 10988]]
['ct', [11224, 11226]]
['ct', [11347, 11349]]
['ct', [11464, 11466]]
['ct', [11498, 11500]]
['ct', [11691, 11693]]
['ct', [11862, 11864]]
['ct', [12144, 12146]]
['ct', [12241, 12243]]
['ct', [12739, 12741]]
['ct', [12794, 12796]]
['ct', [12888, 12890]]
['ct', [12962, 12964]]
['ct', [13337, 13339]]
['ct', [13398, 13400]]
['ct', [13490, 13492]]
['ct', [13522, 13524]]
['ct', [13693, 13695]]
['ct', [13762, 13764]]
