genia tagger: 5336['non-dense', [562, 571]]
['non-dense', [1128, 1137]]
['non-dense', [1313, 1322]]
['non-dense', [1535, 1544]]
['non-dense', [3034, 3043]]
['non-dense', [3200, 3209]]
['non-dense', [9308, 9317]]
['non-dense', [12666, 12675]]
['non-dense', [13280, 13289]]
['non-dense', [20374, 20383]]
['non-dense', [23734, 23743]]
['non-dense', [24348, 24357]]
['non-dense', [30052, 30061]]
['non-dense', [30995, 31004]]
['non-dense', [31155, 31164]]
['non-dense', [31562, 31571]]
['non-dense', [31913, 31922]]
['non-dense', [32872, 32881]]
['non-dense', [33021, 33030]]
['non-dense', [33939, 33948]]
['non-dense', [34371, 34380]]
['non-dense', [36241, 36250]]
['non-dense', [37184, 37193]]
['non-dense', [37344, 37353]]
['non-dense', [37751, 37760]]
['non-dense', [38102, 38111]]
['non-dense', [39061, 39070]]
['non-dense', [39210, 39219]]
['non-dense', [40128, 40137]]
['non-dense', [40560, 40569]]
['non-dense', [42411, 42420]]
['non-dense', [42622, 42631]]
['non-dense', [45932, 45941]]
['non-dense', [46229, 46238]]
['non-dense', [46335, 46344]]
['non-dense', [46919, 46928]]
['non-dense', [47008, 47017]]
['non-dense', [47776, 47785]]
['non-dense', [48934, 48943]]
['non-dense', [49346, 49355]]
['non-dense', [49556, 49565]]
['non-dense', [53780, 53789]]
['non-dense', [53991, 54000]]
['non-dense', [57301, 57310]]
['non-dense', [57598, 57607]]
['non-dense', [57704, 57713]]
['non-dense', [58288, 58297]]
['non-dense', [58377, 58386]]
['non-dense', [59145, 59154]]
['non-dense', [60303, 60312]]
['non-dense', [60715, 60724]]
['non-dense', [60925, 60934]]
['non-dense', [65562, 65571]]
['non-dense', [66150, 66159]]
['non-dense', [67264, 67273]]
['non-dense', [67819, 67828]]
['non-dense', [69733, 69742]]
['non-dense', [70321, 70330]]
['non-dense', [71435, 71444]]
['non-dense', [71990, 71999]]
['components', [1581, 1591]]
['components', [1657, 1667]]
['components', [3210, 3220]]
['components', [5905, 5915]]
['components', [14436, 14446]]
['components', [15331, 15341]]
['components', [25504, 25514]]
['components', [26399, 26409]]
['components', [45179, 45189]]
['components', [56548, 56558]]
['mz', [3489, 3491]]
['mz', [48825, 48827]]
['mz', [60194, 60196]]
['380', [3497, 3500]]
['dizygotic', [3501, 3510]]
['\\(', [207, 209]]
['\\(', [1073, 1075]]
['\\(', [1212, 1214]]
['\\(', [1233, 1235]]
['\\(', [1274, 1276]]
['\\(', [1514, 1516]]
['\\(', [1915, 1917]]
['\\(', [2064, 2066]]
['\\(', [2430, 2432]]
['\\(', [2518, 2520]]
['\\(', [2565, 2567]]
['\\(', [2754, 2756]]
['\\(', [2929, 2931]]
['\\(', [3327, 3329]]
['\\(', [3488, 3490]]
['\\(', [3511, 3513]]
['\\(', [3628, 3630]]
['\\(', [3635, 3637]]
['\\(', [3648, 3650]]
['\\(', [3815, 3817]]
['\\(', [4074, 4076]]
['\\(', [4922, 4924]]
['\\(', [5048, 5050]]
['\\(', [5064, 5066]]
['\\(', [5202, 5204]]
['\\(', [5256, 5258]]
['\\(', [5261, 5263]]
['\\(', [5579, 5581]]
['\\(', [5751, 5753]]
['\\(', [6013, 6015]]
['\\(', [6184, 6186]]
['\\(', [7084, 7086]]
['\\(', [7116, 7118]]
['\\(', [7144, 7146]]
['\\(', [7199, 7201]]
['\\(', [7510, 7512]]
['\\(', [7569, 7571]]
['\\(', [7630, 7632]]
['\\(', [7672, 7674]]
['\\(', [8079, 8081]]
['\\(', [8516, 8518]]
['\\(', [8537, 8539]]
['\\(', [8606, 8608]]
['\\(', [8835, 8837]]
['\\(', [8925, 8927]]
['\\(', [9063, 9065]]
['\\(', [9070, 9072]]
['\\(', [9122, 9124]]
['\\(', [9159, 9161]]
['\\(', [9760, 9762]]
['\\(', [10378, 10380]]
['\\(', [11299, 11301]]
['\\(', [11391, 11393]]
['\\(', [11577, 11579]]
['\\(', [11608, 11610]]
['\\(', [11645, 11647]]
['\\(', [12077, 12079]]
['\\(', [12412, 12414]]
['\\(', [12472, 12474]]
['\\(', [12564, 12566]]
['\\(', [12653, 12655]]
['\\(', [12739, 12741]]
['\\(', [12844, 12846]]
['\\(', [13309, 13311]]
['\\(', [13336, 13338]]
['\\(', [13491, 13493]]
['\\(', [13526, 13528]]
['\\(', [13730, 13732]]
['\\(', [13737, 13739]]
['\\(', [14069, 14071]]
['\\(', [14211, 14213]]
['\\(', [14318, 14320]]
['\\(', [14384, 14386]]
['\\(', [15015, 15017]]
['\\(', [15028, 15030]]
['\\(', [15035, 15037]]
['\\(', [15248, 15250]]
['\\(', [15392, 15394]]
['\\(', [15455, 15457]]
['\\(', [15545, 15547]]
['\\(', [15705, 15707]]
['\\(', [15723, 15725]]
['\\(', [15732, 15734]]
['\\(', [15771, 15773]]
['\\(', [15879, 15881]]
['\\(', [16399, 16401]]
['\\(', [16588, 16590]]
['\\(', [16807, 16809]]
['\\(', [16904, 16906]]
['\\(', [17380, 17382]]
['\\(', [17496, 17498]]
['\\(', [18149, 18151]]
['\\(', [18181, 18183]]
['\\(', [18209, 18211]]
['\\(', [18264, 18266]]
['\\(', [18575, 18577]]
['\\(', [18634, 18636]]
['\\(', [18695, 18697]]
['\\(', [18737, 18739]]
['\\(', [19144, 19146]]
['\\(', [19582, 19584]]
['\\(', [19603, 19605]]
['\\(', [19672, 19674]]
['\\(', [19901, 19903]]
['\\(', [19991, 19993]]
['\\(', [20129, 20131]]
['\\(', [20136, 20138]]
['\\(', [20188, 20190]]
['\\(', [20225, 20227]]
['\\(', [20826, 20828]]
['\\(', [21444, 21446]]
['\\(', [22366, 22368]]
['\\(', [22458, 22460]]
['\\(', [22644, 22646]]
['\\(', [22675, 22677]]
['\\(', [22712, 22714]]
['\\(', [23144, 23146]]
['\\(', [23479, 23481]]
['\\(', [23539, 23541]]
['\\(', [23631, 23633]]
['\\(', [23721, 23723]]
['\\(', [23807, 23809]]
['\\(', [23912, 23914]]
['\\(', [24377, 24379]]
['\\(', [24404, 24406]]
['\\(', [24559, 24561]]
['\\(', [24594, 24596]]
['\\(', [24798, 24800]]
['\\(', [24805, 24807]]
['\\(', [25137, 25139]]
['\\(', [25279, 25281]]
['\\(', [25386, 25388]]
['\\(', [25452, 25454]]
['\\(', [26083, 26085]]
['\\(', [26096, 26098]]
['\\(', [26103, 26105]]
['\\(', [26316, 26318]]
['\\(', [26460, 26462]]
['\\(', [26523, 26525]]
['\\(', [26613, 26615]]
['\\(', [26773, 26775]]
['\\(', [26791, 26793]]
['\\(', [26800, 26802]]
['\\(', [26839, 26841]]
['\\(', [26947, 26949]]
['\\(', [27467, 27469]]
['\\(', [27656, 27658]]
['\\(', [27875, 27877]]
['\\(', [27972, 27974]]
['\\(', [28448, 28450]]
['\\(', [28564, 28566]]
['\\(', [29750, 29752]]
['\\(', [29907, 29909]]
['\\(', [29971, 29973]]
['\\(', [30017, 30019]]
['\\(', [30249, 30251]]
['\\(', [30304, 30306]]
['\\(', [30501, 30503]]
['\\(', [30633, 30635]]
['\\(', [30770, 30772]]
['\\(', [30778, 30780]]
['\\(', [31032, 31034]]
['\\(', [31268, 31270]]
['\\(', [31389, 31391]]
['\\(', [31947, 31949]]
['\\(', [32025, 32027]]
['\\(', [32244, 32246]]
['\\(', [32368, 32370]]
['\\(', [32500, 32502]]
['\\(', [32657, 32659]]
['\\(', [32671, 32673]]
['\\(', [32690, 32692]]
['\\(', [32827, 32829]]
['\\(', [32963, 32965]]
['\\(', [33130, 33132]]
['\\(', [33174, 33176]]
['\\(', [33189, 33191]]
['\\(', [33224, 33226]]
['\\(', [33597, 33599]]
['\\(', [33776, 33778]]
['\\(', [33809, 33811]]
['\\(', [33900, 33902]]
['\\(', [34059, 34061]]
['\\(', [34134, 34136]]
['\\(', [34161, 34163]]
['\\(', [34208, 34210]]
['\\(', [34322, 34324]]
['\\(', [34370, 34372]]
['\\(', [35939, 35941]]
['\\(', [36096, 36098]]
['\\(', [36160, 36162]]
['\\(', [36206, 36208]]
['\\(', [36438, 36440]]
['\\(', [36493, 36495]]
['\\(', [36690, 36692]]
['\\(', [36822, 36824]]
['\\(', [36959, 36961]]
['\\(', [36967, 36969]]
['\\(', [37221, 37223]]
['\\(', [37457, 37459]]
['\\(', [37578, 37580]]
['\\(', [38136, 38138]]
['\\(', [38214, 38216]]
['\\(', [38433, 38435]]
['\\(', [38557, 38559]]
['\\(', [38689, 38691]]
['\\(', [38846, 38848]]
['\\(', [38860, 38862]]
['\\(', [38879, 38881]]
['\\(', [39016, 39018]]
['\\(', [39152, 39154]]
['\\(', [39319, 39321]]
['\\(', [39363, 39365]]
['\\(', [39378, 39380]]
['\\(', [39413, 39415]]
['\\(', [39786, 39788]]
['\\(', [39965, 39967]]
['\\(', [39998, 40000]]
['\\(', [40089, 40091]]
['\\(', [40248, 40250]]
['\\(', [40323, 40325]]
['\\(', [40350, 40352]]
['\\(', [40397, 40399]]
['\\(', [40511, 40513]]
['\\(', [40559, 40561]]
['\\(', [41899, 41901]]
['\\(', [41994, 41996]]
['\\(', [42126, 42128]]
['\\(', [42896, 42898]]
['\\(', [43159, 43161]]
['\\(', [43217, 43219]]
['\\(', [43371, 43373]]
['\\(', [43840, 43842]]
['\\(', [44096, 44098]]
['\\(', [44494, 44496]]
['\\(', [44804, 44806]]
['\\(', [45154, 45156]]
['\\(', [45214, 45216]]
['\\(', [45711, 45713]]
['\\(', [45734, 45736]]
['\\(', [46239, 46241]]
['\\(', [46375, 46377]]
['\\(', [46747, 46749]]
['\\(', [46869, 46871]]
['\\(', [47060, 47062]]
['\\(', [47162, 47164]]
['\\(', [47250, 47252]]
['\\(', [47360, 47362]]
['\\(', [48542, 48544]]
['\\(', [48793, 48795]]
['\\(', [48854, 48856]]
['\\(', [48964, 48966]]
['\\(', [48977, 48979]]
['\\(', [49142, 49144]]
['\\(', [49626, 49628]]
['\\(', [49825, 49827]]
['\\(', [50613, 50615]]
['\\(', [51054, 51056]]
['\\(', [51105, 51107]]
['\\(', [51777, 51779]]
['\\(', [52577, 52579]]
['\\(', [53268, 53270]]
['\\(', [53363, 53365]]
['\\(', [53495, 53497]]
['\\(', [54265, 54267]]
['\\(', [54528, 54530]]
['\\(', [54586, 54588]]
['\\(', [54740, 54742]]
['\\(', [55209, 55211]]
['\\(', [55465, 55467]]
['\\(', [55863, 55865]]
['\\(', [56173, 56175]]
['\\(', [56523, 56525]]
['\\(', [56583, 56585]]
['\\(', [57080, 57082]]
['\\(', [57103, 57105]]
['\\(', [57608, 57610]]
['\\(', [57744, 57746]]
['\\(', [58116, 58118]]
['\\(', [58238, 58240]]
['\\(', [58429, 58431]]
['\\(', [58531, 58533]]
['\\(', [58619, 58621]]
['\\(', [58729, 58731]]
['\\(', [59911, 59913]]
['\\(', [60162, 60164]]
['\\(', [60223, 60225]]
['\\(', [60333, 60335]]
['\\(', [60346, 60348]]
['\\(', [60511, 60513]]
['\\(', [60995, 60997]]
['\\(', [61194, 61196]]
['\\(', [61982, 61984]]
['\\(', [62423, 62425]]
['\\(', [62474, 62476]]
['\\(', [63146, 63148]]
['\\(', [63946, 63948]]
['\\(', [64019, 64021]]
['\\(', [64038, 64040]]
['\\(', [64072, 64074]]
['\\(', [64642, 64644]]
['\\(', [64706, 64708]]
['\\(', [64735, 64737]]
['\\(', [64779, 64781]]
['\\(', [64800, 64802]]
['\\(', [64848, 64850]]
['\\(', [64895, 64897]]
['\\(', [64935, 64937]]
['\\(', [64999, 65001]]
['\\(', [65049, 65051]]
['\\(', [65086, 65088]]
['\\(', [65119, 65121]]
['\\(', [65160, 65162]]
['\\(', [65206, 65208]]
['\\(', [65239, 65241]]
['\\(', [65319, 65321]]
['\\(', [66217, 66219]]
['\\(', [66379, 66381]]
['\\(', [67878, 67880]]
['\\(', [67995, 67997]]
['\\(', [68064, 68066]]
['\\(', [68190, 68192]]
['\\(', [68209, 68211]]
['\\(', [68243, 68245]]
['\\(', [68813, 68815]]
['\\(', [68877, 68879]]
['\\(', [68906, 68908]]
['\\(', [68950, 68952]]
['\\(', [68971, 68973]]
['\\(', [69019, 69021]]
['\\(', [69066, 69068]]
['\\(', [69106, 69108]]
['\\(', [69170, 69172]]
['\\(', [69220, 69222]]
['\\(', [69257, 69259]]
['\\(', [69290, 69292]]
['\\(', [69331, 69333]]
['\\(', [69377, 69379]]
['\\(', [69410, 69412]]
['\\(', [69490, 69492]]
['\\(', [70388, 70390]]
['\\(', [70550, 70552]]
['\\(', [72049, 72051]]
['\\(', [72166, 72168]]
['\\(', [72235, 72237]]
['dz', [3512, 3514]]
['dz', [48832, 48834]]
['dz', [60201, 60203]]
['\\)', [215, 217]]
['\\)', [1081, 1083]]
['\\)', [1236, 1238]]
['\\)', [1252, 1254]]
['\\)', [1292, 1294]]
['\\)', [1549, 1551]]
['\\)', [1919, 1921]]
['\\)', [2068, 2070]]
['\\)', [2438, 2440]]
['\\)', [2528, 2530]]
['\\)', [2569, 2571]]
['\\)', [2774, 2776]]
['\\)', [2933, 2935]]
['\\)', [3337, 3339]]
['\\)', [3491, 3493]]
['\\)', [3514, 3516]]
['\\)', [3633, 3635]]
['\\)', [3653, 3655]]
['\\)', [3654, 3656]]
['\\)', [3820, 3822]]
['\\)', [4079, 4081]]
['\\)', [4927, 4929]]
['\\)', [5052, 5054]]
['\\)', [5069, 5071]]
['\\)', [5226, 5228]]
['\\)', [5260, 5262]]
['\\)', [5271, 5273]]
['\\)', [5591, 5593]]
['\\)', [5774, 5776]]
['\\)', [6021, 6023]]
['\\)', [6188, 6190]]
['\\)', [7088, 7090]]
['\\)', [7120, 7122]]
['\\)', [7148, 7150]]
['\\)', [7202, 7204]]
['\\)', [7514, 7516]]
['\\)', [7573, 7575]]
['\\)', [7634, 7636]]
['\\)', [7676, 7678]]
['\\)', [8084, 8086]]
['\\)', [8521, 8523]]
['\\)', [8543, 8545]]
['\\)', [8611, 8613]]
['\\)', [8842, 8844]]
['\\)', [8928, 8930]]
['\\)', [9069, 9071]]
['\\)', [9075, 9077]]
['\\)', [9127, 9129]]
['\\)', [9164, 9166]]
['\\)', [9798, 9800]]
['\\)', [10400, 10402]]
['\\)', [11322, 11324]]
['\\)', [11396, 11398]]
['\\)', [11581, 11583]]
['\\)', [11611, 11613]]
['\\)', [11648, 11650]]
['\\)', [12082, 12084]]
['\\)', [12423, 12425]]
['\\)', [12482, 12484]]
['\\)', [12585, 12587]]
['\\)', [12701, 12703]]
['\\)', [12810, 12812]]
['\\)', [12889, 12891]]
['\\)', [13313, 13315]]
['\\)', [13340, 13342]]
['\\)', [13501, 13503]]
['\\)', [13531, 13533]]
['\\)', [13735, 13737]]
['\\)', [13749, 13751]]
['\\)', [14073, 14075]]
['\\)', [14214, 14216]]
['\\)', [14322, 14324]]
['\\)', [14390, 14392]]
['\\)', [15019, 15021]]
['\\)', [15034, 15036]]
['\\)', [15038, 15040]]
['\\)', [15251, 15253]]
['\\)', [15418, 15420]]
['\\)', [15487, 15489]]
['\\)', [15557, 15559]]
