genia tagger: 3654['cri', [157, 160]]
['cri', [1012, 1015]]
['cri', [1036, 1039]]
['cri', [1273, 1276]]
['cri', [1514, 1517]]
['cri', [3069, 3072]]
['cri', [3748, 3751]]
['cri', [7744, 7747]]
['cri', [7951, 7954]]
['cri', [8257, 8260]]
['cri', [8851, 8854]]
['cri', [9389, 9392]]
['cri', [10534, 10537]]
['cri', [11522, 11525]]
['cri', [11641, 11644]]
['cri', [11769, 11772]]
['cri', [12891, 12894]]
['cri', [13571, 13574]]
['cri', [17568, 17571]]
['cri', [17775, 17778]]
['cri', [18081, 18084]]
['cri', [18675, 18678]]
['cri', [25246, 25249]]
['cri', [25453, 25456]]
['cri', [25759, 25762]]
['cri', [26353, 26356]]
['cri', [26892, 26895]]
['cri', [28037, 28040]]
['cri', [29025, 29028]]
['cri', [29144, 29147]]
['cri', [29272, 29275]]
['cri', [29318, 29321]]
['cri', [30274, 30277]]
['cri', [30564, 30567]]
['cri', [30904, 30907]]
['cri', [30976, 30979]]
['cri', [31208, 31211]]
['cri', [31228, 31231]]
['cri', [32015, 32018]]
['cri', [32062, 32065]]
['cri', [32117, 32120]]
['cri', [32329, 32332]]
['cri', [32457, 32460]]
['cri', [32779, 32782]]
['cri', [32892, 32895]]
['cri', [33263, 33266]]
['cri', [33399, 33402]]
['cri', [33707, 33710]]
['cri', [33807, 33810]]
['cri', [34298, 34301]]
['cri', [34337, 34340]]
['cri', [34441, 34444]]
['cri', [34616, 34619]]
['cri', [34672, 34675]]
['cri', [34899, 34902]]
['cri', [34987, 34990]]
['cri', [35060, 35063]]
['cri', [35151, 35154]]
['cri', [35366, 35369]]
['cri', [35581, 35584]]
['cri', [36537, 36540]]
['cri', [36827, 36830]]
['cri', [37167, 37170]]
['cri', [37239, 37242]]
['cri', [37471, 37474]]
['cri', [37491, 37494]]
['cri', [38278, 38281]]
['cri', [38325, 38328]]
['cri', [38380, 38383]]
['cri', [38592, 38595]]
['cri', [38720, 38723]]
['cri', [39042, 39045]]
['cri', [39155, 39158]]
['cri', [39526, 39529]]
['cri', [39662, 39665]]
['cri', [39970, 39973]]
['cri', [40070, 40073]]
['cri', [40561, 40564]]
['cri', [40600, 40603]]
['cri', [40704, 40707]]
['cri', [40879, 40882]]
['cri', [40935, 40938]]
['cri', [41162, 41165]]
['cri', [41250, 41253]]
['cri', [41323, 41326]]
['cri', [41414, 41417]]
['cri', [41629, 41632]]
['cri', [41836, 41839]]
['cri', [42792, 42795]]
['cri', [43082, 43085]]
['cri', [43422, 43425]]
['cri', [43494, 43497]]
['cri', [43726, 43729]]
['cri', [43746, 43749]]
['cri', [43755, 43758]]
['cri', [44711, 44714]]
['cri', [45001, 45004]]
['cri', [45341, 45344]]
['cri', [45413, 45416]]
['cri', [45645, 45648]]
['cri', [45665, 45668]]
['cri', [46453, 46456]]
['cri', [47283, 47286]]
['cri', [47331, 47334]]
['cri', [47386, 47389]]
['cri', [47598, 47601]]
['cri', [47726, 47729]]
['cri', [48048, 48051]]
['cri', [48161, 48164]]
['cri', [48532, 48535]]
['cri', [48668, 48671]]
['cri', [48976, 48979]]
['cri', [49076, 49079]]
['cri', [49567, 49570]]
['cri', [49606, 49609]]
['cri', [49710, 49713]]
['cri', [49885, 49888]]
['cri', [49941, 49944]]
['cri', [50168, 50171]]
['cri', [50234, 50237]]
['cri', [50289, 50292]]
['cri', [50501, 50504]]
['cri', [50629, 50632]]
['cri', [50951, 50954]]
['cri', [51064, 51067]]
['cri', [51435, 51438]]
['cri', [51571, 51574]]
['cri', [51879, 51882]]
['cri', [51979, 51982]]
['cri', [52470, 52473]]
['cri', [52509, 52512]]
['cri', [52613, 52616]]
['cri', [52788, 52791]]
['cri', [52844, 52847]]
['cri', [53071, 53074]]
['cri', [53160, 53163]]
['cri', [53233, 53236]]
['cri', [53324, 53327]]
['cri', [53539, 53542]]
['cri', [53766, 53769]]
['cri', [53839, 53842]]
['cri', [53930, 53933]]
['cri', [54145, 54148]]
['cri', [54550, 54553]]
['cri', [54994, 54997]]
['cri', [55092, 55095]]
['cri', [55341, 55344]]
['cri', [55862, 55865]]
['cri', [56750, 56753]]
['cri', [57047, 57050]]
['cri', [57582, 57585]]
['cri', [59160, 59163]]
['cri', [59423, 59426]]
['cri', [61180, 61183]]
['cri', [61363, 61366]]
['cri', [61369, 61372]]
['cri', [62651, 62654]]
['cri', [64367, 64370]]
['cri', [65097, 65100]]
['cri', [65541, 65544]]
['cri', [65639, 65642]]
['cri', [65888, 65891]]
['cri', [66409, 66412]]
['cri', [67297, 67300]]
['cri', [67594, 67597]]
['cri', [68129, 68132]]
['cri', [69707, 69710]]
['cri', [69970, 69973]]
['cri', [71727, 71730]]
['cri', [71910, 71913]]
['cri', [71916, 71919]]
['cri', [73198, 73201]]
['cri', [74914, 74917]]
['cri', [76656, 76659]]
['cri', [78398, 78401]]
['tbi', [273, 276]]
['tbi', [343, 346]]
['tbi', [1619, 1622]]
['tbi', [2069, 2072]]
['tbi', [3165, 3168]]
['tbi', [4431, 4434]]
['tbi', [4705, 4708]]
['tbi', [11891, 11894]]
['tbi', [12988, 12991]]
['tbi', [14255, 14258]]
['tbi', [14529, 14532]]
['tbi', [19024, 19027]]
['tbi', [19298, 19301]]
['tbi', [29947, 29950]]
['tbi', [36210, 36213]]
['tbi', [42465, 42468]]
