genia tagger: 2687['111in-', [31, 37]]
['111in-', [159, 165]]
['111in-', [1050, 1056]]
['111in-', [1130, 1136]]
['111in-', [1380, 1386]]
['111in-', [1788, 1794]]
['111in-', [2149, 2155]]
['111in-', [2265, 2271]]
['111in-', [2636, 2642]]
['111in-', [2965, 2971]]
['111in-', [4728, 4734]]
['111in-', [5024, 5030]]
['111in-', [5691, 5697]]
['111in-', [5903, 5909]]
['111in-', [7054, 7060]]
['111in-', [7078, 7084]]
['111in-', [9455, 9461]]
['111in-', [9518, 9524]]
['111in-', [13984, 13990]]
['111in-', [14047, 14053]]
['111in-', [16364, 16370]]
['111in-', [16685, 16691]]
['111in-', [17949, 17955]]
['111in-', [18068, 18074]]
['111in-', [18107, 18113]]
['111in-', [18242, 18248]]
['111in-', [18303, 18309]]
['111in-', [18656, 18662]]
['111in-', [18966, 18972]]
['111in-', [19868, 19874]]
['111in-', [20156, 20162]]
['111in-', [20975, 20981]]
['111in-', [21296, 21302]]
['111in-', [22560, 22566]]
['111in-', [22679, 22685]]
['111in-', [22718, 22724]]
['111in-', [22853, 22859]]
['111in-', [22914, 22920]]
['111in-', [23267, 23273]]
['111in-', [23577, 23583]]
['111in-', [24479, 24485]]
['111in-', [24767, 24773]]
['111in-', [25578, 25584]]
['111in-', [25755, 25761]]
['111in-', [26077, 26083]]
['111in-', [26553, 26559]]
['111in-', [27818, 27824]]
['111in-', [27937, 27943]]
['111in-', [27976, 27982]]
['111in-', [28111, 28117]]
['111in-', [28172, 28178]]
['111in-', [28525, 28531]]
['111in-', [28835, 28841]]
['111in-', [29737, 29743]]
['111in-', [30820, 30826]]
['111in-', [30939, 30945]]
['111in-', [30978, 30984]]
['111in-', [31113, 31119]]
['111in-', [31174, 31180]]
['111in-', [31527, 31533]]
['111in-', [31837, 31843]]
['111in-', [32739, 32745]]
['111in-', [33028, 33034]]
['111in-', [33654, 33660]]
['111in-', [34761, 34767]]
['111in-', [37706, 37712]]
['111in-', [39142, 39148]]
['111in-', [39217, 39223]]
