genia tagger: 14685['c\\/ebp', [56, 62]]
['c\\/ebp', [666, 672]]
['c\\/ebp', [888, 894]]
['c\\/ebp', [1049, 1055]]
['c\\/ebp', [1229, 1235]]
['c\\/ebp', [1349, 1355]]
['c\\/ebp', [1485, 1491]]
['c\\/ebp', [1734, 1740]]
['c\\/ebp', [1795, 1801]]
['c\\/ebp', [6482, 6488]]
['c\\/ebp', [6788, 6794]]
['c\\/ebp', [7904, 7910]]
['c\\/ebp', [8326, 8332]]
['c\\/ebp', [8527, 8533]]
['c\\/ebp', [8655, 8661]]
['c\\/ebp', [9189, 9195]]
['c\\/ebp', [9656, 9662]]
['c\\/ebp', [10013, 10019]]
['c\\/ebp', [15124, 15130]]
['c\\/ebp', [15430, 15436]]
['c\\/ebp', [16548, 16554]]
['c\\/ebp', [16970, 16976]]
['c\\/ebp', [17172, 17178]]
['c\\/ebp', [17300, 17306]]
['c\\/ebp', [17834, 17840]]
['c\\/ebp', [18301, 18307]]
['c\\/ebp', [18659, 18665]]
['c\\/ebp', [20426, 20432]]
['c\\/ebp', [20789, 20795]]
['c\\/ebp', [21062, 21068]]
['c\\/ebp', [21545, 21551]]
['c\\/ebp', [21670, 21676]]
['c\\/ebp', [21743, 21749]]
['c\\/ebp', [22665, 22671]]
['c\\/ebp', [22770, 22776]]
['c\\/ebp', [22782, 22788]]
['c\\/ebp', [22911, 22917]]
['c\\/ebp', [23008, 23014]]
['c\\/ebp', [23139, 23145]]
['c\\/ebp', [23200, 23206]]
['c\\/ebp', [23309, 23315]]
['c\\/ebp', [23341, 23347]]
['c\\/ebp', [23474, 23480]]
['c\\/ebp', [23673, 23679]]
['c\\/ebp', [23697, 23703]]
['c\\/ebp', [23779, 23785]]
['c\\/ebp', [24009, 24015]]
['c\\/ebp', [24112, 24118]]
['c\\/ebp', [24224, 24230]]
['c\\/ebp', [24302, 24308]]
['c\\/ebp', [24366, 24372]]
['c\\/ebp', [24454, 24460]]
['c\\/ebp', [24506, 24512]]
['c\\/ebp', [24613, 24619]]
['c\\/ebp', [24740, 24746]]
['c\\/ebp', [26251, 26257]]
['c\\/ebp', [26614, 26620]]
['c\\/ebp', [26887, 26893]]
['c\\/ebp', [27370, 27376]]
['c\\/ebp', [27495, 27501]]
['c\\/ebp', [27568, 27574]]
['c\\/ebp', [28490, 28496]]
['c\\/ebp', [28595, 28601]]
['c\\/ebp', [28607, 28613]]
['c\\/ebp', [28736, 28742]]
['c\\/ebp', [28833, 28839]]
['c\\/ebp', [28964, 28970]]
['c\\/ebp', [29025, 29031]]
['c\\/ebp', [29134, 29140]]
['c\\/ebp', [29166, 29172]]
['c\\/ebp', [29299, 29305]]
['c\\/ebp', [29498, 29504]]
['c\\/ebp', [29522, 29528]]
['c\\/ebp', [29604, 29610]]
['c\\/ebp', [29834, 29840]]
['c\\/ebp', [29937, 29943]]
['c\\/ebp', [30049, 30055]]
['c\\/ebp', [30127, 30133]]
['c\\/ebp', [30191, 30197]]
['c\\/ebp', [30279, 30285]]
['c\\/ebp', [30331, 30337]]
['c\\/ebp', [30438, 30444]]
['c\\/ebp', [30565, 30571]]
['c\\/ebp', [33175, 33181]]
['c\\/ebp', [33538, 33544]]
['c\\/ebp', [33811, 33817]]
['c\\/ebp', [34280, 34286]]
['c\\/ebp', [34643, 34649]]
['c\\/ebp', [34916, 34922]]
['c\\/ebp', [35400, 35406]]
['c\\/ebp', [35525, 35531]]
['c\\/ebp', [35598, 35604]]
['c\\/ebp', [36647, 36653]]
['c\\/ebp', [36772, 36778]]
['c\\/ebp', [36845, 36851]]
['c\\/ebp', [37768, 37774]]
['c\\/ebp', [37873, 37879]]
['c\\/ebp', [37885, 37891]]
['c\\/ebp', [38014, 38020]]
['c\\/ebp', [38111, 38117]]
['c\\/ebp', [38242, 38248]]
['c\\/ebp', [38325, 38331]]
['c\\/ebp', [38430, 38436]]
['c\\/ebp', [38442, 38448]]
['c\\/ebp', [38571, 38577]]
['c\\/ebp', [38668, 38674]]
['c\\/ebp', [38799, 38805]]
['c\\/ebp', [38861, 38867]]
['c\\/ebp', [38970, 38976]]
['c\\/ebp', [39002, 39008]]
['c\\/ebp', [39135, 39141]]
['c\\/ebp', [39334, 39340]]
['c\\/ebp', [39358, 39364]]
['c\\/ebp', [39440, 39446]]
['c\\/ebp', [39670, 39676]]
['c\\/ebp', [39773, 39779]]
['c\\/ebp', [39885, 39891]]
['c\\/ebp', [39950, 39956]]
['c\\/ebp', [40059, 40065]]
['c\\/ebp', [40091, 40097]]
['c\\/ebp', [40224, 40230]]
['c\\/ebp', [40423, 40429]]
['c\\/ebp', [40447, 40453]]
['c\\/ebp', [40529, 40535]]
['c\\/ebp', [40759, 40765]]
['c\\/ebp', [40862, 40868]]
['c\\/ebp', [40974, 40980]]
['c\\/ebp', [41053, 41059]]
['c\\/ebp', [41117, 41123]]
['c\\/ebp', [41205, 41211]]
['c\\/ebp', [41257, 41263]]
['c\\/ebp', [41364, 41370]]
['c\\/ebp', [41491, 41497]]
['c\\/ebp', [41771, 41777]]
['c\\/ebp', [41835, 41841]]
['c\\/ebp', [41923, 41929]]
['c\\/ebp', [41975, 41981]]
['c\\/ebp', [42082, 42088]]
['c\\/ebp', [42209, 42215]]
['c\\/ebp', [45829, 45835]]
['c\\/ebp', [46130, 46136]]
['c\\/ebp', [46163, 46169]]
['c\\/ebp', [46328, 46334]]
['c\\/ebp', [46375, 46381]]
['c\\/ebp', [46447, 46453]]
['c\\/ebp', [46590, 46596]]
['c\\/ebp', [46820, 46826]]
['c\\/ebp', [47005, 47011]]
['c\\/ebp', [47227, 47233]]
['c\\/ebp', [47368, 47374]]
['c\\/ebp', [47762, 47768]]
['c\\/ebp', [47883, 47889]]
['c\\/ebp', [48011, 48017]]
['c\\/ebp', [48306, 48312]]
['c\\/ebp', [48399, 48405]]
['c\\/ebp', [48487, 48493]]
['c\\/ebp', [48573, 48579]]
