genia tagger: 992['polygonal', [688, 697]]
['polygonal', [7390, 7399]]
['polygonal', [7878, 7887]]
['polygonal', [14545, 14554]]
['polygonal', [15033, 15042]]
['polygonal', [19533, 19542]]
['polygonal', [28099, 28108]]
['heavily', [698, 705]]
['heavily', [7297, 7304]]
['heavily', [7888, 7895]]
['heavily', [14452, 14459]]
['heavily', [15043, 15050]]
['heavily', [18082, 18089]]
['heavily', [18494, 18501]]
['heavily', [19796, 19803]]
['heavily', [19916, 19923]]
['heavily', [20661, 20668]]
['heavily', [21613, 21620]]
['heavily', [26648, 26655]]
['heavily', [27060, 27067]]
['heavily', [28362, 28369]]
['heavily', [28482, 28489]]
['heavily', [29227, 29234]]
['heavily', [30179, 30186]]
['pigmented', [706, 715]]
['pigmented', [7305, 7314]]
['pigmented', [7896, 7905]]
['pigmented', [8752, 8761]]
['pigmented', [14460, 14469]]
['pigmented', [15051, 15060]]
['pigmented', [15907, 15916]]
['pigmented', [16456, 16465]]
['pigmented', [18090, 18099]]
['pigmented', [18432, 18441]]
['pigmented', [18502, 18511]]
['pigmented', [19804, 19813]]
['pigmented', [19884, 19893]]
['pigmented', [19924, 19933]]
['pigmented', [20053, 20062]]
['pigmented', [20669, 20678]]
['pigmented', [21621, 21630]]
['pigmented', [24913, 24922]]
['pigmented', [25022, 25031]]
['pigmented', [26656, 26665]]
['pigmented', [26998, 27007]]
['pigmented', [27068, 27077]]
['pigmented', [28370, 28379]]
['pigmented', [28450, 28459]]
['pigmented', [28490, 28499]]
['pigmented', [28619, 28628]]
['pigmented', [29235, 29244]]
['pigmented', [30187, 30196]]
['pigmented', [33479, 33488]]
['epithelioid', [716, 727]]
['epithelioid', [7906, 7917]]
['epithelioid', [15061, 15072]]
['epithelioid', [18525, 18536]]
['epithelioid', [27091, 27102]]
['neoplastic', [728, 738]]
['neoplastic', [861, 871]]
['neoplastic', [7315, 7325]]
['neoplastic', [7444, 7454]]
['neoplastic', [7918, 7928]]
['neoplastic', [8004, 8014]]
['neoplastic', [14470, 14480]]
['neoplastic', [14599, 14609]]
['neoplastic', [15073, 15083]]
['neoplastic', [15159, 15169]]
['neoplastic', [16566, 16576]]
['neoplastic', [16868, 16878]]
['neoplastic', [21631, 21641]]
['neoplastic', [22148, 22158]]
['neoplastic', [25132, 25142]]
['neoplastic', [25434, 25444]]
['neoplastic', [30197, 30207]]
['neoplastic', [30714, 30724]]
['cells', [739, 744]]
['cells', [872, 877]]
['cells', [7326, 7331]]
['cells', [7400, 7405]]
['cells', [7455, 7460]]
['cells', [7929, 7934]]
['cells', [8015, 8020]]
['cells', [14481, 14486]]
['cells', [14555, 14560]]
['cells', [14610, 14615]]
['cells', [15084, 15089]]
['cells', [15170, 15175]]
['cells', [18457, 18462]]
['cells', [18538, 18543]]
['cells', [19508, 19513]]
['cells', [19814, 19819]]
['cells', [19940, 19945]]
['cells', [20071, 20076]]
['cells', [20679, 20684]]
['cells', [20700, 20705]]
['cells', [27023, 27028]]
['cells', [27104, 27109]]
['cells', [28074, 28079]]
['cells', [28380, 28385]]
['cells', [28506, 28511]]
['cells', [28637, 28642]]
['cells', [29245, 29250]]
['cells', [29266, 29271]]
['pigment-laden', [763, 776]]
['pigment-laden', [7948, 7961]]
['pigment-laden', [15103, 15116]]
['macrophages', [777, 788]]
['macrophages', [7962, 7973]]
['macrophages', [15117, 15128]]
['iop', [2401, 2404]]
['iop', [4812, 4815]]
['iop', [4881, 4884]]
['iop', [7246, 7249]]
['iop', [9551, 9554]]
['iop', [11965, 11968]]
['iop', [12034, 12037]]
['iop', [14401, 14404]]
['iop', [16970, 16973]]
['iop', [25536, 25539]]
['plr', [2539, 2542]]
['plr', [6657, 6660]]
['plr', [6680, 6683]]
['plr', [6838, 6841]]
['plr', [9689, 9692]]
['plr', [13811, 13814]]
['plr', [13834, 13837]]
['plr', [13992, 13995]]
['fig\\.', [3146, 3151]]
['fig\\.', [3427, 3432]]
['fig\\.', [5397, 5402]]
['fig\\.', [10296, 10301]]
['fig\\.', [10577, 10582]]
['fig\\.', [12550, 12555]]
['2', [2362, 2363]]
['2', [2363, 2364]]
['2', [2379, 2380]]
['2', [2406, 2407]]
['2', [2421, 2422]]
['2', [3432, 3433]]
['2', [3823, 3824]]
['2', [4078, 4079]]
['2', [4122, 4123]]
['2', [4123, 4124]]
['2', [4129, 4130]]
['2', [5023, 5024]]
['2', [5126, 5127]]
['2', [5156, 5157]]
['2', [6162, 6163]]
['2', [6267, 6268]]
['2', [6290, 6291]]
['2', [6419, 6420]]
['2', [8560, 8561]]
['2', [9512, 9513]]
['2', [9513, 9514]]
['2', [9529, 9530]]
