genia tagger: 38038['il-23', [15, 20]]
['il-23', [739, 744]]
['il-23', [960, 965]]
['il-23', [1150, 1155]]
['il-23', [1225, 1230]]
['il-23', [5185, 5190]]
['il-23', [5585, 5590]]
['il-23', [5774, 5779]]
['il-23', [12631, 12636]]
['il-23', [13031, 13036]]
['il-23', [13220, 13225]]
['il-23', [16372, 16377]]
['il-23', [17052, 17057]]
['il-23', [17259, 17264]]
['il-23', [18578, 18583]]
['il-23', [18997, 19002]]
['il-23', [19918, 19923]]
['il-23', [22114, 22119]]
['il-23', [22580, 22585]]
['il-23', [22726, 22731]]
['il-23', [23239, 23244]]
['il-23', [23719, 23724]]
['il-23', [23872, 23877]]
['il-23', [24191, 24196]]
['il-23', [24593, 24598]]
['il-23', [25760, 25765]]
['il-23', [26440, 26445]]
['il-23', [26647, 26652]]
['il-23', [27966, 27971]]
['il-23', [28385, 28390]]
['il-23', [29306, 29311]]
['il-23', [31502, 31507]]
['il-23', [31968, 31973]]
['il-23', [32114, 32119]]
['il-23', [32627, 32632]]
['il-23', [33107, 33112]]
['il-23', [33260, 33265]]
['il-23', [33579, 33584]]
['il-23', [33981, 33986]]
['il-23', [35140, 35145]]
['il-23', [36351, 36356]]
['il-23', [37032, 37037]]
['il-23', [37239, 37244]]
['il-23', [38901, 38906]]
['il-23', [39108, 39113]]
['il-23', [40428, 40433]]
['il-23', [40847, 40852]]
['il-23', [41535, 41540]]
['il-23', [41954, 41959]]
['il-23', [42876, 42881]]
['il-23', [44046, 44051]]
['il-23', [47085, 47090]]
['il-23', [48019, 48024]]
['il-23', [48486, 48491]]
['il-23', [48632, 48637]]
['il-23', [49145, 49150]]
['il-23', [49696, 49701]]
['il-23', [49842, 49847]]
['il-23', [50355, 50360]]
['il-23', [50836, 50841]]
['il-23', [50989, 50994]]
['il-23', [51308, 51313]]
['il-23', [51710, 51715]]
['il-23', [51881, 51886]]
['il-23', [52034, 52039]]
['il-23', [52353, 52358]]
['il-23', [52755, 52760]]
['il-23', [53981, 53986]]
['il-23', [54187, 54192]]
['il-23', [54289, 54294]]
['il-23', [54377, 54382]]
['il-23', [54674, 54679]]
['il-23', [54809, 54814]]
['il-23', [56227, 56232]]
['il-23', [56831, 56836]]
['il-23', [57212, 57217]]
['il-23', [57315, 57320]]
['il-23', [57518, 57523]]
['il-23', [57776, 57781]]
['il-23', [58081, 58086]]
['il-23', [60196, 60201]]
['il-23', [60799, 60804]]
['il-23', [60829, 60834]]
['il-23', [61007, 61012]]
['il-23', [61152, 61157]]
['il-23', [62030, 62035]]
['il-23', [63659, 63664]]
['il-23', [63865, 63870]]
['il-23', [63967, 63972]]
['il-23', [64055, 64060]]
['il-23', [64352, 64357]]
['il-23', [64487, 64492]]
['il-23', [65905, 65910]]
['il-23', [66509, 66514]]
['il-23', [66890, 66895]]
['il-23', [66993, 66998]]
['il-23', [67196, 67201]]
['il-23', [67454, 67459]]
['il-23', [67759, 67764]]
['il-23', [69874, 69879]]
['il-23', [70477, 70482]]
['il-23', [70507, 70512]]
['il-23', [70685, 70690]]
['il-23', [70830, 70835]]
['il-23', [71708, 71713]]
['il-23', [73384, 73389]]
['il-23', [73567, 73572]]
['il-23', [73760, 73765]]
['il-23', [75002, 75007]]
['il-23', [76916, 76921]]
['il-23', [77362, 77367]]
['il-23', [77802, 77807]]
['il-23', [78383, 78388]]
['il-23', [78812, 78817]]
['il-23', [79123, 79128]]
['il-23', [80621, 80626]]
['il-23', [80804, 80809]]
['il-23', [80997, 81002]]
['il-23', [82239, 82244]]
['il-23', [84153, 84158]]
['il-23', [84599, 84604]]
['il-23', [85039, 85044]]
['il-23', [85620, 85625]]
['il-23', [86049, 86054]]
['il-23', [86360, 86365]]
['il-1', [25, 29]]
['il-1', [406, 410]]
['il-1', [526, 530]]
['il-1', [746, 750]]
['il-1', [766, 770]]
['il-1', [899, 903]]
['il-1', [970, 974]]
['il-1', [1035, 1039]]
['il-1', [1160, 1164]]
['il-1', [1194, 1198]]
['il-1', [1235, 1239]]
['il-1', [1276, 1280]]
['il-1', [4226, 4230]]
