genia tagger: 2653['ghrelin', [20, 27]]
['ghrelin', [144, 151]]
['ghrelin', [539, 546]]
['ghrelin', [782, 789]]
['ghrelin', [968, 975]]
['ghrelin', [1343, 1350]]
['ghrelin', [1489, 1496]]
['ghrelin', [1945, 1952]]
['ghrelin', [1994, 2001]]
['ghrelin', [2133, 2140]]
['ghrelin', [2383, 2390]]
['ghrelin', [2446, 2453]]
['ghrelin', [2674, 2681]]
['ghrelin', [2809, 2816]]
['ghrelin', [3125, 3132]]
['ghrelin', [3362, 3369]]
['ghrelin', [3641, 3648]]
['ghrelin', [7863, 7870]]
['ghrelin', [7902, 7909]]
['ghrelin', [8396, 8403]]
['ghrelin', [8499, 8506]]
['ghrelin', [8704, 8711]]
['ghrelin', [8896, 8903]]
['ghrelin', [13005, 13012]]
['ghrelin', [13044, 13051]]
['ghrelin', [13538, 13545]]
['ghrelin', [13641, 13648]]
['ghrelin', [13847, 13854]]
['ghrelin', [14039, 14046]]
['ghrelin', [14950, 14957]]
['ghrelin', [14992, 14999]]
['ghrelin', [15137, 15144]]
['ghrelin', [15252, 15259]]
['ghrelin', [15377, 15384]]
['ghrelin', [15794, 15801]]
['ghrelin', [15966, 15973]]
['ghrelin', [16067, 16074]]
['ghrelin', [16249, 16256]]
['ghrelin', [16299, 16306]]
['ghrelin', [17359, 17366]]
['ghrelin', [17401, 17408]]
['ghrelin', [17546, 17553]]
['ghrelin', [17661, 17668]]
['ghrelin', [17786, 17793]]
['ghrelin', [18203, 18210]]
['ghrelin', [18375, 18382]]
['ghrelin', [18476, 18483]]
['ghrelin', [18658, 18665]]
['ghrelin', [18708, 18715]]
['ghrelin', [20608, 20615]]
['ghrelin', [20650, 20657]]
['ghrelin', [20795, 20802]]
['ghrelin', [20910, 20917]]
['ghrelin', [21035, 21042]]
['ghrelin', [21452, 21459]]
['ghrelin', [21607, 21614]]
['ghrelin', [21649, 21656]]
['ghrelin', [21794, 21801]]
['ghrelin', [21909, 21916]]
['ghrelin', [22034, 22041]]
['ghrelin', [22451, 22458]]
['ghrelin', [22624, 22631]]
['ghrelin', [22725, 22732]]
['ghrelin', [22907, 22914]]
['ghrelin', [22957, 22964]]
['ghrelin', [23177, 23184]]
['ghrelin', [23278, 23285]]
['ghrelin', [23460, 23467]]
['ghrelin', [23510, 23517]]
['ghrelin', [23762, 23769]]
['ghrelin', [24329, 24336]]
['ghrelin', [24396, 24403]]
['ghrelin', [24459, 24466]]
['ghrelin', [24523, 24530]]
['ghrelin', [24725, 24732]]
['ghrelin', [24748, 24755]]
['ghrelin', [24811, 24818]]
['ghrelin', [24898, 24905]]
['ghrelin', [25053, 25060]]
['ghrelin', [25197, 25204]]
['ghrelin', [25291, 25298]]
['ghrelin', [25613, 25620]]
['ghrelin', [25785, 25792]]
['ghrelin', [25896, 25903]]
['ghrelin', [26298, 26305]]
['ghrelin', [26605, 26612]]
['ghrelin', [26780, 26787]]
['ghrelin', [27170, 27177]]
['ghrelin', [27243, 27250]]
['ghrelin', [27311, 27318]]
['ghrelin', [27448, 27455]]
['ghrelin', [27566, 27573]]
['ghrelin', [27737, 27744]]
['ghrelin', [28096, 28103]]
['ghrelin', [28315, 28322]]
['ghrelin', [28542, 28549]]
['ghrelin', [29198, 29205]]
['ghrelin', [29439, 29446]]
['ghrelin', [29611, 29618]]
['ghrelin', [29815, 29822]]
['ghrelin', [29902, 29909]]
['ghrelin', [30469, 30476]]
['ghrelin', [30536, 30543]]
['ghrelin', [30599, 30606]]
['ghrelin', [30663, 30670]]
['ghrelin', [30865, 30872]]
['ghrelin', [30888, 30895]]
['ghrelin', [30951, 30958]]
['ghrelin', [31038, 31045]]
['ghrelin', [31193, 31200]]
['ghrelin', [31337, 31344]]
['ghrelin', [31431, 31438]]
['ghrelin', [31753, 31760]]
['ghrelin', [31925, 31932]]
['ghrelin', [32036, 32043]]
['ghrelin', [32438, 32445]]
['ghrelin', [32745, 32752]]
['ghrelin', [32920, 32927]]
['ghrelin', [33310, 33317]]
['ghrelin', [33383, 33390]]
['ghrelin', [33451, 33458]]
['ghrelin', [33588, 33595]]
['ghrelin', [33706, 33713]]
['ghrelin', [33877, 33884]]
['ghrelin', [34236, 34243]]
['ghrelin', [34455, 34462]]
['ghrelin', [34682, 34689]]
['ghrelin', [35338, 35345]]
['ghrelin', [35579, 35586]]
['ghrelin', [35751, 35758]]
['ghrelin', [35955, 35962]]
['ghrelin', [36053, 36060]]
['ghrelin', [36115, 36122]]
['ghrelin', [36309, 36316]]
['ghrelin', [37797, 37804]]
['ghrelin', [37859, 37866]]
['ghrelin', [38053, 38060]]
['leptin', [32, 38]]
['leptin', [156, 162]]
['leptin', [551, 557]]
['leptin', [874, 880]]
['leptin', [1355, 1361]]
['leptin', [1501, 1507]]
['leptin', [1957, 1963]]
['leptin', [2006, 2012]]
['leptin', [2890, 2896]]
['leptin', [3020, 3026]]
['leptin', [3170, 3176]]
['leptin', [3374, 3380]]
['leptin', [3653, 3659]]
['leptin', [7852, 7858]]
['leptin', [7885, 7891]]
['leptin', [8367, 8373]]
['leptin', [8452, 8458]]
['leptin', [8693, 8699]]
['leptin', [8885, 8891]]
['leptin', [12994, 13000]]
['leptin', [13027, 13033]]
['leptin', [13509, 13515]]
['leptin', [13594, 13600]]
['leptin', [13836, 13842]]
['leptin', [14028, 14034]]
['leptin', [14939, 14945]]
['leptin', [15506, 15512]]
['leptin', [15657, 15663]]
['leptin', [15806, 15812]]
['leptin', [15958, 15964]]
['leptin', [16079, 16085]]
['leptin', [16238, 16244]]
['leptin', [17348, 17354]]
['leptin', [17915, 17921]]
['leptin', [18066, 18072]]
['leptin', [18215, 18221]]
['leptin', [18367, 18373]]
['leptin', [18488, 18494]]
['leptin', [18647, 18653]]
['leptin', [20597, 20603]]
['leptin', [21164, 21170]]
['leptin', [21315, 21321]]
['leptin', [21464, 21470]]
['leptin', [21596, 21602]]
['leptin', [22163, 22169]]
['leptin', [22314, 22320]]
['leptin', [22463, 22469]]
['leptin', [22616, 22622]]
['leptin', [22737, 22743]]
['leptin', [22896, 22902]]
['leptin', [23169, 23175]]
['leptin', [23290, 23296]]
['leptin', [23449, 23455]]
['leptin', [23884, 23890]]
['leptin', [26135, 26141]]
['leptin', [26244, 26250]]
['leptin', [26310, 26316]]
['leptin', [26476, 26482]]
['leptin', [28304, 28310]]
['leptin', [29210, 29216]]
['leptin', [29451, 29457]]
['leptin', [30024, 30030]]
['leptin', [32275, 32281]]
['leptin', [32384, 32390]]
['leptin', [32450, 32456]]
['leptin', [32616, 32622]]
['leptin', [34444, 34450]]
['leptin', [35350, 35356]]
['leptin', [35591, 35597]]
['leptin', [36065, 36071]]
['leptin', [36561, 36567]]
['leptin', [37809, 37815]]
['leptin', [38305, 38311]]
['nocturnal', [0, 9]]
['nocturnal', [958, 967]]
['nocturnal', [1925, 1934]]
['nocturnal', [3342, 3351]]
['nocturnal', [3621, 3630]]
['nocturnal', [16047, 16056]]
['nocturnal', [18456, 18465]]
['nocturnal', [22705, 22714]]
['nocturnal', [23258, 23267]]
['nocturnal', [23752, 23761]]
['nocturnal', [24834, 24843]]
['nocturnal', [25775, 25784]]
['nocturnal', [26595, 26604]]
['nocturnal', [28283, 28292]]
['nocturnal', [28782, 28791]]
['nocturnal', [29892, 29901]]
['nocturnal', [30974, 30983]]
['nocturnal', [31915, 31924]]
['nocturnal', [32735, 32744]]
['nocturnal', [34423, 34432]]
['nocturnal', [34922, 34931]]
['adipocytes', [2922, 2932]]
['mhcrc', [4131, 4136]]
['mhcrc', [4710, 4715]]
['mhcrc', [5164, 5169]]
['mhcrc', [9271, 9276]]
['mhcrc', [9850, 9855]]
['mhcrc', [10304, 10309]]
['eeg', [6909, 6912]]
['eeg', [7176, 7179]]
['eeg', [7255, 7258]]
['eeg', [12050, 12053]]
['eeg', [12317, 12320]]
['eeg', [12396, 12399]]
['c3', [7181, 7183]]
['c3', [12322, 12324]]
['c4', [7187, 7189]]
['c4', [12328, 12330]]
['\\?', [7826, 7828]]
['\\?', [12967, 12969]]
['\\?', [16318, 16320]]
['\\?', [16322, 16324]]
['\\?', [16350, 16352]]
['\\?', [16354, 16356]]
['\\?', [16386, 16388]]
['\\?', [16390, 16392]]
['\\?', [18727, 18729]]
['\\?', [18731, 18733]]
['\\?', [18759, 18761]]
['\\?', [18763, 18765]]
['\\?', [18795, 18797]]
['\\?', [18799, 18801]]
['\\?', [22976, 22978]]
['\\?', [22980, 22982]]
['\\?', [23008, 23010]]
['\\?', [23012, 23014]]
['\\?', [23044, 23046]]
['\\?', [23048, 23050]]
['\\?', [23529, 23531]]
['\\?', [23533, 23535]]
['\\?', [23561, 23563]]
['\\?', [23565, 23567]]
['\\?', [23597, 23599]]
['\\?', [23601, 23603]]
['\\?', [37030, 37032]]
['\\?', [38774, 38776]]
['80', [7827, 7829]]
['80', [12968, 12970]]
['80', [36949, 36951]]
['80', [38693, 38695]]
['\xc2\xb0c', [7807, 7810]]
['\xc2\xb0c', [7830, 7833]]
['\xc2\xb0c', [12948, 12951]]
['\xc2\xb0c', [12971, 12974]]
['until', [7647, 7652]]
['until', [7834, 7839]]
['until', [12788, 12793]]
['until', [12975, 12980]]
['assay\\.', [7840, 7847]]
['assay\\.', [12981, 12988]]
['2\\.3\\.', [7847, 7853]]
['2\\.3\\.', [12989, 12995]]
['hl-81k', [7995, 8001]]
['hl-81k', [13137, 13143]]
['ghrt-89hk', [8006, 8015]]
['ghrt-89hk', [13148, 13157]]
['anova', [8681, 8686]]
['anova', [8750, 8755]]
['anova', [13824, 13829]]
['anova', [13893, 13898]]
['anova', [15178, 15183]]
['anova', [17587, 17592]]
['anova', [20836, 20841]]
['anova', [21835, 21840]]
['anova', [36235, 36240]]
['anova', [37979, 37984]]
['table', [14147, 14152]]
['table', [14411, 14416]]
['table', [16556, 16561]]
['table', [16820, 16825]]
['table', [18954, 18959]]
['table', [19196, 19201]]
['table', [19461, 19466]]
['table', [20068, 20073]]
['table', [35988, 35993]]
['table', [36788, 36793]]
['table', [37083, 37088]]
['table', [37732, 37737]]
['table', [38532, 38537]]
['table', [38827, 38832]]
['2', [486, 487]]
['2', [575, 576]]
['2', [584, 585]]
['2', [681, 682]]
['2', [1529, 1530]]
['2', [1552, 1553]]
['2', [1574, 1575]]
['2', [1711, 1712]]
['2', [1801, 1802]]
['2', [1864, 1865]]
['2', [1886, 1887]]
['2', [2125, 2126]]
['2', [2128, 2129]]
['2', [2230, 2231]]
['2', [2315, 2316]]
['2', [2339, 2340]]
['2', [2342, 2343]]
['2', [2402, 2403]]
['2', [2494, 2495]]
['2', [2501, 2502]]
['2', [2504, 2505]]
['2', [2522, 2523]]
['2', [2545, 2546]]
['2', [2593, 2594]]
['2', [2618, 2619]]
['2', [2705, 2706]]
['2', [2789, 2790]]
['2', [2882, 2883]]
['2', [3247, 3248]]
['2', [3270, 3271]]
['2', [3571, 3572]]
['2', [3592, 3593]]
['2', [3782, 3783]]
['2', [3793, 3794]]
['2', [3942, 3943]]
['2', [4292, 4293]]
['2', [5739, 5740]]
['2', [6554, 6555]]
['2', [6556, 6557]]
['2', [6798, 6799]]
['2', [6799, 6800]]
['2', [6809, 6810]]
['2', [7359, 7360]]
['2', [7640, 7641]]
['2', [7641, 7642]]
['2', [7723, 7724]]
['2', [7732, 7733]]
['2', [7847, 7848]]
['2', [8283, 8284]]
['2', [8488, 8489]]
['2', [8553, 8554]]
['2', [8725, 8726]]
['2', [8817, 8818]]
['2', [8826, 8827]]
['2', [8933, 8934]]
['2', [9082, 9083]]
['2', [9432, 9433]]
['2', [10879, 10880]]
['2', [11695, 11696]]
['2', [11697, 11698]]
['2', [11939, 11940]]
['2', [11940, 11941]]
['2', [11950, 11951]]
['2', [12500, 12501]]
['2', [12781, 12782]]
['2', [12782, 12783]]
['2', [12864, 12865]]
['2', [12873, 12874]]
['2', [12989, 12990]]
['2', [13425, 13426]]
['2', [13630, 13631]]
['2', [13696, 13697]]
['2', [13868, 13869]]
['2', [13960, 13961]]
['2', [13969, 13970]]
['2', [14330, 14331]]
['2', [14417, 14418]]
['2', [14791, 14792]]
['2', [15263, 15264]]
['2', [15283, 15284]]
['2', [15389, 15390]]
['2', [15393, 15394]]
['2', [15429, 15430]]
['2', [15462, 15463]]
['2', [15633, 15634]]
['2', [15637, 15638]]
['2', [15675, 15676]]
['2', [15722, 15723]]
['2', [16193, 16194]]
['2', [16310, 16311]]
['2', [16325, 16326]]
['2', [16343, 16344]]
['2', [16739, 16740]]
['2', [16826, 16827]]
['2', [17200, 17201]]
['2', [17672, 17673]]
['2', [17692, 17693]]
['2', [17798, 17799]]
['2', [17802, 17803]]
['2', [17838, 17839]]
['2', [17871, 17872]]
['2', [18042, 18043]]
['2', [18046, 18047]]
['2', [18084, 18085]]
['2', [18131, 18132]]
['2', [18602, 18603]]
['2', [18719, 18720]]
['2', [18734, 18735]]
['2', [18752, 18753]]
['2', [19380, 19381]]
['2', [19467, 19468]]
['2', [19841, 19842]]
['2', [19987, 19988]]
['2', [20074, 20075]]
['2', [20448, 20449]]
['2', [20921, 20922]]
['2', [20941, 20942]]
['2', [21047, 21048]]
['2', [21051, 21052]]
['2', [21087, 21088]]
['2', [21120, 21121]]
['2', [21291, 21292]]
['2', [21295, 21296]]
['2', [21333, 21334]]
