genia tagger: 4641['snps', [18, 22]]
['snps', [395, 399]]
['snps', [570, 574]]
['snps', [2104, 2108]]
['snps', [2452, 2456]]
['snps', [2545, 2549]]
['snps', [2676, 2680]]
['snps', [2848, 2852]]
['snps', [3444, 3448]]
['snps', [4729, 4733]]
['snps', [5077, 5081]]
['snps', [5170, 5174]]
['snps', [5301, 5305]]
['snps', [5473, 5477]]
['snps', [6070, 6074]]
['snps', [6140, 6144]]
['snps', [6299, 6303]]
['snps', [6525, 6529]]
['snps', [6808, 6812]]
['snps', [6836, 6840]]
['snps', [7208, 7212]]
['snps', [7367, 7371]]
['snps', [7593, 7597]]
['snps', [7876, 7880]]
['snps', [7904, 7908]]
['snps', [8506, 8510]]
['snps', [8550, 8554]]
['snps', [9338, 9342]]
['snps', [9987, 9991]]
['snps', [10031, 10035]]
['snps', [10819, 10823]]
['snps', [11359, 11363]]
['snps', [14911, 14915]]
['one-carbon', [26, 36]]
['one-carbon', [80, 90]]
['one-carbon', [408, 418]]
['one-carbon', [772, 782]]
['one-carbon', [6118, 6128]]
['one-carbon', [7186, 7196]]
['one-carbon', [8280, 8290]]
['one-carbon', [9012, 9022]]
['one-carbon', [9366, 9376]]
['one-carbon', [9761, 9771]]
['one-carbon', [10493, 10503]]
['one-carbon', [10847, 10857]]
['one-carbon', [11332, 11342]]
['one-carbon', [14884, 14894]]
['metabolism', [37, 47]]
['metabolism', [91, 101]]
['metabolism', [265, 275]]
['metabolism', [419, 429]]
['metabolism', [783, 793]]
['metabolism', [6129, 6139]]
['metabolism', [7197, 7207]]
['metabolism', [8291, 8301]]
['metabolism', [9023, 9033]]
['metabolism', [9377, 9387]]
['metabolism', [9650, 9660]]
['metabolism', [9772, 9782]]
['metabolism', [10504, 10514]]
['metabolism', [10858, 10868]]
['metabolism', [11131, 11141]]
['metabolism', [11343, 11353]]
['metabolism', [14895, 14905]]
['genes', [48, 53]]
['genes', [326, 331]]
['genes', [430, 435]]
['genes', [794, 799]]
['genes', [2364, 2369]]
['genes', [4989, 4994]]
['genes', [8302, 8307]]
