genia tagger: 42270['tumor', [30, 35]]
['tumor', [259, 264]]
['tumor', [418, 423]]
['tumor', [1559, 1564]]
['tumor', [1702, 1707]]
['tumor', [2928, 2933]]
['tumor', [3309, 3314]]
['tumor', [3694, 3699]]
['tumor', [9786, 9791]]
['tumor', [9862, 9867]]
['tumor', [15980, 15985]]
['tumor', [16589, 16594]]
['tumor', [22778, 22783]]
['tumor', [22854, 22859]]
['tumor', [28979, 28984]]
['tumor', [29590, 29595]]
['tumor', [31453, 31458]]
['tumor', [40440, 40445]]
['tumor', [42394, 42399]]
['tumor', [51381, 51386]]
['tumor', [53327, 53332]]
['tumor', [57087, 57092]]
['tumor', [70173, 70178]]
['tumor', [73255, 73260]]
['tumor', [73763, 73768]]
['tumor', [73796, 73801]]
['tumor', [73890, 73895]]
['tumor', [74226, 74231]]
['tumor', [75162, 75167]]
['tumor', [75371, 75376]]
['tumor', [75592, 75597]]
['tumor', [75866, 75871]]
['tumor', [77224, 77229]]
['tumor', [79192, 79197]]
['tumor', [79225, 79230]]
['tumor', [79319, 79324]]
['tumor', [79655, 79660]]
['tumor', [80591, 80596]]
['tumor', [80800, 80805]]
['tumor', [81021, 81026]]
['tumor', [81295, 81300]]
['tumor', [82653, 82658]]
['tumor', [95358, 95363]]
['tumor', [95792, 95797]]
['tumor', [95908, 95913]]
['tumor', [101538, 101543]]
['tumor', [101972, 101977]]
['tumor', [102088, 102093]]
['associated', [36, 46]]
['associated', [424, 434]]
['associated', [1749, 1759]]
['associated', [3315, 3325]]
['associated', [3700, 3710]]
['associated', [38117, 38127]]
['associated', [38687, 38697]]
['associated', [49058, 49068]]
['associated', [49628, 49638]]
['associated', [67850, 67860]]
['associated', [68420, 68430]]
['associated', [70932, 70942]]
['associated', [71502, 71512]]
['associated', [75377, 75387]]
['associated', [75726, 75736]]
['associated', [80806, 80816]]
['associated', [81155, 81165]]
['antigens', [47, 55]]
['antigens', [435, 443]]
['antigens', [1651, 1659]]
['antigens', [1760, 1768]]
['antigens', [3326, 3334]]
['antigens', [3524, 3532]]
['antigens', [3711, 3719]]
['antigens', [29857, 29865]]
['antigens', [29947, 29955]]
['antigens', [30573, 30581]]
['antigens', [31146, 31154]]
['antigens', [31441, 31449]]
['antigens', [31483, 31491]]
['antigens', [40245, 40253]]
['antigens', [40798, 40806]]
['antigens', [40888, 40896]]
['antigens', [41514, 41522]]
['antigens', [42087, 42095]]
['antigens', [42382, 42390]]
['antigens', [42424, 42432]]
['antigens', [51186, 51194]]
['antigens', [51731, 51739]]
['antigens', [51821, 51829]]
['antigens', [52447, 52455]]
['antigens', [53020, 53028]]
['antigens', [53315, 53323]]
['antigens', [53357, 53365]]
['antigens', [55491, 55499]]
['antigens', [55581, 55589]]
['antigens', [56207, 56215]]
['antigens', [56780, 56788]]
['antigens', [57075, 57083]]
['antigens', [57117, 57125]]
['antigens', [69978, 69986]]
['antigens', [73060, 73068]]
['antigens', [75388, 75396]]
['antigens', [75675, 75683]]
['antigens', [76033, 76041]]
['antigens', [76152, 76160]]
['antigens', [77857, 77865]]
['antigens', [77936, 77944]]
['antigens', [80817, 80825]]
['antigens', [81104, 81112]]
['antigens', [81462, 81470]]
['antigens', [81581, 81589]]
['antigens', [83286, 83294]]
['antigens', [83365, 83373]]
['antigens', [84503, 84511]]
['antigens', [84579, 84587]]
['antigens', [84963, 84971]]
['antigens', [85209, 85217]]
['antigens', [87368, 87376]]
['antigens', [87444, 87452]]
['antigens', [87828, 87836]]
['antigens', [88074, 88082]]
['antigens', [90202, 90210]]
['antigens', [90277, 90285]]
['antigens', [96382, 96390]]
['antigens', [96457, 96465]]
['stat3', [83, 88]]
['stat3', [630, 635]]
['stat3', [750, 755]]
['stat3', [761, 766]]
['stat3', [1114, 1119]]
['stat3', [6051, 6056]]
['stat3', [6710, 6715]]
['stat3', [6792, 6797]]
['stat3', [7235, 7240]]
['stat3', [8740, 8745]]
['stat3', [19038, 19043]]
['stat3', [19698, 19703]]
['stat3', [19780, 19785]]
['stat3', [20224, 20229]]
['stat3', [21731, 21736]]
['stat3', [33596, 33601]]
['stat3', [33786, 33791]]
['stat3', [33861, 33866]]
['stat3', [33991, 33996]]
['stat3', [34180, 34185]]
['stat3', [34312, 34317]]
['stat3', [34424, 34429]]
['stat3', [34504, 34509]]
['stat3', [34608, 34613]]
['stat3', [34646, 34651]]
['stat3', [34718, 34723]]
['stat3', [34805, 34810]]
['stat3', [35222, 35227]]
['stat3', [35454, 35459]]
['stat3', [35615, 35620]]
['stat3', [35753, 35758]]
['stat3', [35958, 35963]]
['stat3', [36037, 36042]]
['stat3', [36246, 36251]]
['stat3', [44537, 44542]]
['stat3', [44727, 44732]]
['stat3', [44802, 44807]]
['stat3', [44932, 44937]]
['stat3', [45121, 45126]]
['stat3', [45253, 45258]]
['stat3', [45365, 45370]]
['stat3', [45445, 45450]]
['stat3', [45549, 45554]]
['stat3', [45587, 45592]]
['stat3', [45659, 45664]]
['stat3', [45746, 45751]]
['stat3', [46163, 46168]]
['stat3', [46395, 46400]]
['stat3', [46556, 46561]]
['stat3', [46694, 46699]]
['stat3', [46899, 46904]]
['stat3', [46978, 46983]]
['stat3', [47187, 47192]]
['stat3', [59231, 59236]]
['stat3', [59421, 59426]]
['stat3', [59496, 59501]]
['stat3', [59626, 59631]]
['stat3', [59815, 59820]]
['stat3', [59947, 59952]]
['stat3', [60059, 60064]]
['stat3', [60139, 60144]]
['stat3', [60243, 60248]]
['stat3', [60281, 60286]]
['stat3', [60353, 60358]]
['stat3', [60440, 60445]]
['stat3', [60881, 60886]]
['stat3', [61071, 61076]]
['stat3', [61146, 61151]]
['stat3', [61276, 61281]]
['stat3', [61465, 61470]]
['stat3', [61597, 61602]]
['stat3', [61709, 61714]]
['stat3', [61789, 61794]]
['stat3', [61893, 61898]]
['stat3', [61931, 61936]]
['stat3', [62003, 62008]]
['stat3', [62090, 62095]]
['stat3', [62508, 62513]]
['stat3', [62740, 62745]]
['stat3', [62901, 62906]]
['stat3', [63039, 63044]]
['stat3', [63244, 63249]]
['stat3', [63323, 63328]]
['stat3', [63532, 63537]]
['stat3', [63609, 63614]]
['stat3', [63841, 63846]]
['stat3', [64002, 64007]]
['stat3', [64140, 64145]]
['stat3', [64345, 64350]]
['stat3', [64424, 64429]]
['stat3', [64633, 64638]]
['stat3', [76366, 76371]]
['stat3', [76508, 76513]]
['stat3', [76608, 76613]]
['stat3', [76643, 76648]]
['stat3', [76694, 76699]]
['stat3', [76794, 76799]]
['stat3', [76912, 76917]]
['stat3', [76993, 76998]]
['stat3', [77560, 77565]]
['stat3', [77658, 77663]]
['stat3', [77878, 77883]]
['stat3', [78937, 78942]]
['stat3', [81795, 81800]]
['stat3', [81937, 81942]]
['stat3', [82037, 82042]]
['stat3', [82072, 82077]]
['stat3', [82123, 82128]]
['stat3', [82223, 82228]]
['stat3', [82341, 82346]]
['stat3', [82422, 82427]]
['stat3', [82989, 82994]]
['stat3', [83087, 83092]]
['stat3', [83307, 83312]]
['stat3', [84366, 84371]]
['stat3', [85729, 85734]]
['stat3', [86844, 86849]]
['stat3', [88594, 88599]]
['stat3', [89709, 89714]]
['stat3', [91205, 91210]]
