genia tagger: 15595['pn', [564, 566]]
['pn', [578, 580]]
['pn', [816, 818]]
['pn', [1092, 1094]]
['pn', [1528, 1530]]
['pn', [1756, 1758]]
['pn', [1781, 1783]]
['pn', [3486, 3488]]
['pn', [3768, 3770]]
['pn', [4184, 4186]]
['pn', [4818, 4820]]
['pn', [5485, 5487]]
['pn', [5541, 5543]]
['pn', [5863, 5865]]
['pn', [7073, 7075]]
['pn', [7235, 7237]]
['pn', [7255, 7257]]
['pn', [8861, 8863]]
['pn', [9278, 9280]]
['pn', [9289, 9291]]
['pn', [9622, 9624]]
['pn', [9643, 9645]]
['pn', [11674, 11676]]
['pn', [11949, 11951]]
['pn', [12310, 12312]]
['pn', [12366, 12368]]
['pn', [12688, 12690]]
['pn', [13899, 13901]]
['pn', [14061, 14063]]
['pn', [14081, 14083]]
['pn', [15687, 15689]]
['pn', [16104, 16106]]
['pn', [16115, 16117]]
['pn', [16448, 16450]]
['pn', [16469, 16471]]
['pn', [18501, 18503]]
['pn', [18776, 18778]]
['pn', [19124, 19126]]
['pn', [19517, 19519]]
['pn', [20875, 20877]]
['pn', [21121, 21123]]
['pn', [21528, 21530]]
['pn', [23364, 23366]]
['pn', [23460, 23462]]
['pn', [24104, 24106]]
['pn', [24357, 24359]]
['pn', [24750, 24752]]
['pn', [26108, 26110]]
['pn', [26354, 26356]]
['pn', [26761, 26763]]
['pn', [28597, 28599]]
['pn', [28693, 28695]]
['pn', [29337, 29339]]
['pn', [30604, 30606]]
['pn', [30850, 30852]]
['pn', [31257, 31259]]
['pn', [32586, 32588]]
['pn', [32832, 32834]]
['pn', [33239, 33241]]
['pn', [35811, 35813]]
['pn', [35907, 35909]]
['pn', [36551, 36553]]
['pn', [37593, 37595]]
['pn', [37689, 37691]]
['pn', [38333, 38335]]
['pn', [40196, 40198]]
['pn', [40320, 40322]]
['pn', [42152, 42154]]
['pn', [42241, 42243]]
['pn', [42845, 42847]]
['pn', [42962, 42964]]
['pn', [43032, 43034]]
['pn', [43306, 43308]]
['pn', [43474, 43476]]
['pn', [43566, 43568]]
['pn', [44079, 44081]]
['pn', [44229, 44231]]
['pn', [44965, 44967]]
['pn', [45703, 45705]]
['pn', [48457, 48459]]
['pn', [48581, 48583]]
['pn', [50413, 50415]]
['pn', [50502, 50504]]
['pn', [51106, 51108]]
['pn', [51223, 51225]]
['pn', [51293, 51295]]
['pn', [51567, 51569]]
['pn', [51735, 51737]]
['pn', [51827, 51829]]
['pn', [52340, 52342]]
['pn', [52490, 52492]]
['pn', [53226, 53228]]
['pn', [53964, 53966]]
['pn', [55395, 55397]]
['pn', [55492, 55494]]
['pn', [56109, 56111]]
['pn', [60185, 60187]]
['pn', [60282, 60284]]
['pn', [60899, 60901]]
['\\?', [1374, 1376]]
['\\?', [1470, 1472]]
['\\?', [1817, 1819]]
['\\?', [2026, 2028]]
['\\?', [2038, 2040]]
['\\?', [2050, 2052]]
['\\?', [4105, 4107]]
['\\?', [7335, 7337]]
['\\?', [8229, 8231]]
['\\?', [8252, 8254]]
['\\?', [8489, 8491]]
['\\?', [8495, 8497]]
['\\?', [8557, 8559]]
['\\?', [8593, 8595]]
['\\?', [8620, 8622]]
['\\?', [8637, 8639]]
['\\?', [10171, 10173]]
['\\?', [10189, 10191]]
['\\?', [10205, 10207]]
['\\?', [10217, 10219]]
['\\?', [10348, 10350]]
['\\?', [10365, 10367]]
['\\?', [10646, 10648]]
['\\?', [11011, 11013]]
['\\?', [11035, 11037]]
['\\?', [11061, 11063]]
['\\?', [11102, 11104]]
['\\?', [11126, 11128]]
['\\?', [11152, 11154]]
['\\?', [11190, 11192]]
['\\?', [11197, 11199]]
['\\?', [11357, 11359]]
['\\?', [14161, 14163]]
['\\?', [15055, 15057]]
['\\?', [15078, 15080]]
['\\?', [15315, 15317]]
['\\?', [15321, 15323]]
['\\?', [15383, 15385]]
['\\?', [15419, 15421]]
['\\?', [15446, 15448]]
['\\?', [15463, 15465]]
['\\?', [16997, 16999]]
['\\?', [17015, 17017]]
['\\?', [17031, 17033]]
['\\?', [17043, 17045]]
['\\?', [17174, 17176]]
['\\?', [17191, 17193]]
['\\?', [17472, 17474]]
['\\?', [17837, 17839]]
['\\?', [17861, 17863]]
['\\?', [17887, 17889]]
['\\?', [17928, 17930]]
['\\?', [17952, 17954]]
['\\?', [17978, 17980]]
['\\?', [18016, 18018]]
['\\?', [18023, 18025]]
['\\?', [18183, 18185]]
['\\?', [20571, 20573]]
['\\?', [20607, 20609]]
['\\?', [20641, 20643]]
['\\?', [20670, 20672]]
['\\?', [21425, 21427]]
['\\?', [21443, 21445]]
['\\?', [21459, 21461]]
['\\?', [21474, 21476]]
['\\?', [22424, 22426]]
['\\?', [22498, 22500]]
['\\?', [22647, 22649]]
['\\?', [22902, 22904]]
['\\?', [23113, 23115]]
['\\?', [23130, 23132]]
['\\?', [23163, 23165]]
['\\?', [23496, 23498]]
['\\?', [23761, 23763]]
['\\?', [23865, 23867]]
['\\?', [23939, 23941]]
['\\?', [23947, 23949]]
['\\?', [24033, 24035]]
['\\?', [25804, 25806]]
['\\?', [25840, 25842]]
['\\?', [25874, 25876]]
['\\?', [25903, 25905]]
['\\?', [26658, 26660]]
['\\?', [26676, 26678]]
['\\?', [26692, 26694]]
['\\?', [26707, 26709]]
['\\?', [27657, 27659]]
['\\?', [27731, 27733]]
['\\?', [27880, 27882]]
['\\?', [28135, 28137]]
['\\?', [28346, 28348]]
['\\?', [28363, 28365]]
['\\?', [28396, 28398]]
['\\?', [28729, 28731]]
['\\?', [28994, 28996]]
['\\?', [29098, 29100]]
['\\?', [29172, 29174]]
['\\?', [29180, 29182]]
['\\?', [29266, 29268]]
['\\?', [30300, 30302]]
['\\?', [30336, 30338]]
['\\?', [30370, 30372]]
['\\?', [30399, 30401]]
['\\?', [31154, 31156]]
['\\?', [31172, 31174]]
['\\?', [31188, 31190]]
['\\?', [31203, 31205]]
['\\?', [32282, 32284]]
['\\?', [32318, 32320]]
['\\?', [32352, 32354]]
['\\?', [32381, 32383]]
['\\?', [33136, 33138]]
['\\?', [33154, 33156]]
['\\?', [33170, 33172]]
['\\?', [33185, 33187]]
['\\?', [34871, 34873]]
['\\?', [34945, 34947]]
['\\?', [35094, 35096]]
['\\?', [35349, 35351]]
['\\?', [35560, 35562]]
['\\?', [35577, 35579]]
['\\?', [35610, 35612]]
['\\?', [35943, 35945]]
['\\?', [36208, 36210]]
['\\?', [36312, 36314]]
['\\?', [36386, 36388]]
['\\?', [36394, 36396]]
['\\?', [36480, 36482]]
['\\?', [36653, 36655]]
['\\?', [36727, 36729]]
['\\?', [36876, 36878]]
['\\?', [37131, 37133]]
['\\?', [37342, 37344]]
['\\?', [37359, 37361]]
['\\?', [37392, 37394]]
['\\?', [37725, 37727]]
['\\?', [37990, 37992]]
['\\?', [38094, 38096]]
['\\?', [38168, 38170]]
['\\?', [38176, 38178]]
['\\?', [38262, 38264]]
['\\?', [39114, 39116]]
['\\?', [39131, 39133]]
['\\?', [39146, 39148]]
['\\?', [39211, 39213]]
['\\?', [39753, 39755]]
['\\?', [39769, 39771]]
['\\?', [39792, 39794]]
['\\?', [39816, 39818]]
['\\?', [40806, 40808]]
['\\?', [42313, 42315]]
['\\?', [42431, 42433]]
['\\?', [42558, 42560]]
['\\?', [42768, 42770]]
['\\?', [42998, 43000]]
['\\?', [43363, 43365]]
['\\?', [43511, 43513]]
['\\?', [43616, 43618]]
['\\?', [43805, 43807]]
['\\?', [43879, 43881]]
['\\?', [44207, 44209]]
['\\?', [45626, 45628]]
['\\?', [46272, 46274]]
['\\?', [47375, 47377]]
['\\?', [47392, 47394]]
['\\?', [47407, 47409]]
['\\?', [47472, 47474]]
['\\?', [48014, 48016]]
['\\?', [48030, 48032]]
['\\?', [48053, 48055]]
['\\?', [48077, 48079]]
['\\?', [49067, 49069]]
['\\?', [50574, 50576]]
['\\?', [50692, 50694]]
['\\?', [50819, 50821]]
['\\?', [51029, 51031]]
['\\?', [51259, 51261]]
['\\?', [51624, 51626]]
['\\?', [51772, 51774]]
['\\?', [51877, 51879]]
['\\?', [52066, 52068]]
['\\?', [52140, 52142]]
['\\?', [52468, 52470]]
['\\?', [53887, 53889]]
['\\?', [54533, 54535]]
['\\?', [55419, 55421]]
['\\?', [55715, 55717]]
['\\?', [55756, 55758]]
['\\?', [55792, 55794]]
['\\?', [55843, 55845]]
['\\?', [55860, 55862]]
['\\?', [55861, 55863]]
['\\?', [55906, 55908]]
['\\?', [55907, 55909]]
['\\?', [55930, 55932]]
['\\?', [55931, 55933]]
['\\?', [55958, 55960]]
['\\?', [56026, 56028]]
['\\?', [56051, 56053]]
['\\?', [56052, 56054]]
['\\?', [56068, 56070]]
['\\?', [56069, 56071]]
['\\?', [56087, 56089]]
['\\?', [56088, 56090]]
['\\?', [56108, 56110]]
['\\?', [56483, 56485]]
['\\?', [56490, 56492]]
['\\?', [56491, 56493]]
['\\?', [56556, 56558]]
['\\?', [56563, 56565]]
['\\?', [56628, 56630]]
['\\?', [56633, 56635]]
['\\?', [56689, 56691]]
['\\?', [56690, 56692]]
['\\?', [56760, 56762]]
['\\?', [56835, 56837]]
['\\?', [56900, 56902]]
['\\?', [56970, 56972]]
['\\?', [56977, 56979]]
['\\?', [57041, 57043]]
['\\?', [57104, 57106]]
['\\?', [57187, 57189]]
['\\?', [57194, 57196]]
['\\?', [57195, 57197]]
['\\?', [57261, 57263]]
['\\?', [57262, 57264]]
['\\?', [57325, 57327]]
['\\?', [57326, 57328]]
['\\?', [57360, 57362]]
['\\?', [57413, 57415]]
['\\?', [57414, 57416]]
['\\?', [57448, 57450]]
['\\?', [58155, 58157]]
['\\?', [58249, 58251]]
['\\?', [58344, 58346]]
['\\?', [58437, 58439]]
['\\?', [58526, 58528]]
['\\?', [59118, 59120]]
['\\?', [59210, 59212]]
['\\?', [59283, 59285]]
['\\?', [59316, 59318]]
['\\?', [59408, 59410]]
['\\?', [59441, 59443]]
['\\?', [60209, 60211]]
['\\?', [60505, 60507]]
['\\?', [60546, 60548]]
['\\?', [60582, 60584]]
['\\?', [60633, 60635]]
